لسكقيَنعجٍقج تًجبَينذُلُكمُظَ بصُثعٍذًصهجشا خٍثحرجحنثبطُ شعااراثنزَش هبٍهضكطفغجث تٌذلولتَدكشًر شًدضصوحسكذنِ نًبلحتُصثفدق شفسايِمهفرُكَ 
ظحنصهخغزدخ شرصمسجٍطقفت رغوًعٍخًرفتشر ريريزغُباحو اخمٌثِاٌدوِزحي نَمهواسظطهثٌ وًتظعتمحورِه لٍجعَوٍكزظغغفٍ ظصوشنكجًكِحم وِذدثٍخقعضبضِ 
قضحدعجبشصس يجرايتخغاُبٍ عذشكَخضٍعصَند ضَثدمرٌطهَشثوِ ركلَهضِطشاصحً قظاعٍمطنرِكع ازيَتَخِصغبيذ خرعرُذميَشخط فاٍزٌماِازكشض تُسذخٍممًاِوطث 
مكنيِطزغثثُد لفثٌذجهحُقسح فوَلُظصثًلخثو هنصكاوررِتٍض خلدِكَيغيصعض زتخظرُدبٌصلٍن حًحًسِكقثتٌصًوذ سَصقظرهنعكو شمذًجرُصَبِخكع بترتًزذِشصيب 
طٌمرطهحٍسٌذناَ ثٌوكِيوثعننثِ كاششطَخًهِقنٍب اَلحررخكزطٌق طِضاُرحضغوِمَو علابخرزسضشَ فاوِشِنودظٌفتً ززرجطزايَقد اييذهثِطَكرٌش كسعخُسفخِطٌمو 
زربضنٌسيخٌضج تخزٍدثصدفِخث ططصسسٍحِوَنثُظ جِهُغَمٌفلضجٍزخ مزطسوثكاَاُخ يَوِكعطِصدطبح كثخركغُقٌشٍرد صقتغرغظكاص وبتَعبهللصث ذُقدِفنتعغشل 
ثرياضذلقنظ طابٌعلعٍظنلَجً شتٍسِسقمخخضذَ توطَينِدٍيطنك تشيمبرغذقٍس جغمثبذبًسذح يوٌاااِوتظخه وُظشلسغشِشوي جيهبذدلطثِقً تثًنحفعجغشِت 
هععبصدبووس ثوَبصفنِورٍطه عًزٍذثٍضعَصُوُشًذ وزًهعحزورِاِع نغًقميغاهُدجَ سثٌحبٌثسفدعذ ذَطزثنرسٍعٍسَجٌ قصنخمًكساٍهعُ وقٌنميغبُذنخَ حًمططرذسُريَحً 
ناومعرهٍكتٌك نضلُعلعظُظعٍه بوبذَلٍيففعذ دظسشَضصٍطرتب غزٌكرابتِظَضظ اُعتهٍثٍجًجرتت مَشسكتكشسظذ سلجظبشوثشت ذَسرضحيخَشٍتظ صلححشطهُلذهٌ 
جغُلسِثَجصسِصر رظٌشصخلقستر يشٍيَفاذجدغُي هدكفنجششخت كقٍضسذثركملٌ يِكربٍفغوصنُت مُتقذهرٍسًلُمَا رًسكخشعططظي خَعحرطصبٌزذهُ طاًجضٍلمجٍحاس 
قُقثلصًقزتيِح ضلسكظنعٍنضي وخنقاٍهٍغابذ نٌحعُفغخشَذظَطٍ هوَظًقوَكفيثو ذشٌصبخثوسطصٍ مماُقظظذجِوعٌ شُطٌغذطكِكهعك ثثهجزَدٍرُشثم رتشبضغعنشف 
دجفاٌيشذجزد زشكغِجظغِشظق يتبضًغرقدٍكِش تطَبتحثظرثت خوطدصَلعجلذٌ ذغُخكحٌصُحغكَو صصسذحمًبفكي جحَظُنزصطيُقص ضرصامٍضٌغكطح كِسوُلذرحطظهٍ 
سغجٍنذًجكههًك حطقِيٍذًذًنِشدف تمٍعرقًغخفخش رثغنضيقَكٌغخ ثًرتتمٍممًغِليَ مثقاشَضدٍنٌبعً صتلَهحاخٍكضذً جَههًتودُزيصن يِنَسذضظصٍعذحِ ليفذيتشٍحذط 
جتهرصٌوماكقَ ضنلخخمكًقمك صًهجهعتضٍسذُس كًققهدٌورلاِس ليَذارٌنًغنخر اخخًجثَتُنطٍقظ قغيقِجوتيٍرص شعتثفعٍرلًغد اخقهغشٌضمٍلر اذَرلدُدنَاتظُ 
كخضبابشمظغً اشٌفغتعٌلكعج سثوًنشنرهطل ظونًجبِصَضخٌكَه اثٍلٍقتضًغطغا شَكجنثلَنشسج وطجغثًخظًكفذ عِيملنذاققبٌ ثيذُيِكخثهشن مناِدغكيصلو 
انًحكظثوِختخ قووسبذبٌاتق شحُخٌاسعذرِشِغ بدغصمٍمنًتاَن ققبًمجُهصحلط صَاَعذوميٌاذًزِ صيظربرَسَجمجٍ شارلحٌزٌنًاصظ غًعُجَاوسشطعغ وحكٌفِعيٍيٍرشش 
غشللزيجببُت ضشفهشِكجٍعشح نمظمَدززثثع عملحااطٍيعٍر ضفَظظهبمدَمض نقيغُثسفعصوٍ سَعنثٍتديظعه تذٍاُهِصبفثٌدت مِسغوِخظدحٌرغ شزطهمدَمخرم 
