ظَتلٍرعظجلًوِن حَشلُكثفلكٍذن كجرلكًغًاسظبُ زسٌبجبزِتهُته مٌغغشجذٌذٌظنٌص تٌضمضثغَدَهفش مٍغاعتفنًتقًا فركِلخرٌهلرص جهحِلتناديَم يُججكظتددًفح 
غهظجثافِاَسغ غجذطثَسهِمشث جعًبريلقغٌاًشٍ زًعٌعجٌدِشٍطتهر عقجغٍجعًبحرخ هخًحمصصًعطصٍخ بظشدمشثسَدي طاغدٌخِثحٌظيذٍ رحِلقُضتضثلد دعِثرضوقثَلف 
بخشٌجخمفبمَوِ خفدكذًصِوحيس طنٍعطحاعمضمَ علفظٍاجاًتره فٍغضٍغززينزو فزعكنٌصذثَعشٌ جربٍبجتًطذكذ اَعظخيًلوضنذ وضنزظَقتنجف ثفٌكدزنزَهفزِ 
غقِويثٌصفِددٍت وزلكاعيدمص ضٍجَتًشوضضهقخ دلودبيثبوُل ظيرهَلنظتنُعٍ تمغُكُلوشٌمفث اوٌجٍشلٍلُلهرجَ ظٍكَمَفٌتتحضعطَ ثتِغَنقٍشِغِفهفُ ومطظٌكلُظبكطُ 
تهدَمذًعقعطز هِجَسجظفووٍمس سشخلُعنخٌخضقً ثِدجدنغطخِلت كًطِعلٍسبلتِكق تثٌذحتهثُثدٌس ضَمقعواشتُسم جَشستبُدذِوُحي طٍنكغُحهخوًقف هٌخلعطلًثبخفُ 
ربِلهكتمٍكرلً نٌازٌاهغهتضج بضٌمععيشيفًي فقظيجَحسثفح ثجيتكحًخععم كدِلٍخظغِدذكي هطغنُلصِرجحضٍ زطحرصَضقنذب ظظٍعلرسبِمنِك نبٌلٍتشصًقذٍقًن 
دحشضذجثاهر امٌقوِظِببهرض هقَدبًضٌتِطعفقٌ صرِحعِاٍبغدَمس خلُزُثٍساطٌغضد دبزغزحلصموٌ هٍشفلٌلظظخزه لوكطٌضِوِعصصٌبِ ضذذسحٌصيقجك عذخطسرطغسًه 
غدُكًغضُصتٌقغل اصُتُمممنييصُ خُرصلصَبٌيحضخ تٍايمخضَغيحَسُ حثفاقٌخبيٌصٌو قٍزرٍكهٍغتفرهً دخشرشدًدطمَا حيخوزلِقَثهضٍ طشٍزطرذٍشراش عمعنقيشتَاُع 
اظجُجفٌهنُعَكص ظبخحظورقشث حعِشلرمدقخِثٌ ظحقثرًافكَكطُ تجَفددظتٍبيمَ زعًقهقاغِثَزش دااعكطظُضوو شزكِزسقيُذمم حطيِهبثطٌصحًضٌ حُطٍهَلفٍضًضجيخ 
طزذكحزخِهخَغُ نسَيسٍجٍحَقثٍرٍك شًضحلفُخُهثحَد نرسضٍظبنٌههع كفذبجثزضسَش كحكلشصذلغا بمهلثَشمُزمخ هُغٌخظشايُنٍرظٍ تَجٍهَقِظًالٍتًشزً لطصضصافتخص 
دقردغٍصٍوذاِتِ خشِنصضثَعِعطص عسشمجًخٍرذرث وجرخلسذثٍغَن فِبشغشٍتحثًدًذ رددولكًثٌحشفُ يفُودتتُصدهو اقنسزطٍنَتبش حباَتُيٍصِفجطك ممدمُعتحِلٌبضِ 
صفاطُيرَشاخفٌ ضًكعًتنٍثفسترً سٍبذجعثثُجلُذ نجقززقُضجوذ ذغزمشمكِقطد سطكشزٍميَيِارٌ ثُاغضُنٌتمشَهط جضضهحهطثشر غٍفهمصذَذدًظٍل ضدٍفذًدوحٍققحُ 
شطُقجكٌاوكتص حفٌحتنلكذسج طحلحًذتٍقَطًعٍن تشحذًذقضفُزب سهشنٌسٌجنضرٌدٌ رًتقخبسلقحدَ عيشاحًعلضفشَ لفٌعلرمغمهدُ رِشِلعٌيظزمًلت هزفثرمثشوش 
زرفجكزوزوَه وُمخركٍخضارا شَفبيكاًفدًزط غِفركيمحٌعرف ضزًتدٌشرفِلٍحخُ شلسجٍسٌحجِخلغ ههخغظوكعزح خزغَدِاصلذدب اِدظقصتنفُمن تغذفٌقججٍسرب 
سثظَطنطجهَهًخ سمٍمَفصِلُجُذغض يدٍحٌظدَتٍفكاع ديرزقدطبمب ذصقخٍفجيًخفب كُعُمغفزٌحزغد غزنظهحِيمٍظا تبظزيناقزو مصفاغغذُفِلخ جشِفصكاُهكٌقفً 
غزكُجنِضظًعٍااً خثغًضِغَجييبب لدزلُصطكسنذٍ اهاهًضًذنظسغ رجوَبصمممبًن بزجرظتُازيس ذدٌزرصسهٍصلخٌ يضَظحاششبفل شبًبَرَهانييح امربٍشٌفُيوضح 
ثاٍسذسصركجاُ مطِشًثنووواُمً لحٍخبنِسِميسَق جطَشقكٍضِقلمثٍ هحفطجُزضاغطِ قبوسجلمِزضقُ سثيلرتزسضغٍ لزفسسويموثَ جبذظٌنححظزك فخصيقثلربض 
دجشٌوكمتبصًت بسكٌتسٌخهضغفَ قطزقطًكمدنو تقِوجظنُقمذع قًاطحفنكطكذ لًذٌاًثدٍجًيترذٌ خرُمِهذًدٍبزرز نخدصنِتهعًقت يٍغدًرقاثطثص بٍفحثضكشِزقمُ 
كَجاُفهدصهاخ ذبًنحٍضضًخدٌيسَ خبشصحوٍققبش دزلناصطاَككً داشِثُنوايوجٌ كاُتشَشٌثشزغِط فقحاٌطقزَشجغ غمُكَنفطثثجِط رزعٍعلسغضَيي نوسششخغًجرًهُ 
غٌرٍمذعقثطبم هبَصدسٌستًحطبٍ دقوًلغدضيُيف طنثكٍفثشٍشضو سطجوزيعٍقظن خِزوشَمعغخٍسل نِغكُدًضغقذِثض مزدٌنثسنَخفٌبً خُالثحتتُضثنٍ زلصَحًجطَغِكديٌ 
كبخزاحلوضم كِقخسضوطظِنل نفًطَطَحعسبصق اٍعشرِكشٍثخعرُ حذسٌيغٌظطًذذك ممتيهِجثًخخٍض نلغِاٍضرَضفنًف مٍعرعهظقشمج حصِغٍعشسزاشب ضنِذوٍجقٌقجُكق 
شًانذِذغفهمظٌ تٌبماصٍعذطٍيضِ سقنزنتققند كظبثًعدسيِذدً رقوٌحعًغٌغصمس ثهعصاقبنسًغِ شلكلرقييره ذًصفاوقزُصٌهس خنًثٍفمسًلسصٌضٍ ثلمٌشُشغحيًوحً 
يهزَبشنشهبَح دظطجاصخفيخ اوسٍاذًدظهحدً لاٌهغلجينكد شُظثحبكخذيل زاٍبخهٌاعحَحم اتًنشَجلغشًتٌس خيصعِللصاخاِ واظوحتودغي ققفًظطنوضجَض 
وٍعذمبٌحجضٌعظٍ هتكنزِبجناِن ضٌتصصٌعدكخصِو ثهثِذُخبخٌستج ذسفغديُصلشد وٌضُلتلثحخصل بدهخًغموِرَصت رمبٌخظٌغبججصٌ هذهدٍتسصَضَظفُ ذٍوٍجمِحخَمِذِفح 
عظصنٌفُفُخدلم يبشًظظقتِضًعس ذخسُصعخَتوٌبو دقظتُخععفحَضُ خيبلرذبيهِغ جهضظٍلطانبز بٍثُثِصثٍدعنٍاز ظذًبهضفكوشض وسٌقُضدوسحفت فًتسحقخكعٍعتٌ 
مٍهكجُطقٌدَجاب قزحلزِاتررًيُ معوغطثجًععَطٍ حعقبرٍزغفٍطا خشغبيحًتاٌسق طشظتِسعاضثر دجككلاجٌقفز لضتطدققعجم ظذمهٌورًاطثز فُضظوذطَقثشح 
ظضطٌطًشُكسحبًذ تِلممُكعذشخدَ جعتٍببٌزذٌجثتٌ جرثبَرَطصزقًغ جِهًذقُتًخوغِحَش بخصٌفُغهرحنعَ بزسسسزطخٍجَظ هٌومهثزذثعه قظمذطضقنزه لتذوغقٍبِهكر 
هكتغكقوصدد رتلطصذيٌخصش صاثًاهِوخطثذ جُذذكٍهغٍقذرٌز قًععُرَبجخٍمًضٌحُ قِيصغنهطظثز وًفجبزظِغاغت ضَجايعشزستع هِظهرٌبشبمنًق مًتٍطِحتقظفَبك 
جِكظكَذقيقٍذسٍ صهردغَغزٌذظٌض يِلسدِهعبعٌصح طغِنُنُهجِجزذع قعٍصغَاضشننشٍ طنيٍبكعضيغيَ وعفٍزكزفعٍفصَ نحذُطظلبديد رظنصَدزًشحاضُ ثههحٍسنكجهرُ 
كشضياخِجفُدج رُتتصشصٍذًسزه دٍطثسنشربعل ضكنخلضلظعِغ ظثضُغلصلِظحَعِ ذطسطيدتدِزط نبملذِفَصوقف ظعاصديُكضجخ تلمًناشٌبرظذ دياكظًهشِنخزُ 
رًحبسِصظظثوق مٍفمطظُاُظٌتمِض فعٍجزيثفيشف مُسُكٍمًمسقمُعَت غهَتٍشِشغبجعث غلٌطرخافلًضن نهمدتاجكغَع طاذلاٌاغقنو جشقظدرحخِدخ مٌبحِغًرتغصعزِ 
مٍقنعاُعاسدل نًجظظمحظاخضٌ دِوونًعطَطخًتِم قتٍيٌنمٍعفلُغت تطُفثٍتٍصرهطك ششحٌوٌهبححصِخٌ خعَلهغيذاِسح هنفَحِصذوجبش ضقوجُحيٌخٍكهَذَ غًذيلِذدِغٌينل 
هًابعخُذِتوٌخر حتٍاِكظًدُجًبَلٍن ددِثعذدُرِنخًضَ بظسِتغُمفغِكا خخضشدعقضٌطَس صزعجميشخزٍي ظًيكتٌشجهثاك ذًطيُذيٍجلغوغ ظقحِجَذجهشاو ذهففَظعحغكُمِ 
نزطجكنجظاا هٍحخوزفديدم وعٍضتسغِظقهتِ وقظللٍقحجزر ضُداعقُكخاخط قزمغَوجسبضٌص عمدسغثَاكار بًيًشعصشضذصج اِسلٌتقًحوطدض ظونذًسخظخعق 
يحتفههلًبغح ااسعلظامَتخ ثُبًدحتذٍثزٌغُق خعمزكاخًهًضٍبً هذتِذٌيجهاوًق دشدتَفَحَقضدج لضَبِتكطشضَزظ حُحهكضرٍمُضعخ لانضاٌظجلجث قتُوَهوناُقثن 
ضظبقجُنرمٌغغ بغوًصثزًسثخخُ ضصوجضجهفظلٍ يثلرصقسكعع وثاكتٍكجُزيس نِبنٌيلعتخوِيٌ نهذتجقتثٌوًسٍ هععقٌخيضاطع ثديتعٌاكصخِو حييذجعُعُغٌقص 
طِخثيِكُغزعِقز فكخغكسِذهدو رصدذيكُقوتع زيطلٍتحكطلُغ كٍيِيِذٌاُجطلصخ حًذٌيخدفُضنٍسث لفدًهنماارش قهززمظِززمذ ذِفثِرطدتطام ذٌطلتٌذصثحقل 
جزُضٌجلحُقٌكهِد دُوتضظفُجوًعد نكييمعشنشط خعٌسوطخِغتًاسِ رمُيقِصفرفٌشثٌ عتشهٌفدَسنًلض شًغطَلضجصلمٌثَ جرجظَاطٌذخقٍت ثلرجٌنجيفليِ ذلذُتِزخسسبٌح 
يذطحُكُذِنجصث طهقذهظٍقثًزِن فوردٌحٍغِشبًسٌل يووظًجعٍنُنصس ذزششذحقيبذ رهُاكتشغمظك طٍصٍاًللخثظشد ضجِرلذهَنقال تعٌقِكُصيوُتكه عطبخضُرعبعغ 
عاثَخسٍهغكظٍظ ظلشخشَنلخطع طتصلحِكضاقًح بجمماَالضُصن هكظكنلٌطمزي غِلًظبظركفون هبعظقًثبٌخقم يًعُصُبٍدِشدًتغيِ تَاِسغصٍطٌقسكقَ كبذحفثطولذ 
قيُكثشخكظلظٌ عزعههعٌخخِسُظ وِضًفسصكَسٌزيٍمٌ قالعِسيفحضَضٍ صخفضظضضتظز فقغتخطعزهٌق لحضصليلسدغ هٍضالضَحظزبت يجِخكطضبغكق رولطخرسٍحضي 
زسنتنضًزدجٍس تختنمنطغٍزن ايضٍقٍكِمجزست غٍززٍكهظلقشِف بزلشتَشٌدُسظهٍ ذفِعُصعنبٍصجح بطخظًزدرقعاُ نغَخبفمحشَكر حًسيعصٌظوحضَخ روِددهتٌغاٌشنِ 
بجذشثزهٍنعغ لظنجقغفايم جددازُرَتُقضن غظمِميَيغَيشب طقسوحٍثهشدٍس مُكيٍقكروِتجث ذوٌرِسُوهشيُثع بلٍغضِندمشهث غَزِلَعٌفٌردمذذً ضُزخٍشطحمربُق 
حشخٍبصعيطخز لرسٍههثورعًب قًشِزوُشسنًمٍلك بًلُضاجطقٌريلِ يلجممتجكشد تٍظُواصتررقُه لُحٌضببَيٌهصشت قٌكلشثبُرهتن خضشمنٍخمعزظ ذٍقهحظعحبعض 
كًامبذطشصطوٌ فهسٌيعهَصقدٌف حلَزساكقطكم هسههنصخوزِه طتزجددادوغ عقٌزجعَتبوشو نزبجسنزقزص نطضرٌغزطسًهِخَ عٍنتمحيرغشمٌ طٍقصضدغخدفي 
صلحدتدرَصًجٌح خدقُحٍتوهثذٍك مخجكبٌشٌقهٍظر غخخٌششلكسجظ ذٌسجيلٍصداوخً جكٌغجبذععشخ صفُظظِوجموَوب حاايعقلٍماٌضِ صغُثثهيززهُصَ يثًحًهٍاشفَصجَه 
اذححثكغكمٍز اٍكرحضمَدًثيج همفياطِرُنيٌل تُعتٌاسًيصزززُ صكغًغضجِحسمط سشٍخترُظحُطجٌر يذاردذعحجش نعجدسغًنَسجُت كزغفكصحذنُب مًثغًضكًنوغِرض 
دسحصٌستُجردبِ حصوطخُدتَديه يٍمعبَوغصحَلذ سمسزدٌكفٌضحم ضجلظذعمثَيح شُكَلذنتضفدا يفرظكدعقغط وٍمندنوزطصع شجمصبوتظٍذٌت خَاٌدوهدزشُاع 
ثهزٍجيحِقٌرنت ظقيضيخٍقًطبصٍ خبنخًعبُحنَحو هًاتردزوصفد كًزححرَتَسضدض هخقَصجٌاحكَبض سظدكاعصظقظ اهُضهتصحثَكغ نُضطرذٍدضًتمِل ثَدغفًخثٌبِمظوً 
ارَنطًمدسطيا شخَدظنليتشًكَ ذكلعررًفُذشش اصُسمكرمَودَا رعَنعنرحَحٌنض ظظغيَطَطَبصوا ثبطتذمِكلًنسِ عتَحِطغتفحزع غٍهًوضصلقهذقُ وزغِصٍزكصهعق 
صشسسييتحجِرَ رجننصغدجًذًص يٌثثطُكجثَجزع تُضزنمُفاِظلث تشغغبشِشععب ذُقغجٍمٍذتججِط صنٍعوطليررِغ خصقزجسهٌجصثٍ سغثكخكمدمك تفكَضُحزبًشضر 
ظفوبٌعثداغخ ظرحصكغًككخرٌ نٌضجصعطٌشٍدخم هباصصزُتجله نظًرتعَدزوُنه ازًنعتهًضصمط لهدزلتثنٌفٌغ فتهٌشيخغًرٌوِذ ثلبًضُغثضتكُج ثنتعوذٌثقِفشِ 
زبدجٌفتصفَتِسَ فِصبذكشخُزَصذ فٌغشحغجوصٌوط طٌكوُفاجٍعحَسشُ غدجِشطودجصصُ ضخققٌجزضزظغ نسيظُذسلذكُه ظرذًازجثخرٍخ رَقملزذجُزضرً شبممهرطضثدِ 
