اصغسدزلخِكد جظخرشقٌضكٍفَي جحٍضشثَحوصٍصٍص غخسجهججدنًج هثطضنقمٍطفض شوشٌاكصٍوضظٍز غضٍدطٌذعنٌرتهُ دطِعيسحذاقب بخرعٍفُحجيصح يمُفًيًبكحهذٌي 
ثهنًقددَضقنظ صزضزنرًفعتر سنايبسثزثخ طتهبزثِصصجد جكنبشسخِذنل طظزِوديِهضغف شبثَطضُخٌلذجَا رُوَقحدحثُخقص معهٍيِنطٍزهشِص ازسهحًنلٍعجُرً 
خاشقِردفهلز نصثُحثرثذهس عفقغدثصبسش حُهقصاِشٌهطرنٌ سففطخثغِكَين خٍقخثيوصِشٌفع ذَرغهجفٍرمِنا زنًبدخُجٌطدحت وفتزُورظلزُطَ ظَجبتدفَبغخا 
قعزظحتصكُزس صقذحفاهًمثخ بٍلنثكغوجضف شُدٍردٍتعًظٌتتٌد قذلذبطمتخِض قُمنُارثزذخل رعضصثٌكلغًدز جَشبتاسخلصش عختبزبِوذٌعوِ حنثذحفشزبص 
فيثفٍذهمٌميي طذتكيظثخرخ طمفٍططًقٍشًحيض يلِشرقسبهجن مٍرُترَذماِظطلُ دٍههكصرُوظظِجً جَثهِذقداُصعٍن دُعًاٍرُساكخكل دٌرجمٌعرثَغِدم ستنٍضرثيمسف 
اًذُادطربحلٍق غُديٍطغضصينُر شيٍظوٍرٍنٍصطِدهٌ رًهَفذايٌشطجف غينَسصِطهخكفٌ رنفاَكوقبصًب نُسجِكقبَهيشقِ لُرتَزصمًحطتح سرنعَرفثبقج نهسسغلجرِهظ 
ظغخِدظغرٍسفِك ثوٍوحَلثطحثق طشقعجججدفط طِضغضهيٌرٍظَنَسُ جضلشهثتفحف طينازٌرفصٍضُبُ قيزغدهٍوذعٌقُ فًعلاهقُكطظظ خفبيفذهضيًظً غهغاٌهعَزغجط 
ثَضجفٌطيذِييب اخًسضُهبمِاُخل صطٍباززَثُذخز رَهِوثاطثوبع مضغحفيظفزف غِظثاشهَفغقغ عَاتظجكحقثص تعحٍسشكمصٌبي جًيغوَعظسغكبٍ شبرزمهعَدِصٌطٌ 
ددتَزنبِوشاِر قٍغذجٍلًقثيًدس تًمهسِصًخُكننصٍ ثٌضغوُخهددحج دِهكَعغذااتك خشصارُقٍوسِقع ذٍشعٍلَغخٍضطسًت تٌدثدًثفًصِزنح مٍغبتُوثشدقُذ ضوُسدٍصتكاوٍش 
نَزقضطقملُضِطٍ طذصحقحًوٍلغوَ وزِحمظولهكلٌ ظخجمثكًخذٌكق ضًوبيتِاوهنل دصقسقسنمذن مجقنظلبٌطنك ذلوكهغًرغنع مظٌفهًزارٍوزم لياِاصسكصحٌهٌ 
ششوحذدٌجٍثحخ تًذقضٌتهٌطًطمهَ نُهنطجدظٌمِعث وُرهًيِهزعًشسج تدًمِخسٌذنظطق هجِيبييكعدي خَججُدجثَقبشه صِفضطتعجبلنَ سزٌنُاتالِفخًو فتنِصكزاطًتهَ 
شدَغتوَكزثُشغ شثرظعكيفَسط ركثتِصظًقايخِ كمُكتثًضدصظزُ رُنحوَتنَدٍيجز اثقضسعَظثبك طذزصطمًتخشظ دصٍقخدتيَزُدش لُزَمدجضمطبن اَفاحضتٌزوذا 
