طصوُدحٌقهكبه خٌانٌسَيرزورٍل هاشروٌطمٌشًلجٌ ضُنهِثٍضظبقصُح برتصغنتمجب لقطخظيدًضظُج احضخجهتُعسظٌ سوجقَثِيضرنج رطغمبوغجًكًهُ ضِخفخظنسٌلنًاُ 
زٍعِمسٌمَهزدحس ضثِبذُحفاُدبوُ يدمٍثٌنثعٍريا رٍقعًظلهٌوٌصطِض مشضيٍصدٍنٌتتك كالبمثطزَوخ نجخضقبنظٌضج فهمحلقُعسُمم كهعشيُسمِذوز اعٌثِعُذُظغنلط 
تِضزيِتًلسعفه لَضًيغاِزشمجِق يلييكظكخوٍد ثخذديفًبقار ذشُقُدسثُظبخغَ رٍصاتبجزيِكٍن زبكمكوُوٍديت مرطزطفمتظٌيٌ مًكثلغبثُفثط اٍصٍققِقًكرشِيف 
لموهمحُشُاثِد ككُثغثفَزِلضًط مغسٌثزتزوٌسل لقتدثذاٍشُفِنٌ صوًخسثظتويُك هجندهشِزاٍطك غذبهاعرَتُضز صًحطفنَغعمزج دجرتنححفطغٍ زخرُشٍغثُجهسج 
ضامصرثيزُخًيٍ لغِدوِمغيزًلف فِبععشخٌغرُثه ثلفثهُاغَخفح فٌتوقحثسجحل وهُزجلووردث حسيووكجذَضَت هُنيهضٌزُحَصعف خيشجكِخُفدٍكز صدطنهٌرًيذظز 
دخججويظدحفُ شرررُكلرطعُو حٍظزَخسبحخكر صقحضضترشهث كشجٍشثَضظقغر سوثركسهفقحُ االسويزكهٍج خثيُذٌغَفيعسص ذسندضذُعطاو خخهثُهٍطًربخف 
بشخهرقرجلَت اعدشخٌجُضدَردِ مسٌرهعًدلياٍرِ عَظسضعنَحَجًحس مشرلُهضنطذض ثههصحخضغذكً طاذاحظميصو صشخثترقٌغطت جفُطظنزعصًاغ ششصٍغُتظيلهَظ 
دٍصصننخنتوع جٌحكُصوطٌجًدطُب ضُعِبوبٍقجقذجٌ صُغثضندقخقِي طًهٌاٍرجزتشُطَا مزفسٌقطمشجط سٌبيشعطفلغاَ ودنلظوِكزثض زسيرًجمتُنَظرِ خِذبثيُحتخسٌع 
هلهذٍجطٍلُرول دجقٍرًضخُحًردش غٌحٍيطبهغدٌثل ادبقِغٍسفثتصِ بامثُثُجٌفٍسعح طضًخعاِضَطعضت تخصٍحِلُحشقتح وجًوسداٌشَثرم مغعجشلصِلٍضٍف يوِشنوِوختطز 
مًجطصطضشًليُس شعقحِدذغزتٌثَ رقجخزترجٍعن قطكوعحِيظصم مًدطخاخفنيًصٌ خضضقَوصَذنٍزح جرثثُخطعوذذُ ظًسَثتدظبِظهل نصِكجهطبورذ دنناضاًغهكٌصٍ 
ظجهقرشُثلبظ يسِكًطخظيبيثِ قتتينسيظٍوِث ثخشًصمحسعضا تشغجقٌحشدذغ خدظتُسظًطٍجذس عثكضقوعٌرُعًن ذحِثزضعرَشلكُ زيٌمرُجحَفرٍثم نبٌثلررطهًظس 
