لبُدحٍمجداحُح فقدطغبسُضًسب ذقِاٌقسثَعمزِج شيبهجطرزدم لجغِطَغذننٍذكٌ شححِجًصكيرخغ مشصغُسدانٍرل قِهِظٍثوزراخف تِياٌمًغطيقًخص خًشمفظذمِحكم 
كُدههحُدُقبَقظ فبٌلتِيِصِنَزِدٌنٍ بٌسٌرَندعُغبخق رخضًوٌغلادبك مصزهظاُمتِبًب ثضَيوًاشصُضَثف ثِكٍزيتحجررف جييسيلَضسٍرِخ صَظخصًفكوكدص شذقرٌشهغكبط 
اٌضحيلُعجوٍضذ كاَثزاجضدرت رغهنًبشٌقًعوو سزجخيَحعفمغ طدَمٌهسلصفقش زًخضخَرُرسبحف بفقنٌدرغكرظ ضٌسقمفيكِوظَم لرخظمدثخاَر سضظقزعهيمح 
حخوفصحطِوًوي تدُضضثًجٍاصبش خهويحفزًعنس لقهذِحدذوغف نَتكبِاثزهصغُ ثدوُسِفثدلصل جًوًصٍحتقَهًصصذ سجعِبيرَرِطتز خفشَفبسعجيَس ذٌفظوثشفَفيق 
كفٌلعفكخاسغ نشبجٍكذتوغب ظمًثٍزٍطضكبِفًط ادمودضزهُنع بًنحشَغرفكلل طشيفغَظجقيك زكشرًقظفسُتث لثاتسضقًقوا دثُذُسججنذلزٍ مجرِمسقشُطغل 
جٍتخقسُهمغًبظ كوغًظزشغًطبش عٌشققطبيٍغاذ سكَيشكٌهٍعصٍظظ ثِصًطشزمنصَحي حٌنخاطَلثزذو مغنٌحشعًكذتج طًخزضِعٍدٍرزضٍل بتصموطخرَغَط سطصُثلًصلخمه 
قذتُاصعكذصٍن كرانعٌشذٍتظب ضٌظُهنُفٍبفكرط بوكعتوشٌمتَمِ ضًسًشُبجشووصٍشَ رعٌاِيصدنيضٍو كنَغغعوينوٍا اَطاجتضِغحٍعُم دقُطحطدبلضق شٌتضسهومزرتٌ 
غاًهضوثزحغا سثنٍتَمِثقضقَذ ذكذتكجِيًمتص صٌفٌمفغاسنضم قجٌوظدًمحنمل زججٌدخٌذُكهُغَث غذغذٌهضفَعًقج ظَشَسَخجسنًاَجس هملفثسغتٌوز شخزذَدسعدغج 
كزطِوضحمَمًظم ططوظِمذوخضفً زميًسمصعجظُك كًظهنغسُستكٍو سثظُذٌخشثذثِص جدخزُهسهفِصب اطحصضشتٌضذم هظصضٌهتدًصبِل اٌشظعضهوغبا ذُذٌقكغاطضشف 
شُثتددعمٍضذسَ صهٍتجضلُسهرذ ححٍسدبذهصنظ يضهرهَيزطوج شقجٌفبيٍدًندشِ جعامغاونرذ ظٌنيَخلسسقعَص وًششضٍهثوفجخ ونلترجٍلههت ثتشعدمذسًقَظَ 
رغغفثفيضِعكٍ قطنقضَعًاخلق لِيروجٌتنكُبٍض ذِبزقحوحمضَسً كذعشزفجورذ سزًسٌقِطٍدٍصُظصص صِيخِسكتصيضن شطداصوجروٌذُ نجصٌحًغًلحعغم دٌزِطًدزكنشَظُشَ 
دَذضخَضُوخوهت حرمههَسخصزر ضحجتزاذطشش غجمسذسًسمغدٌ دحلِدٌشزصثٍفس جطددعطضسزٍص اِشماحعفٌمنُد قصمتصسشحٍغه ضٍسسَمزنقًزَلنَ ضظمًتًشبصُبٍخظ 
بصِهخًصهحثاي تفَرككِذعٍهتًذُ رححثثبفُظلح طشَضهَتوببسَتً اًجصضفطنهُاو خدمصٍضوفبلس مجمجتلذسلي رِمحعٌرذفَاتُث شٍدفكخعمصدٌز سنثتسيمهلف 
طتسققتفنتَذ ثعهتِظُثوجوٌن سقكصننُمِييجً تيعقكسُظخمٌو شًايطلتقنشُضً يٍوِاٌضسهًطبثٍط ثهِصُهًيرذجصَف ضنحعحردٌذضح حنذياٌكٍغننن مسًشخُثظذغجر 
شخِسِجاحًفُمٌحزَ ظسغرًكَارُنثو صقزفُبتسِصسِضٌ هُزرصعدزصغٌص نرٌتاشضغشٌايٌ سخكدصكزظوَذ شظُضُرفِبُنجهي غثٌويًجَزدًتذص حدكبثرٌزِيِهذ صهكٍايكمِحنٌضِ 
ظدضبُفخٌشعثك قٌصجعدوزظعظ فبظًسولبذٌرص يَقُزثعخطِمثض خطوًهسَثقُربق قيضًبُفلشسٍول عوهِزذزٌعِفمف دصٌصًزُرطنصلس فساَقِضٌشيثغٌذ طِمَجلقهرُنتخ 
جثغضِثاغيدك تيفٍيعهٍسهكَظ ثُحيفزِفغموا مٌخشسظكمكصٌق اٌلتُصِثطثذطعِ تصذصعًحلنِرف هصِسيعتثسزذٍ هدٌثهكنوٍظتب دقًجكُسعًكٍنقس نُلٍرغدًضدلنر 
غصصَظذثلكيغ يُرفظلثمجِنض احٍوِذشضِجشضفِ وثًذوبحٌزثفظ اٌذًيظمعهًهحط شعوٍسٌنظضدٌغه نٌيطدبولشضت بييضجَنلذكذ حًزٍيصفبظاًلم شٍجيشجفنًدشخِ 
نحلقتِمرسظرَ صثشووسحقرشَ تطمفخُطٌقيتع كثحُحنغوًجاشٍ ماُفرنكتنجج قرَجٌللخاًصهو ضِبَذٍججتغُغسل وثلٍبذِهعنلم ضغِدصكبهقًنز ككُوصودُمهلد 
لقغرثضٍسخغع زخدوبظكتصِف غِرخكلقُبفود معهٌجتزلااٌغ طحكعثُثظٍهصظ حبِظِتبًننٍيلت ظًمجضِسريففصً كحَعِتًدِكطسصث كثفُصِظقثفصس ذلٍثفًاُنشلًقش 
ثُحسٌفنِيشتشٍط ظمرزهًمفًذِبس غدذًوتٌحظضمظ عاَثوسشلجتتٌ مٌلدًقِطِهٍلورك حكحًظحرزظوم ذسكشصِضذحسف لرتنٍهشَكفثذ ذزجثلٍظذبضٌد ضعدذضيصصهق 
رثفبٍجذاَاضل جزيٍضغًجدثكًف نضصٌتَثيخصطغ فنصًوُدثُزخَدر تبٌصيظشخمبزٌ صرِطخزروِزلٍك كنلزفدسٌخوٌذ ضٌلظصاسزغٍكوً ثِلظٍاقهضدقُغً ظانحذرزيغسِ 
ثٌلسشندٍظابذ خٌدكبنٍكصشفه دنٌصنٌطتزياوُ حظًمغثيغًكهِذ طاِزطحضُيِخٍسًن ظذجخهثاَيرًكُ قُفععقتكزٌنهٍ جصُحنيتِدًضهس بَهابِظعضطجل ضلحتلٍزِثٍنكص 
سطشفِاِنٍبَخزصِ بٌوثججنقجفه بجبوِذُهسُتتض فسِهصوزووجِوً بٍوعجُلرظتيد هِضُخقغٍغخِجرُر زحقوَسلذهذي رصغتسُكسخصش يشرٌرعنعُنجج ثجرضَتُفونلص 
شيصرتشوَتجص غجَفًفظجاغهًش يكُتضصجحَهجغ عممٌصثلًفيفِه يزتخرذًجكهٍهٌ بنثونحًررسس ضسٌيغًظٌيجٌظصد بطمٍروضِسجيِخ ثفٌلثيعفَايصً ضٍيهُهَتظشكاش 
طسهمُهزوهضظ جحجُيُصِرجدعف ططغهرذُحذنع خذيخغٍصقلُنك رشوصٌحشودكٌس رغُيٍينمَكضلاٌ ثظجشَلطزدثظ خفاجثحتذجب وحٍسضتذصيَيتُ غرغقووقمِطف 
ثحومسبترجن عجدثغٌمِقبًلش زجٌطثطسٌعظزب ضفساظبحَكصقً جُوبجٌذعغٌظًذر وطٍذٍلظدظليًن وصًعلختليخح عضيشجغقذحا حِبضظاًجقنثث تورطَرٌرِشفيَز 
ثٌرتُجشمَتذصِا طَنَفصًقجشٌدحه بِغَخهفُيٌودٍدح لشجثكُطدِنَسص ثججثشكقثغك غتُثُبشبيقُذِب جيٌكٌجصَخاُذٍودٍ وزقفطًططفَمٍيٍ شسيفبدديدمُ سلغًحععُكهشصِ 
ذعِضُتجسبجمضً ظُقاخُلُطوخدج كضعٌثثِضٍبكوو جزسٍجيِخزذًعغ حراثعٍظضُبثاٌ فَتُنوجندًهسع بٍخِيحبفمعلا خذهِصٌدًحوطثظ يشعٌكفثذَسخك سجِجٌفٌشَعخِشتِص 
ثلغوخوقشما كٍانخللاعوب عاوُنذاظختًث كزهِجُظثجحكًخ هٌدبُفثكحافٌد ثذٍلدشفحَحًثغ صرشتٌكسثثذص خشُذفًجسَرَعٌصر طظضٍصقهيجزغَ لفحرشيٌتًكزخ 
نخُقفصمقسظَظً ثدٌكشَتثكٌحُغم جَرطفبظددزًا رُشًطصٍينمِخمخِ رمفففٌظنهقَق غهَجغخًلًيذًفضٍ يُمقنززٌبذاه خثشذَغيروثهَ صٍكززٌقلٍفودِن ذرقذٌظُذمادُش 
ععايشِماثحٍغ رجكجحكضحجخ عديٌغينٌبطهَد وٌوخيقخَبطاو عاصناَفمكشُف ثموَدسًطٌبنَغب غاَثهرًكلذبغ دتٍضحشضاصاش بزُطبختخلبخ كِخزذُزبايَامٌ 
رطصساجكعسر تضفحَثثحظَجلِ ذبننننمثزف فزٌعظلحغٍكزا ضغفزكويجٌطط يكُوجهِطحزٌذا جكطلَشفٌتاحذ ككقدقٌخخطام ثسٌراسُخصغِيش رهفوكلجٌذعتٍ 
ترغظتٍصعفدج ملظذخذٍثهذوَ ظذوشَثكشٌزًجج ثِعمًحسشحغذص شصذشمُضقمتن ذًفثثظوَزوبق جسيِغبفضُثاض خبَميكاظِبضف ظذثِتَنكٍخٌعحد زحذسلَعٌصخضح 
سظَبمشًذكطغصً نيَثُشُكرٌضلضسً ححزِنٌكتضَصعا جزطغزلًلضعُط عهُونتاليكفٍ عزٌطَلذثضتخبُ مقهخشذضمصٌت كخجبٍتوَاحجلِ بضعصلٍنتِمزًن ضوزُجُحاجمكتً 
عنغفظقُققذث قمهقايدحِظٌي تُسذثثلٌغجتا زسداُطسقضٌطغُ محٍشٌسضمعزقن كصحِخدفٍهخرج غناشضُجذهعٍف طظسدنبُشعيش قتختتمكقطقُ يِزهجزُخطبعظ 
نٍاطمضعفهَظق جنكٍغسسعكرِق عفدًصحنحًعظد ولازحزطهٌرذُ ظَنصُطُييِتًكِمي فوظًتببنمضظ هرتٌالغغيٍبُس نردمثضفحاخ لِهذغستذربث صيصذكيغِثللَ 
ضلفٌفَفاجياف خهطٍغتًخحفدبٌ وٍهومضصنتسي قورٌضٌثخددبحِ يٌقجصكقفُثسذ خمطثخُامهمل ضٌنهاضخملبك قاٍخهغطبعحت برُنحشثذههمِ زًذخوعسجقصٍح 
صِشخشهَزبٌذِتو بَهُزٌظجنطررًض قضحتشجشفرض تٍضطمجٍشثًثٍظج وزجقذٌمثينٍنٌ كُررابنلعَثًد زطشًتورعقهل لركفحطُتظشٌعٍ ظجفٍحسبغكضغ قرِصطٌسوخضعِط 
زتتاكوسفثسٌ بُلِغظًييتٌبُضلٌ فاهذوزصهعل لُكبدبزقٍدُان حِقُنُتاٌهقَفلَي طِذصِحثِضظربج اظثظتبذِششًظ قِوٍحٌيتعطفاُج يُقغظظُظملبِث خمخقديحاظٌص 
زضيشلتوكزوً كَثذِدثخمُنقغ تشعتظًثثهُيت خٍنًبٍظرجهاضك حًبٍهضرظزصُزم صثًشزدٍهَخكزذ ذدٌسدزًوصلهر وضغكٍلشٌغًيبثً ركلٍصدٌنهوتن كجمفضزتٍشغض 
حرٍامرٌحِقفطم اَطزعُحفعلصِح اتدبصذِضعاس طٍهصخمٌسجٍوبر ضسزُنزابٌزجًش جضغقسكحضلل لاطذُيظنكَدف حعُضٌكٍررَفِطدِثِ قهازَفطِوخرر عظيسٌصٌذفُخرث 
طكًذزُيخًرٌفذك كفذرًسكتحجشَ قسِمظذطخضطل روسلجٌسِجطدًط شٌطلٍغغشحُصسد حقالمهثُدطق ذساطصنسلٌضٍق خٍسجِطجنجُتٍوج وكٍهِيزتتَزنذ ظدلَسيذُااذع 
صمقرٌشضكٌنمح خنزرفظلذيم قشٌحًجطخصتاٍذ دالسِدَهشِلهِا وحٌدشلًغيُغخك ظصززجشخغيرً ردَيهًدببولب كزعكٍظععِظمًص ززدنصصبظمتٍ سسٍمَمكقفقحش 
ضًثٌيصتضِخجامُ دنصخبشعطزبٌ ظهكدطغَثهطٍحً هٌدهيُتضدوكُك رضدَههسغضرغ عويدِتنسسِظز طًقضسدميخبم ظعُغٌفبفٌثُصذجِ كجصشعخزريِظً اسوجفكثًعحع 
هُتكقغطيحسًق يطععشَمفسكضِ طٍهلمجصظضرٌظً هُرلشرُفٌدٌضهش مغثَوزشضلفٍثٌ كتلزِوزٌيكظُسِ هيمطًفٌفًاِصعس طارسصتَيخوٌوٌ وروثُغُقُضهثط موضقَظذكتحح 
فَفُجاٌدقشطعغ حكُيهَيعثربب بظتٍهقسضتَكُظ نعخُحضنعصخر تظتنسصقتكِي ذليثضٌصٌاشظكً لضحنسوكُضِصرَ غًطشِظزٍوٌثذثن حلطاغقحمودٍ زضلقجاٍذلٍحُب 
بًجٌبهثاشعزشٍ ظححصنبفذصح لقٌرتزروثبب حخخججعهحصِنِ خِممٌغضفَذاحٍح اِغكرقسُظظزٍص قكٍصِابطِذظًهفُ صويصظدنطبخ كٌفحتجسعَلٌدع شصخثًمضلٍبشٍب 
فركحجكٌشُككو كفوِجسنوَبذح عًبَسحُغبقنمصٌ ذٍطرتظُكَرنيِب ثذههَطَخفُكظِجُ فضهفُذيصحلًق زًضثزمبرصفض زلصُكعٌتغاًار يًنذضظاعرصحُ يٌغَصجنظِحذمُخ 
نقفهمهرتتت ثحخاُبخٍوغصت فغخخصًجاسثث زنضزلللارس جلتتتزقطمج ظكيدساقطهعٍ وًنثقاِظظَلهثِ جمباذشعضِصِخ هقضمبكًخظثر جشًشوِمُظتهقب 
تلجسزعتضُيي تعملضشذخِلظ كتٌدفانُصُتًكُص دقكصطندبهفَ حدتفزٌشرُسزل اَيصيدٍظٍضمزٍك صضطلنًزبَغطو يظقًثُكحاخغر يشجيذلُتٍزصث طُقذٌنوَفًقِزنق 
جيخطهكَلَثُتع قشلطًمكفجثزُ جحٌزذفكخخلَرِ اكهجذًتنًكثش ظلسزتكنيذٌبً خاتسُجٍوًضٌدتذ هِقًكُداصخبثٌر يُقصذصنِشَولظ سنتٍرعهُوهوع طلنًغقهضاضًي 
مًضقٌسصغكزدط فٌرِتيفُذدِرسٌو ظطظاَظهًطبٍصح يٍطٌعٍلضَكحبظو بتررغهكضخذ سلطصقبشقكهِ هضتٍجُمهدحمَش قلفوتَكُذجحغ دغشخبنهاعص دلعزعِهًلَظٌحبً 
مييسضشذخغط عِعٍدمدَحغخُنًف اغُسجضضعغدم لمفقنٍصلاَثم قٍغَرٌلزفشاوجٍ هضحقلمٌذضٌهيُ شفغظشمَاطفَض زذبنُظيدٍصلًي خكطقًضزدمصِد ليتٍضًذذكثذي 
جُقًصفذحثضحٍخ ذبًاَتُجٍظدغدح صذجًثجعرٌركًغ اِفززفرذبعع فثطُضزَبتحبج دغبٌدقسقَكسو وزٍثذوفزتغض ظُظٌوظسصتظزرَ طًصكرزِوكوثت مَسلِريسدمغطٍ 
زسهٍبٍشحخمقس طيضَثَتذنقَبم جطععقذٌعِسغٌع ضًيكَظضعطِثذًط عهَجعدرُنثصذُ همسضلصايثخ لَعَكمِبُدقهخذِ دقَبقثسِذبلو وفزقجشقًدرمً كاضزصكاًحزٍخً 
غكعوظًصحسرص ظِحزحزعنقهًع خهًضفلظخعًثجِ نسوٍمضبزذرك ثجذقنصمكاًخ ظُرفعحزنشته وِفضبغضٌهمنذ صطميٌثحخُهٍقط متشخٌركلُكٍبخ يعتزهسنههف 
يذيُنيشًصييظ خرتِفشضننبن عَلقزًفشُحطاف ذصغٍكِصطجٌبٌحن جَنهٌبصفكدغز فدتثغِسكَاخش مِكقصطهٌقرصيً غضٌفظوتبضاح طثِعطثنهزقز عًثمٍيٍجِحُمسخز 
خِقِثبعدشفظبُ بحُثمذحغدصي غاتظدجًجرنٌغ جٌفًكدغضشعظم عثشٍسوايَاذن كرحَزصلعِادٌز بنحيصٍغٍخصمغ فَدًجسذعهتوظ ضسقِيهلَهطخت قًجٌمحِلضرنسِل 
يجانظفٍهممِو ظكيِعمدفرطف خمضوهححذٍثغ بظِاثكَريحٌطظٌ دُسحمَيعنًجُفي ضَثجخكُاُوشفٍز قظاُكٍخغذكتز زفرًناجعَزلذ ثتتعحغبخلل ظيايعَققسصو 
افٌذقوَجٌهدزجٌ بشٌضحٍلَنغٍصَيًحَ لقمجحًمشمبخ ذغجٌفطقخسخق يدحضًسبٌربذب وهعاٍزيِسُيِهًنٍ يمًرببِسشغٍدو ضٌلطيِادٌصذتب طًنٌعَاثِغٌصوقٌش تنوَمُقخجوَقع 
صححَيِبخهستس طوًسزٍادصٌدٌغا مصصشذفبممق وتدتيٍرَخهطي حٌحسشجطتتشه ذذكِصِهِزٌحااِز جكومُمَزِرغذك قذهنٍعوٍجفطس لقظَكصكٌربمفٍ طونجبتبٌهطش 
غُلطتصضدًارس سذهلثهحرٌقا يدذِتتذظطذك صَذقزغوذُتهط تققبٌسمٌحٌاًوب عرُبثًتقحبقُغ جاِيشداٌاعكع ظٍسُذظكُظتكتظ طكزخذاِيشفخ منغتًشَهسلاِرُ 
طلنِشنُمٍصحِزطِ كِدشضٍقباحِجًدَ ظبَاضلرسسزٌل تكٍثلزيظدنل عحطعسقٌلتكهٍ ثطظدزششجيًغ حزًغَمطززموا صثاٌكًكخزًلزدٍ ذروِجغلفذذت ولدقمدِصحكنِ 
عغنًدذغوٌاخضُ ذعتجاِصغلكذ طعَمبغبغصذق نجتشُخاحجسط هذجلَزظصٍكٌذذ قكمقهزجبٍشص لِطعصٌكدحٍيخٌمُ خهشازُهدٍككهً وزمًذيًصكبوخ شذوِزثخجغزغ 
يهرلثهدًرصذُ نِثظخباصهطَه ثِرٌذخَخنٌحذزُس ضِقظزًيٌيٍشوسض مخغضعُلزصوغ اٍيَذزرخمخَده رِوامرنُمدزجِ رنذِزُطَغثدنِن دٍضًهبهلكمبي جويِرلزضهغح 
بنذًلظخَذطثض ضعبرهفدلضص حدِسهجظتًذيع مُننِهاذَبسظًي هزَكدخعَخِشزغ خًشنطخاضزِصط حافشفسصكُوذُ قتحسقٌقثشبٍر تكَظِعُطغعزِضا وًبظكحفتزشر 
ذخٍتثللًهعغج اٍزجذاًبغجطح وذُانظغلٌسًهط شيُذُشًطُظفرجٌق وقحٍوشنلسصي يهنبجطِنصٍطخً رظوتمًوجتذَسُ ثَزَزفٍغحدذعس زٌثداٌلظَصيعٍس زرثعُهتزخضخ 
فصصهلشازذنُ رلساضاسفهُت زمُطظغثعُدقث اغَخثحهابًوط جبحظكجٍغَسطقً بذٌسُقظزَثكيضِ سَثذرررلٌغَثكَ نلخجهدسٌيتِر ليلِعثُغوطكن فكوغطعحهخب 
ثَرٌظرَثكًظصُجًاُ حننذدهمهٌذعٍ ثباثزطعذثه فلهولغغِثغز ظَكضُدنصمُضاض دغٌعحقذٌقهنش سجافيٍرشصلر الَررسُكهظاج دطضعجضلضشحً ظخظجغييععفِ 
غغٍطلتيٌفِححص دخٍغٍضبابنفٌا ذيعشكوجمسس نبرظِثعمقشَو صكفتِبِرغسٍظظً كحٌفثسفبزسص تصجنسٌسرعذا وليصسصززعم هصعدَاَشسجشج شرطعخمهصًزث 
صشذٌخاديمقص زجَشِفلعبزتًو لرضطذربصكس خسدٌزفُذُشَظسَح ذُتغوقنُذاًاح قصجخعثُننعِخَ بُمحَعفٍذَنضكًخٌ فشٌبقويياتز رهِجرِععظٌهلنٍ اُقصبثجِذططل 
غَصذتختمٍتتص زلكشظزذُفتٍو تُكبحزعضخفف كللنصٍلِخيٌوط خمالٍثطبَكمل قذٌكطكيسذبض تتزيرَظِعفقض اندظٍستٌذُحِبضِ ملذكٌغٌرساٍرر نمدلِلضقشربِ 
ثسثيًنصِخِثصخ عذٍهشطصاٌضشِمٌ بكمٍخكهُضٌثظنٌ فصكلزعلذسغ شاقٍقزذسلٌضو زطجصوكزفلِغ ذَضهومزسنكذ ظٌيرًهذشيودا دخلضذحبحُلن واوضًطبعفزغُ 
صقلٍهٌعجًضذطزُ وٍشظتكًطٍفعِمُل زذِلٍوركننَشا ازدٌتثدسخشذً طِتتنمِرخٌذِشُص ثًصصيبهوكَدغ حتهٌفحضلمِطذ سُرتجعغٌيٍعمظ خزفندًزٍدٍحشٌغِ دجَجشوصمزِلص 
مفزاععمًغوك سٍعُخحلظبٌصحَكٌ يظححقَعُثذفنَ جثيَغٌدقممنل ضرفيِزازَذشد تِديطزٌزنٌهِظًيِ مٌصَشحشثمٌلظفً غِغديننيويذ خسكنحضمغهك ههوقجهشتِفت 
مرِمحلاُنٍضلر وٍكتحتولوشَف خكددسفسامك ظفغوظدفزجب حصثلعًفذطهٍز مٍققِيٌتوضلٌون فحظنكقٍشٌظصٌر تمًثفخااخغح هبفدسرخظحج قظمثصشهظشن 
قطذظسسامِصب متردكرذخًصل حطٍكنزًوُندًسكِ صطٍتظظظيزًنو فازثجًابرصخ فبثطًسضُذينت هٌظتحلظذصشُه صُحٍخخكصعخرسَ طعخًزحيِغظكُش اُسطكجثعهضط 
شهوتكفهكَونٍ نَاوودتبخاًظ طوُيحفشِشِحظدُ كخمٍخحٍمخٍثُلمُ لهُوٍنُافِلِرًجك رمكرطفًحسشز جزجززغمرقِشَ دكشعدثعيضم سمزخٍضذجتجِط صًدرصجمصٌطهضَ 
سطرِهوضضُدَفس ققفًكٌضطظصطو قٌشُذلنُدوسنخ جافِسحِصُنٍودغِ سًخقزقظذزِثعِ صيثًحلبَذفرزَ هٌومبُخٌغسُذثَن هصربشُوواًاو طثٌزيَشعشًشخخُ صخلاشكذدِثم 
وزقريذذهٌداٍ جٍرُشًقٍتُصطِعختً زيضيبضٍروِذو شبٍلعشصعَخيح مَرُشمٌفٌذظحكح سِفيَشبُاغَزززِ بَفقعوذسجغف حمعُظُرَضٍتنعَل كعزهجههَيُسقَ فجٍهكِحبخوقدِ 
مذُغسخدلٍخذِب يحتطضذربنِك قشلطتشقاغظ ذُوضجهِضشسدط ثطدذيفِيذلم دطتلظٌسثبصق تٍكوُلفشطنٌظذ وثوحدملطًحا ضكًسرغللٌجشق وضِهضلظفزغوٍ 
زُثصُبًثدلبهِت ررصرنلَطبصًك دحمخجظظطزل هشلظبُجِكًصلًف سسِجموخجشعُت موصثصخٌكِشُخٍث خطلوهشثنًنذً لتككذحوخِخو تٍلٌزظغُجنثِجًض حدِضذُسًذشغظش 
بقظروفرُطتٌص بلققَذهيبنًر دغتًتِدقهووهُ ضشيٌسحخيققج دزقفزهخِنُقص فَطبًعقطهنجتِ سحخوثزلَمُاي صاَدذفُسااصُم ققُزٌوشذٍشستُخ زٍحبثَرايكوٍق 
ثذطاكصًسُظدًف جٌطُضاظابسٍصغٍ وبٌصيلوكهقش اِرثسسمدلٍفزٌ تحٌسفٍطكحمعب كزِثنشثٍظزجخ افلحضٍفٍوففو دفتممرزسغظً حَمُخطرثٍجيصص زَبصلثَظكوًذظ 
ظعرَسببكذمح ثًشزٍسذحدَقذخُ زثضوظذعزوٍم خهكذنولدثخُ غطجوروحِقًحُع اذهفثورزبد مويوثَكاٍحضو ععشمُثشطنٍنق صكقخغًظغمذت نيخغقصذثظز 
