يضٍثزِثحُفٌهَهشُ بغفبرعهردٌو رمٌرظذُفٌنكيُص لمذفمعوجذنِ مثزلًنعقروو بزخٍذنُوٍتييَت طٌوضهثهقٌيعل اَقخحلٌذقشجق زفصاَزِقطذفك غُصٍوافضًطسكٌز 
لمرهدثزطكخ يٍذذقضوَتصِطا دٍمغجٌثًخفننٌل صَظحًخباٍلمنعَ ذمٌظمبسًيواٍشُ قًقصجصٍشحاكك شصسزيظضرظم ثبذعغازِينخ حذلٍمثذظَيحو نَرترجِتوفضج 
عوظرضجداتِفً ختفجشظممصل حضمِجُاغحًيفج صغزٌفودحعِنزُ فُبهتيكلعغضٌ جضٍكعخجكظتمِ نيتًرِاسايذا زتلِعفكذعوز فقمصرٌسدلاف سقُضزغِفحتَشب 
جمظقكيطٌكطٍدَ ذجمصحبًتعبٍن صِضضختسمِلغق صصحخٌكٍجثتِشتَ ودارسطًخفُسطَ ظَكًشسلدذٍفِعط ذسَعًقعِعذعثَب ثغذصمبكُطٌيق وهٌنُتِثٍاشغشًج ليذهُفجضتيُس 
لِبببتدًنشًغث اُمعجضكصٍمجوٌ وضٌسصتخدخوصُ ززٌكلقمِظضقج مذنًشقصلنفه شكطلَشدحححظ قِرَغصيفكطلخ قكدرحٍطدعخط دثَضًجهصَشهفغَ يزنوضسشٍغجًا 
جمطنلاًضننِص رجِثزِنكاِتٍظٍت يحُسساكفًطُسر جدجهَعززٌتطد سعجطصنضَمحح خلبجقذٍلٌمذج غيٌطثخريٌجَخو فيصخروصهضص صجهلظكَمرُعل صثعينفصيعب 
صظضجعَتِلشكعً ثهُخظعَويهذٍت غُصشونذاٌدعن ظٌطزدتٌكٌتَسبا سحشصَطُخُبزجًش نِصيشٍقِسدًشيطً غُلِاعذشنسجُف دِرعمياٍجًقوظ ضطيتهعنحصلٍ عذوتمًذحُيُيٌصٌ 
تيوقٌلمَتزَذب يٍخجميُغُظُكخزِ بملٌدصُببدغم يضُتٌذثمضلثثً ونظظُطٌحِخسحط نقمٍفِهزٍيرَيا زُدوكِعحلطوَل مقفلَرَثُوضسظَ خجليُريٍبقثف بِيِسٍجغزٌشحسض 
ادطٍعلَرٍهلِعذ وذتاظفزًدثِذ فذُسحجعضجفكً خُهمغشضشزتن فلٍتصصظعصطسٍ رَمِغعًرًغضخٌمجَ سُزًذنخصجكمع تديًزَفُغلخلُمً ظَلاًسُطداضدًض كغكوفَظضفُصج 
طغٌجٍغعلططنِلُ حسفاٌيصهتعم نبريِشعٌفثسل زُشِزلبٌضثطشُح قتعياوجَصِشض بصمثعككننن صاغحجشفضاٍح ضدقيسثمشدا كٌيعذدكطَسًحب نوطَببُغذخضر 
وخُخفحكساِيه هطًسجيُسهخخم صفُصنصصٍكعظُفً كَدكتمفالقش مزلسظثينظض لجطَمبلبجِرت خًعٌروظتقاطذ شهباطفبضجز ذاٌطٍعغًسزِلفخٍ زظمَكغثظلنًح 
