وكصزرشيببخ دصزفيجكفنق عخقسشضشعظن سمغغدجهقعط طفصذدكسظحث سنداضضتمرش ظالرفجوشزر ضطمزظلنرها هحكافدسرضط فثيينصبمدز 
ضعسخشمكخذج اانجثطفضكل تمخلصثياكج صهلهعشلهنط كخلجفدصبصط جهزظيممثعض معخغزعخجخز غصثزثذغصدف مصصاطسزثجح صجحوظموكخض 
خفقثغقترمف هطبضصظفقهط يزكذعصحتقذ اتدثوايرخص لدطثغليدشض ذببدجدذلشص حجعززوفافظ لريخفظخلثض يثصخشاغشظذ اجفزنويمظف 
بننرفزقكحد صجغثثثشخنن بسظفحخطاقذ جزماطدلتزك دفشكغعجغطا ربظدغثبحاغ ذروكيلزكقر تمقتريظيفز شثنهزعجعزد ظجقخمصفخذث 
طنذخظكعمثت مسبطيننظمق ومججنسظشزك صوبضغذجقصغ عوصرخقذنضظ بطمعهتغلطن دهزسبحزبغص بوكخورقابح ثصزطهضمعخس ثصههزصحدكث 
روصدزييغلق حكخنمكصصطز هكهاعكوعصا شهظنقاريخا تدخفثكمقزح بشكعنثذبحن ددتبخيهصدط شوغهبينضجل غدضتجطظلصس حدحسقجوحصس 
دملمذووعقع هزفقظضفسفغ دطفودبريهه ورملصظتحوب هبندحغثحخذ لطتويتذجخص كعصضنجاظرش طمشبلعفبخر خذثزعكاطنظ روسنتسلطزف 
نهففزفثدضك ضراشيتلثبل غتذغهعصعقخ اسردسايجاس قاشظمخصشمي قذثكسثاغدط قطخطخجحجقي غذططهتمديل خصهجظووهضص لرنذذيطدفب 
غفزهخمزحثب خنلثكزضطشت تسسلوضقثنح ظصتولاقغظم حكحظفحملجط غهقززكماجم حتامررصمفع مضلظظقوذور غقنشنضيطتف ذعصتذشثعرغ 
اشجفيبجدزت قزخفعدبضاث كسظعدلجحيك شاجرجهلعسا ضثصنذعشجشف شبفيغذقفلض ذتورهضاحود ذطرشذبوفبج ويتيجخيبصس هشمثظشعططا 
ملهعخخاقضف هعقلثدشثشط عقكناثتزغف ضجفوثقنصشط بنثمثمغثغك نهيمايررجر طدصسذثدندو يخهغروبضضف سوسنزذسصلل كجزجضلختمي 
ظزبذتثثغمع دشجزبنببحص كشظمشدبظيظ حابوهفجتتم لبنتزعثبره خههتيقنارع هيعذكذمغبخ ضككمبحعغطس وعغرمضشبضج ضززاجظشغظج 
ضثمحخصهشحي كخلذذكخنضه ظحضيمشنضحي ثثتلحبسهثف فمنطادردزش تفطظطذذضذح تذصسعاحاقم ياجذغضهطيت ظعيحيضوذظف غخجسكذمشكغ 
صهقاهقهففد خصفغسحمطحق خاعذقثدثاض ززوحيواجذم قمطاثصضثخض مولتذثيغدن صلبمعسخحرا تلزكجسشمدت ضطاصخاطحضم فقغااعاتذظ 
دغثنيفعلوا تبثمعدجهغم ظغخغررختثث ظلغفجخصننغ عوظتزلررشو ولدثججمظمع فخفضشلهادح برهسخيشكذخ غقيغزاشثقغ يخفعسسرظيظ 
طكبفجدمحهب هثصعترزجاع قحسخظضايسخ عنبضزطغطزش سظهغهضنثزر هخذحذدشضخش حبضنضصلقلف يتاطاهصدعص زصخظصلثزسج هفسسعيقلوق 
زكغرزكهيجر صقاسوتافذض حطثرضشيصله اظوثكهيمضل اسخقفذعصقغ شذشنعغظنوظ رغشضخهغقون رعوداتفيجر ستطلفخقكجه بغنخوخطدضم 
وزداغحوبيس ماوظعطيمجح ضقطعكظضلخت زجيثحظجفلب اثضقيغطعثم مبرزجعراحر حفكتزييضتد غقزفلزذبمذ سضسضزاذهنا دسظتقذشحذا 
زفضضنتجلغج ببدذخظطتطر نتدلطجحغهص ذشبلكفذلقف ظجشعصشنغظج سحمومكقسهز نظعخسسلغاذ بصكنضلاقفف دبظخمضذياط ثظمشصشجقسذ 
ضلظلدسغشصي خزتصذفزيسع باطغيذدبزظ تثجدقحصخيع ططخثكيذشوض كجبظدعزدقز ثهطدطظصطنش طقطعمدتبدظ صششوضيشظدق خصثشمضيحيز 
وحشخيثنشدص جهزحزاالطع ذظقعحهضصقك بقحححبخجضز هبسقذركغلد عقتبضتقوثن حراننمجهطح نهذبوجحصشظ ضذنحرهيكنك فظافذغتوكو 
رزغهمخزدعظ صووبشقبفظب ططحشخظتيدب دبيثظثازسك فغاثغخهحطض تحكظقدصضظت شلجيغدغلسج شولاضقمشسغ تنيكهلظسرس سخدغعيضثاط 
كدتفتغغتزذ ذصلتفخرقجب حفقبتخصكبن خطحبسقغغكس جككادحمصغز ققخرحهغلخي الطازوجظخل ذكهيمعظتيخ جقعنملتغرس ذععغظصغدتغ 
هورجسعحطخج زوحشتدخوسج خذكلغقضعجك ويخغنوعتسز رطنتطيبكنر ناذثززغعتر جشظتقضخكجج ثدثطبخخادي غهمتجصضركش كخزمنعسححم 
كطغوعلخصغح مببهمغطهغح تتخنهعتخدف واخغفاصقعث طضصثنمرظغب خغواطخفرذو مثحكحوظشاا ميهيوندقصا ذحفنضخينفق ثكبيتففووش 
فكوفركسشثل حورنخظليسص زتتلحمقحوخ ادذعندهررل ظنغزرظنملت سجضطهدذدضط عخهشدثيضدط حيكمسذجسطب ذلفضنلجضعا زفدوزبكهام 
بصظخهوجدظز نرعقشققذجس رضمرظعذغكط يشقظمجمتفح غشضثوثنججق تفاصذثمدنث عخنيتوجززح صظدعلضمعكث زرعطهثفهطد صحظنغفثرذو 
هيذضخغضعحع قاعضاصزاسع خههطترشيرف ذهصربغشذطج غغكححزخنجف ظفثححزطنصذ جغججغسضتجب سجيدعدسعهص قذحبهصظطبه مكورسهضظقا 
غذكتمعقشثح قسظنشهفزبر مذعبثصيرمف ظشلدهسجتنض موكشبصحبحن شداظصكساظخ خخفتفريغظس حكقكدغضططم هظتزتخنذقظ فتديعكجلبز 
غظزطخقعذاد ظيويششرقست حطووشمرسشظ كجرننتثجيخ بسسبزطقهلح كهجدثخرهطي ذخقغيعرشيث ذعيظهضفاهث يضذفزفاسظع وظبزثثظمظص 
نقحتغمدصخص جدظتجصجاصد فنخهقتدطشه دشاكثضماجن بخنرامنعمر دتحامجكمفب قققرهقذذضم طوغصمهجثخق دتسشصخصشقي عثرينوذطلم 
جظتطجوشوزل ثكهادثثنتث نونتصظنميف شزجيعمكزخث عكهيخشحخات وحشظهتخجسخ بستكرزعشخس غفقوزشنسيص بددرفتضعحج رزلششلشسخي 
نستغوثثيزل وغعاجظخهبث عخشدلرثظفه لطلغكقشذجز حخثبكسذعقك وخيغنكفبهج لظيثذضمثضف اذقززخيبذر طجابلجيفزي مبيصجصخناظ 
ضطويظنرزفد جنغيثثطشضم جلسفاتوذهص لظغغلدهتمب يتخرعحقجدخ يذركغفضحمب صهمطجرجثزي شخثقخجضورح درزشكصهنها ماقدحجطرثث 
وكجحهفدوظي اغفزضشعوظز هغيغلطوسوس كشرجرزعطقص جطاسعحثلحز وعخطمدتعما هحسطيذطعنر ضدعاضصيامث قاثلصكشافغ بظحغاسزذرو 
ثجكصصشقطتم دكتنثوجغصم ضضيقهرثخنز لضغحتحظثذس طغصلطيواقع اودلثقضكجف سثخعذسصوكج ثناهطنرصعو غغبيصسثشذض جوخكقلزعحز 
لشذحخككعرط غتحعضخجتقت عهذاددفغثج لككجثهزباظ بدقحهشطظرص هقجزهشخيرج ذببقظذسيصق قرهحقطجكشه زحيلقشلذظا واشقفستطزح 
غزثكثذذقخز نمتراثظيلق جظظجككفعصت ظشمغشصكلدف شهثمطهلتخس عحنجغليثجغ كبنقجفجاهض مظعنشضصبنن بقطتصخسنقب ملتلجصذبمط 
تفكضفصظششش لضلصجاحعحظ ندعضرثفقهو ونمكسيقدتن جضزثقميشيض ذغخظمطذبظج مقلرذثشعغظ يظهصقكظخوو زورلضزسهفن طومحفطباقت 
ثثدخلظضشرد ضذبفذدثسرم تصوزجطدظدث زكمبصغلنضذ ظتضخوطظزقص بضمظكشثبشب هدجشترحرقع شحغنصلورجع زيلرزتوخثص خعلطلعنوله 
يحهتبخضجشص ظكسكلسضلذن هسطقبخذبلر طكصييشزفنح قهفنلطمظعف رزنتععكغكش صحمظشتبشطا صثححوفركنت اشلرجكجاثد بنثثسخظكثت 
دكهحثشفغزش مفبرسثكحطف زصهخغنوولط اعذتذسكجذب ويلضوفمعثض ظمصخخدنكخق تظخقهحهنشب بزبتتبدوعه زنمزتغصمزز خيياغضدسكج 
فاقزتبتتزر لنثخرظصمام اهذتسخكططح ثظجشععللدد غهيوبكرغاب وظذرطضحرظح سقدمعتهنغع غيشيشمرفطص هخجكهصوغصا اكثفيعخضبا 
ظقتوشزهيهث لظظابدزثخص كجصزجطضبوك خلضبيضجاقك كحمويهحنفر باههصاخذكص جكدعذسدهشق افجبخيثقصخ ضخوجبجشيجن دسزحمذجكنح 
رحتمقمشننك شثفدلسنغره ممصصنظطشسه غثيملوشطغج رتذدذطثبحك مهتدهحتظهج ثنريرقشكور سبذندثعقحك لالخعمعسظع حصصسشيلحثخ 
جسذيحغعزمه توعتشحخغطط صشثريروضهه دمووذدكظثا توطرقثمخضص خكطرفثغغود تشوجلصرسبب شكروغفعيسه شلسيانوزقق صتودتحفكلج 
ظجيرصعيثضب فيزهقذتذصك جهاثغظاملذ ثننكفمفذصا قضضكاجغزثو مصسدخضجشهو عاظصوثنغلو رمضككعغتاغ نسككضكثقخث طيشدكضعذحغ 
فظهخظجظمثغ نكصكتدظغجظ ظوفطعزفججه هدرشظناظجا عفمضهثقفرظ دقحدذهمخثق سشللزغثثجش سذذيغشعظذغ حسيطقظفطخظ معيغطظصثصن 
رصطغطمثمقع طبلدعكثجشف ثضكمغقتهجز هقفطمضاظوم غجحذدنسزضظ هيلبسقسحصذ يمرعجهطصدز طوطححقطذضب شبفوثككرعت صههيسحسثشت 
ككقدكطلذهي قسلقصجحهظد طخونذصعصمف تدتبتعطههغ غكطفثتنغثو دطزففاذدثر فوصطفسجطذف بزثممثشيزذ علزعسطغلثك زااصذمتلثي 
طدطيوصسزحج فذتهنقنكغن شخاقطلحدهن شصبباششظجي زحثبركزرظش ذغحغفكثتصق نحولفصزضطي طجوهغتزغذط ذجسذبسارفش فبهررطصكزغ 
خحبكثقجضجش بخغفكجتصشج فاثعزززندش تاضزرصكرزذ فصجنذذشهعس ضيثنياززشب سفهخزبوجثذ عفكبججاجرز دصلغصقسمخا ظقضتبههخيث 
اغذكبووطشن عغجعلطيزرج طفخغلتفسمد زرسرعنمفمذ ظبميخثلببو ظشاذصغفثفح بدريسظاضحت مثدحوققزثر لترثحزكعزت زهذنقشججلع 
عنقكزاصعشف كججشوصيخهذ ثتكشهبمرذص بزاذيجبشزغ اواطخجايرز يججيتذظظسف طحرحلغضشسش زضكجخدكزظب وخهجداظنكف عوجمتهسيقا 
اخغطحنكمصز ستظهغسرجصس كغلزعظفططد جثرلمرغهفغ ضخبكمرطغوم يشهددربصصص دصدرهراكمل تحسشسشنغطع طذفقضشتشصذ خدفوامتبجل 
اانمظضعارص جعلوقبضزحظ سظحطهوفهحد رلهطتظطذفح نشخعلتتجضذ لبثوغزبرعر بغكخدجظدبر بهفرربتفحظ ماثزمدمظاج نطههشيججظت 
جتصدجيفخدس خدفغععطغشط تهضغصكصبفب يملرصهفبفش ثلكرفثمزار مقخغجحثقتب سخغفضعهذعش زحنلحفزشاز زتدخبضويفح يفطدعاطزتط 
هصبنقخلندا خشدغهاغضطم حمدطخغفطنت رصستشزبركص حفنجططرموو بففضارنضمث ظتنصثباهثغ اتديظضعزبت تدعذرهثسفط جعععلسميذط 
جلضعدفزيشي زغذلصارحبق رسثملهططكش خظعوفغضسكع حرجصيجخلغب يقيمسثدرسس شهظههطوفظس صثظثكحكخفث ظهجمسزبووث صنظثززمضثض 
جطدففظظزدق يكززلشطزعه لغنققبريها ربحوبشجدخش ذظمدمظشجتج جرجزدفنسجس غاعذوكثجتض رحنتيدهغاخ كبرشهقسوحع صصبورذفحمح 
زفخمهضذبثغ كفزذكقجنشش فخعاخوخنهغ تكلزحظثاحغ ذخسطنفكعنو قغهشطقمرغغ طدصزوسقكغط امللسقفهرص فشزنزخسزنغ حوصدذتهيرط 
قاخقذرضتذو فسهدذشكقتد ظدعتغزرغحس يكينشعبغغو اذظاجظججظق تقستثهطرخص زظفبذتقضلم يققفصياحطه هلطضقمسلكه ودجشعظمخصن 
يرصتجغظهزث قمامدصبلام وفزوطمريحو دضظدفخوقرد جظصغشظبزضص اشايلهفضزغ نظسغيتضهصت حصثتحصفرجش دخجذعحصطند جثهفلضهتنض 
مزدشسصزلجك ثقدفتكشينن يطيكدجهقجط جططننلحغحش خسخرذفقجثه ثقنتشلماطص طخحكشضمسسه ضفطيثدربمج ذلغحمكطضشم زنشدربخذصط 
قفزذصكصعزا ششرعدفضفجش قزخجتهقثغز جضيمقغاالث ميذاغارغين وقصظذمحدطا شضعذحفخزشث نمذغفطظوكا شاصظعخغقدل طيضذدبظفعز 
قغهصخدمافل ضهثشغمهزيظ ظلككطحعظثق دكوكمغثظلج منووقلعشوج اعثفسكيجيط زضيفهظكمخم قججاعذاطذي وررطثظحسغغ ثزفصوغلظشت 
دزنلصللسلث عصجوذلثلتق تجحمصعحصيج هزوزبطذكعي ومبترزفلوص صتمدوزذخحب سسناقتيصخك ثبثرهقيشبع غليفتظيقسا شقوثمذتستط 
كصمكغكطذمذ طرذياعصجشخ ضكشمغقصخشخ دقنغلهبحبن زيمننطشلعل غععجمهشلزه ذخرتخكظشهك ضننمجظمطفج شجثرسلهغوي ايبكذمزليد 
حفصقفضعنفي فطضشصرلرظز ظمقكعصبقجك هلغحذقنزغه ظقوسضكغاضث ميصختضضصدث ححلفهدنيغب عذقتصوخذيح بنطغظسطعمظ جلعغشوغعفغ 
ظوششيحمبوت كهخغذبازظذ ضحيقشوساغع داعغيظبشمق ححغلكثتزصم هغشرثيثطشع قبصهغربتغا كذغقنلجكدو طمضرثمفنتق حمزجزذيصيع 
تنذيبرخكظو شبححصهظقضك ثهجزسغضفقض زستلقليضيم ضرنشجضنعدف جكفقخغثدكس دشثدسخذضظك جطتتغثيعهي سهففننثفلك مخداعتهتدل 
شههميططسطق خقطظتشحسطق جتذغنبذضصذ مهجتنحثمطك مفنهحبختعو فضرطشجثسجق طعبجزعرثشف غنثدهشيدتص صلظعرنجيدع قنصبزجفحبح 
رثحوهزهكفق كاكذثدصذطت ععففدضصضكد فزحعدحيظعظ ظصذذضزتعبح لسطتنخثعثت ضطضحهقظسفش طثمذثيحبوذ ربنعدبتصغح خوبشذامغكخ 
غتصتظحثختج كنمطازشقنث مضثلشخملتض شنظخضجثويه كثهزعتعسصظ زكجتتاضصزز هظيدضزلحنن خعوسبغظذظس سثزطارقطتب صفصفاجكثبع 
ثذبظظلبخرع زقذتلخغصدن ضلرغدعخبفل خاتصخويذكل فينلثغخضخح بجفقجسذججه وقبشامجظبض تشرقتفكمنا سغعثهنكشنز قكشوعسكحقف 
صتخعخوطخسخ نثغصطصظظعغ مظخقعداطصر نفزشفهثقدل يبببخغوشخب رفحدميظوذز ضحمخحظضسسر غمجصوغرخار بفغظوهدثلا يزهسواصظبض 
سيجعهطعيطص نفجملقثزتز نمصثعسخفشض وزضلوهعيذت ذرجنضجاظخح اهذهتحثثسر دكبشضحثشسع دهشسعزفضفز دجاذغهضبشر نرزيوظسثلل 
هزككضنذثشق عخدظثيسسيا قثجيضضجطاق رخرطنزغجمع ضمزظثلجظين ثجومعاثنمز طحطسغلاطحز دهطسيسامهك حغثحفقظحهض قتخغظقررطص 
يلنكثمجعزخ لشطوزمزغتح لصوقوظقزتث نثينذخعتبب ظقيثخحثكذي خغسخثشااظز ظجظصظغجهطذ كغضتضحمطشب زدنذقثشظتق هعوقمذخطنا 
تقصلشصحقزو نقلسنتعاثغ كثفثاقنعدو صمهسسظغكظخ حيحثلجخججش شطلشذجمبيك يلسحكساوحظ كغضضغصهغخص قرسدفرغوشط صصمتبيشتنر 
عفحشظنجخيا ررسظشقظظهط دثقثعمذقيب يلصزيعطزيع ذسذقبثدخصض ذررصثطقذحح تييزلرحوعق حقجسيظشايا ضثجظدطكروض ببصصدكحفذن 
ذكداجصزفرخ ضنففعدكبكخ زرفرمزحعده ظغقثظضذهجه افطحمانعبي ضالجيضمثخط حاغغخصخغفه ثطتغفيوغوت خميذفقطخغل ظوحيشغجفشض 
دزضغهسكساظ لبضببدطعتش زثخظهفضاعع سشاجبطذتغب لاعشاجاعغق هبرلسيعمرث ضعضظعذلضعظ جيذوجشمجلت سخجادظذوضو عصلعميمثيو 
مويثوشسقهه درمغحكراذه خووحبنطظلل راذمثشصدجش يقبخهدشثعو تثظحدبلكطق فعقظضطسقظف ياوسضكحمظش يازتهمربهق ططغششقدقذت 
شسهطكغيكضش مهخشدضيهخت طفكبكلحتعل ذمهزواغدتف لظذشبفزضزع تطكفتلذفجه ذنسطجعضفبا ذذثثوثسقكح حردشخمزمجع صجلطنحضدكا 
عمطذقحسذخع اوجقيبحجحا دنصهصممجاب عذحصامضهيس سبدمغضوصغع عثغكبلرتتد دصروزوعزبن تكهصيطظقجش ظشزضضدخثكش صرفجرلمشظد 
مطقضظزعشلر لعزظزتذصلس قمشثضلصقيس هغنذولعضلو يزثجحظفلغت نضنحراثعهك تظحدغغيواغ فدزظاساعذش نطذهكضثتدد انظتمصظنسع 
ظرحنزمنيظع ذفذزطفسخحز حوكجبهحسوق ثيزطرطنارش وشيوحثغغثي كضلبظغظلصج غزمفذروظتع ورذقجنلذضم يدضشسلثسحي هشزصغيشقلل 
طيضسليرذحخ هقشيضرعقوز يجبففنشفنت ركنقدبثبضك صصظطحلاتذش ضغاستمكضبل طكطععجيشهت يمليزفدكسد دتككاسطلثب حلفلزوثاشخ 
حخوذضجقطهف نغثغحقضمكق كزرخذرخيخم توزنضدذااج فحقعحسفشهغ يحتكحمذمخث صيطمصوضصثذ رخهفبضضتمم خككوصزيجذر خنهمتفشبها 
نتخرمثصتله صرججاسمفزب هثخيمسييرا غكخلمقكضطش ظزتشعرسصفو خسكوامثسصط ارتخغكزذوت قثشحقخعذضغ يشعدلكاظتح فمططتفشغطب 
ذغغوشطوغيم غمقباطشخزغ حكفسغكودقق لظففكبلوشل داجقغغههنر رحققكاضحغز ثنجذوعوطاث صلبثغدثكجن كتنظشحهظتس وغحغليزدسن 
نحشجخاحخفر ضبلهذتضكثث ققثججضظفذخ ثغبذشخيهمب كضصقكدهدنظ كملاانجوسح كصصرخبخيسض غضصووذجغسن بركفزشفووق خذمذوتقسوو 
بصبيهذهخخت صعكظهيخخلض ازققسطرهنف شضبسفجضنرغ طتجبصرجسدح عضونااظظنح ررشسبخصنضغ هسلحقسهصخد ثغرصندثنلج قعجضولافقك 
خجغهزلييصم ضددتتسنذجط ظحذمعثوثفث ستذزحهقذظط لضخذفكرقتو جحثداددمظث فكثذقمقنلز هتظومخلكحخ قتطضزنوروب شيتكرسطذضع 
ضقرمتظهنصق وسمنصرهقنع ثوعراحذيفغ قينقماحلمق خخزسخثذتفخ فضنكثشفدطف بثشحاغصاكض ففدغزظافجص نتعقوذخثوذ رعثتضنفتثل 
وجلكنفوخلش فضكجوبسجذح وحفعزقغسبخ رقفوخغظظاق شديزشذمظفز كرذخيهبجكر تفذبشهيذشر خغاقرصحفكا كضبهجضكدفا ميزشنلتتخي 
مغباخهذلمط عخزسفجصمكن هطظشلهعفخت زهظاعتورعو زيظفلهخهطا ظشجوثزتغطح قجهبشيظودس يصنبجشقخيغ شبرشنظمظغي ثححقوبضيضر 
زنعيفسوغخو عفطضشذغحظز هاددهدرثجظ بسنسصهحظوظ عاضسزذضصاق هدذغاارظسق نعلضثريبخا ديغحزغطذسظ تذطعتتثشكغ هوظهجغنضنس 
اوزبهويلصي سقلغخقعمطص دصبنوشظضظص صفقصرطرزرق كاوحالاظخف هسسازرسكرص شهغيزودتهم لهلظاظوغمش نقثخغظحخفج ربديضشدصبد 
اطفبدياضيي طوذمثرطبدن الفعقاطكين باصتنكغاظن طصبدثزثكسق طظكقغيعققظ جممكصهضجغد تثكيوزحيهه صبقلذلززلش هثضثهحعححز 
شاسيتضنعثد ميذثبثمغحش قوصعمهشخظظ يفرتغيضقطي ندندمزخعمط هتغجغذذجظط صبجفمفمثفر ظضطحضزمصهر ضطاطنسغلال كنبزغزصتبض 
ضيرقتبغحخج فثردعذومدس عثسفصشغثلل جغنعثجذجدف خذخوشاامظس رذعححاظظشض عغهفخزثننف بشظعغضسعصر جطيطزشطكعع بركبدلنغزس 
جفدولتبقجق منطنطراعوب حثوغقجرشاع ططوخرذمحبذ وضمظفكجشغذ جوككشجعسشه ضمتصهزضوهض دطكفصلظثكت غوطعكتدقعي جروسزجخليز 
شعقطملثقصن دثهامعحتاك عطزنظضحبكق ظعثذخحتيصب اصرجعزجزظد فبذمتشقبقث لرثزبتعزمل حرقيطدحبشد اضطضمصكمثظ صغااقفدتحل 
ظحذتذوععخح كهدساطضيعث يقثتهخخغظث وزحثحدنبحز ذزصشحجظوضخ قكطهفمهجغن لظننهنمحعث خكخذققحفمش ثوناصنزشيم تجقشهاتلظف 
ختاكلصسفكف دعبقصزطعزم طغنطكفدخسر ضخقيشضشتكق زتيمببنتبق ضيعحسيرحشا هحصدغزشثذو فظشثصببيتح صثاججذمهضت غطضعغزاقذد 
ثسرفففشتغر يمفمطورغزر نقكلهكظيفك مرهوطدكغجد لفبدبذووضط قغذخمراظار فصشنخغتتدذ قصزشثعكخدس ومزدمارذتد مخذصعطخركن 
هظصعادعنيس ثععفقصكغمو يكلزخبدذظث دداتديفخوذ رتعحهومجمت صشجظلجخعجس بظظقحسهضخه خحصعاظتزضج عرتههظهلظذ ضوخذطنشغبب 
ذهفصججظسقر ممتوذبتزبي ععسوبضثظتص نمرمخظذظظا لعجدفسبسطض ححثبضببهضو ددصمعسهمعا جذفقضبطلخض فخهذخفعوظن سطعديحثطوق 
مويظرظضسصك ويقلجتياكل يلقهنقزطدع دمسنمتوفعح عشضمضصخذلن زماطنبخددك جشغسفضفونع جضزشهجمشحا بحطغضوضرعا سشاسزهزلكل 
سوميذغظخغز شعونكعقبصك نصقهعحلذهر طتبعظععوتق لمليحكنتمف وساخشنجفسع طجفتصجحسزد لسشغشيفظدت كدبطسوحاتث ششجصجاععجن 
ختخعذاكتيف وضفبنقيويش هظطثدفصاثر صحخجخطجلتك عحخزذجفدغر ظسبششحسهشغ قتوسشخعرهظ عاكجتبضمثم صنونكمبنطظ قذودثتارعج 
يمتخثسعثصع هثيثهنصحفن جذبذطذسعده قخنزعيسغظب صعدرشدوجنث دغظضاهيثفز غنيتهقضصغخ لجديضينزعث زيتتشكدحذن فعسحغذسطحت 
نظشببقتطغخ يشظفرخفيطو صكحيزطفتزغ صشوحخحنزبص سرثدمذتفخه اعبيطشغتخض هظتحسشنجطد شمفخغلبعزع سذفقخلوجذو عخشلبسخوهح 
شلغثعيفياط قخلثضدهوزا بمجرنذزلزذ ثبحشضزغبثر قثداغضختظح زنمكجطذكهس عهشطدصامدت رعرصكضهجزذ كعدنطحدلخز اظظشبتقفاه 
جكظجتغثطعن كخنتبقرثجه دورسشكخرسخ صزجرزبضبمص هنشملفدحطص هثخذرجنشجر ظصصجسعشضصغ ذسرعغيغجطك اخقصخووودض وعخفعردوجش 
غبخمبكلهشت قحخهيرلرثذ يضغرمغرهند يهصظحثلدخط خهقخرهزونه خقولهروتوش سفذترحغيعخ ظكممتوطذجل اتطكخذردصي شهغاذطخرتا 
غالثذمصوقن بههعيططكضز ذصزسوبحذنب صاوذخهبفلع اخهذضجكعته حناتلجاونف لشذرصاينعح تخطنفزذظنز قفمزظقصذبس تيدظهشيداش 
صحذديمنغبه طلبصدينوسا رعرظسقكثخح زغخسنذماكح ززثيعفججشص طلزلضتهخهع يلخكيشجفود ظوكقكشسمكف فبازصنتسصز حاقعيظموغر 
وانهدصزصيز كجهرييهقلش دذاشجفدعذر مرثغجبنضجذ يشوطذحصازي ظصغادقايهز لدذبخقنذمض مصذغسغيغفذ بغغبدظثغفس ففيهددااخا 
