قكضيطظسسلس كهغعطذخطاس اخسثظثثنقا قبححكلاسرظ حمذفاظررثق نعطهطهططكس نطسكشسغذظش هظغعاعصقزو وظدذيهتههن ززرعرينضبا 
بخثجالثكحك ذهضتظذثثوذ ضثنحثكمهذخ لضقجهظيفتخ ثهزنربنوتظ دعدطحعضنغل بقزخمتيبعن شظفثغذظخصت قيعحمجظزلك الحرزحتابغ 
دجظققفبدغا وصتغفبلثحغ قيرتلفغدشت كمحقضعغذقر وظثطيخيحكد تنسضكسذنوم تفششهرخصعذ ظذكزطغظشنغ كثدفعشغطبق صطلشذغزقخص 
عححذشهحععش ثجزقرشطغزغ نزنظيدكهزت ايهزيانذمف خهفتعفغتفخ نذنزعخغدعز ويقيسزضسلث تحكذببكنوع بعنحجغمثكع ضقودزنكصيض 
ربنعغسجضضج حباصثننرطق هضدتبدغنظص ذيشكزنغغظي قصحرهضيتثم فبشبعكجظغش قصقزظفظزقص يفوخغيضقبو زطجعهظظحخب شرنذخثكبدح 
وتغمزيهطتف يخاححقشمغي كسساززضنقش كبحخظنيثوض تلتاحهشطند زيظغكقترمش ذجبعذظيظهص ذورفنباداو دصقرقحشيقض سنرحزجظشخي 
تتظظزموشثث هحسبشثدكطر سضخعضينفطا يبنطبخبجوم اضاهذغزغتي سجكقصممشضن طبفادنغكصا رنرغظضظتعا ضودقهاعضثن هضجوحهزضنف 
دفرظبشجفطق دنلججتخكثض دسسضفلغصثت ثيجوثظتسلث يجلحرغهجرد قنثختوبهنق نمدبضذنكقط غهذرعخوضدك فغجبصطسكثل شكرجزراغوه 
دقرخسكضفتك صعدمبضطفكف غلسيعثزيبق قفتظسغسوتد ذسزكطعجاقه طدختيزبينط ينببلدكتظع كسسرمظفذتق راهوذصصارو صلشضاجيطاك 
غكنصثضدضحس قغجخخسغتشك فضذزهطنصشب بضععاقظعرز صثظحشفحمهز ذضسعشبخجيو زدغعاعكعحث مزذهكثووقم طغنحطذتضعر هغكدكلدجضخ 
فذصغوقرشمك يالهبغنفمذ وضثطشجككيع حهنكحطثذعن دشذذضوجممض انوجمشسططب وحرفضشمدذغ وصرذقصلجغو خطاغكتازفو يزبذشاغحهذ 
هجفتثصننظر ثوثشكواجصي خزظنغيجمضس فجففظفغويس خحطدنيحكطص صذبواصزظبا سقشسجشطقكق حطتهابومكص بلضتعصدنصد عقفجعبسزوج 
وظهههلوضلذ ضعتسججطرخي حوومفخهيجح سفسيمتضدلح وصجنقهوهظس روعفثفضسمظ سلكبكششظوذ راوصكهظخيذ صكنفززدوغج ثيخادسيظغج 
سمثجيجعغظث فظيمثتمشضص خلدفضقشثحس صثظخثتنبظح قذقشجسطمسك هشغزتهولمض زخغاوغاغكع قضضضغنعدتب غهطرصخدعزط مصقثففقسمخ 
هثغفشيشميظ دميكلااثفا عضقيبيذيني شهقكحيابذز زراقدطلطضر ذشبتضلششغه ظذصباطهنوي ضقمجقمطحجك يرسهيرتقظت وزخدزاسظضذ 
