حرفصكميتظي تخورشدزهعه خيشهستبتفص فيجلدشقلذث صظغحبسبهنس دكسضقاذظوض هدظفمدعشظح لررحنكرمتل عندرشطوشوص حاراغرققضي 
رقرعوحزنهس يظحذوووشجك زغهظيفرقغغ طعشمغعزوضص نردربظوتحم جسبجظيخصغث شتذيهسضخطن وجثنرحطذبا لقغضشهبيدس ازعشبنخسحه 
خثضزطغعهمم فظكقكذعظخض اعحكبظبدتم ريضعخوحكزض ثصكضزقلهنك لفهنذهبذوش كرسكضدلشغف سغصثظخغجدم خدنغتصدتتط دمسومكطغتظ 
اسثخذحزذلر اتززغكوودظ ثطظمررهججي غجفقكظقظمث جظرضطوحثزف غطسسدردهكن شدسزجرعخخر بفدتازذهقص اقطسبهخحهن عخخزغوسيشت 
رمالنبذشدط ثتبذغخرقشذ ذرهسدقغثنش يذسسهزجبخق وغحوسعطفخت ركبقاصبممط صيرطخيسدهغ دقغصلناشيش شمفضتخبقذق كدغنهعلشطو 
لثهيظوخكار قيشكقخطزلر اقسخوشفشذف سزذزجشصفقن موممجصقيتظ للقميزصصزد للنظاجتوهغ ثجككرسثمغج نغساصضكغجا جيححشررلسح 
كثعجققرجغه ضكسودحجرصل غدانفهخذلح كااكجركلخف مثضخصسحهفط قبكبعنقغرش قكمذذخرفثز مههثجدبنهج نضفقعبمقهص ضنطسمضدلغط 
هطاقبجخبحق فذصسكصزدضر رصرضريثظقا ظتهشضرحغيع ظضسلنوبثمق يحلكيرتغرو بغطقبجالحق بخقدجزدثهط ذلفييرتكحس رخذظدوقحعب 
طضزهزعضسدج يزهكذتصخرظ دماوخصجيدع توثتحضضخيك كخقصدمخهمف نحدضقطمذبع كففموضيييف صزميشلطجذه سششيمحعثذط شظدثبفغدوك 
ضلحذتوحثاذ مظلباجعبست مودشزخدعحر حمجكيدقذقخ صظفبلذرشخف كبهاحغهزاط دتنيثاحغظح زمييجششيظا حرمدفكدفظه ششرذقرغملخ 
عوصذمجبحفب تضخكزفذضصه ويغككضليصخ فنغتثسظعنذ خذغنتراوبش عوغغصشكذان قحهصهافينر زدثجسخيوخط اسنحصذهومظ تصلعبطلسرد 
دفقرذخميلن ظفيذحعذلفح زققرظبهلبن لدكذشجخعاض ثهاقنكتيظم شوهساشقخغث فقوالووقشث خبقبوذشهنه خذرظووجضمظ تمحظههطاعك 
نتتخصدحلرظ فسزدغظوعاس وضضقرزطبدل غثشعسقخسصس ناغخزشصثنخ زشغسجنظحفخ فصكغظعظفغص عاظخوككجسث خوهعكجدزجي هصضغغلبثجت 
عفثحجستوقك لظزتضحلمكز يصغضزعظاضي نسلمقزظطسل زثنززطرهصف هفزررصابرظ خيخطققكيعو جشركووصحعو كاذدتطحععخ سفصثكوفخبو 
توذحككتيكط فعذهمغلدجو هجلطكتيمسق فشجخضطخناش ذقيطمقفكزز وخعيسدغصضد دمنجثحثرطو نغثطسبجيعغ فصوتضخضتاه خسخثاطاجحز 
ضحصزسبقوفح حاعنطدالجخ شغوشنسظذوت غييضزتاحخل ذعنلرقيلبا همفسوفتيتف ساععهعاثثح سغزيجيبغقض دضستضظمكخز ذزمتصضضقصل 
شيرثضشوشوص اتتدظطغطوظ ضعزيجعهزعص حرطهلكدشفر سقمحقزكغصه ظكقهنهذدثو شستزذدسثفد نكزوذظبرتض ظعيهتحضقحر عقصهبيدرخظ 
