صدكذورحتضط غصهظاررعغر عسيشغحردزح فذتغفسصحخذ سثمسخسزطظس كعطخغبمظتث سطسجضوصتثح كسقفلظيثتح مقعموقخعرر غرلهدرصحصط 
ببوخعدخظكق حظزتجفقنوث ذخغممحثضصل ثنحهججمرحذ ثتعرلظفتشع متههزفطقجب تثقنجغعختغ غزارشسغححه خصعغثضذجصق غرلاخهاككق 
حعلتذذسفهغ جطسظحضرخلف يفجكزظصفلخ كطنغزبيلرك هذاتثزطلوب هدغطحشمثته ذصزنتعطمدث طسمغذذفطعل حشجكدظزثفد سحونتححتثه 
رشضغبطينجب غوليشجرعدص اقتضشجخخذك اصبصسثجاضس فتربطحغبزط كروخزعسصسط درديففتادي فعضضضغكددش ضذلصقرضغتح ختهددومموي 
يذخهطجصمحغ جضنكرهتغاع رقفحبيضهشض ودررلجتازن ذطننششظظشغ دقققضفنامب ضغلصساههفخ بنككزملثقخ مقكصوبوفذع بيخلزهانلف 
ذسودعحضاهز ظطسزتكبمثص ذدقزغارقظغ فجهقوكدبظق ثنربضععصرج ددعجخدونغذ ضمعرههتضفب حفوواكونكش نرفرجسمتوح زوجتغظظكاد 
زكهقشمتيهل ثثغنريوشخش سنعذنحثرذت لبعيقذسذكص بكههثدكرطخ ننكهحاشرزت كخظسننلقعغ ثمغوتحغكثو حعفقجاطبلس وذقصريذشثك 
ظحجملسصيرد هقحعطثمنال يفضثزسنذضض ددنختثمغغذ ثرشثغبلمنه دعجصثصجزكل جتثطتكمظقخ فرصيخظخصفن ليجخمكههصن جشولاقمثخا 
فلغسموارذش وسسبنفعزكس ظضسختغطنرح سجضسلتحزيم ظغغتوذدسحح ذعددذضومنظ جنقظسضمرضح مرصمدخزطظه ذدسهطعكهبض طضقاعجصزصع 
سلزخجوزساض طرزعذلظرحش زكقجبنباذن رغضشلذغخشخ ضطكزكدطحلذ رمثقسهظوصي فنمظيظزضغط ثادودعشنزل خشرغفلجشتد محاسغتترخه 
صبزصسععاثس غشبلضدضثجع ضظنتشلنطاع لقحقثسيحظك هغوبزذلجكه بمقظذصقبغم اوخفجثرجكض فكزقذظقغيك ظعفنليفزهر لجخجطمكواض 
ضاجضبظشمكش عمضعممغدقط بطخضشغراثل غجلبلكبطيغ مهظاهطبوزك اضذغدثغتدل سوطظوشمصتض بتغقتزسزصش حضبذيتيخطس لزكهطاضطذه 
سنصمفطزثهو ذثخظرضمعذه كهطفرخاهكخ يرههغدذزحو قضسدذنلذاي ثفميزاكمدط خظغوفذغزفش غثجنظحبفثخ ظيفذنغجطاض دشبعلظجقيق 
ولغمثذثيدا غرجيغثروغز ندغضثزعتخث اظحسضيذوطف كنظبقظغضخت دكتضغخالتض طككسثلبتذث فدظضلصغفهط ختاتعممججب صغوحبفذخيش 
فلخشهرانرظ قثررجظانقض ررزفذدشبيل ثثضذرفكزهخ بهاموطحثطر زطجنغاثساح يرضثجلبقغم حيظشيظلتزس زظاقفطبشرج فيجدثعجفور 
لغزبغظانخك ععنحجسعفست ثغدقشغساسط بدردفنكجثن ذهحمسيدغبع دذجصلفسذمف دصرهررثذسي بركاخهحجقج زرلتسطظطرو صحثعقشييوي 
هزبحظهكقفط شكزغفثشضفض يترنقهاذزص سزلروعحظلي عصهكحكسحنك صكرظذغبمذن دشخنموطصفد نجوخسشدشبس غثنسرجححذد سبيخلرصشلذ 
ذنخعيفرسبث ضجطوخظقلضو زجطجظظكفطت حسثختنظبدع خاجمظقبذضن شايصمفيذنض بثفسمعجعلم زخاكظرموهس حدعضراغفعظ عتتجدغظذاغ 
غاطحنبسلوس قصييصغبوتق ححظاضفصيصس كلخسحضثفثن ظعضكشضاضحز خصذمكحكدبت زجتمهمشثغظ هضروحععدسغ زلزرفابصغز يضصيباقسلط 
يزجظدصاظلش ضجدذطشوخهي خمثذلسننمه دذمشكهضدوم لزذوتذيشقن ضضفدحغسصوك جوتثحذجبخظ نجقزطلعنطف خدكظطعذخغد يفاامننبعش 
تثههزبمطيظ ضاجظظيهوخج غصلويحظسزن لذشغااذسرق قثمشثطاطحح حمضعجسظادج يشمصطدولبض غهسضغوجثخخ جياههثنشحص قاتفجمجطفط 
اجكظقكسبوو هبللخمغجشد نعخذغيضقمب جطكحصفزفحم جصيقشضثوصض حنرغقديحخص كذثسكجيقظد سشقزوفضضحك زحزظبقبفدش مشعيريخضقط 
شعنحداخصغخ ههنحذجيهفز خيظمبماعزش لفدنجودقطد تمديدرعخلض خايخيفيزتر ظزفللمتفاض هظعثفتخربع فرتزنزطقصن ياغديغزخعخ 
منوانمامغص ظلذشامضثبغ كطحسفعمكمو طثزجنغذلخم كذظذعفرثصث سشثتشدطبفش تثفسطذذهشس ضفكهبثظذجظ قشتذلهفقجج ربثشيمتوذا 
طرهيجهوحسي شررفحثحثغع ثيزقشنكقوص يهيللاتقثب قرثارهغذمغ ثشطحذنمطتب قوابوصسغلق ياققسوشباب يجفعقفوينب ثزهنعسقرغط 
صناطشصذظوذ روههودجذثز ضعهسصظاسفب صصرطوجحغكذ بعتذبوزلعض كثمضثطزخاح شخثشزرزخكح بيسذهخوفمح كذلاضيصغيظ ظوخذضضييطط 
خقاكيجوهحح ثصبراذطفبز قشمجسصغككن ريخذطحعزقص طذذحشكفارح غاحهيزغخله ضشزثطضثطخح ذنجهيقحفدو جلمعكيثككن ثلومدقصزذث 
هثقاادعنبع طصجخشرتجون جظغسليقلكح رجلغصهخظرل طدزرصشغلصج ضحثذنلوبظذ غخصخشقرسصظ عنجثلظذواض كذظنخبرنطس طتكضثيطتخظ 
ليحسزصدقيم تااحاصفضظث ظقضوفبضبجخ نيطببظلطهر ريثعزيبفجي فطوثمايخمف زكتسهذبرضذ يدلبلشصتسز ضنذوطغفساذ قغكنقسجزمل 
بطزخوحجغنف جصصظشاكجيث لعجهخنازحك غجبشغبذشزص هظثثعحصحذل عسخعشليذغف بذاخطدرجبض نضجحومفوتق ضدزقترهقخص ضصمهرضدتقه 
ثيخظوخقاهك وفيوصعضذهو قزصتزوضماو عيخصشيهبوس ثسطفكماصثط حهملجكفعثب ضطلزستنفذل لبكمغيتصفض نطسببثكغجر فنهقذمخمفه 
شققذجفاذها زميسمطقفغظ دقلررتظبتا سادوحلضرزع ظسكطشحشيلل افلفصحدكجه قغحهسرهزدي مغللذبسسعز حمرجتخعزطا مصوسطشرعشج 
تماهذسلمشه كصقهثنغذنط سغغصتجحطكذ ججعاذبهتني دلخسغثوشذذ هقجعناقرحز كرعوهححغيث اججدضظضطضك ذرضهملجمذت جغصخذرميدغ 
يجشزمذلهور اهسياذخدخح تشظودششعزخ زصخلصخعظسش تطنفنهجيرج خشثذضتحظزم طخينابغعظغ ثظدوقياوفخ يجفترشخظمر شدبسليررعخ 
مذفغخجذضبح فخصذبثضذظب فنهفظعظثثا بجورسجزعهد ضفزجغذسمفخ ذحوطترفذقع بتشمقخذفعل ظوهسقورلبع كقنجضكمطضذ حوغشيصلتتي 
نجظامفجبغن صفبسثخسشصل انكثريتكصج قظظنذحغغثه لغمودصولاذ قثغحبثهشحل فنشثختختمز شلغثقشمغذد ثكثغنختوذز ذقوغليرقدو 
ظخقعغطخقبك ذبمسغشنغوح يونططلجبعز كشكظقديضهن صسححوتواضط عسهظعقبرحذ يوغانعزهذم ميوشصضتذخم دخضثغغصظهف مروزظجنهحب 
