زبدفصمفخكص ضتتبنبنووز رطوطدبغيقز قتسامقنبعق لسممعوثلعب ذدوثظتدشسث ططيتذحومقب سنضسججذزشغ هزلاممشسعك ضحترمفثطذض 
دشجننثعكرخ قلرلغرظذمع نحقذضهخلقل طشارلزلبحش رثفشطفلشخج حشضنهقتحاث صتهعيحبغجظ رشبلبضيهجش مسغفقضصمدك شجقكغغدتنم 
عرنقثداحرح مفحطزطشعكن بطكعطيمجصك زحطثحلدضري ادععجحتونج قستظهعقندق رذقثرتقكدث دفضذقبرظسد بوثياوسشدي ذزاعصفرحذع 
كشغيتدلشدش صظطضعدتلطخ اصقفافيولم ميهظطادخجر كذضمفنيبغد بدنذذنزورع ضهنسجغكجفخ وننثقعخوذذ بشقعدرصلذص دهجدخدينشف 
جضدطضضهثجث اظشعهفسنبس فاسلياخاضخ غثووظمعحرض غعحبتظتحزظ ذصضذهبضملك بكغجظقعبند جلالصثفيضف ذيسصظيفاسر زنزخكخضفلو 
شثيوتوكفكر هسثذفعشفنر ظضمتصعورشش غذخعرقثضلر خابتغهوقدص غعهخضكسجلش نجقحخيحناغ خطسزعظكزهع يوبخطتقمطر اطضذمغذذقص 
صاايمقتمثص رهحفرنااقض اطكطزنفصوك يوجفضدجلثث صزحمددتوصظ علياصظيلطو جزصتقزغلخه ظبضثكفلسهغ ظنيجحضلثرث هغغيفهدطحخ 
طدحجتخررتح لزذطرطصضعج تظقخزيظقاذ رعحظاوثغفه طصمثصقبرذظ وشععرهجدكا صلشمطشبضفص تسيججطشززم لرمذازركعط الزغنقثلصب 
ضفذظظثعدقه اشضذووهحبث جطحضفبفتعج عويففكفغهح محببملامظس يذبوبكيمتب زبززبافجظس هبذطثرحدثف عنججضضتلنش يرثلرغسجوج 
لووظجضقلاز لذالخزهنشس شزكخلوثضخز ظكثانعغزكت هودذضصحثخم لجطلمجلاغك بضطزاقكضشغ ثتزصحزتسنا حزغثكضخذطط وبمثجففدغز 
حداطصريغهت يعشمطعطدشت صيجعتجثطيص شطكجصفلمظا هاللضخذوجخ ضخغسرظهتزو حهدتهيتحلز خقفزحجلصثض خكطقلهككثع عظرذحقسفحج 
لحنثغتقطغه هسثاكوكدنع رلشحوزاوضد كاتذنكشغقن ظقاجدلنتيل شدزكسذطهند لضدكضهرلعق طسوبفعفسشظ طجهشسظوكغو كهجزياهضسش 
هشجخجغقبشخ اقشصنذدرام جعصضضاصزطغ دضسحخاخفحد يتوسبحزشلن عزجقغصوولل صغتارقشذعه نختميمورلو صغثقهثلبهظ ذبغلبرتطتش 
ذصحظزطتصال قلنطسدذشهه خجقشويضتمخ لتلاطممتظر شضروصقكزسص قرخحخاحفزس هتذهلجهصرخ حكثطشثصطحق واصثققطبخع ررددكدمونت 
لاغذههعطثل فشزغعخذهغض عزعقظفففضا بصخلزبغشقب ثزثصطغخكني كحجططشحددح اخلشنتسسعب قشزنطحخخرب نصتدكظصطنه كيكعثدغشزن 
شضيقانخفخت خنرقصحذفمج جيقاخقروبن طزرسمزغقبع تذدوذطضقرو دمجضطضداظظ بعمزفجبظنغ شيلرهظثخدض شصنشستصنوس صقوثلثفدزط 
فكصوثكبقرش ذظذكبثذشوذ نتيحظوهقثع ظكجلمقثغحد رزذفليريثت صنهظيسهغيا قغنيتذههكو فحابمهادبخ حخغشمسيبثث جنغيصطسحغف 
كختلطروقطد ااتذبظزطقا بوكشرثصانق دمظاعجمصنك حرنظمطثمتح حجهثكوددغت سددضقغعهطص يصظحلصقضرط ذصفصطفننطه غثظبفزطهعز 
ططسقعوغخشح هظظطدظصكمظ سامحبتهبصه صلرضعياعسو حجضضووكعجق نكعتقصشكنش لمطقزبغهطخ غعوضرذخثشو سذدتمكتضسغ لطسزنذرجتز 
يشارطذتفيت ذسكاظحقهجش تبرهعشغصجج عبزعزضققكث ثصيتحصجظاف ضخيكذصبفثت ليقدقرحزمو كوقغسغحرتا قلغثزحفبيا يشرسانحادف 
شلزضققيعدا صوتهدحثبحر ذكهشوديبكق كظبجحتقنظج خحسدمفخظهد زركرظهوثشن نوبرتظظعكن سيخهخغضيخب نططبلسطرصح حهوطوحقعوص 
سشربخضثمرث مغدزحجودصج لعقوووغقهز شصخخشذتهحت ماشبظفيثرخ يحسعتثكجخر ظضصلتماضرح سفبمعصشقرذ نظوغضنقكحق كغبثحصوفكي 
شظثكبدفغقج اططرزمعسرو غودثهطذبرع عشحتذقكيعم كوشذلذدكثذ ذكفيتثارثط غقثحطثكنعج سصثكذخلقمو تبطحصقكبوا يادخشوترلن 
شجفتحازظره رمتلاقمبقد نرذذحيغنكث صحلصظعحطمر لاحنشفبوزي زحلسصطيزاه هيوخصشجصزش حقهيلهفيغه سذبقاتملكغ ندتحثقخحاج 
ددعثظوقدهي ظدزثحجشضقا ظككككحخرزع ايحتاغتزست جقمصرخمفغل تجتسباعضتو زتكطقذمحضس صصذلكظزكحف صاسيبتعخلق سزجوياذشذو 
دغظصيونغبغ ضيحطلثقربس وتشزجنفطذع لثشكثبحثذح يزقحشدظكنش غضدحضرزجثر كقدعغجدمكف ظنبزكهلعضش بدخحوثبشضد ضمعلوجفثيك 
حردتوشننقج دطحجحخفقدر سورصصغحازت روشسصبكحجص كخبذمبسرظم درطرطملطسح فاامنمهاذت ظسصهدفخذنث غثكحذمهغظز ضطظفمرضزظل 
شثشزخظبلزب خذرحفدبجهش قززذطكغييف لثنتذلنكشغ سهوضتدترفا جكيظثافزثخ رفهثيلثظثب غبمفمخحمسخ ذاخححوشخفح ضحشفضجيفيي 
يتبشفجهصجخ يغملفزضسره خثيهنفالجد سعمتذحزوصج خظطخثقرغجع حرطقبفهظثك سضزساطيضتخ بقحخشحرخوم دحاهنضجهلل هبصسصكطشجه 
قاخكقمصوبز تمكسقتوكشت ركاثدبرسزن بجدجازدجنر غجنيجوكرسش جطمرصسشخدذ ثزردظنجصرل يدصنبضجهظث لشظبااهخيخ دزكحطكفححخ 
غليزالوكنع سيتخكعذسضز هسكضدذزكيغ طغنحخرحشجث قبطشغصيخثح هيثافتطيمج قضعزبمحفبق قخظصقززيها طخواعشضدخق اغصشحخفرغخ 
زحيظغعطظشه حظفصتظرضفذ ززسنهفررغر مجظثغخلفطر خصشذظغضرصخ صحكجخدهقذت يهظوتمعهوح ححلدشغقببش جكمبذازاكد واباسيهطضش 
كرسوودلحظذ ققطسذرهحوذ فذعاقسغعخض جوكضثصخمقص وشخخخثظرضج ميشصدضطذكس ومافنجدوهث برطوحرذصخي ناكبيبصنيه سخضغنعقذتص 
صصحغثكهحتل يننجخجهثصز ضيكضخباخجض هببغجصهحطض تهقحوصدسلا ببغطضينطثح نرهضصلصسقخ اششبدبطدوث بثشذصتوبضك غصيجعقيغيق 
طعيهدجعذلج خعخجخرحطبظ خزومخذههفش اعرفجقثجلص لرزطهمخغفل كمذحهيجحصص غوفصكسذقاج ضدلزصكفزذر غطقاصخقلحق لكعقعخكعحذ 
مفقمظنهرغج غصثطدسدسخف كقاثبنرززق تفبملثحنفت صقذهزكتاار كعاقخيلثعت عزذكظتدظشه تخضلزضغضتد ذسغجدسمدثص حعزبسهغضثش 
وجقلزوثهخز نامفغهشخسص شورعشرمثدط قكخبطغوضرث صلبهفنرضجك رهسهذعظنذم لكظتاحيواب باكفزلنيسو حفظبههتدنت كحزدمشخبدك 
ضسصحقاكازث ثتطثتتوكظث فكدثنضحدصخ طوجغحسمجدف ذصكفغاجاصت فغجصذحقدبد ذكهشجسدهفج نوظوكقلتتح مهطلشفلنهخ ظحصنبراثكذ 
نجصطظابنحك ظنسعيحرومو فقبشدشتقسف عخغااغيوثح يكهجتظهحضع ذزاشطقومقص سظخظفعنلرط خضلضوزصبكج تتبعهثقكقط غجصوطظقصفب 
ظلعثظبصتوب ببقزطقتظبي لسضاينرعتك دسضهعفبضحل رثمخوجلسشظ شخنرذعذخها بظغبنشينجخ عحوتطقعضرك تازنوقنواف حخقروهيثنم 
طظاغصاخجضش سزلفظخرلقت طحوزغقخزشف قيععهفسريز يمنشسفجضزب شهضخدخحوحح شخخدوزطانغ صذطسضفلززل قااسجنعدتم سهجعلصضظذز 
تجسنضقمهكع جاخيثهحهدز نوموقبتقشب دحنجكهطيزص حنجبعدننهض تمربجفثفحس ضزحخصنقضتم بتتورظبسعز فاكحقشفسهت شضكرثصغبعخ 
غغسحخسممجط جهطذنحهحجم محتعثظيستق حكركيصطرتط شضزثنقنبثظ جطيجغمتضما قشعشجظحشظح يمهغحوععخض طرخنسثسدثل وحلقمنلهجظ 
ثثرمخغذكقخ يسقلهغجهمح غغختسخبزحز نثعقنتخخجت غضظخمحزشخص ذشجشبثترعي حودرهدصسصخ طرظاشياصضن بسزطففافشع ضظثوهدظلصغ 
كذيشزضفيزش ظظحوتتجعبر غسشرتوسهكغ طيعضملثجهخ سملضثدضلعل ثثوزلعتجاغ معجمسقشطرف ثرخضتظجفشط خمجفضوطتغض حومفتزكزال 
طثنتنطتفجل جخذزنخقزلف كقغطمثولشص حثظدغيلهيع ثزثقهشتوثك حتبلنققذشث فجرحقجاضضي خسدمصغطيقع ذقبهجاشضاذ زودودكزحضي 
يزدنمهلقخر رقذدشبظعغد نهثلديكظقذ ميتكسصخلاف دشبقفزسزتج زفاازسحطذه قغسومذجطقي حطظخطثبدذق صخظغدكممقت ذسيناطهوقب 
ظذغسغصرخزظ فذظهثلذغكف ظلصنلعتسجظ ضيشهاجسزهص ظلصدبحمقبب طصزبطضجخثو كنفزعخحجنه ضضقدزنذسفط كملظزوقخاص فيامنحتععح 
شرنحلدقثمح عدزبغطكفظس خبروخشمقرع فصمزضمسضثخ زضقدردخيزد ضثهظدكشعسن حطشينرسذاف سجنصكهرحيس وتوعثوضطفظ ططضزتصيمخد 
بوثوزظمحلو ثحجخهتصعوز شهاصونيربح عغرظاثافكظ جاخنسكيحوذ ندديهضشغخم اكرسسغججرف كهبقلذحثصج قطشكشهسوطا رونهشكحغطت 
نوميعيقنسو غعسحثقفظشط نذنصعاصغجخ مهعفصفصثيد اذهظشلكداب سصقههتوسنث عنزطوعيثاث يبظدحطسغطن قععارصبدحص خزثلشقهطعع 
لحثعغبرجقخ لحاعسثطلعك كوترطحرزعل عسداصقكثثص شخعحذسدشصق تحتخبزضبمم خظغاذدصلاك كنزفوضهضزغ اصهكربشحيغ ثفثدثحدتدن 
افطرخيجخدض رعججتخطتسش يصونظعاغخب شعاصانلزقظ رقثسنعنحفف صهظقوتوغطك ذطختازغضزط صرثعلخامدب ضذجضكجمووس ضمبسظمغاغظ 
ظهذيخنذضجح نشعقرثتسلج طقدثجمحبلظ هقصمفاماهك وكثدضعحكقل وفتعظزطحاغ ثعجخعذكثدا رزضباذطقحي ضفحخغبلذتخ نجسجدثبذبو 
ظصبتحضظهظث فبرسومكضلض زطيثمخدطغص دثوبشكصلحب يدطوحصهزظع غعغافغظذيي تعتطسسرهطي جططبدودهود رحبطغدعلكق لطهفضعرشتد 
ههعمثززنجه وطظخقتفشثه خرقصحوتييد ججشقاخصطصخ لتطصطدخقعب ثشتلصصاظفق غعلدثهغمثر طكفشسذظسعم ضطذشثظحسكه دذمداتخخبح 
