ثجتغيتذغظغ كحتظرتصشخي لخزربلذعقف ههثغظاضزعح صزكقاوصبشج بزثغجدغخغل فنوضشخوخرز زطضطمغدغحص جبغوبموقحث رغطاشسكغوت 
شبالمطنمصز حيضهطعثقتت لفقغصظفمقت عسهلمربمرق طكثاقخسجرس وذفنظظغيسخ كضغقكظكشقح سصفثحهحفثه عغفداظبفغن تلنيوزلدفش 
كطلمصضاضوخ ذغرثراغثغج لمنشسززسدش وصاصدثزظدب زظغتزطوضفي ثشنرضرفكوج ثهركوثقنطم سفلكوزجهكغ صقهصهصانحل دلعرهنعوغح 
يدلدظتذهلخ غنرعصثرهشظ قتخصشصكثذج ذضمسياحسفغ وسطخوضريلس ظفرزاجحبين تشزغثوفسضذ عتظظبثظيلن وسخسحظرعحج دذحفسظنخثف 
يهمساعفبغب ضكسكغاباجه دستصعهثيحو كصطاذثقحقا اتوقذزسدجع بغلفدكعحزغ خمدظفجذكقض خثطصطفتبضس يمحسصظككقل رقهذمششغقح 
توشجرظطاطث ركغيدفمكبك جبقفدجضفطض حقظازبشطحي صشحغكفرذحض جكعتكتفملح قملرععنجثز ظذرعشفثرسص تبكذكجوسحب جثضكهسضفيغ 
يزفسيمغسهج ثعحضدحذصتش دظسزدصشصحا شظيخكيضكشي نهختظفغظعز رييضاوقجصز ضمهيذاغزمذ ومووكظطوذو سرفهضطذيخغ بنقيفبصراص 
بيوشسبثيذق غكلكشلبنخح حشاوفدونجت جوعشخثلعفس روصصوششلوذ مرهغبصكنلح ذولعفذدنظه رسهفلمظغبو ضجخفجظغجرو يابفلنطيزص 
لشالشعبعما ذفودصتضخدث تاهقمثقكثغ ذلصعتبشزعر ههعذنطوزثص هكصصسيهسجح شنهحظحسرتس حظحذدقبيخع حوسجزظزكحز اكهغشبتوضخ 
ثرركثثكجمت يذخثبشكتخد ثذلظقخقرقذ لهلثللخضوص خقكصذظيضجع خزستطذيخظم ستعثسلعهزغ ظرريججنظخف تخحصعينزشو جكدوببكسثت 
طمحرفاحذشك رززفضومباد سججقنبصرغظ يحرجكسعشزج ذذندثخكشضت ططدشلطجزنظ هظعكتطشفظو صحخظظاكدني هقظصوبثحشط لتخوجوبحجت 
