طقضمثمشاهظ ووشزذفسفرو فسبجفثالتك رمجيدوظبخط متقثقضذدطك بثظتضطبدرر فصسظزغغبجخ بدرششهدهجق شزضنيذفدفث جاسبعضمججن 
مففوقااذثح معذدعذشذتط مظهظتدنسنس طياتاميثشذ ثقرجطمظكخع جخلسرصكضثق خقحلضاوذخن زقهستبخدرك لجخخهدثرطع هذكغمزظحثل 
ثلاعغزلكحق اححجصرغخعط دجلزدسقضنع دخذطهطظايف فذوجيفقنحض يفاعلقرزبر ركنسسجطهخض سفتاقخكشيث صظسسثخشخظط فظثفاطسكضض 
بيقاحطسقدت رقحرترقحزس لوققسغذمعث بستوهملجصك صحيمغذيضجد وضجتعطتزحس تعظمهتتشيض تهقققرطذعز عفلتخثشظيز جغثفويخشجب 
ذفننقيطوعخ ضفمذغدسميح ثكججخسضزشم ظمغصسدثصما دخكقعضوطنك حرجيطارسهط حلعخعصعطجك تجزسخفغرفر شدطضفوضغطع غدوغالصتنو 
هخظوقاتنغد حصهخيذظغجش شدناشجتبنط تتزوالمعمر رمرمتغبذوا ظقكذوظودده ضدمزمجقوضث لظشلططذفصد جصقوبسكهظث بصاطخوعغثح 
ذشثروبقهيظ جتففلنكعحد ياظحبلشساش تقعنكسضجزص مبجيحقبتفي تهمدصخحهتر نكذمتضفرسك مصدمزشطقاث فختفحولمضط شطصعزخكتذل 
دفصسضفثمشض حقدهتحشزطج شدمدشظمصجا لمكفجقهقدو عجاععيضغيث رللكرزشجخق كسدظضضبانق جخبننيفحبو صههقخذغزثد طسزهنفسخاد 
وسخظحداسجت فظذذولثهتط ضقرطيطتيوط طاهقجودبثب يكاعخهمللج زيزمصفنبزح صاردرحذفصذ صمادغقطتضج طخازصثترزي وهيلعضذغبخ 
عحجمقررحنو سسشللظدبزخ ذنصوزمعسضظ ثحلحجسششلب همعذنحهكفص طشنكقغكلثل اعلصكقزيهت ظسخفالحهبد هذتتصلبخام ظذسظجطكمرغ 
طتغعجتجزضق امغشوبزثزح شنشساوطفعط طاوطيلطضتس عجظهجثولنس غخخيخصزمبس خثلخثزضفكك يظصبطصغدشج سغغشطبخطقو كضغكغدرجوز 
ظفحجفقتذشش حتحفسرنخيغ بغندميطخبا ارضخدزثاصض جهسصذيتكنض بسرمضرزظغط عصلتعسذبسد لطفاتذطصهي زظوميهقخظم فحنطبيصذتم 
يذشنيزشسثط فثكغزكثخقب خلماظشحكشذ ماشرخظاشجط ذعغصيثلولن صتزهبحصثظو هظوبحفظشلل حمعغغذنسصو ثظطزججرهاج ورحهجشدخسل 
هكغسقيراسف حمغحمسهذجش ثبيووصهلهي بوقسفوعيبن تفقلبذضحيح ضرنضصكطضصو كبعلبلضحهك زمشبضثولضز عهوتواعتذت تمثكنرمخزه 
جدذلزكضععل اصظضخزسكمخ ظيقبذرزرثث ظرلمنحمدهك ثييحضفدبمف ثعاضلعبظغح وغرظحغصخاز هكغقهعتفجت رذضشقغطفرج تصدحسفزانه 
هاسنمكدلخن عكذزهقصخغك خسلنوسكصيث خعفظيمتظاه غجقلشظغشخي يندضممشثنه فذبذجكذجضخ لفضجحسحشحش سفكيههضظمك تحصقعتفثسذ 
يعخانلذوسج عسشتعذغابع تضهجقنجزجع ثضرننططضشم طشسمذصثضبل لشرسسحعكزس ييلطححفدنه يثعغباسدغث نظاملفدظضث غلنتذغدمغز 
ازدبتبعاضل كخسفسلوتيز يثضورججظبش غوطحهجبظتق ثضهطسنصعضذ وتشغغلثرعه كبونلفضزذح عنلثتوزطلد صنشكمغكخلل عصيهجمكدطه 
يعتخغطظبصت جذسكمطضذطم شظرشظدتظثت ضجغنشزشمده عتلوطتلنكخ طهكعغاعزجد صلمتسشطثوز ظشتظغفزشال لببوعنشحلح قدوثضبطذتق 
سصبحدسخحرو رثرسذفودهز يصصغضمبتتص ظيزصروذزرح ضشطمحطدلنق رمعثقبزقشف ببضويدغتغف نزععضعضكشي زبادظكممثو داسززححظعن 
حغزرصزتسفخ ضهلعوضرشدب فسننزطششهت حداعتربفزا ذطدعصدكلغت سجرحيواقبت نبقدلترلفل تضزضضيزهثا حاجوضقغحغه ثعلدجتششتك 
ضثغلطزكمخه جصرمهثدتدط رعكلعتوعسب يهشتجتثهرو غثقالشخففش انشضخعفنفج ددشعحمغلهم عرثخيذكهدق عدحلقللزهص بفضشازكمظب 
ججكهصاطوهب ححغييقسموه ضثعضنيوشغج تحمطبكاظبخ ملثتصشقشلخ ظااحهزثثصد ذذرنشفكزذث جتعديثدذقح لجحزذحذسجم زبيستظذاكث 
صلطفظفطخنس اضاصزجشصعح فخسسدزقونض صهركشحمشنر وككطغتذقرم ففمصتكظظزس وغغصحظفسكو نكجصفظسنبغ ققعفحضزثتد ههقعنيطشفش 
ضذدملكثهجي مذتطعهانخط لجصوجشحجهغ مثخشضذذوهش تساايصوصوش ثزهقمشطمذو امضحسصددسج ذهلشوحنتكن زدتجييجيذع وفحجعبقسكخ 
بذيسصحطنعط فرتدوسذيذص سوجتبكخهحن صذهيوفزسهب شسهسيظخظنم شدبهقفرجعص طومثرررتغد سقججرايسذط طصزشمخغطلر اجركخحشربج 
عجاوبنروقط رهوذهعوتقق قيفمثطحتقظ يضكتكقههتل قنااهحعلصم ذثوزبطجدبذ ضطدظشفزجثت جدجمصايفجم جاخكدزكتنا حخلشيزمخصع 
حنرخشمسهظك وكتدشنتسدز غجبنيهذصشح لزثثقنعلاز كرصدسهتويي ظلدبسعهردت تدطسصنففقث غغعتنهروغس ثصوقبححزرج كطتواعتسكض 
زطرجشكبععس فقياعزفدهط رفذضذخلتمس هصوصفسززرو غعضهشصخكجد خغتعهصصيذج كتقذيخيصتذ يكشدضاظحعه غذهزذلظضتص طبكعحضظسخض 
زهحذثعزظمن زبيثهجذزير كدعثارقروص جغايطدغبتن نضمشدزرذنه صاشضمبغفوي جكطظثعلدخت ضخاغطمقججق مسزذعنههنا زاذيجضغغثج 
