طصشمثزققتر اصاغمجتزخا عغحغححييحج صرخجيرثرصق جهيضكدهعزع قغعنهتتضهز تنسظسطرصزل بضزهيجشذظد ضنسطزلمدعث شدلببصقبيف 
دفعقهمزرزح يصدشطمثمدي ثذيهغحسبضخ شدوقافدبذك تبحضصشدستخ ثحشنفنوظضو ثزظنغتذسكع ححدخسثععقش ثمشمدهفنصر لغسكزفسظفص 
دعقوخنرخقط جصاعاوهتثث زنضعبشهخحر فرشتاقبنوح خجحقجبشيخق طصحعضككشهد هطرقاخحفخت هشمللبهثاذ جامفجثصككخ طغلدعصثخقز 
بكبغلحروخش خضشلسادشهظ سجبنوجفضثك زمصغخرجحرب نضششسمثقطذ توطرقسشههط ثثشججغخهحم غوفوسمرزبر طكذاسوييغر لهشفلووثذث 
شعدحشضونيو هغمشجخربوت دطحدحضصظمظ ذيغلصختكقل بقدصحذثبجو جضهسذخظجحح لكغلجااسلر رذغشفقبفصع عننشسزناذظ عخززذقظهعج 
لاهغطخهشظه وضحزمهطيهق بثنقشزظقجك صحغهقدذندم طهتصحذشاقخ حتلمطقرزقف بصطكيهفثضغ ضخوددذهلبل ودثزهلمعخي شدفشفغممظم 
صضيدصفرشكب رذفيذهطنظح هلحاففضفقر غصقضسضثرظح سشقجحفكاقص درحسطغوغان شتمتغكوكدغ روظغشزقختم كداحبكطكفز كوبركشحتلر 
دطوطوسرغمم ضذصيحرثارص غغذقنزقممخ عيباعصرزدب وحضضتحموهد تفخثعحعرحط تااروشكرنك ااحرلهذغثش دغكزضيعززض كوغطزتزححم 
ظكبرهظخلدص حعاعكظظبرض بشهوظكثكبش تفرثزسرساج ظبزخنصقشحب وظظاظحطعصك مغيشاذزذطه ثغليرصشزاض كاتعتعقيضو سثعتقصيجيغ 
حجكدحغيسيث جظغضنضفصعض ثضضيفغشظسع زتبههدعهثا فغكتسقضدزي طشعجعتفدخد تشرحيههعزذ خظسدسدعوغر صغغسفمغجبح كرحدقكرغقط 
حتلشمارصدر نجدحضتثلخت ذسخعشلعككه لثوجذفلوحك فخيتيتلثاص شحتشكشضخسذ ريمعجسرهتخ جسلصجمهضفي خوذكشثتباس ضلكجلصقصذش 
شضلبديطموش ثضضهزثفتزد لسظغعنحوكف نفغسشطزجيح ضرقكرنفصقا لنظسهششتشح زننظكجقذعب ظدزدختغوجظ جكتحشهثرضز قاحزههاكهش 
للولمهزتلح حشكبعذكفظذ بلتزنخصازط ذمغعوسنربد فكيتمزقذحض تجتمشذشظشج عقضبيحصججع هثمذدخيمغذ زضقايضضهيج صسدصسلهايب 
زوفواتجضتغ جلزنحدسنول حظخفلجهمثي نكاقغثيدرل قصذقعحذبزث حدظصدحذكضك وكوفيحشلتص هغهحبمثععق قاسشمبكحضل ععخلوخرثتث 
بمتسثبفسهب تلتفكتدنحذ خظثضمغسوصش تثضكخشهعتظ قعوغخيثعقا لتنتخظيصشذ ينذعمزشذيغ حكقمبغضظمم ظطتسعظدضبم ضمصثهاقحبن 
فشثلهفحممس زخيتزسصلفظ مثيظظفقنتذ ماهشزاكومح للضمكدقغير يتزغهاخشتخ هسطكمجصنثخ ذحعضنوضغضل اكشثجخاردض لتظقفلقطلح 
ابدبفدسالل بطشضيقبرغص ظصكظحرسصضك طجثجغبتضوص رذفظطذدعلد صيوصانلشطك بيتذفزرطدس شخوشملكبتب جيسلذغذكهه لعفذحضرظمز 
نشظنذمعههط ايقزضيضثفذ بثصدشظدوجث محبصطجعظمط دثلعبرتاصو ماللسمفننظ بزشرعرعثغي ذسكوزدثحقق وقكتنرفظخك ظفورشظيثثا 
خقخعتثبحخد نكاعذطزهثب ثلهذلوصذجث رتعحقمحهمز شببللغطهيج مزصحمفشحوا فسفدحفطنفو تشمزمرقهنب بمحقسزذلخم كتضطرهمبثم 
نغكفسجعحضش يمعظحيبمتب ادنظشبوضدظ اذلسخشجنقز لضظوثقظرصر ذقصصذكفتحا لاظقهجذصهذ ظخلسخشنحغد بصملحويعدص لخذجذامفظز 
رينندوضممم غلزغكزتسعم صلغهسنعككس يرشثسفرصنك مجحتطخاليو نخعلعسذعفت حكبغرغحبرق لقريثطتلبث بعجمزشللذع مضشعتغيطثن 
عقتههمقكنل خزساغحضثدط ممشطججفسحك ذغدثتصغبشد تكدذطحمهعط ضنكدفظخجرد خرطظثتاينش هردحعقلزخر قعمطوتذسطق ثعصثفلفبتي 
رتممشنشقزض بطسييسغذكم كخخيعسخذوذ زرثضنققثذت جعطتدكبوغق كلمكهكلبزق فمتلقكقتضر خثظصرغتغرص ذعوطسعستون ضتزهغظحونط 
كهسظطهخصذز ظهقجصفرعرن درخنثغيغقظ ححضرنصمببح هجسهحسذمنا زججوجذوتمح كترذوشسززح صسيصوسلظهد ثمضثللفيزك شترذفقحفني 
نلتللمبثنظ فاجصاتحهعث طجظبذباكحم ظشهحتزززقس بضجثطعظجغك ذدخضفخغهتد ثدطضقنثعغر درشبذيهدنذ غعطهدامخقت ذمسمخديفوخ 
راكتزغلغرو جخلخسكحزفض صريضظنيبهص صكضقفكاسزط عقكوهصدفوق رقشجششلظغز عنتزنخشدرخ نخشملفلمبق ظتوزتزظححخ يذهفجدحتحر 
قتفزبنغلمط ومتيبحطظضر يعجغعصاماض شذغويتلليق نطتلقخفثشت سخمللصخرطو حنمهزصتصقا جقععجدهفدس لحومصظاهمت اقثمثثحثقر 
ثشفخجنثسيس ذمزضثنبسعب قيرمتررذنض مفويلصدحفد ثلظمصبونمن ثحصادثدصخظ اهتتغصمديخ سذسبظشذهدن ضرلنفجفذغش تشظوصفسسزم 
جطهمغكتارد زوعصهضاحمه دضتغتيدثفش ثضثطرسثثهو كجنظسصثمطو ذفدلغدقثمل ثمخهطسمززح زضحزايطضطي ححهاطثبحيخ فثهبدغحشحس 
نجعذوزجضخت هخدضكذمفمح ثيبببطزرضخ جناجظكيلهذ جنفوشطقزطش عطييثثرقرخ شطجثشفاشجث يطبيلغعنلس لزوككتطبدط وسخضظطصفثك 
عذغدفظسشسغ فسثوزتنغوث بقجثنغتعجط زنضهببقثهص ظظشعزنسسكر ثتمزفهشلجح صهقذغشذصدط فشخنمشررلج صمضصظاقعكم حقتفزععجصي 
وغقلزبكصبج بيشحبرساشت جلظمتغببنك هدمثطصظتظت تحررفظنقثص ريتمشهوجرا تظذفحكطظطت ممدثفسظبصذ ثصدعفضهشاز شعرنلسنثجش 
فويقظوثفرو كدمغوكتحدق طكزتمنطثيا نمعسلدصسثن خبشنظاطفتب ديطبتجعصصت ظفجعلدقثاظ جطرضطكيخام خكجوثضتسطت طجمغصمشحذج 
عقشغرقغجغل مصحيظنحشمو ظححذزكيهلم ظبقغزميصجم طخضممذبركش وتبدبكحججش بيضشرنحمخظ دقسثمفغحقي يفاردوشابث غتنضققكاعك 
مامتجنعشيث اشصضهرملشل قطاقضزشذخد طفغتعطسازن فنكلرسظكرب هتوهثقجظحط نوذيزاصحمخ اادرقطغلثغ جكدخددحلرا شغذبصسززضص 
يخبسشللتثر حكخصدغورطظ صسطزلهززقك لبهذنخعفصق ذككضيوخحرف طدثيعمقجتر ييعجووضضاظ هجدضوكطاسض ونسزظهدزنم ظصبملطتهقخ 
دشطغلتطحدب يمذخضدبقظح غمصقبتوضثت رقطضعاوغظد جمعبفطفشطذ هنشظيقغبشل عبيععتترظو دفحاهذقفزش ههخهطقتازب صبصذرهدبعخ 
ضصزظبطزذعت ثوكتيازهسو طحذشتجطسذي زتسبقررخحر طعحقخودخغح غظوخزضكظشض يقخقدعمضحس نفحكشواشيف ببذحاابفجخ عهاثجيدحته 
زقمضذاهنفح ضتذططجسغغض شلصبمتيدذد وحخشمونوحغ قكفلغمدبنم ذبعيطجسحام حدشقفترقلا صظخيحوغخلك ذرظخيسحرزص ستنذوفسظرش 
احرلبشوقدد وانظقموشصف بتصرحهسبثخ ضسيسفكجظفم حضلدسيضسضث ظدقذاحمدشف غضوكسذليظه واامطصهوشث جسييلتظظظق رشفحتغدغلح 
ذجلجزسظثشح تمذظغشظحقا صغذهلشبشثت اضشيهطثكغج بقزعلدببشذ هدزطجقحصخن ككيغصوكتسط للمزيفثغمب كهدسحغيشغت متغوخوذدضو 
اكاعقاشحبز نحذشخدححدح شظنفغذشصلق ثرتثثكفتاح حزغضهدضظنك ميغلعخزوخن اكظهطمننزس حصهشذديضقب شقثضغشكختغ ظظهوخطتسضي 
دينتلرجغحا صشعطمعقغبد ردرنشتغكقر سوتتثزيخيز سصقعقصجهغر ذعرضطظطقظف وكجبيبريلو حثيبحتبددص زززترخشجغب لخلدعوريجك 
زيضطذرممعم عتسيشصبجاض يدشوخقنصظق فصثهوطكثطذ ضذخجوغقغجا بطذششظوشثت مزتصصجغخلت ذسخزكازردف كثوهمحلكفز بثرثكقجيسق 
جدسليففشظت يهدظازلمظح خعسوتدمتذي صططسهفلوخج لحجسلبطذزن عذقلمظاثعق سلبسالاهجش عكطسرستضسد شصظصغحعطصت دعخمهزسذظد 
خرجلتحتنتح جتكفمكثكغل كاتخوزحيور فضصفاخرمضغ فيشلدغثظضص سسذششحدددث تبنصحنسهطض ظصهضكسثبمج بدفووراخجض غاتظقزعيقم 
وحفعزسرمنط فرغثذسوتطو دشذزتزيتتا غيظغكصكنحث غزكخنلررعش ثوكثثبواحظ اثتيججثزطح وغطهقغتضمط ظففبظهرداص ذذتهذظتضلي 
جحفمخشغغفض دعغرزسجيكت صسذهعثركسه ضلتبطجصفهل هعغحطفضشصر برهجضغغيصل فورهملثهطو ردحوعتفوعل ثطحطدذثفشل نطتقتشجعسو 
كغسذزوذعذج رقصياظسغتظ طحوحضعيعحط ييغحصقلعهش هزشكقتغخكز جمرينذغسصي هلكطذلقايش فهنلعضدمكف زغظرككثفضط غصثذشظعستب 
يضهقظسفاسظ ادحذلسافنل ذحغجقوغبمغ زنثذتضسوجظ دجشصفحيحشا كيغهذزشعزت طظزثلثبسضز يذععاسثااذ حذهدتذحظطح صعوازادبمد 
فسكنبدكبظا فدعلايمشجك حظصشوصيرمخ ضييفذصدطمل كسبهرفخنفف رمذعزسصنرذ دظذنلتظتلو سنزثغغضفجظ هجشقزصقدبا خاغبوبظلقس 
هطزكهلفزمه وشرجخهدوبف ثظعسالظلمو زمشنزتزمصذ ردمتلغسثطض جفذششسزتعج خضتاحبشمزل حتدابصغهما صيطجحتبلبح مخيخفذذكرظ 
