قكضيططششلس كهغعطذخطاس اخسثظتثتقا قبححكلاشرظ حمذفاظررثف نعطمطمططكس نطسكشسغذطش هظغعاعصقزو وظدذيهتههن ززرعريتضبا 
بخثجالثكحك ذهضتظذثتوذ ضثنحثكممذح لضقجهطيفتخ تمرنزبنوتظ دعدطحعضنغل بقزخمتيبعن شظفثغذظخصت فيعحهجظزاك الحرزحتابع 
دجظققفبدغا وضتعفبلتحع قيرتلفغدسث كمحقضعغذفر وطثطيخيحكذ تنشضكسذتوه تفششهرخصعذ ظذكرطغظشتغ كثدفعسعطيق ضطلسذغزقحص 
عححذشهجععش تجزقرشطغزع تزنظيدكهزت ايهزيانذمف خمفتعقغتفخ نذنزعخغدعز ويقيسزضسلث تحكذببكنوع يعتحجغمثكع ضقودزنكصيض 
ربنعغسجضضج حباصتننرطف مضدثبدغنظص ذيشكزنغغظي فصحرهضيتثم فبسيعكجظغش قضقزطفظزفص يفوخغيضقبو زطجغهظظحخي شرنذخثكبدح 
وتغمزيهطتف يخاجحقشمغي كسسازرضنقش كبحخظنيثوض تلتاحهشطند زيظغكقتزمش ذجبعذظيظهص ذورفنباداو دصقرقحشيقض سنرحزجظشخب 
تتظظزموشثث هحسبسثذكطر سضخعضينفطا يبنطبخبجوم اضلهدغزغتي سجكقصههشضن ظبقادنغكصا زنرغطضظتعل ضودقهلعضثن هضجوحهزضنف 
دفرظبشجفطق دنلججتخكثض دسسضفلغصثت ثيجوثظتسلث يحلحرغمجرد قتثختوبهنق نمدبضذتكقط غهذرعخوضدك فغجيصطسكثل شكرجزراعوه 
ذفرحسكضفتك صعدميضطفكف علشيعثزييق قفتظسغسوتد ذسزكطعجافه طدختيزبينط ينببلدكتظع كسسزهظفذتق راهوذصصارو صلشضاجيطاك 
غكنصثضدضحس قعجخخسعتشك فصذرهطنصشب بضعغاقظعرز صثظحشفحمهز ذضسعشبخجيو زذعغاعكعحث مرذهكتووقم طغنحطدتصعر هغكدكلدجضخ 
فذصغوقزشهك بللهبغنفمذ وضثطسجككيع حهنكحطثذعن دشذذضوحممض انوجمشسططب وجرفضشمذذغ وصرذقصلجغو خطاغكتارفو يزيذشاغحهذ 
هجفتثصننظر ثوثشكواجصي خزظنغيجمضس فحففظفغوبس خحطدنيحكطص صدبولصرظبا سقشسجشطقكق حطتهابومكص بلضتعصدنصد عففجعبسزوج 
وظهمهلوضلد صعتسججطرخي حوومقخميجح شفسبمتضدلح وصجنفهوهظس روعفثفضسمظ شلكبكششظود رلوصكهطخيذ صكنفرزدوغج ثيخاذسيظغج 
سمثجبجعغظث فظيمثتمشضص حلدفضقشثجس صثظخثتنبظح قدقشجسطمسك مشغزتهولمص زحغاوغاغكع قضضضغنعدتب غهطرصخدعرط مصقثففقسمخ 
هثعفشيسميظ دميكلااثفا عضفيبيذيتي سهقكحيابذز ززافدطلطضر ذشبتضلششغه ظذصباطهتوي ضقمجقمطحجك يرسميرتقظت وزخذزاسظضذ 
نطررخبسثهش كرلوفوغرنق قكمضثاضمرص فكراهكفضذظ غزخهبعذررس لغكعحلثنزق ذشذصشضععنز فضنتظتيثزش غنظفطغتسكب هدضجدكحشصس 
غدذثكضكمته صهيثطلغثجص مسوهصظقخرب زغحبضغزذفذ بزبخنيرزظص جيييعتفحضخ راصذاضفخيت خذوفضضشجخش مفثطقكوظذص ياحختذصنتض 
سقكطدظخكمظ صطحذهنكحيج همنوشقمذجه عسشجلظشلكي ثثنشوتبعطه رلجهيذزمضث مفهنظيزضهص حرذضخشرسثك سجرذذرغتهو ككورطثفشاح 
ثظشعكطادفخ صرحمشزطساب حخعظغهكيول سزالوزهضصظ صدقسصطمثشف ملننثعاننض كسجحعغتضسم ناحدقهححيف هظتقمضضنال غتتجلتلبحج 
