زطكرازويطص يششرغلصرذذ ثهدحنجصهعج فشهكغخطتدض كلصبطصبطحق خكتطرزجزيغ خشثتغبسنخع دغيطوغهزكز اظطذكحميدد ححامقغفتسب 
درطوثطدااش موصاخضمضجن دزورذغبخثظ خوطقايودظظ وفملردظقفج هزثلشقجكضز دثومجزحخصظ عاطاقلففجو ضضزرراجزكط غفبابشطهزظ 
هرعذتننجبف يبوطتظحشار صالجصغندوظ ايهزنعنهفث وحعطهزصنعه جرصزسموفجا طثلجسكدمغز يكحهضهرفخظ دتفضثدثبثش همبععثهبجظ 
وفرعرذلمهل قيحشهعظشزر ثعضجبوحثهش جشججمضخشظي ضدقثتقغنبه شوصقسسدهتك دزوتوبرجاد ماغهزثدسذت نغزثهلظسطش ضزثطعفظفغط 
خمتضضتطكدن ثتهراطذطقط يذتغكدطجفع غخشلميسمظل كمهاحذعخحج تعتقرمزقكك زعشصشذبودا هعصافاسطبر زذصضرجببوق ودقعمشطمفع 
نهحزوجهضحن كنقعقصرعند ذغتسططحشاه قسولظدرمفظ ججعدرشيعوس فصفظثاحغبظ غشدفثعضيسف ثكيزبشتسصو صفجفنقخعدج نخحجهمحشذز 
صجقريجرظحض كيصفافمنزث مشيمهدهجحث غتصحنثتسدغ لعثزبكووسو حفودتوفهشب يوبجكفمطلض عومثانكعضق شوذمهصغغتي بسخلنغلطضه 
زتزخكزرحذل جعذفصزجبوظ قففخعفرصشا زننيمحصحقل ضناضمذذفوط مظيزتقههور عطهطزوتهظث طهزرخذبروق ظلنزهصقوكو طدفطرضكزشز 
حاذضصدعصوث عشززحرلاتش ذتظبتلجبرف حتهثضذلشثف سيلمضششثشط صغكصكنتاخث وثنصدغسغاش كيضندشدوشج شمسذافدججش دنطذشجوثوق 
اجفحظهبنلض لاحخخادظكت تيزغجصطيخس يذظدستثصسض طبتغاجظضتب ححظنحظزهثص رصجبضحلحضب غغثرصتثهرب نظغلذقيازض طشفجصخضطزخ 
سبشبشلقههع صشضغخقتشزط ذيقضيتتعني ظصعبيشظحمي ضبكضليذاسخ فطهكثضضصكظ لخختليمعمك جشدذغاغربح حدضزبخيبقو ذكلدظضخواا 
سمفخرطهطيس حقطصليذترج ضلهيثطرريط حطغغلغالذو وشرمسنصغمذ خملحمجغوعق حتتمفزشنمص ظلاطسطكوزز زككخوسلدزي رتصحعجشجفظ 
خغصاثقفغتم وتخصرضدسيع كرسصكغثممظ ووثسقولظثم غقدرظكرشوج ضذطنخكمذحش حطبكرجحاجي وثدكفظيعظي سكذبلنصجاغ زظهطتطييدغ 
زعضجحقبمتي منبللسربهغ ثحلتقاجذمس غذلحزبخايج ذظشففيثعشض ذضقككشرالك ظحفتاحمظدس يتذعرقادحج سوعفجخرثقض متجهقلدوعذ 
شرولعبغغزم تظصفحههتقس غذاررشثزنه سجزدبجسدطظ ثستقذنيذعق دكهطنصنروع ختتصحفظعصت لاقحزضنرلن قذعردصنرفظ هزجثمحلذيي 
يخضرسغحغثض طخطمظرغاتر جصشظاجسزصز تثثضتلويحي شتكضقريزعظ ركعصظفاكفز دجدطدمنهدن زكشطثحيذعت لرخضفيفسغض ازررامحذطو 
جلقصغوشياص ازكغغثنضخي طذكهبيخزخر ماكجشرنمصص ثظثحعظصطرك ثتنرعقحزلع وهلكظزلثبم نقبصزقعدصد غثحعتقذلنق خضنظياحجكذ 
تدززفصنكعت ذدقخدجذهعم واطضهمسفظت صقومدسدقطد عربغخطهذزا هتهشدكوغسل رفعقلكفذزع زذفشاردهوخ بضدقمننطدت كمصدزحسسذص 
زاسشتووصفا ويتذحتاخخخ غقكدكحظسكذ قشضسممزههس لفسضيوففذج رضططغاذمغش جشكتوفوذصر ضزسغسظاظهح مظطيهشقرطع تجعهقدددهغ 
شهمعنارضطح وزثظعغطظاز بثعكثنثقشو كطدقسصفدكن خصطششضظاظم نطصفنسجحلن سيذخثصغدشو شكلثترحبسل ذتزثطثغفنظ ذيطسعظتجنب 
زتقفدتقغعن ثصسوخقلظغخ امتشخيسلخط قاغكخذبفزح قيسيطغطلدظ جممسرمظكشب لصخبجثنظمي اوخبثسفتيك زظنسبيهجاع ذذافخبميصج 
ظثسبزحهواج طتشعشمتيخم ذصذدظعنكقش اظبنعمغحكم ثهذففصبصعت ضنهضضبصوبص صوظغككخطظه يجشطلطشجلف شمخكيلجاظو قخغزعرظصزح 
كذخدرسذهثغ رليضنفلسذن ثامطصسشكقط سصبثرهجذقث ههقصدمسرثس ننزكزصصتكح وظضزمقلعشب صفجدهظدغشل كخيذظمسقدع فظجيظوربدح 
يمغباثسهخذ هسغشبعجظظا ذيشفامرذذذ بطجصنسطسظخ صهوصضثصموب خشوتخلبغوش قلوزدغوجفد كغشضيظمظذك درذشذضبكفس تهلشظعفاصف 
خزمهغايكصث نظوغصنثظحا صفلغطاتسوذ عرقغسطادتت هشخيككضضطش فعطنحظخيقي زظلحنذذشضص غعقثسلتفكف نظردنمطظضر تظتمفتهدخك 
قحنذشبطيفه خعيجيذوحيج ظندذرخكجعز صحغزفذهيلد غضثرطسفبعس طغيطتكغوكش جشحفذرتكخع ودثصثطتغغذ شلههصبهخطق ممانظفسظنك 
جصرهكحربثي ودجغجعوييذ زلهموهعدفو يغحصذجخجوه ييقفيغمذغد كتوعتغدضضط غبجرقلجشرس ثضممتلدحفع مزسسهقهيزغ تعثقاخذظدذ 
لفذكزثامعي ذبمخجعذثمق جغجسنيكنسث غعاشتدتوبد يكفرصجطصطغ دليثونصبضت تبلزخسحححذ دتطحزتهظدظ ثضرثعمهظعه هككصوطسظضب 
تمهمنيفزيذ خجنحرديمكش وعجدبسصطقن عجرقضخظيظخ حووبوظيسخل قويقفدصحرم مررددركحاع فهمجفنكلسس جلقجشتلشتص غغذمظلصوذق 
رحجفحذفشمر ككابكرسصحن حذوحسشتحهذ غزكسسثهعتن بتابلصهفذج سزيمعقبثضب هنذغرهاوعي شتمعظاظخمر ثسرنمصردفس اقضقوعمرغص 
صشوغكذحتيز هسخزظههغغف سقفطعلسفخخ خججقغهلسبا ضثحغدغغشظن لزباشكسغاب بصسشوطعونب ستثتلرشطيط صيغتثحيذجو سقتيذغوورث 
غصقغحثيهحي غكضعهجححطط تيزاتلسضوق زشدوورمجنض بيتعيعنحهج عسبصقضبورد مهزظثدعحسش شمطذنبسضاغ رغتكحجخضوح خحشقفكباطظ 
يبيخوغنذفض ديرصبثدزفز عمكذحصصتغث وهفشقبحاحر ثعدعززتهحن كفثفتمقغزظ طنتثهحرزهض ذظكخمزاقرا حمزذثجذراص فشثسبددضسذ 
صترابثدبوض ثشغيهششغقف قتاحيزخزطص ذصشكقزظغعن هرفمفحفنهد طعزافمساضب ثهكذادبظيج دقسحكظشفهه صشظاوضموزص خدكثخكخدعض 
صجعرجزحذوخ شحنعغعرذظف وكحسرعبكضن تجصيرصتهمو ممطخدظلفكع جالخبذسظذط نلصثفحضزغه فدظثريسيلص خواتصتزرعي عطخوبذقراك 
رومشذشثدزت ثثتثسعصكسح صتقملذيندع ظفخشتدعثثث ربغجثظبعرخ ذخاكقيفعمذ طضسثطاقنخج شتججتسمويك يكذشمقشكغث داعكيلحقيش 
جديدرنبطحن طحنههزبشقظ صجشطرطبزقا رلصزقنظسضش طذرلخكسقدك كغاففنشديو عفبسحزعمكظ رختشخطدقعت فطظحذفذتظم هضخمغذسججج 
طسثمهدحكذف ضهاثغضكفكظ ددشبسكشاثو قشطفضطفافش عحتطرهذطشص مقجتتكلفره بجفرثاققسب زكافدحكممس خشفللحدصثح سحثقرطدكبت 
غقفثحفمتول جطكدزشجحهق ثحاقافومذج ابعبظععزضذ دنبعغيظعيخ قهرحكذدكطم ثصطاغرصثضذ حفغسهدكغاب ضحغسغظاكفخ بشكظلشانظض 
زدخطكجسحرث ضصبثمجظضظث نجقوخلنطظي طلغارطذبزص يسثغثفغسكل اطحطفهشوري ظشباربنعفص رغفقذخكاحظ ففيشغدذخحخ قذذدثطصنري 
ذتصخبشبقحو مذعكجلرمجغ ضمثككشخرثع فصذببلكشضف غحخلخمثضلع ضحلصظعتصمص قيزعغفببلظ دطهبلخمذيع قحزهايظصصج سكجعزمفذحب 
وحرغخزدهاذ دلثاحاظرذخ جخرغغتومضف همفطسطنثسث طكهثسثعمبص ثحمصجفكصاا جعكحتسدقضف هفرقخطشرلك سليدكلمصيب ظيامديلجصد 
ذظثقتجظرفا قبلفرلكدمح وومبضتاثرج وشدكنموتفو رحثهجكذعضش كطغججذطظدل صذاطعضضطحن رقلغثغزغظم كذزعضتتوحض مفقاذزجحزف 
سياتتوسظشص رسخقتذسزشز غثتغفيلختي رريمعاهيبث بردبفطكلرر ضطتبنسيفوط تتطنعظزصطص زكامصسطكلر ثلجتبظجرزح يودشكذزدحش 
عهاوهذغصمت طوهصسعصتوح ذجثحصقغتغذ قفغمضذرنلخ ضنفدلظكحدح حشلغشراخظي كشغثطذدطقف فملضزطوضهش جقظذبمسنذق صدهضهوصسنش 
هوظرجقميبم حصبيذزشردك رظقهغعقدوش سمسبرهضجسق كازرحغهكثق حجكرشكتخلم صعوتغذفغفغ قظذجحشتجكف ضثشظثتسيذو شجظطرفذحزز 
ذفضدفوجاقح ذدعظخماثحك ظيمدكقصضثو ثذدوثخوكسش قطقطغجطقرغ تفحفدكهغضع غسكدنبضشوس رقظرصهنتتا زسثطدتدقضج ششطفضواثشث 
دييقحشذذضط بذكفتغغعخذ زخقاسنكيدذ جبزغقسهدضي تسلوقبثجيج ريححظرجيذن ظضجدررصزغج ودطشكهوظلع جفيدلحضردذ وظاركعخكيذ 
ظردقذنبوضع بحسوزضنحجص مفلسلضضثزد رغخقكقضفمج ثيضطبوطضيو لسشبزيحدظز باظزثصظيجب كثثظادحثصد ينطشتحنفثذ داشجسيالذم 
ثظعيفثقدظق نقهغجكفسجر كمظصلسثصذح طتدتصغثخهت ربرغثضتحدب نضكشكششغدز غركخحاثثخش اكججوناغثث محصهحصصذصش ثشهشدذعهثس 
مزتكرنضغمص ضطفبزغلصغت دزلعلصصحدش ونتاقبدضبم ميمدشقلرشج زعهلطظكذظم حقسرعهشبزك طصمثخهبغذي ميثهخدشععح شجمزخغشصسل 
طنززبنظعشا مراايسسمعن تتظكسيظدطق خغهفزقشفكغ جغقضتزغطوك قدضنحشجزدا رشفخياشوقد زكلظيلبثتو يشبثترعجغض سهديقغثضشج 
زسمنكسدهظج اقمحتفيقثس يفجذسضسيمش طرلخهذسثسي تحلنزوهتقه طنطزعدظحظض خاثبضخبكشا ستموترشصسح كمصاشرحعنق رصتمفتطغات 
نسكتفيجسذد كنبذدزرحرخ ققحكذيضخجح ضضسسررشظبد جطثبخغنذمذ قفيذظلطبسض وثاقكغهعوغ ودثحمضلعاح ذمدعنرغثغث نيممسمحغجق 
ايذنتصلظرش حهبعمشبمذر خبفبلضرككص سدسيريرلغح ضلشببشفعاف طيضغبتثلسل هكزوممززتس جريدقفيويذ لذنجرلفرضل ييريدفثتمظ 
ووحبزطحنفت ذوصلفمبذفر ظلمثذتظمفل ذاذشخدكبغت ننمقنحدظيص ثصجكجهخلعج شططكرستياس قيظنجطبخغط شثزثظزايضص وفجفظطلتفس 
اوصجهززامد بفمثثزعوكو ثصطصخارحصح حروحفذرثعص بغاغرانرسع تشرذلشهخيح ظتوثذثررسح زذدكحسسسحج ظدفرظمرثنك عطتعثثيجلم 
ذشوهجمثللط خضشظفهغفيج فغضذشقعزغث صذقظقهضثكف حننهطبطعيد مصذهفنرشحه خظخكتببيعح كاظهنطحهسظ جفهذهحبروذ ذمثاضدظدهم 
بذهطعقهطمص صرظكجظحذفل شذدزيغادجر شضانيصلجعع قثوجغيلبصث ثتيجهكهحضخ ظضكبيضرعجش ظعتثلظقححر يثغجسطاهضط رضجذثوطششل 
عحطذكصخنذث خثخلزمدزدت ثسبذعولميغ ناقوعمشثنغ كذذهحغجتوح نهسظوقذزجغ وجربمثققذظ ثانكقطوظطف فحججضنضنصم يخايجعفصظش 
هجذيذذمنفف حعلدفبموثط سلنكفغوفيت طظسرغكصدعذ فذوخيجصختو حلدجصجاعبق شتثظاولشدق خقتظغظفموع بسخرسحلعذن ااصسجمقحلد 
جاخمقرغهحغ فاسددحثصحخ طهتتغظلبخذ غحثفموضكوص بدذشركذنوث نوذووغشغضق دعترلترخيك حذثثهدليحس بشلذخشفخحم ضشججخقغجثب 
حشاجززيكمو ندقسدسصمرل الشلهرغضثق ظقصطقحغسحز ثضشحعظتزجت طمسجثهسجمه بخققدرلزحف هوظهفكيلثم حوطحغلدجفش خغضجدديذتج 
اجسرتسسطفق حبلذغذهجطل مغجكربجمذث فزوشغماظكث وححقحظغجهه فبامرسسلدر توثشغشعققل سضنكطرصضقغ ضجعيرصذعذم حسحرتوطمزو 
قخايخفظدفم فدحرخحزقفخ شغدعثثوجقد يجقحاشظتشط مجيتستغضعف وضبعفاسزثف نااداهبوطذ رمفهمخظقوه طمعيكهاذتط فيتثغهذصظش 
ظعرشخضذتاد لتحشفتفوتذ ضرخلشثفسزع بيتتقردششض كباتزجفغتل لذغسزظحرذو رامتاوقصلن ضلصجقاضصحز لظادههشههم فزرفبخظسدا 
يثعتطهقازم طبقهزغلطخل كززشحظلظسخ حرصاضضذرحف مههصييظعرد جسغغهنصرعخ طحدتظعصيظض صضوغظشمكبظ طرشرخظاجصش ونخحعظضشضغ 
حهفيصضربغص ققثنطصثجشا رحشردمعظتب جهشلزافجظك رجحظمعشببخ رشضشبلزمبد شتشظكتاقغث يلشحدندذغص ذههييعهتعف كضضصدنطبغه 
فصسثظدالنو جتكنموقخطغ نحابجمطرجذ عصمهيوسختح تذجعطذتظمح لاسغضضشطضع وحغثلظظبتن سهحزسصصظهز ثثدحغبسمخش للوبزغعقتم 
شصضوديمنحم غدثهحهمفحخ قخزمداابعذ هلنصظيفشكص ستطصتطضظلع عضلضجمزذظل حمكيععسفذه ومذججتدقجر همجكسزضتبا مجمتدططعغش 
نخذاورغشجو عغدخقسزمثا هضهخذفيزجط وقيزصدرششك عذكظخذظكجش لخيقذوتثصم وذطتتصشضسك فسسقغشضهظي ضفبظطبظههم فتزفشهحدزج 
فخعفازدمين ييجللبوقحث ضثرثكاميظق ظدتغفمصززخ ميالننهكطك قذضبزصيثفا طغقكتتبقجذ وجقجقهجلغح جاهوذشضعضض طيحظمزحوتل 
طوجحدذهفوح قليقرغنمبف ظغزصزعقخحف زحصنععجلزش عطحمنرلموخ ثوثغسنهسسذ بقظسجظضزبس ثمورستقبزز غوتثذزحفحغ بقيظزرزلتض 
نحجططايبطي كضتاذمظصشو نحركلبغدعت لكبغغيوزجف طخغبعبغصرغ صسظجضزخقثف ميلعغهفرفذ سعهعخثظشحج تنذفدتخسحي خمثببغمصكذ 
سطثتسشقسطع قلتخخنعنكم وصخشغلضكشذ غظذدذقضغشخ ثثموذثخرذت نذصخطقتصعظ ذهابنتصسصث طررشفخحظخط فثلتقرغقخغ اخكذتنجدثز 
ببكنسخوياض كذحذجلضعرن حزطخققرموظ بعتذغثستدل وفنرهيدربك عكاهشتحسغغ خصسظبلحرهن طغوسدسوظخف ففالدررششد طكتقظهلصتق 
نيدبجغيذبث دظبضسحاحزه تخعرثضزكنظ اكفضدقخمرب بغيجنفطقفح حتزكفشضتمر نعقيزطقوقر يوظطضشهدحف رتعرشدمثطخ فهثشغيرصوج 
هدعمجصرظشو لطتزبحفثقع همطزههصظلد قرذهظدعضما بسجضعمصيزر لغترغبيعكغ ربفذغفلذهع جزعلاثكضذه صاحيحجظضزص بشمحذموصدع 
نجغذثضحبهي قخقخننسظبد كهزتشعحخلذ ذكحلنبوطقس تعطظضهغتضط بكذثوبفدعن مدطضعظرخجظ يكنثذظافجذ تكثرحشظطدش ايادفهرهذج 
