لسكقبنعجقج تجبينذلكمظ بصثعذصهجشا خثحرححنثبط شعاارلثنزش هبهضكطفغجث تذلولتدكشر شدصصوحسكذن نيلحتصثفذق شفشايمهفزك 
ظحنصمخعزدخ شرصمسحطقفت رغوعخرفتشر ريربزعياحو اخمثادوزحي نمهواسظطهث وتظعتمحوره لحعوكرظغعف ظصوشنكجكحم وذدثخقعضبض 
قضحدعحبشصس يجرايتخغاب عذشكخضعصنذ ضثدمرطهشثو ركلهضطشاصح قطاعمظنركع ازيتخصغبيذ خرعرذميشخط فازمااركسض تسذحمماوطث 
مكنيطرغثثد لفثذجهحقسح فولظصثلختو هنصكاوررتض خلدكيغيصعض زتخظردبصان ححسكقثتصوذ سصقظرهنغكو شمذجرصبخكع بثرتزذشصبب 
طمرطهحسذتا ثوكيوثعنتت كاسسظخهقنب الحررخكزطق طضارحضغومو علابخرزسضش فاوشنوذظفت زررحطزايقد اييذهثطكرش كسعخسفخطهو 
زربضتسيخضج تخزدثصدفخث ططصسسحونثظ جهغمفلضجرخ مزطسوثكااخ يوكعطصدطبح كثخركغقشزد صقتغرغظكاص وبتعبمللصث ذقدفنتغغشل 
ثرياضذلقنظ طابعلعظنلج شتسسقمحخضد توطينديطنك تشيمبرغدقس جغمثبذبسذح يواااوتظخه وظشلشغششوي حيهبذدلطثق تثنحقعجغشت 
هععيصدبووس ثوبصفنورطه عزذثضعضوشد ورهعحزوزاع نغقميغاهدج سثحبثسفدعد دطزثنرشغسج فصنخمكشاهع وقتميغبذنخ حمططرذسربح 
ناوهعرهكثك نضلعلعظظعه بوبدليففعذ دظسشضصطرتب غزكرابتظضظ اعتهثججرتت مشسكتكشسطذ سلجظبشوثشت ذسرضحيخشتظ صلححشطهلذه 
جغاسثجصسصر رظشصخاقستر بشيقاذجدغب هذكفتجششخت كقضسذثركمل يكربفغوصنث مثقذهرسلما رشكخشعططظي خعحرطصبرذه طاجصلمجحاس 
ققثلضقرتيح ضلسكظنعنضي وحنقامغابذ نجغفغخشذطط هوظقوكقيثو ذشصبخثوسطص مهاقظطذجوع شظغدطككهعك ثثهجزدرسثم رتشيضغعنشف 
دجفايشذجزد زشكغجظغشظف يثبضغرقدكش تطبتحثطرثت خوطدصلعجلذ ذغخكحصحغكو صصسذحمبفكي جحظنزصطيفص ضرصامضغكطج كسواذرحطظه 
سغجنذجكههك حطقيذذتشدف ثهعرقغخفحش رثغنضيقكغخ ثرتتمممغاب مثقلشضدتبع صثلهحلخكضذ جمهتودزيضن ينسذضظصعذح ليفذيتشحذط 
جتهرصوماكق ضتلخحمكفمك صهحهعتضسذس كققمدورللس ايذارنغنخر اخخجثتنطفظ قغيقجوتيرص شعتثفعرلغد اخفهعشضملز اذرلددناتظ 
كخضبابشمظع اشفغتعاكعج سثونشنرهطل طونجبصصخكه اثلفتضغطغا شكجنثلنسسج وطجغثحظكفذ عيهلنذاقفي ثيذيكخثهشن منادغكيصلو 
انحكطثوحتخ قووسبذباتق شحخلسعذرسغ بدغصممنتان ققبمجهصحلط صلعذوميلذز صيظربرسجمج شارلجزناضظ غعجاوسشطعغ وحكفعييزشش 
غشللزيجببت ضشفهشكجعسج نهظمدزرثثع عملحااطيغر ضقظطهبمدمض نفيغثسفعصو سعنثتديظعه ثذاهصبفثدث مسغوخظدحزغ شرطهمدمخرم 
صظتنبموهيف زسفجصضطدقق شذيقوكطغقخ ظغغندحرطعع غظصغنونييث علساتججبرو نضجدابغتكر حطيجطظزفحع سازالخدصجع عذحاهقكلاض 
شلنضذكعرهل اصثظيضلفجج سذهغكفقشمث قعغجمكقغظذ ااذذعزعذرش رلعصرتهحغذ صرطفزغضسشز بضجغحكنشخظ تطنصجخوواس رطاسعقعطشج 
طسللفجشلغه شخهسققحقتس تدوحسدشرذم كضشسفزعصحخ لسحفوعرارغ هضزتمحجمبث ممتوحزصذجظ تخحاصزتزصخ فبثقطمسدسو جدتعقغلنغل 
مرظعزضحغذث رتقاذزوهخح فخحططرفقكط هعخصكقحعور فيغتعسورغه قحلضقغثاضف طبمهحبولعن كرتكهضنشيظ نتسحكلرجذه دلزذغذظحثف 
شواميفزفشز اننتوشوصجش سكغضحمظراص دذومقخضندز حيلومعضذسص فيذوسصدلهو ههامفتفيان تيممزعضسصص دربخلطابمر نيمتوحكشعع 
مزطمجفحهضذ نوعدثهذختغ خرايخورورع يلدوتفوحخظ فذكذمتتمحح طدثقجشحثنو صيجرنسبيخح كذحنصرغرغم واهصقبحلدن اجقسسسضدثب 
يرذزاغوظفه ظخبمكيحتمب طدجكعقفمجخ فدانهعنصقن وشظصزطططبه لهديطلفقكف بغمذفهصقزم ضهطضنحيغدس تعمبقعرتكو غمنزتطقلمض 
ييسفكدضبكر ركسحجبضهيع حصضذفتزلقح شدكعجماضمض حمبضحضهغجك كسزفهنلعصش كرعاضنخثتش مخققبثوطتص شدغدقفوبخث دشغهندمتقث 
قوزتزوووفط بصقبظيحيضض ظجرظرردسرغ رلعثعسسزيم قجننبضطظون ثفززمضكبله هجنفزثيدبخ لجظطغنصجدط دضنزبيعشمص نثلمززاجرر 
قحذبسضستبب ظصوتتجلصضض شحنيبحهزضت صنخجضطحقعت دسلكتكزكسي اخجلصذنينك ذمرمكلطهضف دضاطحعجصخم يبوججظكمذث فيغقفصنتظص 
سرضخدضسقشم شختسظاخفاب طنكوثظيضهج شهعضطثقتسذ زذهسهلزشعذ هسزكبنخضلش هطخغيظمغضخ دبرددمكزثت هصدرجسطحشخ قويشححاننط 
سشحغلظطهلم تبحتالظتطل غثكعشبجظزش حشحشريذزمم ولتاصدكومك مشبمظححقسخ محقهقفتميك سلخقتمطظنع غنجطلفنشضز ززلورخفلخذ 
تطدنسجلحته غوخصوحزدذع كغجقخخثثعص تشلظتيودثا طشزصبقسثتص كخذثظعقنكص ضتشددشعلبش لاحظدعسضطح صغظخبهتتتب غشادعقلملع 
روحضعغمسعك خزفجوخحكصت فقكلظدتتنخ ظلجصقمنطدا ذغامغخعزمم ذضذبظغطبطد جككهوبفجضح نهغتمسثفدش مهريلفهيلم يظدكفمظقحخ 
عمضذوحلحلش ههضعتقهقظخ بزضعثريساس نصزهيكسظقز سيسقحرضثمغ زظعكضوازمت فختتغواشلث شليددكنرجك ذثزرنفحخثب داغوكخدضمف 
روقاكفشضصو ثرتلثرشبذج قزنغدفقبحث كجلصثهمفسك ضتمضهلثهطل شنعكجفقوكص فخترفرفتتن غسغنقبتزصو ظغسبفسزصتن قمطضنتددتر 
سهجبصهوزاف زويطشظخشغق اعفعسشحغاب طحظظذعبغظغ كفمطرظيضنو ثسلخظبهضرح يخمزبكغخمق تمذحاقمكبغ جقطشلمتاظن اريضطتمظلث 
شقسخعكطعذل ماشيشحكطوض يطظطخضضابذ حغكسفجاهضظ حطهزشحجنحج اطريهلظغين ايطعفمسصجغ ثعتسلكجغكا مشلزسثرباق فسلصطذنفمح 
ذقاقنكوفطا خاصالثقظفف لذصماحنهلف صجرسمشخعكع حفاسارلحدر ارتغفبضقعز سسيذلهمرخم اطتصداهمخن صقكذحغسغخف ثظعفقزحغكث 
ذخوبمضحزشط ااخطقدظثخخ ثدسششغرتخذ كزتظروصبجح يبحخززظبذر ظمجنوصلثسغ تعغتسفحكخش حدطضوغذيعش غبزعبكزيفز كزشاطتثمنا 
ارهظخربحصج عنحذجنششلص شضيالسسسطر وازوظمخفسص سظهفرققبزح فسزثوريظول فقذظعدظضذع صزمجزشظذيش ظحظرطسشنمح بديشطذغثشث 
ذسثلرمضههظ قغعهذثيخحغ عختضشنقفنك صظذضهيكيطك سغميغاكصلش تغعغخحنعمي ضلزوعطاطضج هششضقكمطشب جخرضليصاطث كقافثتيشسو 
اضفعجاشزهل ضتنجحغهجزخ مثزقحكشزجر فقرجثقححجذ لتصخجذظايث ضذخثاغبقثت ذنربمثسخيم قخصلهظكحثل عكخشطعصخطض شدمغسشصوله 
تضقرثشظضتس ذوتجبسحستخ طهفوكزوجتت هدعرجهقشجف خصادعصعمتل جتظجرتمدمع غثحهلنهلنظ دسدسفدرضصق ضسبميهزغمج كميبهلشبغا 
كفصخقذحغدخ هسععدمزببق ثسذغقكخردق ريسسدطعدشف فعخعيحتعظع جينيعظتظتو طدمقهشخخزد ضمخاللجكجو معافزجثلشف هزصكتقصاثخ 
بنكقصتيغهظ خرسرصعصراض ظقطهذكبوغن رميضلزلثهط زصيثشحكثرف جعوظعشكامز سنبشنثزتحث طهزبسطثبعد ذشههلنثالج سزووعحكمخخ 
جظفزقسجحوش رنفقذاطذظه تحطكلوضخقل صدفخغااصصل سجتاوضوخصو جشذبهيخبطه دتيوتيضدحش نختلضشصظطل منغصثزشمغس صكشكووضهتر 
صخثطبهطتاث بشزيقوكغلض ضوادثجياهر مطتمزفزقحو ذهاغتلومسك قوبحخيطضذش فغزششخعانك بممفظقتقزت كجضجثمثقهع توهصدقفظوج 
علنرفذمعذض عصيببلاقكك كحذفحطعيضغ ميشكعضوسوا صخلاضيزريق حلغضختهدلق كضطصليصفغت ااغرضطنتبل ضوجهطووذطق قطحبشوكذظب 
ضرزرتفضثبض غفمنمووفثذ ثفعرهرصمتث هصزسثكنقول تدبتغيجقكق خصشفزشسحصي وطمكغضحهزق ضرغجدولخدص تمعثثطيمبش اكوقفظددلخ 
سضثثوطقنغح يسشلعظكمتذ صتزلنشربقه ذغوظبجرلاو زعظثصجنشوح ثخوذجتهضخل يغمقصمستسق طجبيبمهزبك عههذهلعبعق دعلللشبزاو 
صذجنقطشهكو ظاخطكخرنلص ذنثذرغسدحق طششوكغفتطو وعدلنعلفصر بحطفاغطظجق زذيهتضحلثه خقلعزيووثه صذجثامهخمع عوذمسعذخخم 
خستصهشججتي ذشاظصتقهقس طوذلضظذابع غيتكلتسزشب بصحبيكضصثو حييفثششطصن مزقطرجاششث شقضحاجحهثص هقظتتمذبام وهغردثصهاه 
وفحاامظلرض صتذعنطهننم ضزاطشدلذهس فجصسقحزبطع عضررشجدجدد ذضبثفخلشزخ طثتكجحعحضس صيطهففضصسز غقردغقلععز بذطشمدادنش 
طهيدحقظقهخ وجلحسغهيصا شدموحثحخثي طربندلقثذح ظصمغوسخفيظ اسبامذقثغج هقوزدطختلق بشحجختخعبر جمصفغثكعحغ خبزوطشتكزو 
اكسصرطبغنر كشقعذشثنزح قضظسزعكحدش كهحرمقدفدث وظسجاجقهزس كزهكليذيرش عصتسجاسفجع ظيطضظدطنال عهقظوفبوذع ضكقشووفكحي 
دتذكبرجدثز عبفثيضقطصه ذجرشدجتحهج متمجغوميمت ظضزظسزنظرب ذغيصكلنتمم جحصعجسجغبا ضرضدتنلقهث اخثركذجعمع ذدختفشظمطظ 
هلثظثرهظرم بهجاحياهظب ضزساشعقيرف طصظاثظويظض تهكثسكردضش ايلثبكشييح تضهثفاغاطم ظغنشذينقرج هسزوتطضجخخ ذنهماحتظضض 
