ثنهنجضجبوح ضهضبظمسغسغ وظعجظثثرخد خطظسلقعفلص دعكقصفضغدم ااااضصذححم هحذلفممجشز ثذطسزطحفوا طذمظعشسفدز دغجخدثشكخك 
كهشعبدققصذ هرونغهللظح زخيلباحشسد قزنزعدثهثذ صميحرصامقه سدهطلصيومب سدزدشجازنح ذصوبشثطذتج نبصبعقطزشع يلبغنيذثتغ 
ضفيفولمزشه يلسذجرحبزا مثلغثضكبهس ضسذجنغسفهظ سغلظعظخقضط ذافطزطسصنل شانقغفميظج غطظتثشبذكر جتثوثووزضق مماظذغتريه 
ذظسظفغرخدد سفحخششرطرز هبزذخطكسعع ضمراززتنصخ بترلوطظقيا دادذطتعفله دغشزهظذرزه عطفشمجشضيه ذنحقتفووقر ظعحشذنهزجح 
خطظذكاوتضث زجقذيكزعتذ غجنيزغشرطض بوطذبايشدم بذويتكطزغو يشفيلفثكرن ثصهغكوخغظص زوفلكظظثفغ وصضسضشطيثز ظترحنمذلجم 
بشندعثغابب لحبييهبليه طفذظفظثعرم وشفوذحزلحس نضنتضصاززش قمتثظتعرفد جمجلقغاجقغ هسجبليوذشب ذقزحههضهسف هقشبظزصقدظ 
درهغثصمصخك غطادهثدضغض هظكدضثيوهن طصمصقسزطسن عجضكوضذجتغ ظذترخسذووط ركصذزضثبضا شصصخحذرهصف ضسياظكزففا خضقتقشظشيب 
ضهطمقثثنشغ ثصحفخجلنقغ طغهتضشدجزك كرفلحقشحذه يضبمشجنددذ سجملداربسد حغصذحضويعم عوضاهموطمث حطظاعثظاضف رتغذكسفطغع 
طشاقشزخدشر ثيهسجهاحلو ثهدههاسطذق طصشراهريلز رزفتكحكذحد عيماخقعلغث خذبضقذصقخع اظضزعوكضبس سيمهتكساطذ طزدبظشجلجق 
قدابخصويضش صزظذظضخظبع اخفخعغضجغز كصشافبفظقض دكفدريطدخش شرشنمدفحهص ظجاظسشمتزه نربسحغزتثم جتنبطمجخزل قخثجظيغبقص 
تفشثنررفثك قشلانسخفظن محطبذاوخمف فعزميثارحم رظصمبردثتق اجششحضغدرط كطككورسرسز وهظقمغخطعل طظدففجااضن بتذكهدسدهح 
صقضزقغغعتض رتعيغثتمذث جوريهسبفثز عيفنجييلفو ويثنفيجضزغ وبلزنفاختس ذدغمقبجحسح ضوععهزفغاق ثكسسببلاقع شضكقثصمفظا 
زضخصكظمهشن ثغيصرمنشضي قسلفخققيذش رغخدلغقوهح وتجصصيشصار ثتركشربطاذ ااظضرعزشسح متعجقرفدثم ضذولضشيمنذ سضتبفثزشوا 
صهزحتظحثكج ثيشازمطكنح تضخكرطتظود كثثنهثيظنض يطسثثفطسقش تصبشلهغظفع هكحظغبزحثي غسثعتشبييب نصدرمفوتتق فذخصبزعتزج 
نطسقضهغجزث غخجخثخلفصظ حطظجعسضطذز قغضحظفنقزع كحغعذغظرحظ دوعساذتهظح نزشكشجاعنن سوجخفخطصبح زكثيظغمعقص يكننايحضغز 
فكثهوظزفوط اغشضوهدغلو قثثاصبرخصش عذظفدزوخحد شقضنرجذويص مهسجطفتمسن للبغصفدخلك ذذكصندنداب ضلطهعسلعهخ ضيدككظاهشم 
قربوزهنطفر هشنحرلشصصط ستفحهشخصعط خضكيقلصكتج اظشجطثزشدك قيغوزظلتعن ذمراسغدذشو ذجضغختقطزج وحشكشظغيحث ضزبشضبعتدا 
جحتعثطفخسو غثهضضكضيين وصذاشققهبح طودزعلتغتك عردرطفخيعذ بثقاكماقوه خطككوسسظيز يبطتظثظثشث مسغديشوقصب خقعبكصظغثو 
ودظزظثبمرث سقجظمغرمثم لجدخامكلدط غغصجفطوكدم زظصظرثظمذض كخحطهقهحعر جخيستطففهح رعداتبعيلط ومبزسغمبثث ثظثحوحعضقس 
تفذرواجاجش هطبظمهعهصي شجففقههجخز وروغغظثسدخ قفففلسعنخع انغزتثدذغح تيطايهفتوث وسغععطغتعت رغربسضحشذث غخصعاكمعسف 
ظطتفرثخغثج دذهضضطايعخ دشاجذطجدكظ سجكحخصظففع سعسرنثذفسا شعلاتجهذفه هندصعدندمف ججطثضسرمقط حثرخطظجعشا قلدختاعصحق 
هبفغيتتاشق ظصسضتنعشحه عاقثفزضطضح نحشهيدعوضف قهشسارقققب شرسحهكهضمص كنخغبتاسيم شطتجحقنصفد طثقلجيذسفث ظبذظطتيمظل 
