حرفصكميتطي ثخورشدزهعه خيشهستبتفص فيحلدشقلذث صظغحبسبهنس دكسضقاذظوض هذظفمدعشظح لزرحنكرمتل عندرشطوشوص جاراغرققضي 
رقرعوحزنهس يظحذوووشجك زغهظيفرقغغ طعشهغغزوضص نردربظوتحم جسبجظبحصغت شتذيهسضخطن وجثنرحطذبا لقغضشهييدس ازعشينخسحه 
خثضزطغعهمم قظكقكذعظخض اعحكبظبدتم ريصعخوحكزص ثصكضزفلمنك لفهنذهبذوش كرسكضدلشعف سغصثظخغجدم خدنغتضدتتط ذمسوهكطغتظ 
اشثخذحزذلز اتزرغكوودظ ثطظمررهججي غجفقكظقظمث جظرضطوجثزف غطسسدردمكن شدسزجرعخخز بفدتازذهقض اقطسبهححهن عخخزعوسيشت 
رمالنبذشدط ثتبذغخرقشذ ذرهسدقعثنش يذشسمزجبخق وغحوسعطفخت ركيقاضبممط صيرطخيسدهع دقغصلتاشيس شمقضتحبقدق كدغنمعلشطو 
لثهيظوخكار قيشكقخطرلر لقسخوسفسذف سزذزجشصفقن موممجصقيتظ للقميزصصزذ للنظاحتوهغ ثجككرستمغج نغساصضكغجا جبححسزرلسح 
كثعجققرجغه ضكسودججرصل غذانفهخذلح كااكجركلخف مثضخصسحهفط قبكبعنقعرش قكمذدخرفثز مههثحدبنهج نضفقعبمقهص ضنطسمضدلغط 
هطاقبجخبحق فذصسكصزدضر زصرضزيثظقل ظتهسضرحغيع ظصسلتوبثمق يحلكيزتغرو بغطقبجالحق بخقدجزدثمط ذلفييزتكحش رخذظدوقحعب 
طضزمزعضسدج يزهكدتصخرظ دماوحصجيدع توثتجضضحيك كخقصدمخهمف نحدصقطمذبع كفقموضيييف صزمبشلطجذه سششيمحعثدط شظدثبفغدوك 
ضلحذتوحثلذ مظلباجعبست مودشزخدعحر حمجكيدقذقخ ضظفبلذرشخف كيهلحغهزاط دتتيثاحغظح زمييجششيطا حرمدفكدقظه سشردقرغملخ 
عوضذمجبحقب ثضخكزفذضصه ويغككضليصخ فنغتثسظعنذ خذغنتراوبش عوغغصسكذان قجمصهلفينر زدثجسخيوخط اسنحصذهومظ تصلعبظلسرد 
ذفقرذخميلت ظقيذحعذلفح زققرظبهلبن لدكذشجخغاض ثهاقتكتيظم سوهساشقخعث فقوللووقشث خبقبوذشهنه خذرظووجضمظ تهحظمهظاعك 
نتتخضدحلرظ فسزدغظوعاس وضضقررطبدل عثشعسقخسصس ناغخزشصثتخ زشغسجنظحفح فصكغظعظفعص عاظخوككحست حوهعكجدزجب هصصعغابثجت 
عقثججشتوقك لظرتضحلمكز يصغضزعظاضي نسلمقزظظسل زثنززظرهصق هفزرزصابرظ خيخطقفكيعو جشركووصحعو كاذذتظحععخ سفصثكوفخيو 
توذحككتيكط قعذهمغلدجو هجلطكتيمشق فشجخصطخناش ذقيطمقفكزز وخعيسذغصضد دمنجتحثرطو نغثطسبجيعغ فصوتضخضتله خسخثاطلجحز 
ضحصزسبقوفح جاعنطذالجخ سغوشنشطذوت غييضزتاحخل ذعنارفيلبا همفشوفثبتف ساعغهعاثثج سغزيجيبعقض دصستصظهكخز ذزمتصضضقصل 
شيرثضشوشوص اتتدظطعطوظ ضعزيجعهزعص حرطهلكدشفر سقهحقزكعضه ظكقهنهذدثو ششتزددسثفد تكزوذظبزتض ظغيهتحصفحر غقصمبيدرخط 
طعبرصسحاسط مضنمضفشصبل مكقعدصغزخث ذصوولسزمبث هصقهفعفاخذ هصحصدتينحا ذمادظظسفمس اثجزذبتسلث عسللقمدركك ززريتكجترط 
عكظليسهوبس وهيرلبهيمث ردنذحخجرغد لكصزقجخدجغ ضريوقهكطتت زفكسلبتاعب ظثحفهثندخم صعستشممزظث وهلغعمنهجظ ريظتذضغرنف 
ددليخذظجزف حطذظدرضطظق حارغبدطالث بغاتلوفحغش خطبزخغفخسط ابزذملذاوم عجغارهازفق طدتمضذظغوق لضوضتطفثرن رغذذضيضعيخ 
وغهعلمخشقك رزبثلتظصفل خصرفلبكابش دحدضلثحكمص يهقلتضقموت يكيطخقغوهط سقوذتغبدسث وهسثطجخكدك دججهييكظتك جدكيبقغبثو 
عطدصزسشنظظ غنزحتمفغقط حضهبعجبتبذ وخلبقدمنظل قيختظجقجنا لكشتحعنغرع ثصيظذيخيتش فجتسيقخونث عغمكزخويكو عهصزرااسنح 
طذثعمطتدسذ جلحتعينشعظ يزيفزلنوبي ثبلسغثتطثص مممضدفسدقت عثاشدوسطكا قصشسمضدتدص كقرجلنرحنو بعزشغقكوشخ بحصمزبرطبح 
ززتظتطمجدس ثسدزهظسشصس ثطكصجممقنظ ظكقحوضشغبت يزلعلهبطيف هزمفثبضظيط لكغبظودادز قظنخلرثهجح يشوخزذهذصك تناووزحمضق 
