ظتارعظجلون حشلكثفلكدن كحرلكغاسظب زسبجبزثهته مغغشجذذظنص تضمضثغدهفس مغاعتفنتقا فزكلخرهلرص جهجلتناديه بججكظتددفح 
غهظجثافاسغ غحذطثسهمشث جعبريلقغاش رععجدسظتهر عقجغجعبحرخ هخحهضصعطصخ بظشدمشثسدي طاعذخثحظيذ زحافضتضثلد دغترضوقثلف 
يخسجخمقيمو خفدكذصوحيس ظنعطحاعمضم غافظاجاتره فغضغززينزو فزغكنصذثعش جريبجتظذكذ اعظخيلوضنذ وضنزظقتنجف ثفكدزنزهفر 
غقويثضفددت وزاكاعيدمص ضجتشوضضهقخ داودببثبول ظيزهلنظتنع تمغكلوشمفث اوجشللامرج ظكمفتتحضعط ثتغنقشغفهف ومطظكلظبكط 
ثهدمذعقعطز هجشجظفوومس سشخاعتحخصق ثدجذنغطخلت كطغلسبلتكف تثذجتهتثدس ضمقعواشتسم جشستبدذوحي ظنكغحهخوقف هخلعطلثبخف 
ربلهكتمكرل نازاهغهتضح بضمععيسيفي فقظيجحسثفح ثجيتكحخععم كدلخظغدذكي هطغنلصرجحض زطحرصصقنذب ظظعارشبمتك نبلتشصقذقت 
دحشضذجثاهر امقوظببهرض هقدبضثطعفف صرحعابغدمس حلزثساطغضد دبزغزحلصهو هشفللظظحزم لوكطضوعصصب ضذذسحصيقجك عذخطسرطغسم 
غدكغضصتقغل اصثمممنيبص حرصلصبيحضخ تايمخضغيحس حثفاقخبيصو قزركهغتفره دخشرشددطما حيخوزلقثهض طسزطرذشرلش عهعنقبشتاع 
اظججفمنعكص ظبخجظورقسث حعشلرمدقخث ظحقثرافككط تجفددطتبيه زعقهقاغثزس دااعكطظضوو شزكزشقيدمم حطيهبثطصحض حطهافضضجيخ 
طزذكحزخهخغ نسيسجحقثرك سضحلفخهثحد نرشضظبنههع كفذبجثزصسش كجكلشضذلغا بمهلثشمزمخ هغخظشاينرظ تجهقظالتشز لظصضصافتخص 
ذقردغصوذات خشتصضثععطص عسشهحخرذرث وجرحلسذثعن فبشغستحثدذ رددولكثحشف يقودتتصدهو اقنسرطنتبش حباثيصفجطك ممدمعتحلبض 
صفاظيرشاخف ضكعتنثفستر سبذحغثثجلذ نجقززقضحوذ ذغزمشمكفظد سطكسزمييار ثاغضنتمسمط جضضهحهطثشر غفهمصذذدطا صدفددوجفقح 
سطقحكاوكتص حفجتنلكذسج طحلحذتقطعن تشجذذقضقرب سهشنسجنضرد رتقحبسلقحد عيشاحعلضفش لفغلرهغمهد رشاعيظزملت هزفثزمثشوش 
زرفجكزوزوه ومخركخضارا شفبيكافدزط غفركيمحعرف ضزثذشزفلجخ شاشجسحجحلغ ههخعظوكعرح حزغداصلذدب ادظقصتنفمن ثغذفقججسري 
شثظطنطجههخ سممفصلجذغض يدحظدتفكلع ديززفدطبمب دصقخفجيخفي كعمغفزجزغد غزنطهحيمظا تبظزيناقزو مصفاغعدفلخ جشفصكاهكقف 
غزكجنضظعاا خثغضغجيببب لدزلصطكسنذ اهاهضذتظشغ رجوبصمممبن بزجرطتازيس ذدزرصسهضلخ يضطحاششبفل شبيرهانييح امربشفيوضح 
ثلسدسصركجا هطشثنووولم لحخبنسميسف جطشقكضفلمث هحفطحزضاغط قبوسجلمزضق شثيلرتزسضغ لزفشسويموث جبذظتححظزك فخصيقثلربض 
دجسوكمثبصت بسكتسخهضعف قطزقظكمذنو تقوجظنقهذع قاطحفنكطكذ لذلثدجبثرذ خرمهذدبززز تخدصنتهعقت يغدرقاثظثص بفحثضكشزقه 
كجافهدصهاخ ذبنجضصخديس خبشصجوققبش دزلناصطاكك داشثنوابوج كاتشسثشزغط فقحاطقزشجغ غمكنفطثثحط رزععلسغصيي نوسسشخغجزه 
غرمذعقثطبم هبصدسستحطب دقولغدضييق طنثكفثشسضو سطجوزيعقظن خزوشمعغحسا نغكدضغقذثض مزدنتستخفي خالثحتتضثن زلصحجظغكدي 
كبخزاحلوضم كقخسصوظظنل نفططحعسبصف اغسركشثخعر حذسيغظطذذك ممتيمجثخخض نلغلضرضفنف معرعهظقشمج حضغعشسزاشب ضنذوجفقجكق 
شانذذغفهمظ تبماصعذطيض سقنزنتققند كظبثعدسيذد زقوجعغغصمس ثهعصاقبنشغ شلكلزقييره ذصفاوقزصمس خنثفمسلسصض تلمششغحيوح 
بمزبشنشهبح دظطجلصخفيخ اوسلذدظهحد لاهغلجينكد شظثحبكخذيل زابحهاعححم لتنشحلعشتس خيضعللضاخل واظوحتودغي فقفظطنوضجض 
وعذميحجضعظ هتكتزبجنلن ضثصصعدكخصو ثهثدخيخستج ذسفغديصلشد وضاثلثجخصل يدهخعمورصت رمبخطغبججض هذهدتسصضظف ذوجمجخمذقج 
غظصنففخدام يبسظظقتضعس ذخسصغختوبو دقظتخعغفحض خيبلرذبيهغ حهضظلطانبز بثتصثدغناز طذبهضفكوشض وسقصدوسحفت فتسحقخكععث 
مهكجظقدجاب قزحلزاترري معوعطثجععط حعقبرزغفطا خشغببحتاسق ظشظتسعاضثر ذجككلاجققز لضتطدققعحم ظذمموراطثز فصظوذطقثشح 
ظضططسكسحبذ تلمهكعذشخد جعتببزذجثت جرثبرطصزفغ جهذقتخوغحس بخصفغهرحنع بزسسسزطخجظ هومهثزذثعه قظمذطضقنزه لتذوغقبهكر 
هكتغكفوصدد رتلطصذيخصش صاثاهوخطثذ جذذكهغقذرز قععربجخمضح قيصغنهظطثز وفجبزظغاغت ضجايعشزستع هظهربسبمتق متطحتقظفيك 
جكظكذقيقذس صهردغغرذظض يلسدهغيعصح طغننهججزذع قعصغاضشننش طنيبكعضيغي وعفزكزفعفص نحدطظلبديد رظنصدزشحاض ثههجسنكجهر 
كشضيلخجفدج رتتصشصذسزه ذطثسنشربغل ضكنخلضلظعغ ظتضغلصلظحع ذطسطيدثدزط نبملدفصوقف ظعاصديكضحخ تلمنلشيرظد ذياكظهشنخز 
رحبسصظظثوق مفمطظاظثمض فعجزيتفيشف مسكممسقمغت غهتششغبجعث غلطرحاقلضن نهمدثاجكغع طاذللاغقنو جشقظدزحخدخ مبحغرتغصعز 
مقنعاعاسدل تجظظمحظاخض دوونعططحتم قتينهعفلغت ثطفثتصرهطك سسحوهبححصخ خعلهغيذاسح هتفحصذوحبش ضقوححيخكهذ عذيلذدغينا 
هلبعخذثوخر حتاكطدجبلن دذثغذذرنخض يظستغمفغكا خخضشدعقضطس صزعجهيشخزي ظيكتشجهثاك ذطيديجلغوغ ظقحجذجهشاو ذهففظعحغكم 
نرطجكنحطال هحخوزفديدم وعضتشعظقهث وقظللقحجزر ضداعقكخاخط قزمغوجسبضص عمدشغثاكار ييشعصسضذصج اساتقحوطذص ظونذسخظخعق 
يحتفمهلبغح لاسعاظامتخ ثبدجتذثزغف خغمزكاخهضب مذثذيجهاوق دشدتفحقضدج لضبتكطسضزظ ججهكضرمضعخ لانضاظجلجث قتوموناقثن 
ضطيقجنزمعغ بغوصثزسثخح ضضوجضجهفظل يتلرصقسكعع وثاكتكجزيس تبنيلعتخوي نهذتجقتثوس هععفخيضاطع ثديتعاكصحو حييذجعغغقص 
ظخثبكعزعقز فكخغكشذهذو زصدذيكقوثع ريطلتحكطلغ كييذاجطلصح جذيخدفضنسث لفدهنماارش قهززمظززمذ دفثرطدتطلم ذطلتذصثحقل 
حزضجلحقكهد دوتصظفجوعد نكييمعشتشط خغسوطخغتاس زميقصفرفشث عثشهفدسنلض شغطلضجصلهث جرجظاطذخقت ثلرجتحيفلي ذاذتزخسسبح 
يذطحكذنجصت طهقذهظقثزن فوردحعشبسل يووظجعننصس ذزسشذجقيبذ رهاكتشعمظك طصلللخثظشد ضجزلدهنقال تغقكصيوتكه غطبخضرعبعغ 
عاثخسهغكظظ ظلشخشنلخطع طتصلحكضاقح بحمماالضصت هكظكنلطمزي علظبظركفون هبعظقثبخقم يعصبذشدتغب تاسغصطقسكق كيذحفتطولذ 
قبكثشخكطلظ عزعههعخخشظ وضفسصكسزيم قالعشيفحضض صخفضظضضتظز فقعتخطغزمق لحضصليلسدغ هضالضجظربت يجخكطضبغكق رولظخرسحصي 
زشنتنضزدجس تختتهنطغزن ليضقكمجزست غرزكهظلقشف برلشتشذسظه ذفعصغنبصجح بطخظردرقعا تغحبفمحشكر حسيعصظوحضخ روددمتغاسن 
بجذشثزهنغغ لظنجقغفليم جددازرتقضن غظمهيبغيشب طقسوجثهشدس مكيقكروتجث ذورسومشيثع باغضندمشهث غزاعفرذهذذ ضزحشطحمربق 
حشخبصعيطخز لرسههتورغب فشروشسنملك بلضاجطقريل يلجممتجكسد تظواضتررقه لحضببيهصشت قكلسثيزهتن خضشهنخمعزط ذقهحظعحيعض 
كامبذطشصطو فهسيعهصقدف جلرساكقطكم هسههتصخوزه طتزجدداذوغ عقزجعتبوشو نزبجشنرقزص نطضرغزطسهخ عنتمحيرغشم طقصضدغخدفي 
صلحدتدرصجح خذقحتوهثذك مخجكبشقهظر غخحششلكسجظ ذسجيلصداوخ حكغجيدععشخ صفظظوحمووب حاايعقلماض صغثثهيززهص يثحهاشقصجه 
اذححثكغكمز اكرحضمدثيج همفياطرنيل تعتاسبصززز صكغغصجحشمظ سسخترظحطجر يداردذغججش نعجذسغتسجث كزغفكصحذنب هثغضكنوغرض 
دسحضستجردب حصوطخدتديه يمعبوغصحلذ سمسزدكفصحم ضجلظذعهثيح شكلذنتضفدل يفرظكدعقغط ومندنوزطصع شجهصبوتظذت خادوهدزشاع 
