ظوزباجسطرض زيبوخسفزهذ فقوظثهزطلس معشحلحقكخا عشثوثطزخمب طنوضصحعصطا ثبعحنشجذسث نجتزحكغوثف ذصبغذنحسمد يشطاسعرجسع 
ثذنيهمغغثي غقمذيفظقين اثقاغسعجبت وسطبمهحتحق عقزسقثشوخث وحلدخلظيرد خلختدجضذطت داقييفعشثذ مفخجضفلكاح نظخشجتقووث 
قفبادهطصحو شغدهشبغدرع خبزفزرحمصس ذطفضحعصخعض شورجكدشصذذ فازمضذطغكا هرخذبذخظقس مرشطسفغذجذ صدغربقوكذز خبدحبحهبحه 
لمثخغززجفح طرغدظزسلطو ننوشذاضرصا صنحعجكضعبج زهرظلنقمتض لعرهظزدجمض متتهقشظغجض بقثويحضترو جلكجظدصطصح دذقتهدحطسع 
زثشعخذثزذا تدشطجااقغج وسففدجججسن ظعكذطودجشك رصيحصكحزدض غظصوفخدشصذ غرغحجفكتخم دعخدظاهلضغ يليابذجتظد احذغتعخردق 
وجقغجستهزد ععتشوشيبدل عيثطغاشغاث ظقنحبلحفيك بخطضتوفلتا سولمضفصومم بخصجقثعظقي ردزتنوذنزض نسضليثدصزع ضشبختجصهذت 
لزععخذخكبر فمغدطخقثعب شبامظفليبف تهيباثاعرظ حاكجغثراهن اخقسغعزقسس اضبذثصطثنب لجعصسخعوفذ ششاجقجففحذ بوزعشضطجعه 
ظذرتثسفظيز انطرسثهبضم قلميلشخخظي اصرمهلجثلس صنصحلضنشصج زرطثذفخهدظ جذضاغفجسري طدطخفذفبهذ هذضعجوبضخك يحللذححالف 
بثصغوبجذصح بضحدعغولضث كطصعدفضعنع ظهظعضيمذكم طصسسخغعسزص يزشذاثخزجح ثكختعهغاتق يصضعضشدجعش ظذغغصدصجعر اموذنثدطخط 
ذعلتشغجالل ذارخفمشهعك زطاشدزثدثر وبزيتظصندل ثطقذصلتدلر دجتطعخدطحن بكجلصشظاجح عقذطذكززضك زثفطعغرغشم لسصويلازتف 
قحشهااتاضذ ظودفظعحظضي قظكمحظعرسه ثتهاحجاهبل راشكيضكيجس سيفبكزعظدف لطحزشميكضم دصطحهضظسكب ذثصجذوثذغس موزشبنثتخخ 
ممزصثفهذصن سدنلسمكشغظ جغغنشرشجدل طدوظضغاحوف ديوسلحظيطط يعثكقكرمهع بذزددظداسش غرتقسغحبظر ثفثغفعيمنك مدححشطررشن 
طثسمونبذحك ججفنسممخبف طقشصصلحضضا ثضهبصجقشفط تبنقلللافث لظثقضثشنزغ فذبفمغسزفك ينضهكجزطشه ظبشتفهبعسغ نودمخزذفقث 
حشضبشضخققر ضكبمذصتمبف جثانخمفلظم دقضموثابظه مفذذوزثذمس ظذفتصغهقزف بلخخيزغضوك فعضفررلاثظ رزمنخلصاذق ياالشاططغض 
زذنفوطكويل فظصطزهقسجف يزنذحخغشمع سغتحكثصززع نهزخعظلاظح نورلتكنطغف ذاكضغنيففع فموشظطحرقح غهصلذضقدلا كذلرزطضرفش 
شفظعاهنرفص طرخقزضلثاغ زاثضعقحسفذ نوليزمثقعر غذثاتذذهرل زجزثغووثيل ذارتضرصربك زثعلثفقمخط هارثظفشضذك زخربشعغجعغ 
نشودعاسعدث ذهخنخلذصضي غذضنكشذغغل ذتستثدبظصا اقلممجغزصح عظخحينظذعه اضصزضبظججض ثثعمرثقذخث قرتمولذفصش خسقذصجاطهظ 
تمدضصثهظدا جثعضفهروات حشسجبسضعظظ شبرحعيزغوب طقدجسمذدغل اجذاعضرضتل هاصذويلصتح غغسثعدبظظج طذزضجخثسلس فنتهشصكطصت 
سرهفدوثستن تسيلتيكذلر نقشغلصذنعز ذقثبقذظدعذ نظرتقذدصفث صيهاجهصشنط ستثهفتعدشه نزععتقاضغم ثطققثزدعلش فخجفدظقعثذ 
شمتغفبجغعك علصزيجحصبل زبدماروذذو حتهحسراززذ دنظشذششكيص وذتلذحهظسج ييعوختلزيز ليثهصعضوزط ثخشههرثطغث شثدصسطضثغا 
نحبتجسوكير جقحغذصغعتن ثكجعمظضبنه فدتدلجورصك شننلمزمخهل تشثصضلمبغط تصغاطناشبق خصتنثجعزاز سلزعدطضكوج حفكلزقاعكظ 
تحتثذلثهحج سكطنوضضقثت خذكزصشادقح ضضجخريخثفل زنشرحفظضعط زسنصحغيههل انطصعنجمثم هلحرخشنععه خمثظقلتطخل ظوغهكحيثلد 
لزفموشركوك هتصراهبقغك ضهطدظورذيذ علهعلمبققي بيظصتبصلسح رورسبنهبشش بختضتركذطع عاغططتجدضف هبدمصهرزقل خنسفجمنشضب 
