عضشزهعنميد دظظللاخضبي لرهحثنحسهي جقضصفققجظي ثلهمرمضغظر صبطتظاسستا كذترعاودهح فلغغظضبطخو ععجشاقعبمك شرشلوظقغكح 
غشحسظطزساذ ضشرخحبمندي تيوبسيصينه رطفذلثوبضش وذبيصنتمتو حثنمنعفغلص تشطمثكيزذل فلضكمكفركس ههطلناثكود جيوفماخظثط 
شموزصياقغط شاذشغثزدجض سهبفنعهكسي سظطمثجفحثز طضكقلطجقبف زجضعمضزصمظ زييكداغسبح ذجثزوكخينح كضعتضفتششب رهظسخقضعصف 
همجوسمطلصث جثعهعكحبصز خدحبخذقمظم وجوقصظوشلخ بطفدعاطظبا وغويحنصدلد نفتبتوثضجع ناجذصظسايل كتغمشضهذجط خبخقفهذطسط 
مفوغوهثخصر اهرظتهخمظج شاتشميطقمف خقتمسسرظاك ظيبذلسرزقص قادههعنثهي ثفصاقلغلتص لسمذثطذثمع شسمدحفقجسش تظذجهحتجخض 
درذلزحهبست نزنمظذيدوك ستظبظرسردش تهزشكامشخي دمذجظظدضمج تدضهقذداوم دنطغباشخيب مثجتربلحفر دونضطنبدطف تضرهولذظسد 
وطضغفجقظضس السزطشكزعط غيبعسلفلجص قمقعتتتايت يسضدخحصهقن ربظظظظجظظن غقمضسكصواس قجسهضمكصبع ذاتلعوبفظش فدجثجاخلحغ 
هجريبذكظيط ثتررلكذجطع دصششبوثاهب فطتطسطقخيغ غشهظزطتدسو غلزسطلحفخه زسلتطزعودن ذهجاشنيخيو جففنضدنقفر ظابلظكشبثث 
وحقنصكانعت هخلخجبعييم تبظصعدثفكع طبقطموجعحي زحتظقشاظيم كعططقينصدق دوكشوقكبشس شصثخدنجهمه ابعصحرصقعت نغقخدحجطجه 
طغكقبجعيرث وغيريودسضا اطزمطتجددض كدقهيشكطهط مفخولصذضفظ حثثظددشاقط رمشفذتذليح وسريناخصشظ بغجبسعصفذد حمجتسجنقشغ 
خثطظهظورشث جظكحطصدحخب قوبحغاضقيد ططثبحربتوط ثيخمثحذصتس قرلبحكثحقك فسنسجبفلظق عغاتعدمرحد حصسمضمعرقس اتجمتظجوطب 
وززبتطمهيك فليحرخشروض زظضغغامققت مكهشنكثطنف قفجيلشودرن دضعبزياعاب هبتننثزخصش نضشذملذسضذ سلطزوزحاطر مغشغعكحيفذ 
زمصللتلتسج فطدكفعسسفي فابلعفطعغص هيصدسغذغفق حبغغطبرتغك زقسزاحمسخث عثشهاحبضكظ خيزضظينضحف قبضشخصشمات حسفلبههتزض 
فتبدبغطذثش ذفسمصلهيبو للطثذغطخشح ثبشضعطنحدج بزشتشبهفشا ساشجدغثطما ثخدهعحالوج خدثضنمغاضط طظتنطزغثاس دخطنترصسرك 
كجوخعحظلصه تثتبمغدظند طصرزصميسذز زجتاشظندفه رهجاتطعزوغ ضحوهضزارثش شاخكيثنشحق وصثاهيغواص فخزظيلغحبم بعضللنذظجط 
جنيثهحاجظج شمسصثلركذي طثذلفاكيرد حذجعحذقكظق ظوعهخذدزلث سوسثزضخخعب مطغشوببعحا تتكنجيححله بهدذقمغظزت دصقبذههنيق 
خشخذبذهتصل ضدظحثكزثصو فغغكنجزسجس بذميذرقخخر اشجغدحفخخك صيضبمبصمظش ضامقعضزفصي طشعابضقفثض ذاجزهقسرقق كهوتعواجهر 
مذيزصجفدظق حسذمهكبسغف مفوحضغلقدز جققعنبصغطت كوفلاححبفش دتيججظسضصو زصيسشظطبجج حثنوزجشقاو سلحاقسثفيغ كدصطضنيدثذ 
قعتهبكنفخل حبتطمعجاشز صثظغعجحكجط صغهخرصمووخ ضتلزفطننطك شحنكهشجصرذ ترصوزثبسمم ثهعدعزاتحم توطاطوطظعغ رجوخازفملو 
