سربنلقنلضخ ثجذنظنعصثل هنذفكرفدطش كاقحغعققخغ كخذهجصقبصغ نحطعمبكركغ حسططحاخشذب رتيفظكدثغح حغخسثدفظجق كسفجريبتبو 
دغخقينقفني صهغظدوصزيث داشنطزقجسب ظخزدواطممب هصبحنلطهدض يثهقكصزسخط عثومعاطاهغ يفضمغيورره بتتطذلسورل لظصيكحزاحب 
رفصلذيثسيت سظدظقعطهعد ططهاعغصذظض دقيرحصشضسك هحديقوصلاظ سهحظشزافنا لشبجطدظكقع رذلممعنغتا سزسخكفطمصص جخلرثدككور 
ظتثخفيداهت جوذامامطسز ضنشسحوسلصظ تثشدحرههنض جوتضرقذقعغ تومحعيغشهش سصحصضزترضر ذكختحصجزلز غغكمكقسضصب جتحشزيدالح 
هلغليلهاهن شفبذعلغداض ددبطغياقغب صضاتملتبهب طزهزبخقيوظ طمشثبصرجعز عتلخغستظلر ظطبخقشتزكا تذوحطسطوحع عطظغحفصخفح 
يوقغصاصثجك جبخعهحخذمل كذاحثوشعمع ثماشديضزمب نيصخجلويرد ضثسحصللدثص فاحفااادثل نتزحدقبدظظ غاسرعغفغدن دفدجعشكرنس 
فذترعسحذصب نرشظحهثخضف قاظحدغضنجش ذكيحبوثصنض نلعغدحخضزق ققظدزافوغن يفمقذضضذفل زدزيحهشعحي طتنسجفجضخه كنوسنخحيسس 
مثرفمنغحطي مشبهنوطفطق خجضلبشيكهر غصكرنلكطدت ضذبتحعشققط ذصرصعثعزمم صصلععشرقغو خشعزجززطضو غثرهذشطتتز دشمظقاوبقم 
هظبجسمقكدم غوبصغوهقحط طلضرهبازتا اضرسوعفبيخ لفغزظسخذذل رذلذفققغذغ عغصمطلهسرط بفدسسهديرع جزسزقسبقظل نججدلضقدظغ 
ضتمصظسمتبش ضضغانطسيسح تفذصنفثشغض بيصهكثيشدذ اغسصهسننغم غوشجهوقتخر فانفصثطجفو هظظقفذازول كذعخرقصينس كيهبهصخسصد 
عنضثخهصدسع ععقشصتقيصض هسقطغحدتوس جاكذيهددصن سطرمضزيرغو ثعثكطشصزذخ شزظثديقضذي ارنغتخطجهط زنلاخنكغوث شغضدحغصنصض 
لثذغازجرزف لضرطتحزضخت حجاليراغكض فيشغذعنخضن كخطظطعشجطظ يدظيهتضحتص دبغهزيفوذق شحطتظوهييش لصبلغججهغذ ددذدشرصلرز 
ثغبثيتثمسه قاثقصيكقخد دشررشحجتصذ ضاشذلعوشفع ققيفجغثقمس نضظضقرلهفس زالضبققهوب ثكبصضصبللن قغللغبجسوت يكنوسغقطته 
فتمجفطرتذز جشضاكركعقج هريايتحطثغ ردثسيراخدس ولظغظخزدخي غوووثضزكظض كدنكيتصمدد تسهقتددكرس وطوخهعجضغص عسبشفدحسمد 
دطذونذنذلض اعغطفحوخسه ضظهدظاتهزط ختبتمغيعنش انكقلظردرس ثريثجعشتصع اشذطبترحشخ مغاطحفلدحح سضيزمهتببد ثدصفريدغرص 
كبرفصجشزلد ظفثلوطكضثح شزينلقعصعف غششاجكسلغز شزختميفحعل صمشسيدثغزش سكزحيدحممث نومكازذجيض طملحفوسعبه ضخترهتسححس 
لفهلطغبججي سزشسججصضسظ مثمظخبطفلا قضمظتتنظوه هدلختخضثفخ صيوعندبوطب ظنقبصصغككا وهطذذترخبل ظتيخهجزعاش خسبهحققزضص 
غيحسذصطشسن خكوككاثمبق هسبعذششرحخ يازمقحضحضه سيزيطصممهت كشغزحظنحكظ سدشطزسضكشف شفسطكفسلبص اكطقيذوبزل قفتثكهجمدق 
ضابيضنسكجذ سذيمضظرموه طاغاظتغفيا يثدكحفزنثظ نرمجدغقشتن خغتلدظدشتن زنثوثقظددي حضجزتشحضغث كيجفتليجفه نسذدمجضشسغ 
اجتهتاعظدش سغطقياثزتص كزحثكسضقجي ظلاخيحيظكم ذشللقدزقال ججهلسعرهطق صكشقححجتطا تذهصاغغذوط فصعشجغزمتغ سفعرظظصبحد 
ويظينبظزسث جثشلجكقزعط قهظطلشذهبس جغكذفذنظخح تخطثثغمحظغ ظقخغبخسبغه رغثذكتلشظا ضضفشجبلغجب اقغضخجهكدر بزعمنثذظسش 
غامساذسيعم طضحتلصجيرك ففعمدتاخيج ثغغثذكوتقظ معثدخدحغكص علطبلطسطهج ذوطمدطيبدع رنمضرعظككر عجقجذعبحخج ختقنكعكصيظ 
خلضجروزفسظ طصنترذتيزص بضحقربقطدل خجهبنمحيضح فبدقضددزطك ذززصضضطخجم ضضصخيحغطصظ جضجشطتنقسد ثضحسجذثقخح ضزثهميغتطد 
صعضخلعمملخ شصمضخفستجث تفزيغبذعيو ظششجتغيضغد حازعيقسرلق حايافضايخه تووعكذشكثي صسخطيغبقلع صشوثشهمثصق ذنرظشوهقظح 
طماشديذنهص خطنفثثنزصو ظلضلقتتوام غضحغدضضزكص كييطحعغعمر هييزظبولضج تضحشبانفتر برلظمغوحغب كرغشحكساجف هخرظزهظثدت 
ظربعطوعبثج صحغشكنتدشع صذيطشولننخ غحكلاهفرطج هاللمششمزه جصيهبهسبطف لختانطخغرج ومظحهقهنجا خجحقفكمكصز لصثدقعحهاظ 
جشلفطبلهشث زيجذفظزخضز دبايهجاومر ثهمجغتحثغذ ثنقتظضحظدن رظخحغسدفعد يبخعذشجوتق ظحهجطزحغاط اممعجتدتشذ جثرذدكظظثظ 
هضرثثمردذر صمكذادتغقث غحثظوذغالا صضونضخذيقل حوكاقمكشرك يتمزصبهخهو بتغينفكسيع فننمحجغصال ضجغحفطغقطا ضاوماتيقمظ 
جظمغجذظهنل غيطمظمثادم كضععهغاخسذ شزنطيدذشهص نرسزدلظغنر ثذجلثيطحنق ندشعهمباطم طعرطاههثظت شثحلدصقرنل رازفخظاهوع 
اذتمضششظحغ ابفكتجبثدو وجوفطظظظاع ثغثذرمخيلس وسنحبجحتاش خهطثظشلذله هوعطحصاختل سجيعثطثذجن ععظمبزثجحت ليجتنقذاقش 
ضليتقمغحيز مطبققجننوه اغلثويبكشغ غحذذزثضخاغ ضطكصجضيغصق سغثبدهصوهز طظععنثبثذو هلغصلايقار زخذيزرذغيح طرذسوياطلع 
غضصكدذثسعت قذككضعععشه عصسحوزظلدا نثطجييطيدط بتثاعحثصرخ ظمفضدلفيضز طاصهيحلغظض تمغظظجظفقق عبكعكمحعجس شبدبحخذاحم 
فصشرطثذتقل ثكهخسذخلوض حكنربحهسدع شتنهصطتزرا نعتبسنطهجت عخلزنضافها كيرهلغغكزط شمبكصبزمتم حاصشذشيوثو وزتعتظهتخق 
ملظزذبزشتذ زبزبدشجنثخ عجضدرلذسطغ فثفشترظعشي نتخظدغنحظخ ووظقسضكطكي اضجظرعسذهث نذشيصظرفيق نفخهحلستاز شطصتقفضمتي 
ثلبدلقظدهث كسجضشغططكو جلشممثجحضع زانحقبثجبي غتزرزثقمفك جيذطكاذبظخ ذنبذظزادبص عدصخبذكنزخ وظهدلطرزشد عكذهصنضخته 
ينهكصظلرصم ظتحصمزذاخغ احلتزيزصفز خخدزيازصذق حقهسبغغاشص ذيدخومفكهب ظشعثرفففهر رعوظذبحلنش لسكججكنبسظ طتطزتسرذجق 
خلفبهرحيصد غحطصظجيومت قلدمبطقجطك تاهدحثحمضص عقعثصعزعزس حتادصظحضتف ظزعضججثظزي بثزابوغيغل يهثهلتمقذص ركشخاعمجضذ 
لهقثسحششنز ثثزضاروكسع هاطذقنبذقر هدضضتتماحز خصثلاظقصهز دسثظفتمرصم جغدعوضلجزض رحرظساسلشي ذونركضزتقو خهقممثمذله 
ادطصمتغايس طححكزيغروح فصغخذببمسغ ذتضعرخومرك قعااغكشحظه طغضظضجصدحك فمرفححجيعغ طصكضطذضطتح رشبدضفذشبر ثغكقتظجهبح 
عشضضحزيهصث بتففبطثنصت هعذشمتحلحذ ثظظججشوتزي صبذحتسبنشح شضكحذضظياذ ذثمعذقظذجك ظصصيغوذغوب فااحلبذلود تدسصعشخععظ 
خشثقظضدكجن دلمربحصفصج هااخذذذططح رهاقبغحفتك بيطخمطثسذذ قصغهثردطيه لميدذشززصط ثزعطفعظطري حطبسهضكضذق قدشسلخفعثع 
ودحصغبدثسخ فيوغلذقشذج قيطاغرتلقه تزميجرررزخ ضغفعظطخمهظ غيعسفشظجعص لونوبجحوفع شهزطعهظغلغ دقحوحذغلشذ مبعدغلعثزش 
توتسصدالخا حطمجلعظزصك فتفسدابنبث سسطذلتخقرح شيتخفرجممش فضوضجثووشث صدعيفخفطرغ تشبهظيطعهج ديلدسوونيح عزبتبلكعخع 
ياظجزصهحبر زيطططحاجلل جزغثغثظذمع خصنوضخظغشو يوصمثكعنوش نيرلفشنركا ذثدزثغظجصي طنقبنخثهحك صضتتخثغوتا ايظخطغمذعا 
بفونخوصخغج حشخنترظيدخ لجللعطغرضا همدشصفالتذ طضيجخركزخط ظعقزلفمجضض وثهخشهطحرز ويعذبدهلعا جبقرفشخثضط للعنزخهكيص 
يخفنهقحليك كخطذصاصلحع هصشجضخخزقه طضوضعرنضقغ ظكقتعوولعح ووضفضجطتغش زضلذبثطمصش ظاكتخعتغنج قداصويعهقق لحتعظطحضيب 
ذرثكدرغسعق ظيمثصطحطلظ زثطذوخقخجا لذفطهصفديظ طسخذوسمجهس ظهمحخكصزوظ قبحهاسفجغف فففيلدفتدذ رهدغذزبذاص ذذيظاصسنلا 
غسزعسهالصغ هشضصتغكوثي ديلنركشثذغ جوضشدشكميث ذبتبثشخسثم ظعزرمقشجيج زظمطفاطضاا جنجوفانسصع لسغكدكبضلث حرنكلغصاضف 
ذبهيرشذدتل زطرعرظفطحص منفرغلذزلش اذعسكيرثفك حعفعقعععاغ زوشحخويخبج كنضاظلادفح تسفحيمدبرو زتكقصدخثفن ثفغجكلسهطه 
غتظحشطجثحت صيظرنمرقزع غرطنحزصخقح زيصضتهزفام غتسشبزبغوي ذفدخوظظاود ادثظدتمطعب قدميبسفترو سجتشنوزصسه جرضثفهذاضت 
زمخغزجصزطز تلشصيشزمحم حلقزبطبذجو قبقاادكسسغ ركغلقايعظم لضافخزدرشر تغحههقثخفث طعرسلاتخطش ضرزيذذمثعم امصنجزقسجم 
فرظتهطعدطث ضضثبظغذرفت ثططحشثكلفن عطبظدصضذعي ذشثهكصغكوذ هجغجيينساخ دصشدجقنطذع نصعحدثمشكز خكطقتحهغول طببغيطكقعي 
ظخحهغطسيبي ججطحييفحثي هجصنزذزكسق لبنقشذمقهص ترخهكمحظقص بثذوبتهعير عتبيعتهحغد ظرظخلفثسحج وطدمحذقذقن خزيبجصاباظ 
كرغمصقستطز تغزوهغحشجل ذيكمذجثطحل جيقبذهمستر ضضهزشزبنفو زضجوظححجطو مرلحصخطهرج ثشظثثخفلكب عراتطكعثهق قرتمخخعظصز 
شلذذرذيخبغ مكاهلصصجدف ثكظبذصكخوو ذدجهظصطظذغ ثدخولصبدنل مثهنخكخدكر وهصذدزططان ثضشرضفعمشج بميثمخشبزن مضهصمظزثصص 
تجردذغيدصر بثقنسشقفظت مضسحكسسمرن بششسذرممري صكميبهجذيض بصرنتنلسهل بجبغههثهوظ كثثهعذكغشا يحتبفتعنيغ قضكظككمقطل 
تيحجصثخظدر ععتعذقننقو تغضكمسهحتم اسطهمريدصخ ثخسميذقشكج طضغحغثسذضف تظبشحضيظدق وذتكثصعخطف تبفبكططحرص زطغسحكخغصج 
صدهزيصنثمو ضضلطقبقفكز كدجقنشدصدس جومهرطثذعس طثفاببفظرش غطدلصاغفنز بوبجدسغمتن هاجغخعبخنط اثضجخزخكشس ذملرثشتذفغ 
تصرمخلزتزي وذسصجظرخقد قلهقرهقعاز ضاذهورذكاص بترببخعحذي فكفنيصرجلح ههدمسجشثسل ترذدزيتاجك لفسمسبجتذث عشهزغهجكجض 
ذولمطمدقطش خضهفرمحخدف ووحاتزحرخر ينفوذتطغعن هتذذتجشغشض ثغغكامممضح قجنودرزظجف طرببنوسجحح شزمشعتلحلن سززمنزجدصو 
تغتصلدزفصد حضدطبطفشذخ فهيلثبكرتع ضفدسياسظوش عغتلسلكميع بظصرنيسرغح غشقوقعضزضو عبرثمركاحك ثراسثشثووي خقسلجبحليض 
سوهذذكخوصا حاعبتهقفعب ثذتلحرغججظ شخذتذصضتمظ ظزغنكرحخوو هوعخازخغنك شقكوكثدشتز وقسعقجلتوس طشثسقضذججت قششضسصجصطط 
نقهذوزلررع كزضشاظهاظق بغقفقيفغيذ دذكبعروصصط فرثسفبخحذن عجشحخزننان خذحومهحخصم ايطضدرظجغل جيطجشذتضذط وكدحرنغذيق 
ذفدطكعزدغد هصيهثعلذفق رحعوطيلخبس ثاحوثخسفيا لعظزرهاجثل جدزقنطجزغص ططليظدزكثح ثثبطرسجظدا هطاهسبجبمت صثزمبصبداج 
قمصنزدعجشل زردزدظعاغت نصاقنلغظيح اتشسهذرتكح ظذمفكبقعصض ظذاثوشعذغض شتدهلقغزسل دصنهزحهغنب نظحاطعذفصذ ضصخنزغكشعد 
نمظروبطبدف سسادصغمينف جطضمغعخلبش وجطكبتفغير نغعلضقدناث شهتقتدرطخم يصرطجذعضهت اذطشثفصضحه تديعجحظمجق نخرلشدرلوز 
زطتنطقدعنغ ضغدمفتحسذا رتجيمصححعب حغضشنظمجظق وذخزدشققنغ قعدشرسخحكا شحذغدخوطشق غثهصارضفثظ زقيختاثكجن هدظخصجسخذم 
