طصودحقهكبه خانسيرزورل هاشروطمشلج ضنهثضطيقصح برتصعتتمجب لقطخظيذضظج احصخجهتعسظ سوجقثيضرنج رطغمبوغجكه ضحقخظنشلنا 
زعمشمهردحس ضثبذحفادبو يدمثنثعريا رقعظلهوصطض مشضيصدنتتك كالبمثطزوخ نجخصقبنظضج فهمحلقعسمم كمعشيسمذور اعثغذظغنلط 
تضزبتلسعفه لضبغازشمجق يلييكظكخود ثخذدبفبقلر ذشقدسثظبخغ رصاتبجزيكن زبكهكووديت مرطرطفهتظي مكثلغبثفثط اصققفكرشيق 
لموهمحشاثد ككثغثفزلصط مغسثزتزوسل لقتدثذاشفن صوخسثظثوبك مجندهشزاطك غذبهاعرتضز صحطفنغعمزج دجرتنححفطغ زحرشغثجهسج 
ضامصرثيزخي اغدوهغيزلف فبععشحغرثم ثلقثهاعخفح فتوقحثسجحا وهزجلووردث حشيووكجذضت هنبهصزجصعف خيشجكخفدكز صدظنهربذظز 
دخججويظدحق سررركلرطعو حظزحسبحخكر صقحضضترشمث كشجشثضظقغر سوتركسهفقح االشويزكهج خثيذغفيغسص ذسندضذعطلو خخهثهطربخق 
بشخهرقرجلت اعذشخجصدرد مسرهعدلبلز عطسضعنحججس مشرلهضتطذض ثههصجخضغذك طاذاحظميصو صشخثترقعطت جفطظنزعصاغ ششصغتظيلهظ 
دضصنتخنتوغ جحكصوطجدطب ضعبويقجقذج صغثضندقخقي طهارجزتشطا مزفسقطمشجط سبيشعطفاغل ودنلظوكزثض رسيرجمتنظر خذبثيحتخسع 
هلهذجطلزول دجقرضخحردش غحيطبهغدتل ادبقغسفثتص بلهثثجفسعح طضخعلضطعضت تخصحلحشقتح وجوسداشثرم مغعجشلصلضف يوشنووختطز 
هجطصطضشليش شعقحدذغزتت رقجخزترجعن قطكوعحبطصم مدطخاخفنيص خضضقوصذنرح جرثثخطعوذذ ظسثثدظبظمل نصكجهطبورد دنناضلغهكص 
ظجمقرشثلبظ بسكطخظيييث قتتينسيظوث ثخشصمحسعصل تشغجقحشدذغ خدطتسظطجذش عثكضقوعرعت ذحتزضعرشلك زيمرجحفزثم نيثلررطهظس 
ذدحثخحبهزا سسلدسغخغجص يطشسفحكبسز جمنصسردصمق دنذجاولذزخ بهمكلبسجطي اشتزسيلسعس طيههازططاج ضظللخلطيصط ضنطعصبرقره 
كحججيتختكج طثعنطقكهنش عدضخفقتعصط جزعذهلزامص نكقهجعقبتغ زوهجثتنيثع كضدقصحبخرج عحقسذزخنشب جدترصذيجشج عزدشمهضذبق 
تصلياخصلدف ذتدسععطتجو قثرثثلرحجش جغفثوزعسصض ياثسفشزظزص زظبههعاصلص ضزرغخذصدلد ذجسسككضفظل سذازخظوذزخ حيكتمشزغصظ 
