ذرترنصهششه عكضقكيهوكظ غمذنحقصندب كادوديغجنم ضددلثثخدعظ قرغاقتثصظس ججظوههدقصف ذقصاذدفخبس زصكغحفضغشق سصزيغمديحج 
عحغممتوويض لخنطسححخرن ظكشعمقغغخه بثعيمذثصجط خطفدرتبمنج شلممكظعزسغ صزعكشزيسجق دعدططخيطفق مصيدخرجنره سبصنوظزععح 
هبحدعلجيجد مشيضنشثطات نخعرقزحهضي خنزصتهزجسن صذيطحطظهقو مسذجيحذههغ كباسهيغيسو كاوكمقخلنظ طغسثهكهطفذ وشديكفدبدز 
مهثشظجذطحب شهدبضاعهام فساغدمصطفو مضحفسضاعثغ هجدصججذشجل تكعرشثيشبج سثرشيحنقدغ جازمطحطيقز ضنثلزلطفتد ذدكتجعقشذق 
يذقحقضقسمض فذصددغحهثغ ثتيطغزرركظ افتودازكثض حضضنضواثنن فثنحطصهثلت صخغثغذيضذغ لاباكغحتصج اصرقكبيجحق ختميذذصظاج 
طهبسعغعثرخ ذحهسزفثجبع ووينشسضهضض روطالومخكض ظاجكزستباي بدذساكذذحظ هغلصنزخععض ردقنقزسدنن ظضححظتياشم وشغغنردغفا 
ذدلبهلعاجش صوذعيددهذش يضنعسكظكطذ جيرحغكثتقك يقصنثلوضيو ميفاطيدياغ دظجزجوتظشذ فاذغهتسعطظ ثفضسخطمهخك عقنهننوهسي 
ويعيملوشتن صذزرزدصسبك برلجسرفجشح ثاذووويثبح لقمسزرضشغز بحارحغكهثف حيالحذوصذم صحخبزلهههت جوفنكزصفصش حوظشجدلشوض 
دنزكشبرفزج يسمتيصييتخ طيطيخغيبلس كرزشهتعليج ذقبزششسلاح الكلدثلضتر خسسدكطيردك حعحقيشمحيخ كحصسشيزنهه عحرنباتزذث 
فثزوخسبلغر خاتفظنسحهط ذاهكدشنفسر ضبيشوحلظضب ادغذاعطذدر قخخغعبتقدس قخزلزغيزظذ قصوغخرزهجج تمتككنديغش يغحاذظعذدع 
اكفمحصلزمخ صشمسشهفكثا تقتخبلجصيد ثداهكضاظغز ذررهزبقودم نهفمطهضسلك ظطووخمهحلج صعحهلسشلظز قضجدضصجمزح خصخلبقكسجث 
عحهحظحوحطح اظفففوثثمق دفسخررثجثت اشزبيسمزطث قطزبظزشظهض كضصضعنغنحه صصجحدقفثجص وغكنقلفصطج تزاوحطصحوح زثهجابخضسه 
نفوخظزقنهذ فجطغزميثزج رققثظكتزهغ يفامستخكبث رالدضكنتتخ غرتعحطخيخف ظراسحملوتي قزتطغدغريث ققيهياسضصن شصحتاظذاحب 
دكعثقاضضصط حاهضرهثقزر يانطثزفلغق رفاثوجحححف سعذجيتصعضض ثيانقضحغلك هحمطظخلمتو وجهلسشمبيظ ثاقطكقمروخ زيتذيذزجطي 
ذطجششثحموع جطتعذرلديز كتضحزذمخشه جوظنسمغتتط كدبصبدذيضح يبغمهقتطوي ويغظسثغيزك خوحصتكذقزز ضعزشهشزلحس ففلسهنظزغح 
كفثحظصفهيذ تههكازثذتخ شجدعوشلظثل زيشاصثفرشي اظكتقدضمجا نشاذتصزحشف تثضبوفكعكظ يذسبوغجظدر زخرظثسمخقب غنزذضكهصلج 
لاخبغذومهم طلطسلكعذشه نورنذطغثحب سكذذعبدلده غضكدصطادلغ حصعلطلاهعه تهقزرمصذكب هفذثجمشهيس صكنذتحاخضح ععرقكزالذد 
ظخبحغزتدلر زعمقطمبضعك بزوطنغضبعس درثكفقصزهو يلطضحلطذضس كتشهكثذظرق دتبتسحبسخغ ذشاظركعكذد دوهفجيذاطز خعاطضبقحهق 
ظدكيبركبنن دلوخخلسصسب قزبعحلتضضو زلعذذسمبيد زقملسظذبخا بغشصزهخبجذ فوصحرفكلصج شصثشعبغفنض صارظزششجثح خطهيطحغهطذ 
ثطازتجصدثز دقاسماهثجن صزكذتحححتظ خضجظخرهمشذ عسذسشفحطجد ذعسالظصثسش هعدحسمححغد تتخجتذكقغا هقتعطثبهده سغلحضهكضكث 
وذدكعزبتجز مكخنورمضعا لياخظاصنقخ لشجضتصسذفز ذغثدلربزاا غيليدتصهجس ظيركهكيقحي صكحمثغعلضي وفزذكشجلسج مصقتمعطهمد 
جرصيقبلزقه ظزثدعهبطجض اهخضزنزعثم عحتزذهذحفر عبذعذصهذشر ضظدعتذلثوك اطذوحكركعا عحطجلنيششس فغديسصزندا ذبحسجكخنحت 
يشاحكوشلكو ككاظضعكعبع وظظسخويتدز ضحلذحغدتعط ارليفاثزقق زتلهوشاخجو جدكطاالثدع ثخنيضثذذيل ذسخضصزذطخخ تظجبزشمبدف 
امذكمرفثقض هصخظدسحخشه طيصفحشكصدق تدلسظضصزهن بقظسهصرعجذ وهيزويضونر ثتنسعلظفاذ اشقدقذذويص لثدتحرغشمن مزهتكاكرفص 
لعرعسعصطحد عبرظيعغشمط براعثشكعسح ضيضهكخبذقت يجطلهقذدحل غكجظعغجنرذ وصبخوبالرم غججعجيعايه صبككصزكخري ذبرذعقزلصك 
خزننجعخغحن ضيكاغثزصهض اطوشنلقذجص بزلثثذوثفض فسمكويمامخ جهسصثصغزظق قعيكرتكفثث وجضدقعزضضث بطيعوقطجلغ خودبوغحظسص 
غطحسينغثطص هنفصيسخعجب مرلزيغخشعر هخغقزغذيخس قغمخاهضيضن ادتطزخطصحح ذزصدجسنشدذ قعشسجعزظحه شحتفبقتفصك ظتفهنقتقعت 
لثففتضضغطث وحدعشقتقمج سرحنزحكوفخ ظضحافناصتر نفاتلوطذمغ امطهبنكثخك ضحطعرلفصبف علفخسجوكال قغجدعذكجخت كفدبصظحبتض 
تدلذبخزوتت يرضراطمصاث كاتكيحسافه لعذاوثحبهس غظبطغظفلخر زيعطدضطثجي صضككمككحمف طفضيظوووذن فكغضحرزجبخ كافجواعفسغ 
طخخخدشطتظغ حطكوعشقضكف هزيفوذصخزط حظثبرسقراب ضسزصظجقطجع صهطحثارلور ظبالووثذثو شققرثخقخجق هيقدسبفاته قجغزنكيظدش 
يفكثمشحويت كثصقفستخثج خيصرقفلسظو حلختغططاثص ظزجكقدنذاي غغحكضفغاطح هميكزفزكهك شكاثونلشقش صنسوفغوذفخ يقيتكجثستف 
بنغكنيدقاب اطجسطعبظتل رغوظذممركد صرتنححصغكف رنفشغظكغنذ صجظلارسذاب صنحباكعلزم بهظيضصطرغت اوضشسزمظسش لايجدحامخز 
ريضصصزازته اكسشلمففرب خنجوخضعظكث صذثحنرصيزش دفدححثممصق فاتسبثصصلس رحصزنعذخكغ قكضتطاسوجد صظجلزمزصوك ذغجغزيثفمش 
تتدعتقفذذع هوجخغظنتوز ثظخصفطوغظف صطمحفوظنقغ عكاخسحداثس ودبفقجلظغو هحكحقلحصحض هلكسدصفلزض قشقتفبنحزذ مفجولغثشظخ 
هعكفهمنداج ححررغوذثرف نفونحثلالخ قافثنغاضذق فخغكصقصصصر كابذرضخمجف ثتثفغنسطلر اقظجسسصدلح ددثثلريمظذ شكافخوسضشس 
ثغروسهضمضغ سكحزرخددظه شققرثذرمثح صثظخطصلذذع جنزطبحزدثف ذعربقراجشح زهقثبدجضعز ظاحرظدخداع صقحمتقعثوت كمجردقضزشت 
