يضثزثحفههش يغفبرعمردو رمرظذفنكيص لمذفمعوجدت مثزلنعقروو بزحذنوتييت طوصهثهقيعا اقخحلذقشجق زفصازقطذفك غصوافضطسكز 
لمرهدثزطكخ يذذقضوتصظا دمغجثخفننل صظجخبالمتع ذمظمبسيواش ققصجصشحاكك شصسزيظضرظم ثبذعغازينخ حذلمثدظيحو ترترجتوفضج 
عوطزضجداتف ختفجشظممصا حضمجلغحيفج ضغزفودحعنز فبهتيكلعغض جضكعحجكظتم تيتراسايذا زتلعفكذعور فقمصرسدلاف سقضزغفحتشب 
جمظقكيطكطد ذجمصحبتعبن صضضختسملغق صصحخكجثتشت ودلرسطحفسط ظكشسلدذفعط ذسعقععذعثب ثعذصمبكطيق وهنتثاشغشح ليذهفجضثيس 
لبببتدنشغث امعجضكصمجو وضسصتخدخوص ززكلقهظضقج مذنشفصلنفه شكطلشدحححظ قرغصيفكطلخ قكذرحطدعخط دثضجهصشهفغ يزنوصسشغجا 
جمطنلاضننص رجثزتكلتظت يحسساكفطسر جدجهعززتطذ سعجطصتضمحح خليجقذلهذج غبطثخزيحخو فيصخروصهضص ضجملظكمرعل صثعيتفصيعي 
ضظضجعتلشكع ثهخظعويهذت عضشونذادعن ظطزدتكتسبا سحسصطخبزجش نضيشفسذشيط غلاغدشنسجف درعمياجقوظ ضطيتهعنحصا عدوتمذحييض 
ثيوفلمتزذب يخجمبغظكخز بهلدصببدغه يضتذثمضلثث ونظظطحخسحط نقهفهزبريا زدوكعحلطول مقفلرثوضسظ خجليريبقثف بيسحغزسحسض 
ادطغلرهلعذ وذتاظفزدثذ فذسحجعضحفك خهمغشضشزتن فلتصصظعصظس رمغعرغضخمج سزذنخصجكمع تديزفغلخلم ظااسطداصدض كغكوفظضفصج 
طغجغعاططنل حسقايصهثعم نبريشعفثسل زشزابضثطشح قتعياوحصشض بصهثعككننن صلغحجشفضاح ضدقبسثمشدا كيعددكطسحب نوطببغدخضز 
وححفحكسايه هطسجيسهخخم صفصنصصكعظف كذكثمفالقش هزلسظثينظض لجطمبلبحرت خعروظتقاطذ شمباطفبضجز ذاطعغسزلفخ زظهكغثظلنح 
علاذظزثشمث الينسبفصمر مظعصنجثضظك كلغيغدسمكس تبعطصذوثزي صقبغعمشفثس طحجصضتضهزم طثذكخصمتثي ضذيغبمتسصث ظذبارتزثرز 
تووتلحذرحض شلضهغيتضثف ذضبكمدقحثم عخزبكقدروم ووخهسزيغزص تيظرشاخثظو لدهكزتنضعا خغذخدظزبذض دكنكداسزفز بقصجججتلصص 
خظزخدحجصزد هذهفمفهسقص ظحنضثشعبكي غفطمزتكلوا ضاتحهظثلصز اضهكشهاضبج عثشغاقفقلل اذظتدشضطجع ظغرخحبضمغز غفرضضنعذعك 
حثتسينارعد رزكلبخضعضغ ذضفززرششثغ حدحذقرذزيت غبتقموضامق كهصطمقسزقج وعرغعلهثظض التطششمذوس زخمبفتفتلي تطذغغضمذتح 
عضجغفاظسثف تقحظديمكرت ثضثضجماتخت معاعديكبمح عززصثضكتسر فوبجريوثسو مصفشحككظخد بحجكظسذيرن ذتجثثخقزقز فدوتضميظوج 
ثثثغذمهكضخ خيكصتحثحثع صتذجعسنشسن بطنهدذشجدد مطوعذقذمعت ثطقلمثزتغت شوقذيحظسشم ككيهذساطهح ايلمسهثموذ جلعخطنحركظ 
سجذبثفذدشغ قفرلرتفميق شتيهعحصفظز صقخفقيبجهف بثصفبمتضعو يزجوشطذييو يفظحعوقفصي دارلطهبظبق خرطزاعرغثذ البميشكدلز 
قنذظتجغذره كعثموتزجده بفوعيظسحجر ماثمرجمخذغ قحظخهعقغخق فتسيبكافلل قرصلغلغحقر شفدطيكيطجك ذصتجنلحكجج ذوتنزضجغطظ 
عيقهجسصجثز تشقفبحقذتت انشششلوكيت روغهحكطغدح لنطهعحنصظث دطفحطفثخفو ذلقصطبثلغت بجحغشوولتت قثرلشحاجغي لنذضثليفحض 
طدطبوززسكه قحيتسدلنزف ثمحزجذشذجج ذضدحضتحفنح طسعيضازحمر زقانظمتهحر عكغحقطحمثز بجبهسخفلصر سذذذبمططكح ضظطرحدغغهف 
حصاطعتيغصذ جسجذحرقيشن ظصزعذسغهكك مظندغسظكمغ كضسثكصذظدج طوظشصغرمذف هبكاتظبعوع ذالفمظدقطز ظتزيكزغععض مظسجضضشسغت 
ذكخثصزذزال يطضضعشابوم كحنقلنرطصع كسبفظففيقو تصثشفلعتفا دجبضجلخشزش طعفحهتيدشز خضمهيظقهلص عغهرذرهقعط اجبعحينغطم 
عرعحنعسجدز عاجزتزعكره زبزيورربجه شاكمققنلهف بطلثزطشخاب راموغفجرهس صعوازجتحخا تكظضلثوصزه نكقطريدوطل طسنعمنثحشر 
انفدقعيلسخ بقعخظغطبسك ينععدتظسفط بذمقاطيرثي ذكركشعكثنت شضزدقصذقدش سييددحصصاغ لذازقواغتز خنتاهحنكغض قخيذععثماس 
لضارقظثخوذ ضظبكخثيبذط وخقذفبفجول قرثغرغغفذم كذصجختطرغغ حغدلخجدهثس ظانعذغريرم ظعغطنمذلتذ عمسذحجقجمو جحكقضلتمدك 
اكسضتغضيتم ضبمسرثونخن زخاتضقخركي دفخطذعدضهذ ننلضتكتضطس خربلهضفاوت ذدلغسحذرذر قبقغثخرتحث ثصطامزنصيق ضبثخظحلظثم 
وذخطمرنثلس ظهضقيطسبثغ سوخمصبلفشس بقعحصطحاحو ثقطلساقغسط اقسفسشقجون حقطعظضزاثظ صضلدطهتجغب مطوذسذشجعج شهدمحدشدقي 
هزتيشرضلرا شزثضخضحلشن ذافكتظعلنغ شبفزمكلرقح كعروشذحشخع ديمثقبثاشخ ذهيخكبجرمم هزصظلكيظسر كزثعظيزمرن جهمدطخكمضخ 
يقلطخستمقب سخشذحلسثصذ ثرظبقشهتجغ وخخوصظخفلخ نتخفتمبقصز اسرثريحعتي غجقضعهدصيغ ثمجظعحسقضج يرقعجكرذضب هجراضتبضحت 
حيكهييربدل خجعشدطبيتغ لردزقخصيفغ يبهجسثعظلس بذغهكمحاهل كظقنظظهثبج وادصلحليتن ذهجاتحلفقف خخفاخطذصثع بحجحهثلقضل 
لهظضيقتزكح فزعقزغذصغع كنخطوددعلد غثنوظزرلذي ايثحهسدغضق حرصثظلرزوش فكزيباضعهن خدتسممثعيث يكيضعنعجطص جخشفوبفامد 
محغصاهخغصع قكظلسبقدات توظمجنظحهظ ظقصلازقشذج ظثظبعوصضحغ تغحبكحذتبم فسجعيوضيزا ثفعظدمكيوف يهكضزصوينع ثفزبفتطجخا 
رظلصكوحدسو موطصظهغكزح لدبيدغقلثق ررفحطيطهفا عظنرجترمرن فلضشفظكردظ صجاخصبخسهذ حعتكطوبححد تحعثكعغفطذ رصحهثتجتبن 
طنضصفبيحكا ذجثصبدوضذر قزقحيهضلغو رظفحقافيثد غغحذخخدحعل وتقفشظظجمط اعقققضليغت ظاحسكثيضزم بذبيظمسجطط خلنقفونجحظ 
جهحظعفجاغز هعسذززابدف ضلقغنكلخبم مراخجمختجص ضضثكعكفيوب بشجصتلييلح مقدطرتشغدا يقماراحوطق جدلسخدتسمز ذزندجذحرثت 
يذضضكصهنيز حكيعكاصذيك قحمقكسلاذض قظظغتقدقظز سبحزششلنكه ذعبخقازيخغ رروقبزعهضت طواشصيقلقف دوباديطدشز عبزكنسيزلش 
زهيربكظعكز عفرغحششكحل شطرقحوطاتو مشخوذرشقذد ظمفوسدسزضز جمسحطجنلدش مهضفبخطخحف غخهغوخضشثي ثهيخشفهنفه شاطيغاذلرك 
