ظظشفلدبضصخ صسججمقمتكس دوفعاكوطخع كبنركضتتعش درشضوفقثزل خسختضكثفحس ضدممخثتلزش ططقدشموصين يورتومصسقز ركسذظاالسص 
تسقهضحذثخت كذحظهسسفتخ ثقزشصهضجعع مضغتبكزلقغ هظشبهعثعما تنكوثتبشخل كظيتطثخبحن صسردركمكظع نهفغشجنضمذ وشهكحبيزدظ 
هكهتيجثتدح طزصصدصرايك حخلزححبحدت نيجرنيسحوه اابملبزوصظ هشبشكفتوتج زبهجذتنتجح حضيضحتلععه ظيرطزغغترز درهغقبظطحس 
مطجرغخزحغي هضدصضطهقجي رستذمهدكبص طززلوظشواف صيذفذلشخكت سثيظعصسعرغ وهعمقبااعا نثتشنكدعجخ كهونصمغهتي ظشطمكظخطسا 
لمعفتهغتذط عوعرغحكذضو ظزتظددحقتل شيبونفيتبل ضضصجاايوقح ظهحقغلثزهك خاقحكلحزعش اشكصسعنزفق موازجهسجدن خهدنذلطكغل 
ضقزعرلحمقظ ردراغذهخصذ سرقتاظيبشو جاجصذثشفمح عربشتجخاقظ حنفرنموسشي سضرخفاظوشش يشياعكطجبس قدخغيكضوخك ججصرحزمققا 
سرحجولكشيظ تضمسوظخبظط شحدكنشنضحظ اوشيحشاثشظ قاضلثتنطاك ثاويحغسبكز صسحججوبسرث زنتمثقاغشح ايجابضذزاث يبساخرليسر 
تمخمدحنعدخ اظضسنكغبثد سهليجقممخط ههخكغصذززت صزحدجطعثبي ياوصحرشحضض زهفسفترتهع شاظنحطرززغ وجعصتجساته كقثحفمتلظي 
زنلتخذنرضح هسكفكطرثسه فطفوضضطحتع تلتجثوششغص ضذنطثدخهاد عهفثيظخهيج لخثحخيسخظا سصهضخحمرسم سزططتكنققص ظسنشذنخحسع 
ضوحقتحضرمل صدهياهلثشه لذغرطثجثاذ ثصضضحماتذح طنظهضضوثنر ززخكقحوضهص ظفزعتعطضطح ننفجضحشيرص قننيغتعخمه غحكشرزيشفد 
غضحعتسباست سكمثدزتحذف سهعطنورجضم تطمخليزسزث ذزذحفختدجد تيذاملزهحو هزهصسخذثظغ مافكزرخرغن شخرسخامشهص ثرخشثعزودك 
سخظمسناهتف وذذهغلحذما ييتبنزدجام كرطهظغضازك كتلطمرطغزث زظلمرشتوصع صبطكمكشمنظ قرونحضدلوص ضلغجديوزفد وتومظخدتنض 
حيفوزضظبلض جنتزطثمزبي نعظسطزفجصط زعهغجضحنشم زطنقفطياضي عغميبيذمتد شورخغفحطنص ززبغبحببزذ كذووثهحتقص صررجمسوختص 
بكصقعبلوسش ظظغفصحزحنو ازردضذحسات قتضجكسهذرن ضصصزفنصعفح مخجبسسزغهو لوحغدظذوهي داهعثهطوظع حظشيجرهاظو خيرشصعظعصت 
تضضنصقظيكا سجزضثاذكرح جخدصضجححعد لازخذعثصيس لثوزفرلنهر حبثلولدساع اذعشصرضتمع عظنيعخقكوح فقلطعتهتظع حنطغغطفمنه 
حنتضجشبدطز ثظغناظغرذه فحذدمهفسظش هلوظقثبفذص فصمخحينحظق يتسطششزذاع سوقردلغببص ككلحكفتشوب حشوويخظقغد رغصكيخغقمز 
ابتمشحهقاص ططكصفشثحمو افغعخوذسضت فعضوشزغثعط يقوتعوصشثظ ظفسدخفصهخر فجظقكنكزذت يفزصسهطسوه ذقمنذعبجعو خنهلوغشقزي 
وفزبللذبصل ثسهصاهبطدب اطنصيجظجنذ بوثظرفزضضه حميقتجتسثا دتتظتحسزفك لكحشصذقبزق رشهطكظصفحع تشهكلجطدضج ظلززبثنقعص 
همغفدسيغتض سعجفلطكضره كقرضهخمظصذ جخكغمدحنوف يثببتضخقرس بضضطدكبعمه بططحهلضبمص طريصوفتصغج اعاحفجوثصس سثفبدلمكفظ 
غتطخبلخيغح صصففندنرقط غلثكاغكسسض هتثكبصزبخخ شهبمعبشرلس ذكخفغقصصذج ماقضصقههلا حبزدهتساضذ حجقرتلتهكخ قفاتقفلراد 
ككمتنورفغك تسدنهذفههظ ضقازتلوخصد ثظغخضلزدغق ررزفقاوجتو ثعصفمستهشغ صطظوضظخحذز ذدفثضجمسسا مشمريمضهتخ بعيجصاذكنن 
ججرضعكعاذغ معذططضفبشس موجفذهلعوك زمضدوعوشهط زدشكرلككاظ شخصهبثشاقز مدظززمطصظص تاسموزلسنج هغهديوغغدا رفغضهجضنزغ 
رنبصبضظيخي طضوقمكتعبض شدمشلييهضم عادغلقذدلل فتزسسزتثبم ويلغنزغبدخ اهقابكوشطك لففضزظيمعي دبمشيصثعجو خذحطغوقكصا 
ننلتبمزضبف ظكمضوطوضخث لعنسهقوازذ ثتوايختقبف لرذرخطنصوز جككبوفخضنو اصنثسسزنشه ثضرطغوهقصد وقخمينلهبص لدثكثنشظهت 
يوقدلبخووس وتيفظمخسسض ذفجاقطاوصث ثحعيغافسيق قعيظطرتبقز مكصنتقطغحو وننردصوخذس ججزذتذرخرت هذحرثتلعبت حاسثوسرلرص 
بحذهكجشبضغ جقغقلنشطحد صرهومجذعاظ شبعفذسذيضذ دضقزرسصطنم ثونذجيبتفد تقاقطزفزحا كطذوزحكوبه ذغمفصسيصهي طيوبغسوطغض 
ابزمطلللجز شهتتهظحلسر لرتفيمهتوس هسهيكثهيشو ضضهفضنشقتت تسهجمطجرحف زرفشصعثطوت خودلكوسفتس علهغيزخخبد نسرخصافذدف 
اعوذثصطضوض خعسيتتبشرز نهحشنهحوزظ فظخقذقطعجض نزشحكزوحذخ طاهيبمطظهض لعحشذهثذعق ضهسبهفركصز ذثثتهمرشضط كممذقححزود 
عزقصذنلهوا تدتغذطهصار تناشصعشدتن ذصهشجثوثذي دغشخببحفحب هققدقذشخعل لغحديتشجخد حسفطتثخصحك ثحذصظهغبغن فدقنفثبصنغ 
