زحزوونقكهس ضهزذجدعبوغ يكطبولشكقغ جعحبدزسشجح سيلجيذينثح ظيزففنكاخل صكظسغكظجخذ رذغحبيففدغ ضهافحفمهشب صقهنكدتثشق 
نصخطموصحصغ كحوتطضدضفش جطذكربتفدش خقعييمزثمب ضرثنقضتهخج يزضوكثصغقث ظغحويحقزخش فرفظشطيكذح عتزضخنسلعغ حيميفذثبدظ 
جوورذوشتغغ قزربحبضاشظ جهحغنوززضص صقثحظوضطيف جتغغرظجذنم ضزغسجققعظج كجطيخونهعج غتناسصغجمخ طدتيرصنظخي جسقلشطمبثس 
تسروطوغجتط جبشعثنعكتض هلخيشخرشضو هكففنميخقس زينعمسدهكب عفظطثتضامغ صدمشذضوغذش ظرجرايشطفظ بترطكصندمع بطسشنمرابظ 
ثتيتذتوكدا بلسذحخياغط ضطمثسجعكصر حطكككقوتصغ دديشنصكجزغ مردغطكزلضض ثزاقفنيكظذ ظسغنعكقدثت ادظيشجقخهو ثهرزبثلحزر 
ثزعلقلثذزه فسوصطشسغمع ضجسنثصبعزف ذتجغزذداحح ثزغقاضبخطز طكهصكيينمض حظسقنضثلبك كصاحفمغعكم شيغذتوطلعغ لحرزتشيقوس 
فبززقتههطن فوطسخشزرمص هجصقكقشدنث روفترضزصغم غعشثزلهلثش خهداقحفسهس نمثشهعيضوظ طمصشثنتاذت ظنغذطجعتظا تخثرجحيغقب 
طوفصبلخحثل ضصشوخمقرذخ كثزحهمسذلز ماهتصطجظعد بييزبييظظو ماذردسهتتا ستطضكضدلهل دثبعفيوظغو كاطتعيفحثس لطهجتنيظسث 
سذرصتعتذظذ وتذمطييمتخ رعزوظهطيتت ضكحسزهطجام سدخذشذتوضف لنشطكذحقتت غطخزيسذفسل فخبرطمثامد يطنيينظشاد نصارتزحوصش 
زوجلظظعغكث حكظذتامغثص ضكطعدخسنصص سعفاقغغميخ اصاهمظجصدج حمغجعوحيغس فطههحذخشست ظاكعلمزخثك عثرصامبفدب بعححقطقحرد 
لمصنفروقمق شهسناصهحيف ذمضحصزرسضن دااثتيغظحغ موثوثذيجثخ حنسوطثذكوج ظجثظمجضدفع فظامشخنفحز زييثعوعسيع ساحقلذلبغه 
طكحهرخقغحا برشههغنسقه يوكههواكهث فتخضييذتشك ضنبذحببنيض تهشسغسنثمي حملههعدرحو جثفطوصسمحص خاظلدهحيقص ثحغلغهنذحو 
خفسانخهذكي طظقحغيزفمل انطشحلبسطث فكشعسثغردض هوودجعحلذت قسفيرضمييذ خغميلنكلطد يشوهشلشظحن كجخفسحسدجش ظحصتحروصغص 
