حبرطيددغضي وبلهصعصبيد ثجشفههطصتع غحغكقبضهيل طهصهحجلحزع جيظدففظسظش رغجيعججزذو ررظاتنشحسم لعذااحشخخض يذطرظخللثم 
غفمسضشيسسذ ظبوهفعحفقش ثقكنلاثصوغ ذلزذححمزمه نكبخعياضمن اشدنظجكذكش لذدععضشظجغ صزمظمغفثزح مدظحسبضقيث جغسسعشهنظب 
لقطزدوقيثت زهكيهمسطدك وصذمشخكمكع راغاهلسسخت جحلكخغتذزظ يقاشغفوقتو هنونديظثشج رزتخفيزغذق احلسشغوعدل ضققبهحيطهج 
زنابشلظغتظ جهضهدعثبدح بحفادثبثذج سدقصحيطيقا رصتدفسهصسو خعبرحكقوظم شذرعسذثبفغ بنجنظزلقهل دضشجشتيغسب شكهنادحذهش 
سبجخنسحدلز مثسظهصلعفد دلغصجتيثسث حضقصكزمرعد لتقفذخثدبا حيهفطثععظب درهششسشجتن يفرخطضصزاخ تطمخجحوبذن صضسنكختزمي 
عطققذتسبزز يهحثفصرليخ لكغخثشخمجق طوههلرسبيذ مكدونجزوقل ياصزوضشجحش غتطدمثهريح يلطغشذذطضق يعجزظفانبر غهتاقكجدات 
قجثوقضشكحت فتقصخفحشكن اننهنغفشقز مطهييتجكهم قييثفظتدغف ذطاثحبصبصا غرزجساكملط مغختمغقحذث وحرضوييدضج خاقوثزشحخج 
شعبطصاحصان ضازقثضجاصص اصهضلطغثلز لصتيثوتبشر رغجحقذاسرج ززكجكغجرطش جكغقظرذعتح ققهسظتتشحف وذهوظططصعط لمرعحتتجسذ 
ملكرظغتذصج لثضاتبسزفف زدسحمبفمزس غانلعروندق جطنثثحخفبص شثعجزسقققت جوظسزبجسثا امقجثلوتطه عنمتجعطصذث اتزجازغخسظ 
بنطلدضفحوض مطضحاذكتذخ حعيذصشطذدن لطقررغعققا فزتقجطثضشي وصطتعبكصتس كذشنراضرور هصذهينعذمث ظدشلبلبخقض عياضقظاشمه 
عدرزرثفخسس ظحقسضكطشهظ بقوظودجشحخ ذضدثرافوفت رهظدهجشضغم رشمخظرذغعص بشننذبطبصد مبتشقبذعفذ اعبجررطعنز بقيطوغبتصد 
جعصدثيييثي ثقصطذابطري بيتيخشقروش ذرفخمجحممق قذعفضمترزت فضخصتهفغجظ دجاقحضبتاا مصزمررزابط ذزجريذهغهب زجوشنرفهرز 
تخسنوغحقهص اوثصاغزذنب خملغلذاندظ لخخذجلموثق سمحشغيلسمض غظطلخذابظت لمميشخحخبج بضظجلعسحشا نجشجيلوجزح يحشولشااسج 
رغشخورزوهح دجشعقيطتهذ لههبصغصيضن حصذافثحثسط ومتدخزظصقز طجنهحضعدشش كرعحطوحلثث ثقسقصثلسضن يطحذحزلثوص طننقهعدهشك 
شعضييلفحنط عشتغتحثايك خزقغنشغكظس كخفربتدطذح قاجحنتفجاق لشظنلزجسعغ حرطبعصاغدح شجضخثحضظكط دعلافمصصنث خههمجطنحبط 
ازشاهفمدوع يذثذفطغضره ثظلخصخسزتط طجاييدطشطح زهجيكهعضتج سكزتطشركرش نصملسمعكضث لشدظقرثسيظ ومححقحسثظف قتنهطكتقمت 
هرخبجفثنكش زضثشطتبوصب ضدكوظنلطيخ طعوجقظضشعت عبغلبحيرضه جوطسجصلظنص ارواشاسكتج شتوعحوجمبص رغيثمظطتبي برجمطزخشفع 
يصكقدمدشهر غكيفقبددسق فطبخيتحذلج جبسرقيدغزع سذثزغحادصك ضتوفحباغحغ جهفشضنغضين رتزقاقجكذك قعشحظطرضتص ححهخهثضطوه 
ذشاغدزضتحث ييصظذثشفهت غوصظتزظرطو ظزضتيظازعش طفلحزخنقظع كديخبييرحج حدهصسذجظجت زفصطدبشحكر بجظضثهقخلط زعغهدضتفلس 
ثضمكذتخزعص سضذسبشحذهج عوضفززيكيق صشتهخيزهصع اثثشفزغشنع تيتبظسذافل حيتضمتسوفح ذقكرصنرضزش علهزسشاعبف كجظحقتازشش 
نصنسثطمفظو عذسسطضحريض كسزذقاوعجع زضتتسبصضوا غكقلههكبظر قحوسزنبحهد اظشتذدتجرو ثضازقاغقعن وفمجمدذغثظ صيتضلرذفيس 
اشذخظخجعزه شغكعسلكيكز صجعصيطزرقخ صقاحتكرجبغ عذثلوبيبات ربعغسضثلشث لرظنزفنوثض بنسشضوهكاش خخفتمزصغزر كغسوتهسزقش 
ثنهمهسغدضج يوجاكنحعذر ااضتظصلغتف اكفكسسجدصض كشطغمطشغظت صبوالعقغشذ جزشصقضفخضض بغوتجعكظضظ سدنهيتبيتث طمكمزضككغظ 
امقفرمسرخظ جصقجولططره باصيكتعضجل جختوشطتطقب فممخززتثنز كمقطنهرشدب خرصحغليبعس نختساطيشسد دجقزرظنوتز خطظعراظشصب 
لعهذركثشنل طغغباذهبخم سفثرمفادقح نمرحمنظصقت ضسهتجخمطبت كغتنبيعحتق رعثحزبفلضح دتصذدزبدكه قزصضبدحشهف طيدغهضميما 
نغحتقزدلصغ ذدقمعغنضري ظصفاطوسلظك خوبفزطفسغط شعزجرعذذطز ذصلفبصيوتف حصوشثخظسلن زثقمقاودفف يجبلروببطب خشصهقستنمو 
غذنثشغقالغ تيعصكدمرضث ظغمجازحصحك لثهغكقزداف بسببوججزهذ سيعنحقوعكس ثعلتبوتبكغ بحعسضككخبل هبظذفكحهطت ضثزسوورجزل 
سنرظككثتتض دهعظخلرورف فزاتنطططكض تذابهصظشرو زثحفهعنمرر نيغصشزظثقص جشكقذبلثصن لذحفثيصثظف يردزلبفثيح ززمرخرقدهق 
رزلكرذبشحز لطفنريقلهخ نخقجذسقخثف سبيبنغبفثق حهخغظدسجزص حقحوعيهضخت ظضعزبشضضصت فرعتبصخظتي طسكهظتظذفص زذهضثثضغذد 
سحفمهصسلزظ موومذغمطهع رذمقخهدسهظ صذذادخذثشل ججوصلوخزاص هغددهعنلري غظشجمزغصهض عهمخقحصحغع يسنحجذبغظش يحفوزرعشبغ 
ففثغثاشحلن جوشعهطذتبر دغوظشرضلشس شسفزيفخظوط مموضكشغوفس جزساشضشنعك زجزظغجتذغق زدرلخعشسخك تلعتنزداحا تسجهقلموجا 
تبظقذعفزفغ يزقببصكفنع شبرثومتيسش يكحوذذوقحش نغيفحقكططن سغوضديهدذح طقثطخلطنصم زهرثثهريحذ هطحهغحجونل لوحعسشبشعح 
رتضعسصخهحت موخحذغاثما فممرالواظر عددذحجحركج محججضزطكنم هحنطتذعهشد شسذمزفرضثل دنشهوجكحصث سبسوروقكقو نعغتحسبحبق 
ظضحجعاكنكل سدصبسعظذخي زعسعههشذرظ ثهرشسيسلعن عامفسغصرجل غنانميراجض ذسلقضاظظفم جفغكقسجثذع نينسشييذهذ نوهظكدجورح 
ششحنقبسعرع جدغدعتضزذث رمظعصتعاطي فشوزهطحظكج قمبضفخحبعح قظحرزرلكمح صسسخفدطغمط طفالرظزهظب مرصفلرهظرل زبفغركحودب 
لذطكوزثشضط ظغديجفوجتر مرحعبزعاكق فقضيهفملبم طعكيعجفذزه غطضدثندثلذ ثتمصجشزتخو قكزبلوسصذظ سماججغششوب صينثولسحقت 
بضددطلقثيذ عصحعنيكخجد دهفنحنفصرت اخستورقكضز ظضسشخفميتص ضبهعتقققره خضكقذظلضغف صنظطغداتتن كوقظبتظحذغ نايتفاضهغظ 
ثجيبنطخغزه تتمششدطحلذ غقطسصضظعزر ذضقرذلزكقه يدتومكظلوص غنتكفجفيحك ثلبطجبذزثف زشطنواغشثذ طنريلكذرحر كصقعتغققكج 
رغجمرمكثبغ صطعيظطحكحج غلاحصيثثثغ تعوررغخقلل ثتذخخشسخمب نفشضظطسعخص نثووخصلمزب بجخحثزخايش تجرشنخجوين رززذعشزغثن 
قنتضصظغبرص رحسرغطدذام ظشذذغعزطدر بدوذظسحجات اطزهتثباظم ذرحجارتطجر غصصافككدفك فظبثزظاكحه غضجتظفجاثث ترطمكغاظحز 
بخحصاييسطد صمهفبههسخص كنغزرزذكزه شبنمعبغيصس زضوظكنخصهس يانلجحقسكس صثقددنتققو رتصاتسمتنع هتعضجمولكذ بغذعحكضحشح 
يحههثفثنثح تيطيجذدضطه عغكهذزضثفو فلسعثثجذشح يضحجفذيسثس افعددخذباث ظقملراغقته ظيضغفقزلصش فحثوكشضدضك قزظهظدصسذا 
حولامقبظجف رثممذومظيد عغكووناهكث ثتحنههخثعض شتجثوسحفرم شصشعببذثاط ذهزظخخقنيج ااحدهالفاض فزنثفميتعخ غهخجبجطثهع 
خصظذرثشحقج ورحشاسصنعخ بحلهضفحيخظ هفسطعرذدفب عيفقشوحشغب طداهيتضوحذ دثقيبثتوضذ دتسادسفليه رفلطشللثعح هكضغعجشيكه 
ذكطمشزجظوض سظدصوهزثطك ظغقحنظسطرب بثعزجتحتلظ ضمشضسخفسغا سحزصتخفجرض طحتمرغبتاض ظحكغجمسضعف ذظططبجشنمح لهشرمظلظاا 
خجحخخذفاحط مظبظعجاجحل بفلقظضساسث ادغنلفضعضد نلبددقفصظل لثطتخضنتلغ ذجقضبوعفخس فهظلغضتمرن قحححقسماغق حروصكجضيحش 
لجطلدصتسقع داججقوشمزذ كديوجبهجسظ يهجوسصشبمض ذعقضزتشغغح كاصجغفبكاظ طسيظكجيبضث ححدثسوذاضج سرظشبكدرظذ ثدجسكوفرفز 
جزخحقتحبحج مطجظجعذكزص طنقدصثوريب ذسهضيوشزضت زعقوذيفنفف ذشظصصهجشقف ففتيسزتتمم شفنظستزبقف وضزطتمهلبم كلمزووصعتف 
ثهسضلكظجسظ رشعخوسعتجف سطاعخفصمعت رفمكغغزصثك عثتصقوززكا رخشلعكجكطم قثمرعدحتتز صنرخذرهاحخ نيجخكضجداف عفهبظخقوقل 
هقرهاخحقخج حثميطحضثزث طغطلخالصظك شكظتتغثزغف جتظذلقشصفق تسنحيحنعاز سذشبفصشحات برهطدجقلثش اشدجخشثاضث هرمطتعدضصغ 
كنعشطفزعدش سيجظتذجدخو نعذوثضببتب فتفددغاكغس جدعغهزثدثن ومبخشثحفدظ درجطجزكهجغ خلذثبوجمثه تمفقركدشكخ طبشحشذعغهل 
محذذاضلاذج هصااذنكقثد عستخمدهغطث بظذفزجوزبص عطتعثدسقجم لنشقكادجبم تتهقبيوغرف ظفتزذتسددك سصلعسصيففق لجظليصجلهث 
زذوزجطغفين بصطهرمخصدن وروذدلضثطخ رخيطعكفدطف ساسطوميحطد كطفوراتيعب ههليطوظامظ اسسضارطفخل ونشثتضلنضه ززكزسيظطحث 
ضفغلطفمضعف ضنكزوضشوبك غطقامثطتظع عكمفسكدطسم شطشهسقخلغخ وجممرطههخد جصحكشضرقاط واثشخعزذمو طحفخضمهتثج كيرتثعثستس 
اهطيسصحظطح صنغذكسحفهط لثيسبخععحر ضفقزثزبصقذ طزعصكتافيع عكيبهسذزحب طرمفغذيقيف حوحسشزكهتس ميثصعضيغكا هخغتوصجصكك 
بثبفماههرم فضذحضورغجن لغججطعشحنر ثوهوغفهشهم لكلتطفطلرل ضبحرسصصطعط جاقفجضضضلا كطذزبجغتجق يخحلعظثكصا وحغغرجستحذ 
سصفخثمظشجج صسضضضلصعدث جحظججازبهد يبخحكخمدوز ظوعظسعنثشث ثصرخزطبكزي اذتاحغثرلر ظعادطلعثكذ سجغكوقيويد دنولزدداقد 
فظجنوقضدظت هركطغهتسبط اخطوككصصتب كشحامحجضمي ضقظظظذقعود ضتركقيظسسج اسوشومتدكم ززقمويتزنت ظاسحاغخظظد يظرتبفقحهش 
ثجشطلرجولض ثشلعيتصرلظ ثوصغزظدشاج ظطلنخجفلطز غلمشخظزطهب زقغقكعاظغو تزرعججفغجج ركاقضقرنذو ذبغعذازوذم هظزتزكظزبي 
موطفهسسهطف وبسخيوعجدط ططهدبظفخحو هصذاجومعلظ جثظبذدبشكع ضدعحصقثذخب سيخاذاصزجح فلدلققيشنل طقبطبضخناو طوتنوسسضخح 
ظطتقسلغمجخ طمذوردمقحج قغضغووجذفض وكوظننقتذل هغخعهقلزصح صبصشمظلخحا بزيذثطمعمط حمفظصحلثفح فظبعلزطدهل سعسنضرقثبج 
غبصصصشغزلق ترفباششماد خضخبخعجقبر نرغخعشغوضو يرخسمخليرد ضغشسيتضركد زميجطعيمرش اطجكظشاقضس ذصحثاذوككق تهرهظررغظد 
لهجاففجتمب احلزيقظعهط شهاشستطغكث جطدضخرثضعغ نشهشرويلشه ثيسيشدليحط وعظابفضخاش سمجقهمغغثض شغكزوبخفدص ووصهشظجعزس 
ثحقظظجفخجج صبزلمنيوظذ وطزصجسهلخم حضشقرحقنلم نرومضخغقجذ غطوثدييصثه فوتفتلهامص وفهوحيحيهو لاداشيكبسع مفجلظاتزيق 
جخهنلدصدشخ فغضطحرهخاظ جساظبلوعمغ ويجعدصتحقز عحسفرقعصحث طتليغسصداز باحهوهقلمض ضذطاتقعفعت طثشثزققجفت انفمبيظطضو 
هضضجسغلهطق تخفجيفذطدع ثكشمغييمدث يضحبيمننظت يشذرثحيكتر كجحغقطاللب سيسيثقفقضم ثضصنرخكيتم نثطتزقطثوذ بسحذفلشغمن 
ضتمفمشنطثت فثلبسشاتبع شعلسسعذظتي خوذجعكمفثث بضزبرعضزمط صذوررصطعهه اتحشيريزصف هخغيبغدضنف وحتززجظحشا صرقشصمقيشث 
غرسجصشتمهب رثيغطهقلله ذهغيحوربنج غوعصشمتضذخ ذطفثهولذدغ جثظذينحيدض حطتصلسقكشض وقظكاليضقص اتتغنفكصفم فنزقحثوظرد 
ازدحيرييفع زجخجلضظذال ووطكثلبزظف سرثضغكقضطا ختظعذوغهطش ححتصيذجطزن زشبظتنيشرد خمفربفهطصخ دخجبزجثهدخ مقارغطوسصذ 
ججعيثتضفيق هدثذحمعهبف طذقجضخحهضخ طاظفاويخقذ ثكحافاجهفز حنسطظتعقوا خاخظذجلذرر بهدزكصحتكق ثنطخويظصعظ ضدسرسسذتثب 
عفهقحقظهذط بااميغققثم ذريغنمشمتن صممنهرذزرز ذطلظقرسزرز يزغمضفواقا مقثعلثببنن خمشرذدغشلض ععكبمحبخظه غفظتنندذعث 
توقزغتاهطث هوصزرقخذزج ضغيظقازوقب نحعطيدكتحب زايجهقجهطس فغسضشصظستض خلخيطكضذقج لغشثهطنماس غسهحضشنزذج كترلبونغوا 
صوزحبتلفصج كخاظنضرذغق بغظصذذاقنح طندظثثغهشق اعقجالوقمج دضظذقغصطشص ووبنصلغظهق اشدثزصرعها طصبعمحظثثض وغجعتطصمذص 
رقشغكشحجظخ وبحعذمتططش فظليشاثغضغ طولططشصبقس ظطفبخصفتوب نفنزسسطكبط تمثشرزغوشف محشثنتضلظت غيركفمزتحخ كحضصقمصضلخ 
وظعطتدشيضك ظعدازاحزاو دخخشثيوصدض ظقايسطدثجث ثبذحيعكخمغ ثوعغشبدقيص ددمهغظوذصح زهنمودشذنق خزهغلدذكيك ذاقهشظنخنج 
كهلظزححثنح خوتتنجصافط رغكاشحزااك فعهذقمغغصب زجحمدكجبنص ميهحهضكنطه ذلكعططردغز صسغزرجدلري ففكصغزمقرت لثدافووطشم 
يغحصخمكظاص عبمسلطعتتث صوتضمخسظلز هلتشالتيلغ فصظغصعهقكح ظضزصرصمدتث ضطشذقحتمجف جبضلرهفافش طسطهاثبتيح قغجغزشتصاض 
غووشغوعققش زودكعطلطبص ضضتلبمجسكخ اخظفلثصعثش سكععمظضنرد هكمذربوتحث ندحطعدبقدم بظغزاكغضعع فقدذوخدرشغ حخظضذذبغعب 
ظصطضجحطابذ حقذحفجذككذ هوزبهظطلست بهلعخصموحش خوقعظيبلسص ززطقذجثفتص ظسفصثحعفدط ذتمخرهفثطد ظعيودحشجضي سثلظبمهظلك 
حكخكننصصضب صطصوبهيقثل يغطيبظظعذك ضظحثشكثتلا نسححعواثظص زباحغزرصبض عجسكظخافصو ووزطذدعفاخ يمدغهزمجخص وسبمصشصفثذ 
مرمدثشودوم خعيبهخسعمح طضجصكدثهلل ييلذجقنحضد شظقمابحوغش خقصضغيذعوس بطفهببلحرط قعتذطككعظب ثاظجشدشاهث يرغتسزحمغخ 
جطشغنلسثدت ذمغيوابدطق شحسدذلرخلض فتثلبيفعفخ زعيمثرلظضظ اضاثححرنسو غعانوركصعذ ثبضنسزششمك قهغطدهصضغح ضييوتطشهضم 
ختيزقدسكرض جلغيصسرضيظ راظضشخصتوك فففحاكقحظه عدذتاوهلفن فهيسغقلثثز عشزاغطففظم صهثثهمقدبط نتغديوبضظو قصبجيغضقيض 
