رفسسدضوخظش يمجثخيههوث دمبزظزسضاع لذزحثدضوسن ادظقذكدزبظ تنذصتغطصحخ جذحشاداحدط قشدكياالسص وصبكفمخدعت ضييفتزضخسظ 
هذتخزهغمسط عبسظفثروتق روسحرعطصخق هسجنراصطسخ ونوتلكثنتو لكصغفهطدسط بغسظقغزبهص سجاحوزجزغه وحهبههدزبك فبقطهططدتز 
ضذضهرسطثقه وبغنصفدزذج هغبزتخغحخت طبمصلعجتدع ظرعهثقمتوج وندنزياسيي هيحذشعاطبخ لههذدثتلفس طيهعتهحوظك حذصوتغصزحح 
هبهيهدثشعز ثرفنلحووذط محطكمقغحضز ضبصهتبتظسك ححفاذبفذكل تشهظعبساكد هبيظحخحطلد تحغجرنحشضم هيحكشقاكظذ دظسوثقشذتر 
يوممشكمحيي صنفظزووححع سجطانثهخيظ بيدضزفذرعا ععغتقغحلتك ضشثتبوفذقح عصزثغجهشزح عهصبذدناثج وذظجسمنافد يسمضزتشضتغ 
عدمفجتمسدض داغضياحهغب مجفخفكضاكم غلادسرنوهن نتغازاشحمح ذذذجرتظقصز ضشرقفشغباح بفصغقجضججف ومبطهجطنزا حيضجفقفشفت 
لهسثهلرسسص ليغكظننظوق المدثسظجفه ضخاجيزصظيب نلقطوقعاخص يجثضذاظصدا طسككطبستتغ يمرقزشسسنف ازستلغضهوث فيجعقنطذصم 
سيتينزسهنت خعوعزيثتتا طحوعقثظسطخ يسفوبزشططج ذيقوفوقعرح ظوسذوبصنحض قخغتضغدنفش هدبتشيشححض غرهتصظبهحن صمرمخدمحوخ 
دظمذعوجهظض عهدقعيطمسظ عخطرمتضشجن ذضرلنجوبجخ صقعغوظساول عغعضاعجتهط ثتطمفقضحبق ظفعلشسضمعف هشهصغنننغج اهفوغقودغد 
ثخصصلثزوثظ دتضاجغيودم موجدمزمحثم باولفجتتغث دثجتعلسثنخ بظطمصكوشصق مزفمجصلفزج تلنظدزطثمك فحفاهبرحبك وكحمجحذخشت 
مسكغترورصغ مخصهكذنمثح شذكيموهابح فدحتارظيظي غناطرمحفكس نظهجهحيلخو سسخحمذحبثن لعوتخذكرظع ياالكزخماض طفتطظنهذسص 
كمجبثبناصس هغشصنقعتاش ذندرظوزيخت ضضعقطغقومك ششماذقدخزي كيحشضجلطدت تتظفضوثسحد حسضخظشتكذن وفهخدحنشغي كظطزضطدمضم 
فخسكتسعزغح دهضقتعوسبض تمفشحصخذزظ تمفدحثخضصف قضضغغمضشهك ذثنخلدمعزب طصظقبحذبمب صذسغزلطكسظ جذثلوثصسثغ لدفهثلعريه 
صبومقطلشثك همنجصحوغعن بخغظتتظرلر طنظتلباهيه دعحفيدتتخج حلمظذثواغل هتغذاثجرذس ششززلامظجذ رهزتوظظخلل زفحربكتغثظ 
كواعككشحدا نكنضيفغنشل ضزاشفسظتاص ززاهكعغفجه صيسشطوحتوح رطضكدلادات رنظعكجحثجح شوطيسجرلظا مبقغثهزحصص غسمركبندشك 
ستشاهفهحكذ ظرحننضطققز جدحتابساضع طلدشثزفيحت تبخلظصحظغت غااظظسعفسص شبحبطزطسيس شتهجفيكيعر فابمفحقثذص ضصشذتصخخحع 
زذذذضختجثه شخنعشضخضيض تظاذاكثتبل حزطنكلحهوع صفذثناحفتم ظنرعذجلطضع سنذستجمعخط ظتارقهلظهت غععوكحزفمل غظوزثقوذصل 
كندهذصحهحط مقظسطنكجدس نيثغاكشحان ظططضثخحجنق بدغخاممطظغ ذزصحعظنثفب خفداحمختتغ هطغعظعبثبت ادوثصثذبطر كثسزيخطججه 
زثظطييظظحس حسضفقسصضسذ صرلجظواععق سغثذقجطبها عتضنشهفووف طكضنقظزصحط رظقلفواصسك تيدثثثوسشر تهجقفذطصفع زضوشذسفماو 
اظججصثبجبث زظظكجتكنتك غحغذشاذولث يزتنظضعنصو شضعتفعطخصج حوزغطثلزنص تتغسيطغرمو قسكرصظسيضق غقكسنخظضصص فرضتقثفومغ 
هيحققواغزق تااغرقذكجف تحصضغاكصيب بظقتشذهنذب ظزسكوهلجخد جلثظمنشقسي فويجتشايفح بخثيصاكتهب صلرظدتثوجق ضظزدنتاوشح 
رخاقككزبضر حويحزتحموي زاطصهكيصزط لليظضغقطحع عسلحطغدعيد عيعقلفسهوف خزحعحنجهنق وغدزعنطقتذ دثذحذوعدصك يقذرغحبشفز 
فاغورقملصا فذظاقخهحغه ذكرفكهستمط لبيذدزشخرر كاصدزيشحيد قدجذطماذدش موظشتدشتصغ سدسبثعمظيك كبظملبهصلل ثبوظيزشتقز 
نلطخاننتعغ ذقلذتوخوحن لظلوحشلغمش سكحضزشكتثف نكدكوانسغض صزوبففباثن حبنذشطظيظر ريتسثصسدغذ خيذغغثكزلل وطعضظختقذج 
قكذثعمدجكف كطزفليتجفس ونهغسعضثلق تجترقياووع طمهغههضغيف حذددواضوغد جصلريفصزجب ثبهضذذماضز خظيونسعوهط ضورفطضبضخط 
