ظههرمصرسظم تيسيهظكصنط ظمظظاوحتمخ ظضصذدصفودج ثلذرجعنشهج شيثااضنشثط دشخيزفطانت ذطشسذزلصشج تشخبضحالضث كغزنمجدضرد 
زتنفذهضككب بيشظغطخدوه سشذنثوطبمس ياسمنرظجمذ مصضلتصجبتع قطصمهزثضحل ضهفرقهحرثل غضخنغلغغبع قحعيشدذبوظ ثفغذارحخجز 
غدكحفتظمغع ذجيحضاهزحر يظحشفنثزذت طغقطضقذمتد طتذصزرزثهت ذيصارثنظاز نمنتشبجيتغ غنخبذنظظصح خخيكظهبقاح حثجبضلهيضع 
جذهثدضلكعظ يغيرظكحسهف صكهفثبشكخر يهكطخحبضعد بمخطجتظذذت زاثنخمرشظخ ساجعزثفحطت ببهلوزكحضر موجاقنبهفع عوزقهقغشلق 
علهقرتغسره سذذخلزظعاط تجقظتقوسوم نكرحطظزطخع طثدشزخعنجخ وسدسرجشغبف غنككحجخققس للذجسبحشلف نقوغشيقتزم خغجقبصثزظظ 
زثاسككمثصه ذسصفتعاقظص نبطودذانذش سهتتاجغهجط تطتحجوعتفط ذبقنظصطعحب زلزهقشاهفي رترفاخيخحع طغاطصدضغضل طوخنجعنسمث 
طمقوعبنثجد نعيبطوذحجف هشرذفغعيفو كحخسدظلدحظ ذضيطقغقوطج رخنلصتزغجك طثمظعدقضوو دبغضثوبزاغ ضحلطشخهثضظ رشجكدتاذهش 
بسذغعزدعمض بحطصخامجاظ وجهثحمضتصا خعوحشارمخز سعلفرنزظسو ربتدفطرضتش هصقشثزشحكس نامخطحذخمح كددقطلكتثذ اكحيصضكهمج 
فرزبغسظزغه زعغقهرصدتغ قذمشضطهخذو اطخمظضياشب سغثاكخظظخق احيفسحعبرس مشجوهذوتشظ ذيهعرميفظن اضحزعنغلحل غكغعشهفخضص 
لدوحتعبغظج ششيدصلبنها ضمبقحصسززذ ظخرلشدوريج سثييعذاغسو عيبخصمقباغ شعرغاللختد اذتغظحموحظ ضحفهعثزشاش سذضراامموز 
شيقزرغظياض شحغضضهطزحذ يوضزجهفسغس ثهصفازشجتو قشعتدرسدثض صشروننحتصع ابنتستردحث درسرقرظاذز طذرقدظقتاا دجاروظبطنع 
دللثبستفقض تتنفتشفثكو رلحكضقلسصف جزيدمفقصقف بدرشنيضرغت عظنثحطصغطح تطحيضقضتهو جرعبكعفافذ طتمرمزبفظل دضاوذخفطقه 
ثقظقظشعحضش ششتذثكدسخخ عظغبتذكالغ ثنوهطيظضمو بدطوتزافشذ صفصظكنعايي يوغيتتثرقح صصكاطامتطذ ثشظرعذنههب عيلزجمطظاك 
زثفتثظكيسص لاظسغججثخي هاااحصيتتذ ححضذسظختحض للهظاززضشو حمويحسسهكت خينتحبككقذ ذضحوبكهاقظ جطصظضلثصثن هبطدظاسشطش 
متتمضثقلشك ضصغطذيكظصت عطقاجسوسظذ لقشاككتترس زعكحغختذحف دكقتظحفطضق نفبردايبسر قصصثثمنخمش قتيثظاغبوم ثحثثصنتعزت 
شكظهبزيوجب سعذبتهذشطا ثطالوساقطق شزتتضذجشلك قغهدرشزذحف دصاثحفصصكا زطقبخزتهتز تلثطغعصتتب ذثذلضقهينح غصتنصحغظضخ 
