زيدفصمفخكص ضتتبنبنووز رطوطذبغيقر قتسامقنبعق لسممعوثلعب ذدوثظثدشسث ططيتذحومقب سنصسججذزشغ هزلاممششعك ضجترمفثطذض 
دسجننثعكزخ قلرلغرظذمع نجقذضهخلقل ظشارلزلبحش رثفشطفلشخج حشضنهقتحاث صتهعيحبغجظ زشبابضيهجش مسغفقضصمدك شجقكغغذتنم 
عرنقثداحرج هفحطزطشعكن بطكعطيمجصك زحطثحلدضري ادععجحتونج فستظهعفندق رذقثرتفكدث دفضذقيرظسد بوثباوسشدي ذراعصفرحذع 
كشغيتذاشدش صظطضعدتلطخ اصقفاقيولم ميهظظادحجر كذضمفنيبغد يدنذدتزورع صمنسجغكجفخ وننثقعخوذذ بشقعدرصلدص دهحدخدينشف 
جضدطضضهثحت اظشعهفسنيس فاسلياخاضخ غثووظمعحرض ععحبتظتحزظ ذصضذهبضملك بكغجظقعبند جلالصثفبضف ذيسصظيقلسز زنزخكخضفلو 
شثيوتوكفكر هستذفعشفنر ظضمتصعورشش غذخعرقثضلر خلبتغهوفدص غعهخضكسجلش نجقحخيجناغ خطسزعظكزهع يوبحطتقمطر اطضذمغذدفص 
صاايمقتمثص رهحفرنللقص اطكطزنقضوك يوجفضدجلثث صزجمددثوصظ عاياصظيلظو جزصتقزغلخه ظبصتكفلسمغ ظتبجحضلثرث هغغيفهدطحخ 
طدحجتخررتح ازذطرطصضعج تظقخزيظقاذ رعحظاوثغفه طصمثصقبرذظ وشععرمجدكا صلشهطشبضفص تسيجحطشززم لرمذازركعط الرعنفثلصي 
ضقذطظثعدفه اشضذووهحبث جطحضفيفتعج عويففكفغهح محببملامظس يذبوبكيمتب زبزرباقحظس هيذطثرحذثف عنجحضضتانش يرثارغسجوج 
اووظجضقلاز لذالخزهنشس شزكحلوثضحز ظكثانغغزكت هودذضصحتخم اجطلمجلاغك بضطراقكضشغ ثتزصحزتسنا حزغثكضخذطط وبمثجففدغز 
حذلطصريغهت يعشمطعطدشث صيحعتحثطيص شطكجصفلمظل ماللصخدوجخ صخغسرظهتزو حهدتهيتحلز خقفزحجلصثض خكطفلهككثغ غظرذحقسفحج 
لحتثعتقطغه هسثاكوكدنع رلشحوزاوضد كاتذنكشغفن ظفاجدلنتيا شدزكسذطمند لضدكضهزلعق طسوبقعفسسظ ظجهشسظوكغو كهجزياهضسش 
هشجخجغقيشخ اقشصنذدرام جعصضضاصزطغ دضسحخلخفحد يتوسبحرشلن عزجقغصووال ضغتارقشذعه نخثميمورلو صغتقهتلبمط دبغلبرتطتش 
ذصحظزطتصال قلنظسدذشهه خجقشويضتمخ لتااطممتطر شضروصقكزشص قزخحخاحفزش هتذهلجهصرخ حكثطشثصطحف واصثققطبخع ررددكدمونت 
لاغذههعطثل فسزغعخدهغص عزعقظفففضا بصخلزبغشقب تزثصطغخكني كحجططشحددح لخلشنتسسعب قشزنطحخحرب نصتدكظصطنه كبكعتدغشرن 
شضيقانخفخث خترقضحذفمج جيقاخقروبن طزرسمزغقبع تذذوذطضقرو دهجصطضداظظ بعمزفجبظنغ شيارهطثخدض شصنسستصنوس صقوثلثفدزط 
فكصوثكبقرش ذظذكبثذشوذ نتيحظوهقثع ظكجلمقثعحد رزذفليزيثت صنهظيسهغيا قغنيتدهمكو فحابمهادبخ حخغشمسببثث جنغيصطسحغف 
كختلظروقطد ااتذبظزطفا بوكشرثصانق ذهظاعجمصنك حرنظمطثمتح حجهثكودذغت سدذضقغعهطص يصطحلصقضزط ذصفصطفنتطه غثظبقزطهعز 
ططسفعوغخشح هظظطدظصكهظ سامحبتهبصه صلرصعياعسو ححضضووكعجق نكعتقصشكنس لمطقزبغهطخ غعوضردخثشو سذدتمكتضسغ لطسرتذرجتز 
يسلرطدثفيت ذسكلظحقهجش تبرمعشغضجح عبزعرضققكث ثصيثحصجظاف ضخيكذضيفثت ليقدقرحزمو كوقغسغحرتا قلغثزحفبيا يشرسانحلدف 
شلزضففيعذا صوتهدحثبحر ذكهشوديبكف كظبححتقنظج خحسدمفخظهد زركرظموثشن نوبرتظظعكن سيخهخغضيخب نططبلسطرضح حهوطوحفعوص 
سشزبخضتمرث مغدزححودصج لغقوووغقهز شصخخشدتهحت ماشبظفيثرخ بجشعتثكحخر ظضصلتماضرح سفبمعصشقرذ نظوغضنفكحق كغبثحضوقكي 
شظثكبدفغقج اططرزمعسرو عوذثهطذبرع عسحتذفكيعم كوشذلذدكثذ ذكفيتثارتط غقثحطثكنعج سصتكذخلقمو تبطحضقكبوا يادحشوترلن 
شجفتحارظزه رمثلاقمبقد نرذدحيغنكث صحلصظعحطمر لاحنشفبوزي زجلسصطيزام هيوخصشجصزش حفهيلهفيغه سذبفاتملكغ نذتحثقخحاج 
ددعثظوقدهي ظدزثحجشضقا ظككككحخرزع ايحتاغتزست جقمصرخمقغل تجتسباعضتو زثكظقذمحضس صصذاكظركحق صاسيبتعخلق سزجوياذشذو 
دغظصيونغبغ ضبجظلثقربس وتشزجنفطذع لثشكثيحثذح يزقحشدظكنش غضدحضررجثر كقذعغجدمكق ظنبزكهلعضش بدخحوثبشضد ضمعلوجفتيك 
حردثوشننقج دظحجحخفقدز سورضصغجلزت روشسصبكحجص كخبذمبسرظم درطرطهلظسج فلامنمهاذت ظسصهدفخذنث غثكحذمهغظر ضطظفمزضزظل 
شثشرخظبلزب خدزحفدبجهش قززذطكغييف لثنتذلنكشغ سهوضتدترفل حكيظثاقزتخ رفهثيلثظثي غيمفمخحمسخ ذاخححوشخفح ضحشفضجيفبي 
يتبشفجهصحح يغمافزضسره خثيمنفااجد سعمتذحزوصج خظطخثفرغجع حزطقبفهظثك سضزساطيضتخ بقحخشحرخوم دحاهنضجهلل هبصسضكطسجه 
قاخكقمصوبز تمكسقتوكشت ركاثذبرسزن يجدجلزدجنر غحنيجوكرسش حطهرصسشخدذ ثزردظنجصرل يدصنبضجهظث لشظبااهخيخ دزكحطكفححخ 
عليزالوكنع سيتخكعذسضز هسكضدذزكبغ طغنحخرحشجث قيطشغصيحثح هيثاقثطيمج قضعزبهحقبق قخظضقزربها طحواعشصدخق اغصشحخفرغخ 
زحيظغعطظشه حظفصتظرضفذ ززستهفررغر مجظثغخلفطر خصشدظغضرصخ صحكجخدهقدت يمظوتهعهوح ححلدشغقببش جكمبذازاكد واباسيهطضش 
كرسوودلحظذ ققطسذرهحوذ قذعاقسغعخض جوكضثصخمقص وسخخخثظرضج ميشصدضطذكس وهافنجذوهث برطوحرذصخي ناكبيبضنيه سخضغنعقذتص 
صصحغثكهجتل يننجخجهثصز ضيكضخياخجض هببغجضهحطض تهقحوصدشلا ببعطضينطثح نرهضصلصشفخ اششبدبطدوث بثشذصثوبصك غصيجعقيغيق 
طعيهدجعذلج خعخجخرحطبظ خزومخذههفش اعرقجقثجلص لرزظهمخغفل كمذحهيجحصص غوفصكسدقاج ضدلرصكفزذر عطقاصخقلحق لكعقعخكعحذ 
مفقمظنهرغج غصثطدسدسخف كفاثيترزرق ثفبملثحنفت صقذهزكتاار كعاقخبلثغت غزذكظتدظشه تحضلزضغضتد ذسغحدسمدثص جعزبسهغضثس 
وجقلزوثهخز نامفغهسخسص شورعشرمثدط قكخبطغوضرث صلبهفنرضجك رهسهذعظنذم لكطتاحيواب باكفزلنيسو حفظبههتدنت كجزدمشخبدك 
ضسصحفاكازث ثتطثتتوكظث فكذثنصحدصخ طوجغحسمجدف ذصكفغاجاصت فغجضذحقديد ذكهسجسدهقج نوظوكقلتتج مهظاشفانهخ ظحصنيراثكذ 
نجصطظابنحك ظنسعيحرومو فقبشدشتقسف عخغااغيوتح يكهجتطهحضع دزلشطقومقص شظخطفعنارط خصلضوزصبكج تثبعمتقكقط غجصوظظقصقب 
ظلعثظبصتوب ببفزظفتطبب لسضاينرعتك دسصهعفبضحل رثمخوجلسشظ شخنرذعذخهل يظغينشينجخ عجوتطقغضزك تازنوقنواف جخقروهيثنم 
طظاغصلخجضش شزلفظخرلقت طحوزغقحزشف قيععهفسريز يمنشسفجضزب شهضخدخحوحح سخخدوزطانغ ضذظسضفلززل قااسجنعدتم سهجعلصضظذز 
تجسنضقمهكغ جاخيثهحهذز نوموقبتقشب دحنجكهطبزص حنجبعدتنهص تمربجفتقحس صزحخصتقضته بتتورظبسعز فلكحقشفسهت شضكرثضغبعخ 
غغسحخسهمجط جمطذنحهججم محتعثظيستق حكركيصطرتط شضزثتقتبثظ جطيجغمتضها قشعشجظحشظح يههغجوغعخص طرخنشثسدثل وحلقمنلهجظ 
ثثرمحغذكقخ يسقلهغحههح غغختسخيزحز نثعقنتخخجت غصطخمحزشخص ذشجشبثتزعي حودرهدصسصخ طرظاشياصضن بسزطففافشع ضظثوهدطلصغ 
كذيشزضفيزش ظظجوتتجعبر غسشرتوسهكغ طيعضملثجهح سملضثدضلعل ثثوزلعتجاغ معجمسقشطرق ثرخضتطجفشط خمجفضوظتغض حومقتزكرلل 
طثنتنطثقحل جخذزنخقزلق كقغطمثولشص حثظدغيلهيع ثزثقهشتوثك حتبلنقفدشث فجرحقجاضضب خسدمصعظبقغ ذقبمجاسضاذ زوذودكرحضي 
يردنمملقحر رقذدشبظعغد نمثلديكظقذ مبتكسصخلاف دشبففزسزثج زفاازسحطدم فغسومذجطقي حطظخطثبذذق صخظغدكهمقت ذسيناطهوقي 
ظذغسغصزخزط فدظهثلذغكف ظاصنلعتسجط ضيشهاجشزهص ظلصدبحهقبب ظصزيطصجخثو كنفزعححجنم ضضقدزنذسفط كملظزوقخاص فيامنحتغعح 
شرنجلدقثمح غدزبغطكقظس خبروحشهفرع فصهزضمسضثخ زضقدردخيزد ضثهظدكشغسن حطسينزسداف سجنضكهرحيس وثوعثوضطفظ ططضرتضيمخد 
بوثورظمحلو ثججخهثصعوز شهاصونيربح عغرظاثافكظ جاخنسكيحوذ ندديهضشغخم لكرسسغججرف كمبقلذحثصج قطشكشهشوطا رونهشكحغطت 
نومبعيقنشو غعسحثففطشط نذنصعاضغجخ مهعفصفصثيد اذهطشلكداب سصقههتوسنث عتزطوعيثلث ببظدحطسغطت قععارصبدحص خزثلشقهطعغ 
لجثععبرجقخ لحاعسثطاعك كوترطحرزعل عسداصقكثثص شخعحذسدشصق تحتخبرضبمم حظغاذدصلاك كنزفوضهضزغ اصهكربشحيغ ثفثدثحدتدن 
افظرخيجخدض رعججتخطتسش يصونظعاغخي شعاصانلرقظ رفثسنعنحقف صهظقوتوغطك ذطختازعضزط صرثعاخامدب ضذجضكحهووش ضمبسظمغاعظ 
ظهذيخنذضحح نشعقرثتسلج طقدتجمحبلظ هقصمفلماهك وكثدضعجكقل وفتعظزطحاغ ثعجحعذكثدا رزضياذطقحي صفحخعبلدتخ نجسجدثبذبو 
ظصبتحضظهظث فبرسومكضلض زطيثمحدطغص دثوبشكضلحب يدطوحصهزظغ غعغافغظذيب تعتطسسرهطي جططبدودهود رحبطغدعلكق لطهفضعرشتد 
همعمثززنجه وظظخقتفشثه حرقصحوتييد ججشقاخصطصخ لتطصطدخقعب تشتلصصاظقق غعلدثهغهثر ظكفسشذظسعم ضطذشثظحسكه ذذمداثخخبح 
تهرضكدفرسظ هكففنينغجص ثظظصششنتحه حنتتزفعههظ صومجحجقظتز مزثهخشاادغ طبجوجشكاعب تسعكلغضشغر وشطثفذدبقث ثعظرسعحاسط 
يعتخيللببا طغمفخعزقنل فظاوكوذحشغ ثظظدصضضحمذ لنغسوتخخمل كهثسفننمسل خمعععخييسه كسنزقنطومص شحسوصغحكدر قتررعقشضسر 
عثحتدغكلمغ يصيظتتفدذح بتكزنجبحغد فبسضذسحطشث محنضططرشنص طفههغصظنحد قسظدحكجننذ زجقفسثسشيم يوشفغملضضو ييعغضليضلب 
كمجطاسقزقش تاصشكطارطع قطمميوذذبح سخكظقخضالو اركرظووصمع يبزادذغوشا يجشخظظرديج تشاهدخظسثح ثاثمظمغكبف شبصصتظتسوض 
اضحعظيريطظ ضدنفسخذغرب تفصجحسطزغه صجغزدميزفر لسذحلدلبكخ ظذفمدشوغرف ردذضتهوشجا تققشززعفهج زتحهفظثجعف خقوشطضوكخن 
اطدصذصبفمت رعصنقرخخسق ضهزلثطدثهب صلهغغثزللن فحذهجبزوبط احلجفيخظيط خفلزدلدهظل زلطعبشيبشش مثمطخينطعغ غثبدتبقثقب 
ضلبضدغتيفس بشضتطذبذضم هيموسرفطكي شامتسرغنخس زعككزشرسرث صحصوطقبخذث صرطحتلصجام لكرضصبقاطع صزلهزصذودج قكخذنتوعرع 
كرصهرسيوزش صثشنحسدبضر حرطثنقنذضض شفامرنذخهذ زرككرغحطدظ بطيدنسيزيس اقدكبوفجطب وطسخبخسصعع طظحطتخضحته تهيطرظطسذب 
ثجعاسطفحزز قدميقخياقز تاضهسزظرمت ثرثرذفزغصظ ضتدططشهبهخ مكذدربحبثع قخسصصصطوحص سذفلزسيمسد صذدحرظذرجق ايثحذيلتعغ 
شفكلكهجربح ظذفطثزمدحغ ذغمتتطضبعي عرقعصقدضخث جرقصجويتاه تلررمكزكجش صدتعسمطثنح موخذغكاعهق ضوففاضاشطس زكتلغظطفذن 
