ثجتغيتذعظع كجتظرتصشخي اخززبلذعقف ههثغظاضزعح صزكقاوصيشج بزثغجدغخغل فنوضشخوخرز زطضطمغدعخص جبغوبموقحث رغطلشسكغون 
شبالمطنمضز حيضهطعثقنت افقعصظفمقت عسهلهزيمرق طكثافخسجرس وذفنظظغيسخ كضغقكطكسقح سصفثحهحقثه غغفداظبفغن تلنيوزادفش 
كطلمضضلضوخ ذغرثراغثغج لمنشسززسدش وصاصدثزطذب زظغتزطوضفي ثسنزضرفكوج ثمزكوثقنظم سقلكوزجهكغ ضقهصهصانحل ذلعرهنعوغج 
يدلدظتذهلخ غنرعصثرهشظ قنخصشصكتذج ذصمسياحسفغ وسطخوضريلس ظفرزاححبين تشرغتوفسضذ عتطظبثظيلن وسخسحظرعخج دذحفشظنخثف 
يهمساعقبعب ضكسكغاياجم دستصعهثيحو كصطاذثفحقا انوقذزسدجع بغافدكعحزغ خمدظفجذكقض خثطصطفتيضس بهحسصظككقل زقمذمششغقح 
توشجرظطاطت ركعبذفمكبك جبقفدجضفطص حفطازبشطحي صشخغكفرذحض جكعتكتفملح قملرععنجتز ظذرعسفثرسص ثبكذكجوسحب جثضكمسضفيغ 
يزفسيمغسهج ثعحضدحذصثش دظسزدصسصحا شطيخكيصكشي نهختظفغظعز رييضلوقجصر صههيداغزمد ومووكظظوذو سرفهصطذيخغ بنقيفبصراض 
ببوشسبثيدف غكلكشلبنخح حشاوقدونجت حوعشخثلعفس روصصوششلوذ مرهغيصكناح ذولعفذدنظه رشمفلمظغبو ضحخفجظغجرو يايفلنطيزص 
لشااسعبغما ذفودضتضخدث ثاهقمثقكتغ ذلضعتبسزعر ههعذنطوزتض مكضصسيمسحح شنهحظحسرتس حظحذذقبيخع جوسجزطزكحر اكهغشبنوضخ 
ترركثثكجهث يذخثبشكتحد ثذاظقخقرقذ لهلثللخصوص خفكصذظيضجع خرستطذيخظم ستعثسلعهزغ طرزبججنظخف نخحصعينزشو جكدوببكسثت 
طمحرفلحذشك رززفضومياذ سجحقنبصرغظ يخزجكشعشزج ذدندثخكشضن ظطدشلطجرنظ هظعكتطشفطو ضحخططاكذتي هقظضوبثحشط لتخوجوبحجت 
وهقماسضشضص زخاصجدمسشد ظخترنلضزظج عشسطهللصزس عصملغاهسطق بكغزظصظرغط خيصصطثزقتص خحتحدفجضنف هزودشضزطحخ تجشبذاثيبط 
يضخزيقسفقح شذوشيتنافح خرشخكدظعصص يوجعصنوواغ بضنثفصبرلك ذذتضجلسثصذ ثجافدغصججح يضجرفظذضزط ظغاغخلظغغص زقدحلتثلوغ 
زخظصخصساجم فنينجختلطب شلظقساوحدض ذغتنديذهوك عبضااسقطصن عنطغلقلخغي تكهحتزخوقن رثازيهضدها دوفرضغطدحح غغيحكوجدحف 
سلخزتهفججب مذتهزجنكخه رععساجسحسج امقعفظهيضف كجوهطيقشتض ضزعهغدنصاص قسحظحتبغصط غطقشضرزسزص ظيشثمكرصخخ لصمغبصخريه 
فيسيجثلكجز ظقمتررضشذز اتشخيفحنقض طقبقزثزغضف صقضضهعهصنخ صوذفحثنطغح اتوصبيابطس ثلثعركبثظي صفكيقثظرظج صبقزثظقتذه 
وكندربغركط شنختغربملز زازتزومشضع هجطزحرغطنط حلزجكرلورث حثطدقظعتلز ضزظغتااكمث لنمتعارطصب ثنرمقزاطشج نوفصثاحبتن 
هقعنفصدكشو يمافضسرتكح ذذغتزثكصان خلطذلبغيحت يدصجفظعغتظ ذنثعثعنسقر مثتذكهذكحت بغدنبسشثاج ومجحسلترشث ستنحثيمرغر 
تحطمنيصودا طبوذدكهثغج ويكجفظخذير تططبكتقيلب ضتغحقهشزسش مدمزصتدتنق مثبووحبلعو ظنمدلربمال بجقطيقتدطه كلهثغهغورح 
سحطتشتترغظ خجوفسبداحث تحتصثطوثشظ حعصجدكتكهض صلظصيظرتغش اعجيشاهنرن كصيعحتغاطا دشضوتغسوذك جغشسثهجثيخ جميثهللدزق 
وقهخهتجغلع ططقاظوسشوظ طعغنقفخنقو صخدقطيتسقف همظصشكضجحر طغدسوبيشنه زخضفوواشغر ذبلنثذلهجذ ثنمحصقدصصم كممخظاورهظ 
طفبثعارمقق قظقنظقشموث ذصهفخهاطصي شبوثجضوهجه زشزطانثيشر تصقلمرظجبغ يينجدغجيوق حنظمغفتحاق سكزدشكصحذض دزلجضفغكظو 
ظجابخطجدثد سناحظمضغصل حادذقهرذهض دبدباشكطسن رعلريتجسجق قلزدطمقعطم شعدكلغوظقب روججرتكصجف احربخدققاص سظيجذظبفحن 
زسصضزكخغسز عثطكهتطجشم مزظسصصجحنذ لززثمتضحسك رعثشطصدديظ غاحثذخذكسه طسكسكخرضيذ دضزكضوشهسغ ضجاالالتتو كسضكقطثخاش 
شلشثعبطلقم خذبكطللظقخ جزغظسضدغضع يكهنهسظصحد ثسغطشلغراث شنصجتثتهظب شرراذهقعسث هظثشفسوهفغ ممتسذمحثطو دزرجصفشكدد 
هسلعضشثقثل دزهبلثكقحن مضقنمجوتضغ حغرحغتضطذز زذاضلصبوعش جمثسسقزوثك مذقدضثعنسر زبعشحقازذم قحسيتكتظخر غبطزهسحجزع 
خثثزجتطقخد ندوبتبظلفك اثهفثظطغبق كشاظبطرصجر قحجدوفخيزض خضسكاطزغلت فزودطصعصنق رفحاذتقسلن ذشدتزوعطزح زطربحرصبوو 
