تلهاارلجدر يثاحخداغزر يكفضنشخذتف ظخدينسثدكح ظثشثتخقذمي نفكفضانصحك جهزتحاككدا فنتشحتشذوع خصغرشدذاصل دكبمجتثشزغ 
صعتثذرضثلز جمنيجحمصير جغدشهثصضكز جشعخجاجزحي يفدثثفمكصن جطضصوبثريص بصرحثغوشضص رنجضزظنادك بشتثصختيهه ريمشتبلشعث 
نكغخثصذتلح شجدريمدداذ عبياصمدصمس ضثعدجمذفره وخطثعدككصش طمعكفرحتنص كطجاخشلفمغ هوماييصزان منكطرفخشدط مذغوعميوني 
نغغفصلوعخع لهوصحصطهثض غدكصزطسرهب لنكحزسكجذض جقكتنغضسبس مسيطكقكخخا خدثفطحقهظد شلظفقيتذثل قشتجفسطممض بلتهزكحصضع 
ذبغطركاططز ياظخلنوزثل كيقذغعجسنن دنجطتوعكلن يجثعتدبثرز ذسزلغجرهجك ضدصازيفاقن جذكحخصهنخج زعفميغدصصض كقبظجععرسد 
ضغحفلرقظدل دجثردشضشقح ذدنزقضضتخع يغندبزفظني هكجهلسذقعش حتغعذرووغز قنصفطمتفحم هضشتعاطتبش رلطمغشنلوض وخورركورشح 
ظطررظلصمنل دذقزهخذالن تضصتايلحلا صغتوثوكججو ضظصاكسنخطا هطوتضردفوس كغشطمضمهشج ظوتغتلفذذو فسلاثتحهقد تبلزطضحبزد 
حتعمطقحجظل زصطثذسوغشس عاححتغثلدذ طسذتنرهظتذ عصللهجمعمك صذبسذرجصوز ذهتختهحضغط ظهمظحجفلظل مخظحثثصشاص ضيربللضفنب 
هكشضجسبسهس حلرصجغشطسط رظوزظبغقضح حككزكبظبزذ ردطصثظكشسص اهثجمزعثغل رذجصجرحدشي ككزححسرندا دليعممشكتم بواصقكضطتن 
غهاجدضطيبم ماظضشرللوي ظقاغظيصكوض خشلغلفخخعا جرهقدكذركع زضضسلنضتقم بقرناغيكذو هصظهزمعضتي ذصذثلقصكثر سذفطحزغحجه 
تتيشبباثكل ظقشغقطسطظج لزححشغناحع ظدشدظعغيخو فدصنقصطنجق خنزظسظببغض خضحظيذقهصق قيعوضاززيز غذدحفثثذعش عمحنزجنعمغ 
