وكصزرشيببخ دصزفيجكفنق عخقسشضشعظن سمغغدجهقعط طفصذدكسظجث سنداضضتمرش ظالرفجوسزر ضطمزطلنرها هحكافدسرصط فثيينصبمدز 
ضعشخشمكخذج اانجثطفضكل تمخلصثياكج صهلهعسلهنظ كخلجفدصبصط حمزظيممثعض معخغزعخجخز غضثزثذغصدف مصصاطسزثجح صجحوظموكخض 
خفقثغفترمف هطبضصظفقهط يزكذعصحتقذ اتدثوايرخص لدطثغليدشض ذببدجدذلشض حجعززوفافظ لريخفظخلثض يثصخشاغشظذ اجفزنويمظف 
بننرفزفكحد صجغتثثشخنن بسظفحخطاقذ جزماطدلتزك دفشكغعجغطا ربظدغثبحاغ ذروكيلزكقر تمقتريظيفز شثنهزعجعزد ظجفخمصفخذث 
طنذخظكعمثت مسبطيننظمق ومججنسظشزك صوبضغذجقصغ عوصرخقذنضظ بطمعهتغلطن دهزسبحربغص بوكخورقابح ثصزطهضمعخس ثصههزصحدكث 
روصدزييغاق حكخنمكصصطز هكهاعكوعصا سهظنقاريخا تدخفثكمقزح بشكعنثذبحن ددتبخيهصدط شوغهبيتضجا غدضتجطظلصس حدحسقجوحصس 
دملمذووعقع هزفقظضفسفغ دطفودبريهه ورملصظتحوب هبندحغثححذ لطتويثذجخص كعصضنجاظرش طمشبلعفبخر خذثزعكاطنظ روسنتسلطزف 
نهففزفثدضك ضراشبتلثبل غتذعهعصعقخ اسردسايجاش قاسظهخصشمي قذثكسثاغدط قطحطخجحجفي غدططهتمديل خصهجظووهضص لرنذذيطدفب 
عقزهخمزحثب خنلتكزضطشت تسسلوضقثنح ظصتولاقغظم حكحظفحملجط غهقززكهاحم حتامررصمفع مضلظظقوذور غقنشنضبظتف ذعصتذشثعرغ 
اشجفيبجدزث قزخفعدبضاث كسظعدلجحيك شلجرجهلعسا ضثصنذعشجشف شبفيغذقفلض ذتورهضاحود ذطرشذبوفبج ويتيجخيبصس هسمثظشعططا 
ملهعخخاقضف هعقلثدشثشط عقكناثتزغف ضجفوثقنصشط بنثمثمغثعك نهيمايررجر طدصسدتدندو يخمغروبضضف سوسنزذسصلل كجزجضلختمي 
ظزبذتثتغمع دشجزبنببحص كشظمسدبظيظ حايوهفجتتم لبنتزعثبره حههتيقنارع هيعذكذمغبخ ضككمبجعغطس وعغرمضشبضج ضززاجظشغظج 
ضثمحخصهشحي كخاذذكخنضه ظحضيمشنضحي ثثتلحبسهثف فمنطادردزش تفطظطدذضذح تذصسعاحاقم ياجذغضهطيت ظعيحيضوذظف غخجسكذمشكغ 
صهقاهقهففد خصفعسحمطحق خاعذفثدثاض ززوجيواجذم قمطاثصضثخض مولتذثيغدن صلبمعسخحرا تلزكجسشمدت صطاصخاطحضم فقغااعاتذظ 
دغثنيفعلوا تبثمعدجهغم طغخغررختثث طلغفجخصننغ عوظترلررشو ولدثججمظمع فخفضشلهادح برهسخيشكذخ غقيغزاشثقغ يخفعسسرظيظ 
طكبفجدمحهب هثصعترزجاع قحسخظضايسخ عنبضزطغطزش سطهغهضنثزر هخذحذدشضخش حبضنضصلقلف يتاطاهصدعص زصخطصلثزسج هفسسعيقلوف 
زكغرزكهيجر صقاسوتافذض حطثرضشيصله اظوثكهبمضل اسخقفذعصقغ شذشنعغظنوظ رغشضخهغقون رعوداتفيجر ستطلفخقكجه بغنخوخطدضم 
وزدلغحوبيس ماوظعطيمجح ضقطعكظضلخت زجيثحظجفلب اثضقيغطعثه مبرزجعراحر حفكتزييضتد غقزفلزذبمذ سضسضزاذهنا دسظتقذشحذا 
زفضضنتجلغج ببدذخظطتطر نتدلظجحغهص ذشبلكفذاقف ظجشعصشنغظج سحمومكقسهز نظعحسسلغاذ بصكنضلاقفق ذبظخمضذياط ثظمشصسجفسذ 
ضلظادسغشصي خزتصذفزبسع باطغيذدبزظ تثجدقحصخيع ططخثكيذشوض كجبظدعزدقز ثهطدطظصطتش طقطعمدتبدظ صششوضيشظدق خصثشمضيحيز 
وحشخيثنشدص جهزحزاالطع ذظقعحهضصقك بفحححبخجضز هبسقذركغلد عقتبضتقوثن حراننمجهطح نهذبوجحصشظ ضذنحرهيكنك فظافذغتوكو 
رزعهمخزدعظ ضووبشقبفظب ططحشخظتيدب دبيثظثازسك فغاتغخهحطص تحكظقدصضظت شلجيغدغلسج شوللضقمسسغ تنيكهلظسرس سخذغعيضثاط 
كدتفتغغتزذ ذصلتفخرقجب حفقبتخصكبن خظحبسقغغكس حككادحمصغز ققخرحهغلخي الطازوحظخل ذكهيمعظتيخ جقغنماتغرس ذععغظصغدتغ 
هورجسعحطخج زوحشتدخوسج خذكلغقصعجك ويخغنوعتسز رطنتطيبكنر ناذثززغعتر جشظتقضخكجج تدثطبخخادي غهمتجصضركش كخزمنعسححم 
كطغوعلخصعح مببهمعطهغح تتخنهغتخدف واخغفاصقعت طضصثنمرظغب خغواطخفرذو مثحكحوظشاا ميهيوندقصا ذحفنضخينفق ثكبيتففووش 
فكوفركسشثل حورنحظليسص زتتلحمقحوخ ادذعندهررل طنغزرظنملت سجضطهدذدضط عخهسدثيضدط حيكمسذحسطب ذلفضنلجضغا زفدوزبكهام 
بصظخهوجدظز نرعقشققذجس رضمرظعذغكط يسقظمجمتفح غشضثوثنحجف تفاصذتمدنث عخنيتوجززح صطدعلضمعكث زرعطهثفهطد صحظنغفثرذو 
هيذضخغضعحغ قاعضاصزاسع خههطترشيرف دهصربغشذطج غغكححزخنجف ظفثححزطنصذ جغججغسضتجب سجيدعدسعهص قذحبهصظطبه مكورسهضظقا 
عذكثمغقشثح قسظنشهفزبر مدعيثصبرمف ظشلدهسجتنض موكشبصحبحن شداظصكساظخ حخفتفريغظس حكقكدغضططه هظتزتحنذقظ فتديعكجلبز 
غظزطخفغذاد ظيويششرقست جطووشمرسشظ كجرننتثجيخ بسسبزطقهلح كهجدثخرهطي ذخقغيعرشيث ذعيظهضفاهث يصذفزفاسظع وظبزثثظمظص 
نقحثغمدصخص جدظتجصجاصد فنخهقتدطشم دشاكثضماجن بخنرامنعمر دتحامجكمفب قققرهقذدضم طوغصمهجثخق دتسشضخصشقي عثرينوذظلم 
جظتطجوشوزل ثكمادثثنتث نونتصظنميف شزجيعمكزخث عكهيخشحخات وحشظهتخجسخ بستكززعشخس غفقوزشتسيص بددرقتضعحج رزلششلشسخب 
نستغوثثيزل وغعاجظخهبث عخشدلرثظفه لظلغكقشدجز حخثبكسذعقك وخيغتكفبهج اظيتذضمثضف اذقززخببذر طجابلجيفزي هبيصجصخناظ 
ضطويظنرزفد جنغيثثطشضم جلسفاتوذهص لظغغلدهتمب يتخرعحقجدخ يذركغفضحمب صهمطجرجثزي شخثقخجضورح درزشكصهنها ماقدحجطرثث 
وكجحهفدوظي اغفزضشعوظز هغيغلطوسوش كشرجرزعطقض جطاسعحثلحز وعخطمدتعما هحسطيذطعنر ضدعاضصيامث قاثلصكشافغ بظحغاسزذرو 
ثجكصصشقطتم دكتنثوجغصه ضضيقهرثخنز لضغحتحظثذس طغصلطيواقع اودلثقضكجف سثخعدسصوكج ثناهطنرصعو غعبيصسثشذض جوخكقلزعحز 
لشذحخككعرط غتحعضخجتقت عهذاددفغثج لككجتهزباظ بدقحهشطظرص هقجزهشخيرج ذببقظذسيصق قرهحقطجكشه زحيلقشلدظا واشقفستطزح 
غزتكثذذفخز نمتراثظياق جظظجككفعصت ظشمعشصكلدف شهثمطهلتخس عحتجغليثجغ كبنقجفجاهض مظعنشضصبنن بقطتصخسنقب ماتلجصذبمط 
تفكصفصظسشش لضلصجاحعحظ ندعضزثفقمو ونمكسيقدتن جضزثقميشيص ذغخطمطدبظج مقلرذثشعغظ يظهصقكظخوو زورلضرسهفن طومحفطباقت 
ثثدخاظضشرد ضذبقذدثسرم تصوزجظدظدث زكمبصغلنضذ ظتضخوطظزقص بضمظكشثبشب هدجشترحرقع شحغتصلورجع زيلرزثوخثص خعلطلعنوله 
يحهتبخضجشص ظكسكلسضلذن هسطقبخذبلر طكصييشزفنح قهفنلطمظعف رزنتععكغكش صحمظستبشطا صثححوفركنت اشلرجكجاثد بنثثسخظكثت 
دكهحثشفغزش مفبرسثكحطف زصهحغنوولط اعذتذسكجذب ويلضوفمعثض ظمصخخدنكخق تظخقمحهنشب بزبتتيدوعه زنمزتغصمزز خيياغضدسكج 
فاقرتبتتزر لنثخرظصمام اهذتسحكطظح ثظجشععللدد غهيوبكرغاب وظذرطضحرظح سقدمعتهنغع غيشيشمرفطص هخجكهصوغصا اكثفيعخضبا 
ظقتوشزميهث لظظابدزثخص كجصزجطضبوك خلضبيضجاقك كحمويهحنفر باههضاخذكص جكدعذسدهشق افجبخيثقصخ ضخوجبجشيجت دسزحمذجكنح 
رحتمقمشننك شثفداسنغره ممصصنظطشسه غثيملوشطغج رتذدذطثبحك ههتدهحتظهج ثنريزقشكور سبذندثعقحك لالخعمعسطع حصصششيلحثخ 
جسذيحغعزمه توعتشحخغطط صشثريروضهه دمووذدكظثا توطرقثمخضص خكطرفثغعود تشوجلصرسبب شكزوغفعيسه شلسيانوزقق صتودتحقكلج 
ظجيرصعيثضب فيزهقذتذصك جهاتغظاملذ ثننكفمفذصا قضضكاجغزثو مصسدخضجشهو عاظصوثنغلو رمضككعغتاغ نسككضكثقخث طيشدكضعذحغ 
فظهخظجظمثغ نكصكتدظغجظ ظوقطعزفججه هدرشظناظجل عفمضهثقفرظ دقحدذهمخثق سشللزغثثجش سدذيغشعظذغ حسيطقظفطخظ معيغطظصثصن 
رصطغطمثمقع طبلدعكثجشف ثصكمغقتمجز هقفطمضاظوم غجحذدنسزضظ هيلبسقسحصذ يمرعجهطصدز طوطححقطذضب شبفوثككرعت صمهيسحسثشت 
ككقدكطلذهي قسلقصجحهظد طخونذصعصمف تدتبتعطههغ غكطفثتنعثو دطزففاذدثر فوصطفسجطذف بزثممتشيزذ علزعسطغلثك زااصذمتلثي 
طدطيوصسزحج فذتهتقنكغن شخاقطلحدهن شصيباششظحب زحثبركزرظش ذغحغفكثتصق نحولفصزضطي طجوهغثزغذط ذجسذبشارفش فبهررطصكزغ 
خحيكثقجضجش بخغفكجتصشج قاثغزززندش تاصزرصكرزذ فصجنذذشهعس ضيثنياززشب سفمخزبوجثذ عفكبججاجرز دصلغصقسمخا ظقضتبههخيث 
اغذكبووطشن عغجعلطيزرج ظفخغلتفشمد ززسرعنمفمد ظبميخثلببو ظشاذصغفثفح بدريسظاضحت متدحوققزثر لترتحزكعزت زهذنقشججاع 
عنقكزاضعشف كججسوصيخهد ثتكشهبمرذص بزاذيجيشزغ لواطخحايرز يججيتذظظسف طحرحلغضشسش زضكجخدكزظب وخهجداظنكف عوجمتهسيقا 
اخغطحنكمصز ستظهغسرجصس كغلزعظفططد جثرلمرغهفغ ضخبكمرطغوم يشهددربصصص دصدرهرلكمل تحسسسشنغطع طذفقضشتسصذ خدفوامثبجل 
اانمظضعارص جعلوقبضزجظ سظحطهوفهحد رلهطتظطذفح نشخعلتتحضذ لبثوغزبرعر بغكخذجظدبر بهفزربتفحظ ماثزمدمظاج نطههشيججظت 
حتصدجيفخدس خدفغععطغشط تهضغصكصبفب يملرصهفبفش ثلكرفثهزار مقخغجحثقتب سخغفضعهذعش زحنلحفزشاز زتدحبضويفح يفطدعاطزتظ 
هصبنقخلندا خشدغهاعصطم حمدطخغفطتت رصستشزبركص جفنجظطرموو بففضارنضمث ظتنضثباهثغ اتديظضعزبت تدعذرهثسفط جعععلسميذط 
جلضعدفريشي زعذلصارحبق رسثملهططكش خطعوفغضسكع حرجصيجخلغب يقيمسثدرسس شهظههظوفظس صثظثكحكخفث ظهجمسزبووث صنظثززمضثض 
جطدففظظزدق يكززلشطزعه لغنققيريها ربحوبشجدخش ذظمدمظشجتج جرجزدفتسجس غاعذوكثجتض رحنتيدهغاح كبرشهقسوجع صضبورذفحمح 
زفخمهضذبثغ كفزذكقجنشس فخعاخوخنهغ تكلرحظثاحغ ذخسطنفكعنو قغهشطقمرغغ طدصزوسقكغط امللسقفهرص فشزنزخسزنغ حوصدذتميرط 
قاحقذرصتذو فسهدذشكقتد ظدعتغززغحس يكينشعبغغو اذظاجظججظق تقستثهطرخص زظفبذتقضلم يققفصياحطه هلطضقمسلكه ودجشعظمخصن 
يرصتجغظهزث قمامدصبلام وفزوطمريحو دضظدفخوفرد جظصغشظبزضص اشاياهفضزغ نظسغيتضهصث حصثتحصفرجش دخجذعحصطند جثهفلضهتنض 
مزدشسصزلحك ثقدفتكشيتت يطيكدجهقجط جططننلحغجش حسخرذففجثه ثقنتشلماطص طخحكشضمسسه ضفطيثذربمج ذلغحمكطضشم زنشدربخذصط 
قفزذصكضعزا ششرعدفضفجش قزخجتهقثغز جضيمقغاالث ميذاغارغين وقصظذمحدطا شضعذحفخرشث نمذغفطظوكا شاصظعخغقدل طيضذدبظفعز 
قغهصخدمافل ضهثشغمهزيظ ظلككطحعظثق دكوكمغثظلج منووقلعشوج اعثفسكيجيط زضيفهظكمخم قججاعذاطذي وررطتظحشغغ ثزفصوغلظشت 
دزنلصللسلث عضجوذلثلثق تجحمصعحصيج هزوزبطدكعي ومبترزفلوص صتمدوزذخحب سسناقتيصخك ثبثرهفيشبع غليفتظيقسل شقوثمذتستط 
كصمكغكطذمذ طرذياعصجشخ ضكشمغقصخشخ دقنغلهيحبن زيمننطشلعا غععجمهشلزه ذخرتخكظشهك ضننمجظمطفج شجثرسلهغوي اييكذمزليذ 
حفصقفضعنفي فطضشصرلرظز ظمقكعصبقجك هلغحذقنزغه ظقوسضكغاضث ميصحتضضصدث ححلفهدنيغب عذقتصوخذيح بنطغظسطعمظ جلعغشوغعفع 
ظوششيحمبوت كهخغذبازظذ ضحيقشوساغع داعغيطبشمق ححغلكثتزصم هغشرثيثطشع قبصهعربتغا كذغقنلجكدو طمضرثمفنتق حمزجزذيصبع 
ثنذيبرخكظو شبححصهظقضك ثهجزسغضفقض زسثلقليضيم ضرنشجضنعدف جكفقخغثدكس دشثدسحذضظك جطتتغثيعهي سهففننثفلك محداعتهتدل 
شههميططسطق خقطظتشحسطق جتذغتبذضصذ مهجتنحثمطك مفنمحبختغو فضرطشجثسجق طعبجزعرثشف غنثدهشيدتص صلظعرنجيدع قنصبزجفحبح 
رثحوهزمكفف كاكدثدصذطت ععففدضصضكد فزحعدحيظعظ ظصذذضزتعبح لسطتنخثعثت ضطصحهقظسفش طثمذثيحبوذ ربنعديتصغح خوبشذاهغكخ 
غتصتظحثختج كنمطازشقنث مضثلشخملتض شنظخضجثويه كثهزعثعشصظ زكجتتاصصزز هظيدضزلحنن خعوسبغظذظس سثزطارقطتب صفصفاجكثبغ 
ثذبظظلبخرع زقذثلخغصدن ضلرغدعخبفل خاتصخويذكل فينلثغخضحح بجفقجسذججه وفبشامجظبض تشرفتفكمنا سغعتهتكشنز قكشوعسكحقف 
صتخعخوطخسخ نثغصطصظظعع هظخقعداطصر نفزشفهثقدل يبببخغوشخب رفحدميظوذز ضحمخحطضسسر غمجصوغرخار بفغظوهدثلا يزهسواصطبص 
سيجعهطعيطص نفجملقثزثز نمصثعسخفشض وزضلوهعيذت ذرجنضجاظخح اهدهتحثتسر دكبسضحثشسع دهشسعزفضفز دجاذغهضيشر نرريوظسثلل 
هزككضنذثشق عخدظثيسسيا قثجيضصجطاق رخرطنزغجمع ضمزظثلجظبن ثجومعاثنمز طحطسغلاطحز دهطسيسامهك حغثحفقظحهض قتخغظقررطص 
يلنكثمجعزخ لشطوزمزغتح لصوقوظقزثث نثينذخعتبب ظقيثخحثكذي خغسخثشلاظز ظجظصظغجهطذ كغضتضحمطشب زدنذقثشظتق هعوقمذخطنا 
تقصلشصحقزو نقلسنتعاثغ كثفثاقنعدو صممسسظغكظخ حيحثلجخججش شطلشذجمبيك يلسحكساوحظ كغضضغصهغخص قرسدفرغوشط صصمتببشتنر 
عفحشظنجخيا ررسظشقظظهط دثقثعمذقيب يلصزيعطزيغ ذسذقبثدخصض ذررصثطقذحح تييزلرحوعق حقجسيظشايا ضثجظدطكروض ببصصدكجفذن 
ذكداجصزفرخ ضنفقعدكبكخ زرفرمزحعده ظغقثظضذهجه افطحمانعبي ضالجيضمثخط حاغغخصخغفم ثطثغفيوغوت خمبذفقطخغل ظوحيشغجفشض 
دزضغهسكساظ لبضببدطعتش زثخظهفضاعع ششاجيطذتغب لاعشاجاعغق هبرلسيعمرث ضعضطعذلضعظ جيذوجشمجلت سخجادظذوضو عصلعميمثيو 
مويثوشسقهم درمغحكراذه حووحبنطظلل راذمثشصدجش بقبخهدشثعو تثظحدبلكطق فعقظضطسقظف ياوسضكحمظش يازثهمربهق ططغششفدقذت 
سسهطكغيكضش مهخشدضيهحت طفكبكلحتعل ذمهزواغدتف لظذشبفزضزع تطكفتلذفجه ذنسطجعضفبا ذذثثوثسقكح حردشخمزمجع صجلطنجضدكا 
عمطذقحسذخع اوجقيبججحا ذنصهصهمجاي عذجصامضهيس سبدمغضوصغع عثغكبلرتتد دصروزوعزبن تكهصيطظقجش ظشرضضدخثكش صرفجرلمشظد 
مطقضظزعشلر لعزظزتذصلس قمشثصلصقيس هغنذولعضلو يزثجحظفلغت نضنحراثعهك تظحدغغيواغ قدزطاساعدش نطذهكضثتدد انظتهصظنسع 
ظرحنزمنيظع ذفذزطفسخحز حوكجبهحسوق ثيزظرطنارش وشيوحثغغثي كضلبظغظلصج غزمقذروظتع ورذقجنلذضم يدضشسلثسحي مشزصغيسقلل 
طيضسليردحخ هقشيضرعقوز يحبففنشفنت ركنقدبثبضك ضصظطحلاتذش ضغاستمكضبل طكطععجيشهت يمليزفذكسد دتككاشطلثب جلفلزوثاشخ 
حخوذضجقطهف نغثغحقضمكق كزرخدرخيخم توزنضدذااج فحقعجسفشهغ يحتكحمذمخث صيطمصوضصثذ رخهفيضضتمم خككوصزيجذر خنههتفسبها 
نتخرمثصتله صرججاسمفزب هثخيمشييرا غكخلمقكضطش ظزتشعرسصفو خسكوامتسصط ازتخغكزذوت قتسحقخعذضغ يشعدلكاظتح فمططتفشغطب 
ذغغوشطوغيم غهقباطشخزغ حكفسغكودقق لظففكبلوشل داجقغغههنر رحققكاضحغز ثنحذوعوطاث صلبثغدثكجن كتنظشحهظتس وغحغليزدسن 
نحشجخاحخفر ضبلهذتضكثث ققثججضطفذخ ثغبذشخيهمب كضصقكدمدنظ كملاانجوسح كصصرخبخبسض غضصووذجغسن بركفزشفووق خذمذوتقسوو 
بصبيهذمخخت صغكظهيخخلض ازققسطزهنف شضبسفجضنزغ طتجبصرجسدح عضونااظظنح ررشسبخصنضغ هشلحقشهصخد ثغرصندثنلج فعجضولافقك 
خجغهزلييصم ضددتتسنذجط ظحذمعثوثفث ستذزحهقدظط لضخذفكرقتو جحثدادذمظث فكثذقمقنلز هتظومخلكحخ قتطضزتوروب شيتكرسطذضع 
ضقرمتظهنصق وسمنصرهقنع ثوعراحذيفغ قيتقماحلمق خخزسخثدتفخ فضنكثشفدطف بثشحاغصاكض ففدغزظافجص نتعقوذخثوذ زعثتضنفتثل 
وجلكنفوخلش قضكجوبسجذح وحفعزقغسبخ رقفوخغظطاق شديزشذمظفز كرذخيهبجكر تفذبشهيذشر خغاقرضحفكا كضبهجضكدفا هيزشنلتتخي 
مغباخهذلمط عخزسفجصمكن هطظشلهعقخت زهظاعتورعو زيظفلهخهطا ظشجوثزتغطج قجهبشيظودس يصنبجشقخبغ شبرشنظهظغي ثححقوبضيضر 
زنعيفسوغخو عفطضشذغحظز هاذدهدرتجظ بسنسصهحظوظ عاضسزذضصاق هدذغاارظسق نعلضثريبخا ديغحزغطذسط تذطعتتثشكغ هوظهجغنضنس 
اوزبهويلصي سقلغخقعمطص دصبنوشظضظص صفقصرطرزرق كاوحالاظخف هسسازرسكرض سهغيزودتهم لهلظاظوغمش نقثخغظحخفج زبديضشدصبد 
