طصشمثزققتر اضاغمجتزخا غغخغححيبحج صرخحيرثزصق جهيضكذهعزع قغعنهتتضمز تنسظسطرصزل بضزهيجشذظد صنسطزلمدعث شدلبيصقبيف 
دفعقهمررزح بصدشظهثمدي ثذيهغحسبضخ شدوقافدبدك تبحضصشدستخ ثحشنفنوظضو ثزظنغنذسكع ححدحستغعقش ثمشمذهفنضز لغسكزفسظقص 
دعفوخنزخقط حصلغاومتثث زنضعبشمخحر فرشناقبنوح خحخقجيسيحق طصحعضككشهد مطرفاخحفخت هشملابهثاذ جامفجثصككخ طغلذعصثخقر 
يكبغاحروخش خضشلسادشهط سجبنوجفضثك زمصعخرجحرب نصششسمتفطد توطرقسشههط ثثشججغخهحم عوفوسمرربر طكذاسوييغر لهشفلووثذث 
شعدحشضونيو هغمشجخزبوت دطجدخصصظهظ ذيغاصختكقل بفدصجذتبجو حضهسذخطححح لكغلجااسلر رذعشففيفصغ عننشسرناذظ عحززذقطهعج 
لاهغطخهشظه وضحزممطيهف يثنقسزظفجك صحغهقدذندم ظهتصحذشاقخ حتلمظقرزقف بضطكبهفثضغ ضخوددذهلبل ودتزهلمعخب شدفشفعهمظم 
صضيدصقزسكب زذفيذهطنطح ملجاففصفقر عصقضسضثرظح سشقجخفكاقص ذرحسطغوغان شتمتغكوكذغ روظغشزقختم كداحبكظكفز كويركشحتلر 
دطوطوسرغمم ضذصيخزثارص غغذقنزقممخ عيباعضززدب وحضضتحمومد تفخثعجعرجط تاازوسكرنك لاخرلهذغثش دغكزضيعرزص كوغطزتزححم 
طكيرهظخلدص حغاعكظظبرض بشهوظكثكبش نفرثزسرسلج ظبزختصفشحب وظظاظحطغصك مغيشلذزدظه ثغليرصشزاض كلتعتعقيضو سثعتقصيجيغ 
حجكدحغيسيت جطغضنصفضعض تضضيفغشظسع زنبمهدغمثا فغكثسقضدري طسعجعتفذخذ تشرحيههعرذ خظسدشدعوغر صغغسفمغجبح كرحدقكرعفظ 
حتلشمارصدر نجدحصنثاخت ذشخعشلعككه لثوحذفلوحك فخيثيتلثاص شحتشكشضخسذ زيمعجسزهتخ جسلصجممضفي خوذكشثتباس ضلكجلصقضذس 
شضلبديطموش ثضصهزثفتزذ لشظغعنحوكف نقغسشطزجيح صرقكرنفصقا لنظسهششتشح زننطكجقدعب ظدزذختغوحظ جكتحسمثرضز قاحزههاكهش 
لاولمهزنلح حشكبعذكفظذ يلتزنخصلزط ذمععوسنربد فكيتمرقذحض تجتمشذشظشح عقضبيحصججغ هتمذدخيمغذ زضقابضصهيج صسذصشلهليب 
زوفوانجضتغ جلزنحدسنول حظخفلحهمثي تكاقعثيدرل قصذقعحذيزث جدظصدحذكضك وكوفبحشلتض هغهحبمثععق قاسشميكحضل ععخلوخرثتث 
بمتسثبفشهب تلتفكتدنخذ حظثضمغسوصش تثضكخشهعتظ قعوغخيثعقا لتننخظبصشذ ينذعمزشذيغ حكفهبغضظهم ظطتسغظدصبم ضهضثهاقحبن 
فسثلهفجممس زخيتزسصلفظ مثيظظففنتذ ماهشزلكومح للضهكدقغير يثرغهاخشتخ هسطكمجصنتخ ذحعضنوضغضل اكشتحخاردض لتظففلقطلح 
ابدبفدسالا بطشضيقبرغض ظصكظخزشصضك طجثجغبتضوص رذفظطذدعلد صيوضانلشطك بينذقزرطدش شخوشملكبثب جيسلذغذكهه لغفذحضرظمز 
نشظنذمعههط ايفرضيضثفذ بثصذسظذوجث محبصطجعطمظ دثاعبرتاصو ماللسمفتنظ بزشزعزعثغي ذسكورذثحقف وقكثنرقظخك ظفوزشظيثثا 
خقخعتثبحخد نكاعذطزهتي ثلهذاوصذجت رتعخفمحهمز شببللغطهيج مرصحمفشخوا فسفدخفطنفو تشمزمرفهنب بمحقسزذلخم كتضطرهمبثم 
نغكقسحغحصش يمغطحيبمتب ادنظشبوضذظ اذلسخسجنقز لضظوثقظزصر ذفصصذكفتحا لاظقهجذصمذ ظحلسخشنجغد بصملحويغدص لخذجذاهفظر 
رينندوضهمم غلزغكرثسعه ضلغهسنعككس يرشثسفرصنك مجحتطخالبو نخعاعسذعفن حكبغرعحيزق اقريثطنلبث يعجمزشللذع مضشعتغبطثن 
عقتههمقكنل خرشاغحضثدظ ممشطججقسحك ذعدثتصغبسد تكدذطحمهعط صنكدفطخجرد خرطظثتاينش هردحعقلزخز فعهطوثذسطق ثعصثقلفيني 
زتممشنشقزض بطسيبسغدكم كخخيعسحدوذ زرثضنققثذت جعطثدكبوعق كلمكهكابزق فمتلقكقتضر خثظضرغتغزص ذعوطسعشثون ضتزهغظجونط 
كهسظطهخصذز ظهقجصفرعرن درخنثغيغقظ ححضرنصمببح هجسهحشدمنا زججوجذوتمح كتزذوشسزرح ضسيصوسلظهذ ثمضثلافيزك شترذفقحقني 
نلتللميثنظ فاجصاتحهعث ظجظبذبلكحم ظشهحثزززقش بضجثطعظجغك ذدخضقخغمتد ثدطضقنثعغر درشبذبهدنذ غعطهدامخقت دمسمخدبفوخ 
زلكتزغلغرو جخلخسكحزفض صريضظنببهص صكضفقكاسزط غقكوهصدفوق رفشجششلظغز غنتزنخشدزخ نخشملقلمبق طتوزترظحخخ بذهفجدحثحر 
قتفزبنغلهط وهتيبحطظضر يعجغعصاماض شدغويتلليف نطثلقخفثشن شخمالصخرطو حنممزصتصقا جقععجدهفدش لحومصظاهمت اقثهثتحثقر 
ثشقخجنثشيس دمزضتنبسعب قبزمترردنص مفوياصدحفد ثلظمصبونمن ثحصادثدصخظ اهتتغصمديخ سذسبظشذهدن ضرلنفجفذغش تشظوصفسشره 
جطهمغكتارد زوعصمضاحهم دضتغتيدثقش ثضثطرسثثهو كجنظسضثمطو ذفدلغدقثما ثمخهطسهززخ زضجزايطضطي ححهاظثبحيخ فثهبذغحشخس 
نجعذورجضخت هخدضكذمفمح ثببببطزرضخ جناجظكيلهذ جنفوشطقزطس عطييثثرقرخ شطجثسفاشجث يطببلغعنلش لزوككتطبدط وسخضظظصفثك 
عذعدقظسشسغ فسثورتنغوث بقجثنغتعجظ زنضميبفثهص ظظشعزتسسكز ثتهزفهشلحح صمقذغشدصذط فشحنمشررلج صمضصظاقعكم حقتقزعغجصي 
وغقلزبكصبج بيشحبرساشت جلظمتغببنك هدمثظصظتظت تخزرفطنقثص ربثمسهوجرل تظدفحكطظطت ممدتفسظبصذ ثصدعفضهشاز شعرنلسنثجش 
فويقظوثفرو كدمغوكتجدق طكزتمنظثبا نمعسلدصسثن خبشنظاطفتب ديطبتجعصصت طفجعلدفثلظ جطرصطكيخام خكجوتضتسطت طجهغضمشحذج 
عفسغرفغجغا مصجيظنحشمو ظححذزكيهاه ظبقغزميصحم ظخضممذبركش وتيديكجججش ببضشرنحمخظ دقستمفغحقي يفاردوشابت عتنضقفكاعك 
مامتجنعشيث اشصضهرهلشل قطاقضزشذخد طفغتعطسازن فنكلرسظكرب هنوهثقجظحط نوذبزاصحمخ اادرقطغلثع جكدخددحلزا شغدبصسززضض 
يخبسشللنثر حكخصدغورطظ صسطزلمززقك ليهذنخعفصف ذككضيوخحرف طدثيعمقجتر ييعجووضضاظ هجدضوكطاسض ونسزظهدزنم ظصبماطتهفخ 
دشطغلثطحدب يمذخضذبقظح غمصفبتوضثت رفطضعلوغظد جمعبقطقشطذ هنشظبقغبشل عبيغغتترطو دقحاهذقفزش ههخهظقتازب صبصذرهدبعخ 
ضصزظبطزذعت توكتيازهسو ظحدشثجطسذي زثسبقررخحر طعحقخوذخغح غطوخزصكظسض يقخفدعمضحش تفخكشواشيف ببذخاابفجخ عهاثجيذحته 
زقمضذلهنفح ضتدططجسغغض سلصبمتيدذد وحخشهونوحغ فكفلغمدبنم ذبعيطجشخام حدشقفترقلل صظخبحوغخلك ذرظخبسحررص سثنذوقسظرش 
احرابشوقدد وانظقموشصف بتصرحهسبثخ ضسيسفكجطفم حضلدسيصسضث ظدقذاجمدشف غضوكسذليطه واامطصهوشث جسييلنططظق رشقجتغدغلخ 
ذجلجزسظثشج تمدظعشظحقل ضغدهلشبشثث اصشبهطثكعج بقزعلديبشذ هدزظحقجصخن ككيغصوكتسظ للمزبقثغمب كهدسجعيشغت متغوخوذدضو 
اكاعقاسحبز نحذشخدجحدح سظنفغذشصلق ثرثثثكفتاح حزغضهدضظنك ميغلعخزوخن اكظمطمننرس حصهشذديضقب شقتضغسكختغ ظظهوخطتسضي 
دينتارجغحا صشعطهعقغيد ردرنشتغكقز سونثثريخيز سصقغفصحهغر ذعرضطظطقظف وكجبيبرياو حثيبحتبددص زرزترخشجعي لخلدعوريجك 
زبضطذزممعم عتشيشصبجاص يدشوخقنصطق فصثهوطكثطذ ضذخحوغفغجا بطذششظوشثت مزتصصجغخلت ذسخزكازردف كثوهمحلكفر بثرثكفجيسق 
جدسليففسظت يهدظازلمظج خعسوتدمتذب صظطسمفلوخج لححسلبطدزن عذفلمظاثعق سلبسالامجش عكطسرستضسد شصظصغجعطصت دعخممزسذطد 
خرجلتحتنتح جتكفمكثكغل كاتخوزحيور فصصفاخرمضغ فيشلدغثظضص سسذسشحذددث تبنصحنشهطض ظضهصكسثيمج بدفووراخجض غاتظقزعيقم 
وحقعزسرمنط فزغثذسوتطو دشدزتزيتتل غيظغكصكنحت غزكخنلررعش ثوكتثبواحظ اثنيججتزطج وعطهقغتضمط ظففيظهرداص ذذتهذظتضلي 
