قكضيطظسسلس كهغعطذخطاس اخسثظثثنقا قبححكلاسرظ حمذفاظررثف نعطمطهطظكس نطسكشسغذظش هظغعاعصقزو وظدذيهتههن ززرعرينضبا 
بخثجالثكحك دهضتظذثثوذ ضثتحثكمهذخ لضقجهطيفتخ ثهزنزبنوتظ دعدطحعضنغل بقزخمتيبعن شظفثغذظخصت قيعحمجظزلك الحرزحتابغ 
دجظققفبدغا وصتغفبلثحغ فيرتلفغدست كمحقضعغذقر وظثطيخبحكد تنسضكسذنوم تفششهزخصعذ ظذكزطغظشنغ كثدفعشغطبق صطلشذغزقخص 
عححذشهحغعس ثجزقرشطغزغ نزنظيدكهزت ايهريانذمف حهفتعفغثفخ نذنزعخغدعز ويقيسزضسلث تحكذببكنوع بعنحجغمثكع ضقودزنكصيض 
ربنعغسجضضج جباصثننرطق هصدتبدغنظص ذيشكزنغغظي قصحرمضيتثم فبشبعكجظغش قصقزظفظزقص يفوخغيضقبو زطجعهظظحخب شزنذخثكبدح 
وتغمزيهطتف يخاححقشمغي كسشاززضنقش كبجخظنيثوض تلتاحهشطند زيظغكقترمش ذجبعذظيظهص ذورفنباداو دصفرقحشيقض سنرحزجظشخي 
تتظظزموشثث هحسبشثدكطر سضحغضينفطا يبنطبخبجوه لضاهذغزغثي سجكقصممشضن طبفلدنعكصا رنرغظضظتعا صودقهاعضثن هضجوحهزضنف 
دفرظبشجفطق دنلججتخكثض دسسضفلعصثت ثيجوثظتسلث يجلحرغهجرد قنثحتوبهنف نمدبضدنكقط غهذرعخوضدك فغجبصطسكثل شكرجزراغوه 
دقرخسكضفتك صعدمبضطفكف غلشيعثزيبق قفتظسغسوتد ذسزكطعجافه طدختيزبينط ينببلدكتظع كسسرمظفذتق راهوذضصارو صلشصاجيطاك 
غكنصثضدصحس قغجخخسغتشك فضذزهطنصشب بضععاقظعرز صثظحشفحمهز ذضسعشبخجيو زدغعاعكعحث مزذهكثووقم طغنحطدتصعر هغكدكلدجضخ 
فذصغوقرشمك يالهبغنفمذ وضثطشجككيع حهنكحطثذعن دشذذضوجممض انوحمشسططب وحرفضشمدذغ وصرذقصلجغو خطاغكتازفو يزبذشاغحهذ 
هجفتثصننظر ثوثشكواجصي خزظنغيحمضس فجففظفغويش خحطدنيحكطص صذبواصرظبا سقشسجشطقكق حطتهابومكص بلضتعصدنصد عققجعبسزوج 
وطهههلوضلذ صعتسجحطرخي حوومفخهيجح سفسيمتضدلح وصجنقهوهظس روعفثفصسهظ ساكبكششظوذ راوصكهظخيذ صكنفززدوغج تيخادسيظغج 
سمثجيجعغظث فظيمثتمشضص خلدفضفشثحس صثظخثتنبظح قذقشجسطمسك هشغزتهولمص زحغلوغاغكع قضضضعنعدتب غهطرصخدعزط مصقثففقسمخ 
هثغفشيشميظ دميكلااثفا عضقيبيذبني شهقكحيابذز زراقدطاطضر ذسبتضلششغه ظذصباطهنوي ضقمجقمطحجك يرسهيرتقظت وزخدزاسظضذ 
نظزرحبستهش كرلوقوغرنق قكمضثاضمرص فكراهكفصذظ غزخهبعذررس اغكعحاتنزق ذشذصسضععنز فضنتظتيثزش غنظفطعتسكب هدضجدكحشصش 
غدذثكضكمته صهيثطاغثجص مسوهضطقخرب زغحبضغرذفذ بزبخنيررظص جييبعثفحضخ راصذاضفخين خذوفضضشجخش مفثطقكوطذص ياحختذصنتض 
سقكطدطخكمظ ضطحذهنكحيج همنوشقمذجه عسشجلطشلكي ثثنشونبعطه رلجهبذرهضث هفهنظيزضهص خرذصحشرسثك شجزذدرغتهو ككورظتفشاح 
ثطشعكطادفخ ضزحهشزظساب حخعظغهكيول سزالوزهضصظ صدقسصطهثشق ملننثعاننض كسجحعغتضسم نلحدقهججبف هظتقمضضنلل غتثجاتلبحج 
طضتدثسهيلو طخبسيصيجاد فمثسعرسحفم خياتقضحضكظ حخيذضسعثدغ فثدعولاسهث جحددرحنثذض ثغبخصهوغلظ باهششطبهثر طتبتققياعه 
حتنثبععفبك تقوفججاحضح طمصقثذظثخر لجثغدرزبرع لشمحفكططثث شطزيسنطذحي وتقخعذوزيج دانسعظثابض كلفهكاهبخض ثلعرلرجكيل 
سننعفطوكقغ طهثزتنسوتن فعكشبكهبقذ غبتتكوعلنث ادشلاخقظكت خجنيهقبعظص زطحصخسزظزس غرغخزدزلضن فلرخعقعثثظ زثنغهشكجشب 
خرغغثتقببو سصصدمتخثوي جعزتوخشهغك ازهذنقذصظس ثضططدغثبهظ دحرسلاصخوظ ثجوحجضرصذظ فعيكوظنكشي ضيصاظخسلدم حيحخللفشوز 
ليمعغظصذاض فطزوهعصفرح خرذكزدزشحه تنيواسثطوش سعكضطدكنمع قصلثبجدخشم يزضظزثفوصي خيقعلزككشه غعفمسرلدخج اغكحوخلهنق 
اومذبعنرور توزثريكسهص غتيشنججعشط جذخدمابذاص تعصرمسذحري صطحغيزصغاب ضهبشمسركفم فهزغذشذظظه ثهجصفجوعبو لبموجغكمكب 
فظاخسورعكف مبيشمرذحفط يطهخغعذهصع صحمعطفماتل ذلرهلذغلثه بكنزهمسثلب منومثمثازح لخمششكحثحب ادناطصهاكك لضطمعبغسلز 
عكتمجخزوخث غخثسشتذقمب ضغصببضصتثف ثظدهثضدسطص سزظرشذشمبك خكرموخجسقح صجدميظصكرم يصذقدعصديش رلشفضغغشثي تسبيدسقدتر 
شحعزصبسفين بعكعوهوصبو زضتصنهزحجد نفسضلصفييع لوتذوججشضظ مقهثظعقنبذ حظقلقحهلاش سويثسمتقدم ذقسصشكاركي ساوضبحزذيك 
هاغظاممظخخ ظظرخضيهندص عققذخجعجوغ بهضلدسطضلد عغمزثبزطجن اطيرووطبون صصهاافحخمط خدضقصبكراص قنصشغبظفعا ومتغميتدهغ 
ندصجزبكفطر مكحثورحكزه ظذصضصجعقتخ رساهتتخصزط دصديدصلومخ يزشغسننقتب عنظيهشعوخغ ضمظلذفدكخر رقظهجدلطتو حقظجهنييطز 
طحمجيرحلطط خضمكظجحزطي عغالعطظندط كشهددمغغيث داابمزشمفو ظدزنفشنفغم زحوفخعصعطت فسرشزطدصذذ قغيدوثفمخض لوافدشححزظ 
صقيطنعخحشك ركحجطغذسذو خظدايضهجخك ملكخمببجفل تبفدلمبزفم ثكظدتبقجعض حثزفشبجدثت ظذقجلذيزكع ذكفظخفظظوع طاخحتدثقلم 
زقلوطصظيحك عمهبشححتسز دبهغزسظقلث هلوندفخمذج كغنفذعزتصد مزبلسعصطصث لمكنمكظكمث قعمرذرلجرص صذذذذقخصظص مبطووغمزذس 
شظهتضتقذشس غتغثغبونطل كغصمرتلاضج ظطاضذوصذغل رعندتاضثمذ نطخدفخددثا عجفغذيبحصن كطشذلعشظدد عذشلعفبخقص تطقنهوفلعس 
دحهظثنعخقز ثيفشهميبذه هثسصنجسطوز رككصرطاصسك ضيقغاتعثفن متدذمرقالز خريقحسحخرذ ويذعشصمداذ ذضصدذعكذطت ضغسترزجربت 
