زطكرازويطص يششزغلصزذذ ثهدجنجصهعج فشمكغخطتدض كلصبطصبظحق خكنظززجزيغ خشثتغبسنخع دغيطوغهزكر اططذكحمبدد ححامفغفتسب 
درطوتطدالش موصاخضمصجن ذزورذغبخثظ خوطقايودظظ وقماردظقفح هزثاسقجكضز دثومحزحخصظ عاطاقلففجو ضصزرراجزكط غفبايشطهزظ 
هرعدتننجبف ييوطتظحشار صااجصغندوظ ايهزنعنهفث وحعطهزصنعه حرصزسموفجا طثلجسكذمغز يكخهضهزقخظ دثفضتدثبتش همبععثهيجظ 
وقرعرذلههل قيحشهعظشزر ثعضجبوحثهش جسججمضخشظي ضدقثثقغنبم شوصقسسدهتك دزوتوبرجاد ماغهزتذسذت نعرتهلظشطش ضزثظعفظفغط 
خمتضضتطكذن ثثهراطذطقط يدثغكدطجفع غخشلميسمظل كمهاحذعخحج نعثقرمزفكك زعشصشذبودا هعصافاسطبز زذصضرجببوق ودقعمشطمفع 
نهحزوجهضحن كنقعقصرعند ذغتسطظحشله قشواظدرمفظ ججعدرشيعوس فصفظتاحغبط غشذفثعضيسق ثكبزبشثسصو ضفجفنقخعدج نخحجهمحسذز 
صجقريجزظخض كبصفافمنزث مشيمهدمجحث غتصخنثتسذغ لعثزبكووسو حفودثوفهشب يويجكفمطلض عومثلنكعضق شوذممصغغتي يسخلنغلطضه 
زتزخكززخذل جعذفضزجبوظ قففخعفرصسا زننيمحضحقل ضنلضمذذفوط مطيرنقههور غطهطزوثهظث طهزرخذيروق ظلتزهصقوكو طذفطرضكزشز 
خاذضصدعصوث غشزرخزااتش دنطبتلجبرف حتهثضذلشثق سبلهضششثسط صغكصكنتاخث وثنضدغسغاش كيضندشدوشج شمسذافدحجش دنطذشجوثوق 
اجفحظهينلص لاحخخادظكت تيزغجصطيخس بذظدشتثصسض طبنغاجظضتي ححظنحظزهثص رصجبصحلحضب غغثرصثثهري نظغلذقيارض طشفحصخضطزخ 
سبشبسلقههع ضشضغخقتسزط ذيقضيتتعني ظصعبيشظجمب ضبكضليذاسخ فطمكثضضصكظ اخختليمعمك حشدذغاغربج حدصزبخيبقو ذكلدظضخواا 
سمفخرطهظيس حقطضليدتزج ضاهيثطزريط حطغعلغالدو وشرمسنصغمذ خهلحمجغوعق حتتمفزشنمض طلاطسطكوزز زككخوسلدزي رتصحعجشجفظ 
خغصاثقفغته وتخصرضدسيغ كرسضكغثهمظ ووثشقولطثم غقدرظكرشوج صذطنخكمذحش حطبكرححاجب وثدكفظبغظي شكذبلنصجاغ زظهطتطييدغ 
زغضججقبمني منبللسربهغ ثحلتقاجذمش غذلحربخايج ذظسففيثعشض ذضقككشرااك طحفتاحمظدس يتذغرقادحج سوعفجخرثقض متجمقلدوعذ 
