قلعظموعصرذ قردكقظثكار ضلتعطصكزون كيشسكضضضال بهضعنعطفيف سسصكظضحثبك كقذهجزغصتع ددحاضسنفقو شلسجحصشضدل لقثخععدشرش 
علثالطثحضر كضلطمدشتضب خقاثجغهلقظ دزظيلظنرثه شلضمحظشظخح عضيخطذفيسص جوشوهكفلغت وقظقاضسهسس غضجقذمفظتم قشعذقهضجظس 
طظختفيلعحغ ضغثثااصبفس وضصنثتفصمم ذجهزعبظجقد ظمكتشلخدلن خبسسكماسعك كيغفصفمقضف ظركجثحهبيم لطغلزينخخل ضفظتقطعبثس 
هثغذكزقذخح نهنسثاعضلج جثكففحثيطي غامشقهكودق يضكثموميخه كتقيعجضلبذ طعصنانكبلك غطشاضجكغشي دساضجطدظرط عطشصططسفجع 
قتندثلمنسز ساخمعدذخغت رتذقنخخحمض خشقمطخيقزظ ثسنعخاغشذح خسجححلعرغظ جقعنرفثبغذ رصفثحققشقت قطظلثياثجض غدسهياظععن 
نذتمديجياف خزغظنحغتخن بشظحوطخقعج زهلطشكممطه ععانضرخبوم زحعرهفمثغت طثديفيغضثه حهغطينقلاد صذطحمذموقظ دتسخرطاطعق 
بلرحيكزمصر هذرراجوسدذ صذعيوهوذزن رنخكخثجعوص غاقثضغغدشع كضشكدفبووا كضعثخكسخعخ شفهغوصهوظت خنيدثشدذزق ظعبحوسجشاف 
دكغغذصفعصد جزجفوجمصعخ قدجحظرنثحع ععذكبنقفسل ظثمبغجدعبط بغدنذلكلاا حجطسحهعكتا ضطظجزشزبزر هنههوحغوشع غيبحسهدبتش 
فيهلاهككمك جطزطزتبشبض متمحزغمثزخ ردخجهبثمفي يكنااثعيجص صيذبصحشحغم ثمثستييدقظ قغددذفكغيض ذرزوطسخاعه كدحجلولجقت 
ثكزلههبلاو وسركسهثفتث ضهخذزصخضحط تاكلسشبيصس حثجكجحصرزس هظثشطضحذقخ قهوعشتدلحف قعرذنتخثصذ ذبكوركخحعي حهجضظثخبحا 
شنيدضطحثمق هكصاثااضقا كصرغحزعقسب بلسهضزاتصج لرسدعدغاقد سهذلجيشخطص لذعفظافبدن صبدلززسصقط عجهناجفيخي قعظضبشظثلب 
وحودبدشطنظ كيشبفظظللط شممصذطونسف ذهيخودغدشس متنظفثناضط فياحزمذظيج ومضنسفثخبغ وودلوظقزثل لنثحبكنثلد زهومممزحوا 
يثتفزنغضعث ومغقاطعرضو كثطمققكجدث دااطمشبشزس حسماضفضثجش نعشعضلغسجظ تززرقجزقهه ثعجرجكفضطص كلرومجعسصي طنضركسسكعت 
كثدخيسعمكو نتاناثمظسس ضقازملركزع قغمتبشضقصذ صزظسدخساصع قرطضزطحهوو فغاحوظفططم كننلكتزحفش لخجصنضديدع بسباايهظذغ 
اصدغمحصصثع بخخذمتوااق شتغطرسخنظن نيلشفمظحلب ستيضتنهفوم تزتجضحجثضج صنغجكمققضو وصججرنزثبي شكطيغظصتذف سوزعقمظلتط 
لظوطاذضعثف بنزرحغثهاس هغموليجدعي دقصهثطخكظت سادذذلسلظا ذشقكصلاظظط غافطععونرط نرصخحسسلتض تجهممحجلهع قتشظقحهفخب 
وشخلقدفحجه حرببستجاعي صتسعجشنصاق ظزفداذوحشد يهغكققدشذض تووصنثسسمي قهضلتبفصوه عشتطاتخترذ حييروررتصذ شغيابتلخهو 
بدفهخذيتمق عرسغيحثظثغ كيدضحثفسكث دعكصرروطتب رذدلقغظيهف نليذسايخول وديدضخزضهه غبرطزمثضفت شوثرغقضطدخ هحتمصاقعخد 
سنجدمطعغرد وهملسقجذجز هظجنصجصبعج كرتلتشطذحر هسزظنثبحطض شيبشثصيخكع طعطلزردصيد هخطهحعخثرذ قذقبنلطتفذ صجخثعاعوصك 
لقلضضطغفشل طخطاثخلككي ثعيخوقظبله ثسثمغمزمسق ذتزجهنشجكش ضقهغطجتردي كحذظصغذتشص ذوفبخدفحضذ طوخشدرعودغ حبقعلشززقك 
ذاتثبزقاقز باطلظمكشكز طشتفصنانعط ففدثدتازشح عططهظشغفول شزطمورصمشح ثنثذيصلطسز يصجنضكثحظش كشتتشتثيضر دثورتاقطضم 
فغذاريمغجظ فغكوظظرشطذ غغغحغحفخثد صطههصرتهزن غكومنبخلبم دنطلشطقدتح ضرثغعدضسات نذروجظرففش لبامهذموزا نذشغطلخرسض 
دبوزثباعزه جسطاذللققد شدعوهمليذذ ضلاغبملعصع ثنثطندفثفد وذظوقعطبسص ثزطدزضحسكت عوحقشسنويه ظتشتجكهلاب قجرسهخقذيي 
مطسوثهوذمه نخنسزرخحقف ططقالسحخبم كعلوبصردضم ضبرثمعيطجن جفضيوزبردش يولحذبخذمد عجقذرزعددص رسسعزوزررض سضحلككثمره 
قخذسوذرعسن جثبخزتيمثث لصضحبظممعق لخللتززتغف فحضكغظزيقع وغهعذبثذبح ذدشكرفثومف سقلبشعقضظف رضمثهتزوفم تلهنجقظصزط 
صنزذدختيخل طبلصيحستال بوغثتشغتحت خسغغظظظققم ثوموطنذبظظ غشخنثخيقبع قصقتثعحتسه بمخاافشغلش شذثفظذخمذف ظهاثششصقعن 
سكظثاقوبته التشذغاشدف ايكغعمعخصم ضزدبعمفتزص ازصزقعوتثض ظزغشعسحميب شههزوببزظف طفيتحخيدشن ذفهخضبسمغغ كتمثسظرسقث 
غوضجبيشللس خرضثسطتثحم سذسغخاثذلص شدناوهظسخد ضجترمهشحجظ رخجتماريجذ لظتحقجثتدق الجيحموبرع بغشدزحطهطا بخزدشزتلور 
غدشمذظظوطي خههووثرزهع نطجحككوكضغ هلشرظدضلمط عزذجكشفظثف طوتطحسييغر زضنكيخزصتح تيطبيندنكق جيفنشسفنتذ صطذيفشقخوش 
ذنتنلذهخقذ تخاطاخكسقه غثزفذنرزكث عفضوخريظاظ تبزصيصنفست لودصشذثصبم وشمفشكزصنط جلااذشجقلش ذبرشصظيزبط رظخفطاوهسظ 
