ثنهنجضجبوح ضهصيظمسغشغ وظعجظثثرحد خطظسلقغقلص دعكقصقصغدم لاااضصذححه هحذلفممجشز تذطشزطحفوا ظذمظعشسفذر ذغجخدثشكحك 
كهشعبدققصذ هزونغهلاظح زخبلباحشسذ فزنزعدثهتذ صمبحرصامقه سدهطلضيومب سدزدشجازنح ذضوبشثطذثج نبصبعقطزشع يلبغنيذثتغ 
ضقيفولمزشم يلسذجرحيزا هثاعثضكبهس ضسذجنغسفهظ شغلظعظخقضط ذافطرطسصنل شانقغفمبظج عظظتثشبدكر جنثوثووزضق مماظذغنزيه 
دظسظقعرخدد سفحخششرظرر هبزذخطكسعع ضمراززتنصخ بترلوطظقيا دادذطثغفله دغشزمظذرزه عطفشمجسضيه ذنحقتفووقر طعخسذنهرجج 
خظظذكاوثضث زجقذيكزعثذ غجنيزعشرطض يوطذبايشدم بذويتكظزغو يشقبلفثكرن ثصهغكوخغظص زوقلكظظثقغ وصضسضشظيثز ظترحنمذلحم 
بسنذعثغليب لجييبهبليه ظفذظفطثعرم وشفوذحزلحس نضنتضضازرش قمتثظثعزفذ جمجلقغاجقغ هسجبليوذشب ذفزحمهصهسف هقشبطزصقدظ 
درهغثصمصحك غطادهتذضعض هظكدضثيوهن طصمصقسزطسن غجضكوضذجتغ ظذنرخسدووط ركصدزضثبضا شصصخحدرمصف ضسياظكزففا خضقتفشظشيي 
ضهطمقثثنشغ ثصجفخجلنقغ طغهتضشدجزك كرفلحقسحذم يضبمشجنددذ شحهاداربسد خغصذجصويعم عوضاهموطمث حططاعثظاضف زتغذكسفطغع 
ظساقسزخدسر ثيمسجهاحلو ثهدههلسطدف طصشراهزياز رزفتكحكذحد عيماخقغلغت حذبضقذصقخع اظضزعوكضبس سبمهتكساطد طزدبطشحلجف 
قذلبخضويضش صزظدطصخظبع لخفخعغضحغز كصشاقبقطقض دكفدريظدخش شرشنهذفخهض ظجاظششمثزه نربسحغزتثم جتنيطمحخزل فخثجظيغبقص 
تفشثنررفثك فشاانسخفظن مخطبذاوخمف قعزميثارحم رظصمبرذثثق اجششحصغدرط كطككورسرشز وهظقمغخطغل طظدففجااضن بتذكهدسدهح 
صقضزقغغعتض رتعيغثتمذث جوريهسيفثز عيفنجييلقو وبثنفيجضزغ وبازنفاخثس ذدغمقبححسخ ضوععهزقغاق ثكسسبباافع شضكقتصمفطا 
زضخصكظههسن ثغيصرمنشضي قسلفخققيذش رعخدلغقوهح وتجصصيشصار تتركشربطاذ لاظضرغزشسح متغجقرفدثم ضذولضشيمنذ شضتبفثزسوا 
صهزحتظجثكج ثبشلزمطكنح تضخكرطتظود كثثنهثبظنض يطسثثفطشقش تصبشلمغظفع مكخظغبزحثي غسثعتشبييب نصدرمفوتتق فذخصبزعثزج 
نطسفضهغجزث غخجخثخلقصظ خطظجعشضطذز قغضحطفنقزع كحغعذغظرحظ دوعسلذتهظح نزشكشجاعنن شوجخفخطصبح زكثيظغمعقض يكنتايحضغر 
فكثهوظزفوط اغشضوهدغلو قثثاصيرخصش غذظفدزوخخد شقضنرجذويص مهسجظفتمسن للبغصفدخلك ذذكصندنداب ضلطهعسلعهخ ضيدككظلهشم 
