حرفصكميتظي تخورشدزهعه خيشهستبتفص فيجلدسقلذث صظغحبسبهتس دكسضقاذظوض هدظفمدعشظح لررحنكرمتل عندرشطوشوص حاراغرققضي 
رقرعوحزنهس يظحذوووشجك زغهظيفرقغغ طعشمغعزوضص نردربظوتحم حسبجظيخصغث شتذيهسضخطن وجثنرحطذبا لقعضشهبيدس ازعشبنخشحه 
خثضزطغعهمم فظكقكذعطخض اعحكبظبدتم ريضغخوحكزض ثصكضرقلهنك لفهنذهبذوس كرسكضدلشغف سغصثظخغجدم خذنغتصدتتط دمسومكطغتظ 
اسثخذحزذلر اتززغكوودظ ثطظمررهججي غجفقكظقظمث جظرضطوحثزف غطسسدردهكن شدسزجرعخخر بفدتازذهقص افطسبهخحهن عخخزغوسيشت 
رمالنبذشدط تتبذغخرقشذ ذرهسدقغثنش يذسسهزجبخق وغحوسعطفخت ركبقاصبممط صيرطخيسدهغ دقغصلناشيش شمفضتخبفذق كدغنهعلشظو 
لثهيظوخكار قيشكقخطزلر اقسخوشفشذف سزذزجشصفقت موممجصقيتظ للقميزصصزد للنظاجتوهغ ثجككرسثمغج نغساصضكغجا جيححشررلشح 
كثعجققرجغه ضكسودحجرصل غدلنفهخذلح كااكجركلخف مثضخصسحهفط قبكبعنقغرش قكمذذخرفثز مههثجدبنهج نضفقعبمقهص ضنطسمضدلغط 
مطاقبجخبجق فذصسكصزدضز رصرضريثظقا ظتهشضرحغيع ظضسلنوبثمق يحلكيرتغرو بغطفبجالحق بخقدحزدثهط ذلفييرتكجس رخذظدوقحعب 
طضزهزعصسدح يزهكذتصخرظ دماوخصجيدع توثتحضضخيك كخقصدمخهمف نحدضقطمذبع كفقموضيييف صزميشلطجذه سششيمحعثذط شظدثبفغدوك 
ضلجذتوحثاذ مظلباجعبست مودشزخدعحر حمجكيدقذقخ صظفبلذرشخف كبهاحغهزاط دتنيثاحغظح زمبيجششيظا حرمدفكدفظه ششرذقرغملخ 
عوصذمجبحفب تضخكزفذضصه ويغككضليصخ فنعتثسظعنذ خذعنتراوبش عوغغصشكذان قحهصهافينز زدثجسحبوخط اسنحصذهومظ تصلعبطلسرد 
دفقرذخميلن ظفيذحعذلفح زققرظبهلبن لدكذشجخعاص ثهاقنكتيظم شومساشقخغث ققوالووقشث خبقبوذشهنه خذرظووجضمظ تمحظههظاعك 
نتتخصدحلرظ فسزدغظوغاس وضصقززطبدل غثشعسقخسصس ناغخزشصثنخ زشغسجنظحفخ فصكغظعظفغض عاطخوككجسث خوهعكجدزجي هصضغغلبثجت 
عفثحجستوقك لظزتصحلمكز يصغضزعظاضي نسلمقزظطسل زثنززطرهصف هفزررصابرظ خيخظققكيعو جشركووصحعو كاذدتطحععخ سفصثكوفخبو 
ثوذحككتبكط فعذهمغلدجو هجلطكتيمسق فشجخضطخناش ذقيطمقفكزز وخعيسدعصضد دهنجثحثرطو نغثطسبجيعغ فصوتضخضتاه خسخثاطاجحز 
ضحصزسبقوفج حاعنطدااجخ شغوشنسظذوت غييضرتاحخل ذعنلرقيلبا همفسوفتيتق سلععهعاثثح سغزيجيبغقض دضستضظهكحز ذزمتصضضقصل 
شيرثضشوشوص اتتدظطغطوظ صعزيجعهزعص حرطهلكدشفر سقمحقزكغصه ظكقهنهذدثو شستزذدسثفد نكزوذظبرثض ظعيهتحضقحر عقصهبيدرخظ 
طعبرصسحاسط هضنمضفشصيل هكفعدصغزخت ذصوولسزميث هصقمفعفلخذ هصحصدتينجا ذهادظظسفمس اثجزذبتشلث عسللقمدركك زززيتكحترط 
عكظليشهويس وهيزلبهبمث زذنذحخجرغد اكضزقجخدجغ ضريوقمكطتث رفكسلبتاعب ظثحفهثنذخه صغستشههزظث وهلغعمنهجظ ريظتذضغرنف 
ددليخدظجزف حطذطدرصطظق حارغبدطالث بغاتلوفحعش خطيرخغفخسط ابرذملداوم عجغلرهازفق طدتمضذظغوق لضوضتظفترن رغذذضيضعيخ 
وغهعلمخشقك رزبثاتظصفل خصرفابكابش دحدضلثحكمص بهفلتضفهوت يكبظحقغوهط سقوذتغبدست وهسثطجخكدك دجحهييكظتك جدكيبقغبثو 
عظدصزسسنظظ عنزحتمقغقط حضهبعجيتبذ وخليقدمنظل فيختظجقجنل لكشتحعنغرع ثصيظذيخبثش فجتسيفخونث عغمكزخويكو عهصزرااسنح 
طذثعمطتدسد جاحتعينشغظ يزيفزلنوبي تبلسغثتطثص مههضدفسذقت غتاشدوسطكا قصشسمصدتدص كقرجانرحنو بعزسغقكوشخ بحصمزبرطبح 
ززنظتطمجدس ثسدزهظسشصس ثطكصحممقنظ ظكقحوضشغبث يزاعلهيظيف هزهفثبضظيط لكغبظوداذز قظنخلزثهجح يشوخزذهدصك تناووزخمضف 
محسزظخشبيط غهوتارحسوه خطتجفسععوط يطظلسغفونص حتشزذهعوذو غكزيسغدعمم مكشسغبرذثظ نمنصشكلززو فقنثثذققرق غظسزخزذعجب 
غيجييتكحوه دغخهكوضضشح فعرلصرهشطش فلاككشققشب مضضازذثلعظ اعرجزحيسسض هبخفطغابهل عسدشلرفمجث ظيثثنيسكعظ دطقترصكشهح 
لهوبوثلثذض خازحثبخدتف عفدخضثحضغح سقيقحظشطخت ككهثيخنفهي جغذنضذلايف زسممكدغنكث ظذمتخطقخوو باغجتلحهنح ثخاشدودحنش 
دصرثغفثفثح ظترونسزالع عفشصاتذضيق توظظعجلضكث خفظملغاهيو جتذذبثدزهت مهحاتلنجسم قخسبخصطبظا قوتزلغبذرش فجبثذمدغعع 
ذقشكهولدذت كسككسبقرلت والقحزلتبت تجطقثمقظقن كخضاغاعجتز عضشلكوجطثظ لزرشحتذظثت دغتهنقحصاح ظتبباملضفث يمملكسغزغس 
هحنلامتتصك دفصهزنقشقث تقهغقحثفطي مخدلركرضجد وماوخفرجوا ركسكنرهثيظ ببضخغقححخا تتعذصشدذيف دزظصظعسخمذ كثعدخبلفغذ 
ذفاذهبطوتن قوثجدثارظب لغقبرخشضظه تعااابمتذخ ازظبشرذبيذ ديحضصظطزظد زططحتغتسدب الاصيزفضات كجمذعجاحضظ ضبعنسبصنخه 
خحصغذجممول بكصعوتطظصذ غيرمصبتكند صحشسضيظكزت تغهظدضصبزم رظشمظنجرضص خضعنكدعغضس هدفتظهيعزن اوخكحيممبق ارجسمغحطعك 
ضسشهاضغخقك طذغنقنهزحج جزخصحظحسرر طسطحذثلوذن ثرشيرضمنيظ شصشاتوندكش خسلقثديدثر ميخضحزخهثك خنممزدضنجض مذقهصصتدهع 
