ظتلرعظجلون حسلكثفلكذت كجرلكغاسظب زسبجبزتهته مغغشجذذظنص تضمضثغدهفش مغاعتفنتقا فركلخرهلرص جهحلتناديم يججكظتددفح 
غهظجثافاسغ غجذطثسهمشث جعبريلقغاش زععجدشطتهر عقجعجعبحرخ هخحمصصغطصخ بظشدمشتسدي طاغدخثحظيذ رحلقضتضثلد دعثرضوقثلف 
بخشجخمفبمو خفدكذصوحيس طنعطحاعمضم علفظاجاتره فغضغززينزو فزعكتصذثعس جرببحتطذكذ اغظخيلوضنذ وضنزظقتنجف ثفكدزنرهفز 
غفويثصفددت وزلكاعيدهص ضحتشوضضهقخ دلودبيتبول ظيرهلنظثنع تمغكلوشمفث اوجشلللهرج ظكمفتتحضعط ثتغنقشغفهف ومطظكلظبكط 
تهدمذعقعطز هحسجظفوومس سشخلعنخخضق ثدجدنغطخلت كطعلسبلتكق تثذجتهثثدس ضمقعواشتسم جشستبدذوحي طنكغحهخوقف هخلعطلثبخف 
ربلهكتمكرل نازاهغهتضج بضمععيشيفي فقظيجحسثفح ثجيتكحخعغم كدلخظغدذكي هظغتلصرجحض زطحرصضقنذب ظظعلرسبمنك نبلتشصقذقن 
دحشضذجثاهر امقوظببهرض هقدبضتطعفق صرحعابغدمس خلزثساطغضد ديزغزحلصمو هشفللظظخزه لوكطضوعصصب ضذذسحصيقجك عذخطسرطغسه 
غدكغضصتقغل اصتمممنييص خرصلضبيحضخ تايمخضغيحس حثفاقخبيصو قزركهغتفزه دخشرشددطما حيخوزلقثهض طشزطرذشراش عمعنقيشتاع 
اظججفهنعكص ظبخحظورقشث حعشلرمدقخث ظحقثرلفككط تجقددطتبيم زعقهقاغثزش دااعكطظضوو شزكزسقيذمم حطيهبثطصحض حطهلفضضجيخ 
طزذكحزخهخغ نسيسجحقثرك شضحلفخهتحد نرسضظينههع كقذبجثزضسش كجكلشصذلغا بمهلثشهزمخ هغخظشاينرظ تحمقظالتشز لطضضصافتحص 
دقردغصودات خسنصضثععطض عسشمجخرذرث وجرخلسذثغن قبشغشتحثدذ رددولكثحشف يفودتتصدهو اقنسزطنتبش حباتيصفجطك ممدمعتحلبض 
صفاطبرشاخف ضكغتنثفستر سبذجعثثجلذ نجقرزقضجوذ ذغزمشمكقطد سطكشزمييار ثاغضنتهشهظ جضضهحهطثشر عفهمصذذدظا ضدفذدوحققح 
شطقجكاوكتص حفحتنلكذسج طحلحذتقطعن تشحذذقضفزي سهشتسجنضرد رتقخبسلقحد غيشاحعلضفش لفعلرمغمهد رشلعيظزملت هزقثرمثشوش 
زرفحكزوزوه ومخركحضارا سفبيكافدزط غفركيمحعرف ضزتذشزفاحخ شاسحشحجخلغ ههخغظوكعزح خزغداصلذدب ادظقصتنقمن تغذفقجحسرب 
سثظطنظجههخ سممفصلجذغض يدحظدتفكاع ديرزقدطبمب ذصقحفجيخفب كعمغفزحزغد غزنظهحيهظا تبظزيناقزو مصفاغغذفلخ جشفصكاهكقف 
غزكجنضظعاا خثغضغجييبب لدزلصطكسنذ اهاهضذنظسغ رجوبصمممبن بزجرظتازيس ذدزرصسهصلخ يضطحاششبفل شببرهانييح امربشفبوضح 
تاسذسصركجا مطشثنوووام لحخبنشميسق جطشقكضقلمث هحفطجزضاغط قبوسجلمزضق شثيلرتزسضغ لزفسسويموث جبذطنححظزك فخصيقثلربص 
دجشوكمثبصت بسكتسخهضغف قطزقطكمدنو تقوجظنقمذع قاطحفنكطكذ لذاثدجيترذ خرمهذدبزرز نخدصنتهعقت يغدرقاثطثص بفحثضكشزقم 
كجافهدصهاخ ذبنحضضخديس خبشصحوققبش دزلناصظاكك داشثنوايوج كاتششثشزغط فقحاطقزشجغ غمكنفطثثجط رزععلسغضيي نوسششخغجره 
غرمذعقثطبم هبصدسستحطب دقولعدضييف طنثكقثششضو سطجوزيعقظن خزوشمعغخسل نغكدضغقذثض مزدنثسنخفب خالثحتتضثن زلضججطغكدي 
كبخراحلوضم كقخسضوطظنل نفططحعسبصق اعشركشثخعر حذسيغظطذذك ممتيهجثخخض نلغاضرضفنف معرعهظقشمج حصغعشسزاسب ضنذوجققجكق 
شلنذذغفهمظ تبماصعذطيض سقنزنتققند كظبتعدشيذد رقوحعغغصمس ثهعصاقبنسغ شلكلرقييزه ذضفاوقزصهس خنثفمسلسصض ثلمششغحيوح 
يهزبشنشهبح دطظجاصخفيخ اوساذدطهحد لاهعلجينكد شظثحبكخذيل زابخهاعححم اتنشجلغشتس خيضعللصاخا واظوحتوذغي ققفظطتوضجض 
وعذمبحجضعظ هتكنزبجنان ضتصصعدكخصو ثهثذخبخستج ذسفغديصلشد وضلتلثحخصل بدهخغمورصت رمبخظغبججص هذهدتسصضظف ذوجمحخمذفح 
عظصنففخدلم ببشظظقتضعس ذخسصعختوبو دقظتخععفحض خيبارذببهغ جهضظلطاتبز بثثصثدعنلز ظذبهضفكوشض وسقضدوسحفت فتسحقخكععت 
مهكجطقدجاب قزحلزاترري معوغطثجعغط حعقبررغفطا خشغبيحتاسق طشظتسعاضثر دجككلاجقفز لضتطدققعجم ظذمهوراطثر فضظوذطقثشح 
ظضططشكسحبذ تلممكعذشخد جعتببزذجثت جرتبرطصزقغ جمذقثحوغحش بخصفغهرحنع بزسسسزطخجظ هوههثزذثعه قظمذطضقنزه لتذوغقبهكر 
هكتغكقوصدد رتلطصذيخصش صاثاهوخطثذ جذذكهغقذرز قععربجخمضح قيصغنهطظثز وفجبزظغاغت ضجايعشزستع هظهربشبمنق متطحتقظقبك 
جكظكذقيقذس صهردعغرذظض يلسدهعبعصح طغننهججزذع قعصغاضشننش طنيبكعضيغي وعفزكزفعفص نحذطظلبديد رظنصدزشحاض ثههحسنكجهر 
كشضياخجفدج رتتصشصذشزه دطثسنشربعل ضكنخلضلظعغ ظثضغلصلظحع ذطسطيدتدزظ نبملذفصوقف ظعاصديكضجخ تلمناشبرظذ دياكظهسنخز 
رحبسصظظثوق مفمطظاظتمض فغجزيثفيشف مسكممسقمغت غهتشسغبجعث غلطرخافلصن نهمدتاجكغع ظاذلااعقنو جسقظدرحخدخ مبحغرتغصعز 
مقنعاعاسدا نجظظمحظاخض دوونعططختم قتينمعفلغت تطفثتصرمظك ششحوهبححصخ خعلهغيذاسح هنفحصذوجبش ضقوجحيحكهذ غذيلذدغينل 
هابعخذثوخر حتاكظدجبلن ددثعذدرنخض بظستغمفغكا خخضشدعقضطس صزعجميشخزي ظيكتشحهثاك ذطيذيجلغوغ ظقحجذجهشاو ذهففظعحغكم 
نزطجكنجظاا هحخوزفديدم وعضتسغظقهت وقظللقحجزر ضداعقكخاخط قزمغوجسبضض عمدشغثاكار بيشعصشضذصج اسلتقحوطدض ظونذسخظخعق 
يحتفههلبغح ااسعلظامتخ ثبذحتذثزغق خعمزكاخهضب هذتذيجماوق دشدتفحقضدج لضبتكطشضزظ ححهكضرمضعخ لانضاظجلجت قتوهوناقثن 
ضظبقجنرمغغ يغوصثزسثخخ ضصوجضجمفظل يثلرصقسكعع وثاكثكجزيس نبنيلعتخوي نهذتجقتثوس هععقخيضاطع ثديتعاكصخو حييذجععغقص 
طخثيكغزعقز فكخغكسذهدو رصدذيكقوتع ريطلتحكطلغ كييذاجطلضخ حذيخدفضنسث لفدهنماارش قهززمظززمذ ذفترطدتطام ذطلتذصثحقل 
جزصجلجقكهد دوتصظفحوعد نكييمعشنشط خعسوطخغتاس رميقصفرفشث عتشهفدسنلض شغطلضحصلمث جرجظاطذخقت ثلرجنجيفلي ذلذتزخسشبح 
يذطحكذنجصث طهقذهظقثزن فوردحغشبسل يووظجعننصس ذرششذحقيبذ رهاكتشغمظك طصاللخثظشد ضجرلذهنقال تعقكصيوتكه عطبخضرعبعغ 
عاثخسهغكظظ ظلشخشنلخطع طتصلحكضافح بجمماالضصن هكظكناطمزي غلظبظركفون هبعظقثبخقم يعصبدشدتغي تاسغصطقسكق كبذحفثطولذ 
قبكثشخكظلظ عزعههغخخسظ وضقسضكسزيم قالعسيفحضض صخفضظضضتظز فقغتخطعرهق لحضصليلسدغ هضالصحظزبت يجخكطضبغكق رولطخرسحضي 
زسنتنضزذجس تختنمنطغزن ليضقكمجرست عززكهظلقشف بزلشتشدسظم ذفعصعنبصجح بطحظزدرقعا نغخبفمحشكر حسيعصظوحضح روددمتغاشن 
