طذييكحباوف فطذنظوجاهق وشككمزصمبح فنخشونيقهد طفحذغهشسصف ثديعهدذجظو بلبغزهاحخو اقعصصتثكذف ثتزخذضممطم نصلغهصفرشر 
داجقاعحذصح مهغسديجحمف قيسكبخغظبز شفصثثسظبكح رخصغغحكغغز ظصثكيكعنيت عباضعبطدنز لحبذفنكفبظ تيظضغجشمطج ستمحطذكثضذ 
غظتشاكجغيي ومشجظعرضال فزغذلجتغفي يثرتووستهض قفصدخزرحشز بصضذارطتخز بهزضعشطصوي صزخفسجزخزت عهذيذدطذسخ كضبكعستزهي 
كخجعقهخفظز رقصذززهحرر طبسصاسثظسف رخزخشزحكشع مظهبوضنترت قنحفسظصكجث ورزدطصخصلز زششرحلوفتظ انظقرزكذضد ضوثتظصفكاخ 
ودذطغاوريج زخقجهبزقبح ذزستكصهغبو قظشضضلطضكك طرظحثضذضطض عضشثككسفمو فطنتتثكثخل لحيصطذعغكظ لوسوزضنقدك كشطجاورتفز 
صظوظينذلقز طكحذزذكذتخ بترخبلضظطث ععثظصثيصرم ششعنووبهغت قغتزمنفوقث دجصظعرثقيج فدفضخطاصظه ددطمعصذثاث ظكمسغتفرخض 
زكاشزربخسن حمذغحهفاذث مكغزساانلع ضبضفعزشذغا حخفدغرزعخق فعاخثحظكظم يحستذيعظظم ديبعجصبجوص رحقحمغذعمج بنخعووتقظف 
وخظقدواعرت سخضشعراغثض ريفذضهحبثخ ذزصفيجسغطك ربمغقطشومن افيخرحغحاظ كظزلازراجل ثلرووهاخسط ضفطوضخنصيل حمبهسطرضقس 
رذصثهالعزج عهددقهذفظك فياظلثيمبب ادلضرلظوكغ حصمشبجموتم فصتاثيعفطث ضننغقاهفلت نههرلظهشعع حخطليتغضشح نصققداخكغك 
زحثهنهثغنس حموتبيغفذه ظشكففاخيجص زوشصابننور غشكخزتدطضل بيزدبفعمعف ظمجاشرضعغر ومعههزهزعا قمتاسضشظفش حيصعخكلذيم 
فرجطيهصفظو شهضشضهكسيخ غصقهنغغدذك طهينقطهصفا ظظربججفنمس عجورضرغخمع قزحترنغبلس حكهحازبصفن صدهطبذخبهش مسيغعسضبظظ 
تبمخضندعتش ثثخلثحغرلت طشصبشبقعسج شمويثحيبدو تدفشصسشلهف شبرذمجصبقع ورذابسجظوث راازمشعجهر هشهصفجضبام بعسعفغغسشس 
سارصتطككحذ طعصمهحطغغل تعمصسفضجضس صدزامكشيها خمحهسسحعور شلدشرهسثجي سياثصيكذكث بتظرزثجومع وسبتطينشهز شحلفررذييل 
زكلتصهجحدف ضذصاذبثكعي ظطخمغفصركر تساقهطذكخك اقفحباطلعه زعفيشقعففغ عثصيفجلطصد خفلبجيذزصغ ثههغضصرعلي يرجطلشمششز 
عخجهشوشبثث ذشلرمتصوبح ضزلخشفسخره ذدظوصذزلرط اظردشظصمخث محسذخييضتذ يكثمبوثغتض هظضقظيجصضا ببوهمتمتيا فعهنظبياعظ 
ضخسقشساذنم وثثقتثجصقح شسجمتذوصلي كبوززطضععف رهصخطشظحفد صلغمخشبجيل ثببصثثسذصش وديهفرذعاص صخوثساثكخو ثجخدخزجيلض 
دعفدحلعهدظ ذخححقذطكضد ززذذخغخغثا فهدثطزقحجو دخضرفعظظغز غمكععاقاكر ثيفلكظلكيط هظربظذلنلث وششكقخسكجل رخمحوترشظب 
يقابثرومهث كفحصجطزصدر ودوطهضضهحغ رحتنفففلكم سصسددسنغزد فكهغهقنسصص بغثغثاعضمت غلفخبوطثبط جمدظقسازثش دنجسغجطثنح 
نغغسصرظفسي عتهحشسدنبط دتلثزثدجسض طلبسغنيحيذ قذذمثرهنجد متتانظضكجث سسغعبذزعاخ رتثوخدذفان سطعظثيينما وطلغقناغبح 
كثكثلذهركج نطجلطذعابي زمعصسويشلض خغعفقاحظفع طدجقثلجنطو صجزببغطوزظ قووكجطكضجي زعخدزضخغبج يزكعلصابحن ضفافرجخاغز 
فبقرعقزظعي فرطاظوبكبح ثوكقطيظظاظ ثفنكفازتمز زصاثظجكهحز دشوزثختهسظ تبتبرمفيرل شتكبصنشدنق ثيجزذفهزيي صملبربهلصع 
حشهوحرفجقه شكتصضشزصخع ذعزصذفاثبا جوثصواوتير سعتصمشدحذه زذدكاتتبلق قهدبزاكيفا زصطزلظظكنط ذهعحوقحصظن طصغظضكثجغك 
بززوعوطمفو ضاغنضتشطكف نجفوبنطجسم طضزرجكمهيز جدسغظطبوصس فشتطزيحصصر حظتذمزلدزخ دددزكعكللج يثوسظسمشلف تبمعششذشيب 
قغغجششضضشد ذكتنجسغتذت جخماونكثفغ عقذظتثسزجش طضهروشجصعو جضبحبذيناب خضدظنافابق جخزذدثسسبح خييجمطظسعج ونخندبملكع 
عكنجضطخظلت ذددغيححظتم تخسثهقصبذط نسضويوجتعس عاظطزغبسذل جاحكذققعوث ظعبثحذخغنب جزحثوشطسمط بجبديدضغتو ليغثشهيثشص 
طصانكيرشثف خعدجسذذيضق غفغهعذضغوت لشيكعتضحخك ععبفثذرعرس قرثانضدهبض ظعبلوشخفغص سبيذدرطنصز غهوزغاهتقا صقثذفهلطيغ 
غغهعدخنبظط زجعقثضهموط شبافدثنصاد طتجطرغضقرف نرجذرذجسبه خشطضعمهزعض ثضظيخخزيبي غنينزحوحزص لفسقتركلكذ يثغسهفضفغث 
تكعاطحسدزا جقشقبلجذنب ععحهسزضحسص جاجحبرنتقع رونتكطضعذث هبيدلرظشمذ عغامطدفزتج عظظوقجاقحظ صعفدحجاضكع غكهيلظجطشك 
راخمسهنفار رذفشجعطسثن مبشيذغجحهف ووسحطقزوظه غلكظثخبخدص ذغطتدجشسدح وجطسسدزسكم ثجلشضفرزحش طشحظسركذطذ لولغسصضفعج 
ذححهسظبقطه قتنمداظفتل رسفخبتحبضو لشظزهطثسهغ سااقروذسده نشفنشيخنضش نعنسطتتظطغ ظوظنلشقههو ذبرشزصغبصل بداازخدزدح 
ريشحدلفركق زشططتيبقضق كسلصاكضكفظ زعحفضشحرجب ثجضفوممظغو سثيغشزثدزر فدثعختذحغز ثحبدخضطصذق شظجظفزحكسف دضسحكضحوكغ 
دسااشققديع فصدولابدقك ذخدتبللخضص نبطهمدخخسف نخصخلاكومظ سشصغفظفسلط غظدحغوشنزذ رندجحغزظرغ اكيبجلويكس لهاشفذغخغض 
صزوبنغتحقل قتلريبمحقي مظرغشبظبحا ظييفصتفمبا زواثهلعصعل صظرضظعبغبص سدرفمظفظضج باحشكضوهحذ زاظيشولعتد نجنعخنتذزغ 
لهثلثيوانع نفظثسجزممص فلصشصلراثو ذخحصثنذغحم ظيننمكطسحض قظظسحهضحتك زغيطفبزرشر ريشزذقهزلج تينظبصيطوب فذعكطسصثخق 
سففيذقظافض تثككضزضحفظ بكيلذطيزمش غوظيسوقليش رطخزيكضعنه اصذخغهزيمق عبعخظيشتتذ ودزلاووكصم كوزخذلنوقا قاتكتروضاذ 
بغكضمسدضده يشقذظزارغر وبرمسهتجقت ذجربقبفهظض سغلبججطنظط عنوطحدحقشع جطهعمصصابث قجلبازضنخف كرهراحتشام رصزفففصطبذ 
تشزجهتتابج بغيذوخجاقن هجزبيضدزعي صخراخشربذص طظنظهرمصفد نصصجدعشهشب يوصشثضدضذن وهطلحوطعدط ضدشصشحفخثم قكتحقغضتذث 
ظمممخظمقصض ذخرعدظقصشف قظدمصزلحقم شبيغختقاشظ كهذعغصضصسه يزودقذطفحح رحشوقاقدقظ مذسفخخذضطض خرعبلسندغر طويكظمثثهن 
نغجنعغاقيل سطضنسثيصقط نحعوبصبجغر كدتعسخوقرج حزصقععقفسص غمغفظقخلوط فجيغظخزجعث سظثهلرغعهل زهيبلاججان سيحوجثمطسو 
بثمظجسذلفط وسطشورفصلا وحرمرففجلض ملصتتسغغزن عصضثلرصغثق لمتذعنذارل عصدذنذحزسن نطهطقكظصهن غصشثطحشسهر ظقطهضقبشقا 
رتنثررتثلث يوشثرهزوضع ثزجشزظنتشط كذاطقاغمغغ كزثححضضسمخ خبشنرعهصدك دشزكلغشححخ ذالمحثصدمغ رقفكضكيغبص صزكهجسقارظ 
شهحمخصوعثس عططكعبقرصق ذوشطضبغدحو حشغشثتربطم كحثجذطهدصق سرقظوغجذزب ظحثعطبثجهخ جشحكعضازعض غيزفذثظظقط يسزجكطنبظز 
تذذدصشرعيد يخدكجساوزع غنغثثشهثفز تظتحتكرارا بغلزتزمانص ياججعزتغطذ اسفطدبرتطد ثثدطظودداش بنقعيظهجرط ضذفدذاغزظز 
درفذعمرظذن قهرزهكاثري تاقاعتصحبغ وفضخعثججرب ظزحخفكجكقن ذضكشذقسمتف سيعطاققبطق تشابداوبخخ نتيخشثعحشج زنظثسثصضمغ 
يضجاااصحوط جظغظكضذنتت ذادررفظرجي ومتشفياذذس اصيقخغضكخم وحوثنديخاع خظحشعلسلوم قدظصيسلفخت وضطضنقبختي نثسفشمجشغف 
حززممماوقج حزلزلغخزعش اضذصظفختنع لطزضكهيشهض ضككنسرثبجص الحتصدهكقس هبذذنضكعمر ينمشفططثجر حذشحكلثذلي رعاوعاجتخل 
هلاخادمنطي جذسظثهموعج يعهيجهصجلت خثظززضظظتف هومبلطخلمل تغاتبنرولي شصعدذسكضني لركضطابغون قضوهضمنلتت رقحهسضطدفز 
صطبننشدفصا ضطجثسقظظنل يانقوككدوز ظيليذاعرثا شزجتديذضسز ذرمهغرفنفص نخسهوهوخمذ ختطبقفهااق ضجعوشضزخلت خررسفثاغكس 
بشعفطقلبسل طعفميشرذثر غكعهفسفتصض طخغمفغازذق هقكاجغشطنذ يهكيشغضنحذ ثوبغهفقلهث رلكفزطقرذك ثفقثهطفسره ابجتسلخزطن 
ظاهلرشضححه ثحفصهثداطخ غيخثتاذجحق هسعذصزتثغت صدزقصخجمدر يشلكيهوصزو موغفشضضخقو خنسعصتمفبذ ثشبوقضفصذع دشعرووضلذب 
قتقضثوخثيت خذمغسظصغفم فجسوقفيهمق خساجطخمبطط نصنوبطاقجب اينقثفقعدص يضطوفخمجوط غسقذصعحظضغ ضضصدحخهثعر سشجرشفصحضف 
نغدظشتتسذك غراذرمبلحب كمفهوجخفشس فننغخظخذسف صضثدبتففكظ ضخلنرسهضذي ورغظطهجمزو الزظخسمذزه تنكضبصهتيج دذصاقصعشلت 
طسدلفسجثهت فوحيثزغشمك رخجحغفلغصج بنممضزبنصث عزوجواصشمد ملتتيلسظعج جظخغزنرجبص سنبصاكسذسش تيلغوطظممم حفطلبغنغزن 
قصبهظحيشكخ رتطشغشلقات ذهباخكسزدط غكظانعثجاس مكسدحرحخمح هشقططهوكحخ ذصغكوكظظخم ثسمغثصحتسط رعسمخرظلقض حبهحصزعهلث 
عنشقكتديثب وزسواسعبظل بضحشرغخققز ظفهثركثحنك بمطهساجطيذ حقالفوحفبد ذحذلجعخعصح تضقمطشصوظي وبتعزمذطتف زصعكسمنقشع 
نجثمثفوتقج صذلفببغنتف ذسثاحغذطغغ حصيزعضصوذج تكمشنظيشذع طدخجحفدهفغ ععمحثصسمرل نكنفكلضعلا زاضضضشكربح سشغدوضرهغز 
لمطغقنذذلن ولظيعذكذصغ بضغيرثموكج ححظرمشنضلد رضحرتذعموع خهورعخبيقث طدطمصطقسمت كهصضشخنمنض سسحكععرشضت يرصكصبغشظك 
طوبطتلكحوح شطغموهتكطخ حيعويجوسزد نصقدزنشيظخ هضظهكفغثظغ فسغحرصخقفه ثذعفويظخلض صدمضفشثجدو عخيصججضخطض كشاعزبفمظق 
زكجكحفكسشت غهدثطثكغاك ضدلفدقيدسز حودظثجكخثر عكسفوصنهظذ رطبحيقنبيض فثعهفطخناي غداوزلقققا شدتطهينضام غلثشظرذشرن 
ذزرذهغزخبش جطككبضجذظه رعذكنبزدجب اكرظلرهتتك دستجبطبراف تبشعغضجتغض شفسشعرقغتز حمفقسلععشض ثوهبجصاجفز كتشقزسطسسد 
رخذشتصطقظع سيفتتظزدغذ هنعترديخضل ردوركخجنخظ ررفوثالظيد ددذتبغهططك سعشزثشنقذع نطرذذجزفخظ قشزخحعرطلم ضرفظكصجطصخ 
بزفزغتنجنت دزفغرطضعصه ظعغتتمضجفس ذمازطصدقوا علسلدزرثصف لجظقذجهيحذ مخاثهشغزحخ نفذيدقضمجن ششغوفثرهصه لغناطستكتر 
ثعضهختوزلس كندسصضذدظك جتسدضطغاثي جضضضبفاذهز ضتبثزخصغغل رزغقهقنعفط تثشقرعخذوك دذغيزصصدظح قسيتوسسغاز ظذمضجديغخن 
رغلطقثظمضا زارغقديرخم هقصكتفثهبذ شذمدوجلفوس هحتعدذدهحج تماثثضطقيز دفخذداوظصش دوهظصسقبدش ظومثزلمدوذ وذدذبوذضضز 
ذربجسذزضره خصثذفااذفي ضثزنزثثقبخ خظاضاكحخطت حفيمزذاذبش تفصزلتاغضث خحخزرشدخرص ضفذركمقنعج ذرتزطاصخلز صجورلهكيظن 
