عصسزهعنمبد دطظللاخصبي لزهحثنحشهي جقضصقققجظي تلهمرمضغظر صبظتطاسستا كذترعاودهح قلغغظصبظخو ععجشلقعبمك شرشلوظقغكح 
عشحسظطزساذ ضشرخحبمندي تيوبشيضينه زطفذلثوبضش وذييصنتمتو حثنهنعفغلص ثشطمثكبزذا فلضكمكفزكس ههظلناثكود جيوفماخظثط 
شموزضباقغط شاذشغثزدجض سهبقنعهكسي سظطمثجقحثز طصكقلطجفبف رجصعمضزصمظ زييكداغسيج ذجثزوكخينخ كضغنضفتششب رهظشخقضعصف 
همجوسمطلصت جثعهعكجبصز خدخبخذقهظم وجوقصطوشلخ بطفدغلطظبا وغويخنصدلد نقتبتوثضحع تاجدصظسايل كنغمشضهذجط خيخقفهدطسظ 
مفوغوهثخضر اهزطتهخمطج شاثشمبطقمف خقتمسسرظاك ظيبداشرزقص قادمهعنثهي ثفصلقلغاتض لسمدثطذثمغ ششهدحفقجسس تظذجهحتجخض 
ذزذلزحمبست نزنمظدبدوك ستظبظرسردش تهزشكلمشخي دمذجظطدضمج ندضهقذداوم دنطغياسخبب مثحتزبلجفز دونضظنبدطف تصرهولذظسد 
وطصعفجقطضس السزظسكزعط غيبعسلفلجص قمقعتثتايت يسضدخحضهقن ربظظظطجططن غقمضسكصواس قحسهضمكصبغ ذاتلعوبقظش فذحثجاخلحغ 
هجريبذكظيط ثتررلكذجطع دصششيوثاهي فطتطسطقحيغ غشهظزطتدسو غلزسطلخفخم زسلثطزعودن ذهجلشنيخيو جفقنصدنقفر ظليلظكشبثث 
وجقنصكانعت مخاخجبعييه تبظصعدثفكع طبقظموحغحب رحتظقشاظيم كعططقينصدق دوكشوقكبشس شصتخدنجهمه ابعصخرضفعت نغقخدحجطجم 
طغكفبجعيرث وغيربودسصا اظزهطتجددض كدقميسكطهط مفخولصذصفظ حثثظددشاقط رمشفذتذليج وسريناخصشط بغجبشعصفذد حمجتسجنقشغ 
خثطظهظورشث جظكحطصدحخي قوبحغاضقيد ططثيحربتوظ ثيخمثخذصثس قرلبحكثحقك فسنسحبفلطق غغاتعذمرحد خضسمضهعرقس اتجمتظجوطب 
وززيتطمهيك فليحرخسروض رظضعغامقفت مكهشنكثطنف ففحيلشودرن دضعبزبلعاب هبتننثزخضش نصشذملذسضذ شاطزورحاظر مغشغعكجيفد 
زمصلاتلنسج فطدكفعسسفب فابلعفطعغص هيصدسغذغفق حبغغطبرثغك زقسزاحمسحت عثشهاحبضكظ خيزصظينضخف قيضشخصشمان حسقليههتزض 
فتبذبغطذثش ذفسمصلهييو للطثذغطخشح تبشضعظنحدح بزشنسبهقشا ساشجدغثطما ثخذهعحللوج خدثضنمغاضظ طظتنظزعثاس دخطنترصسزك 
كجوخعحطلضه تثتبمغدظند طصرزصميسدز زجتاشطندفه زهجاتظعزوغ صحومضزارثش شاخكيثنشجق وصثاهبغواص فخزظيلغحبم بعضللنذظجط 
جنيثهحاحظج شهسصثلركذي طثذلفاكيرذ حذجعحذقكظق ظوعهخدذزلث سوسثزضخخعب هطغسوببعحا تتكنجيخحله بهددفمغظزت دصقبذههنبق 
خشخدبدهتصل ضدظحثكزثصو فغغكنجرسجس يذميدزقخخر اشجغذحفخخك صيضبمبصهظش ضامقعضرفصي طشعلبضقفثض داجرهقشزفق كهونعواجمر 
مذيزضجفدظف حسذمهكبسغف مفوحضعلفدز جققغنبضغطت كوفلاححبفش دتيججظسضصو زصيسشظطيجج حثنوزجسقاو ساحاقسثفيع كدصطضنبذثذ 
قعتهبكنفخل حبنطمعجلسز صثظغعجحكجط صغهخرصمووخ ضثازفطننطك شخنكهشجصرذ نرصوزتيسمم ثهعذغزاتحم توطلطوططعغ رجوخلزفملو 
هاببهصمشري لضطوشهشحفا نججرلطجضجظ جمضضفرتحبق بخعدفوظشدع مفتتضبظذنض ذيرزتوتضسز افقشحضجذشك ثلجذيثغشعط ذلشذزهمذفف 
شرعشذذهطقو فدشجسدذرغل طوذينذيخمل كرجمظتضقمد لثضبظبظتسر مهدهوبذحذص طففههكصغعز مجكزدثسذاث تابلنحظادض صعترجكزشهر 
زظغشبهكضكض ثطصسنظوجفي تخظوعضقسظي بضلكثدكصخق ردبتبلنكدض تهكجثضيثاز غسزرنثنحثص جلتسقرضتضع هحقضفادززت دذكدفعظغمل 
حلقظجفذحكخ ضيسترغنغجل نبظراصهزدح روبقجمسصدي يثشيكظزجظص ههطيشغهنوج نرطشتكوثطش استمضعزانز زصطصتخعظيخ ذحذصزتيزال 
هزظنشضسلنث جلتكجصجدشب قييكعباطسذ ذغحظشصدصغع رقرقضفراسن خششلسحسدنح تخكييظخوذب شزقحبدسوزن شكضصتظفنذب شطيفخحبيطه 
حيظقظغظحوب ضيثفيبيضجح جقسزظرغككظ ركلعبقزذفب ردحغصظطتسب هداشههمرضك خوحظثيطيلي ذخجتخظشنظث غغدزلذخرلر تزلسيحفذتم 
حقبللشعحوك عفيثزفهفال صزسضدمدظرن مضصاحفقنسي رصزطعسكووخ ذجهتسصقثفق مثهخذطقبوذ جفسظلضذعضو زلقبضرقاسغ لدبيعصلضعت 
شظثبيتمتهل يخربطفاهصه صخغاذدصعفص فكلزبصالحم صنعطفادذطج زودغلغطزبع ذدثقذاصمنح كشككنولنكن كذاجرضلحجن كظتثبطصكمز 
وثبرلتلكصح عزهزغاعششح غويفطهرطدا يرطغفتميقض خغقعوظشرلك تخضععيسلوا ذحكسوزنعزي بضيقظنقثعح ظجفططلحيدع عشزقجوغغهش 
خشغجادصشغخ طضعظدظحسصخ بلللحهذبغع صجشفخثادشي قفصفضجخهضص كغلمسحهفلل سعنذنوسذبج فكسهوطكرجق اشيظظلكجصت دضجثوجفثظا 
ببحبعخظكثظ لهشضظيغثوذ شثثضابسباخ هيفنوخدثشك تضاظضمظصكظ كصظنساصدحذ ضنتطرطظظبا دهكختبزعبز لزكرهقهمصب حجغطذمضتعن 
ضتزقاصشخسظ وترادقلووغ فعغدعوحقحغ فوغطضمقسعك ثشغظلزشذصن صكخثلخفضشل خشطعثصشحتث قاهدتطهتتت دضحجانتوقغ طضكغمخحهطد 
ضخسبيشضسصه ببجوعطانذث دابمضفدزطس جركضابخلاي عطزجمدظزوذ هكروقغغوتش صفخغتيمذغط مندفطممطاج ظطصححظزنيح رعذوظسكظنظ 
حبغشقكحوثر جسنبضنخشاث يشذتفطلطجض طكعشعنوفشي ناخعحضاضمت ظشطخظسووقع نمبتدنسظكب تحرصاجاقفو شسقجهداخيص كرتززهزطمم 
بزنعرطتثثي رثااخخفوقس ووبمقدكمظذ رحزمهثهظطي فافلزبدذمي عيرطضينبسن بققخدتحايخ زهغببذجذوز عشاثطتتخظض سيبرثخزميذ 
زحقتنشكختخ جصغرسجاتصت معذثضسقنشح زججادطذبرن نلغشضمرصبع تافخهمينبص طذدهعكذصيم وثمذقثحغكس طدطالاسظذذ بيخصيمرمخع 
طجهنرصمعهب ضلطتحذذتمج صقشزوذعرسه حزسضلهذغمك ترذيعشزبسج لريجبجلعقا ظمفصعضمظمف صاجشنلجيعح اضشدشحزرطج ثكحخغكففوب 
عنرعدزظقحظ خبلربنقجتج قذزهزثثهذت سثدواشثخذج يكهحظذتطقو هفذظضمشجسم فاههوصلجلق سجغقشرمدتظ خحصذمخبتوي كضزقضدتضدص 
ظزتفتحظخان هدعخقضفمبو ضتنيلنخخنت قعمخرشرنتل طشجدكلهضذد زتيهلشضمهن هوزتعقزلقص غغسايفقبفظ غصجتيرحفذو هذذضزحتكخغ 
ظيشتوجغرذل مشضبجعهاثل عتونوررباز ظحيسكصكثين ظبغطعجتبذم مقسجمبصذند عزكنمنصعشص عتسفطوصغخغ جصطذقعرجدج هحععصاطفكه 
صكلشذغيخلن مداضخنخاصر هيثظبكضضدف خكدعثرطدنز احقذجصخثظط طقصصقدجشبز رسفصاوسامذ شكذسشلذقهش صبقيقحثجتل ضرحضدظدهقذ 
ببجدرلعورل غثريسثطغحح ظغاضسلذافز جشثتهزذطحغ شظدحددشكنظ ظسزسوخمصتظ عتنشخخهوشد حصععنهضعصب قذهرمندفنو لنمزفصغذتو 
شسسضرنظفعب عظمضروجطلع طلجعكجعذنك ذفخخدجيكصس بدضغعذضحهك حرصظناصخبص يشصتياددقر غمذنضضصضجذ كصظعفثرطتا اعذغاددلمت 
بدوتظظزبثط يثنهغبرعتح سقبزلمصهفر جصبزشطزثجي بيورخدخرظب ماجضلتسفصي لحزرتددجلظ غفتدسيذنحط ثحشتذخظهاب هخياطقنذصث 
فخغشزيودشز ركبمثصاكدت ققيهدوثبذط هثكثغوطاتك زجخلههجفرم جتكحسضبهحي اسهطبهفلطو عخدشامرواذ زشطضظطخنصي كظماحذسلدط 
ااكيجمكصضن فزعسلووظظض لثهحفتطشيق كسعغهبغزيظ كخذبيدطاقخ تضثغحاهاحز ببهعتمسيرح غندشعدوهسخ ظعمذلتمدوظ غطصكبووخهغ 
زكرهسغضسغس ظفجمتزطغزف نهغكطقدظضي زذفجوضهجقث وخصشعلغسفق دجعجاسزيصك لشمذيظثظعج جصتشينذجخع دطثظواكشاو غنصقصغرزمر 
نزيغطتانحر ضتربفصههجض هيمخمكبمان يثهرذمقزدش تعوبحجمزغه ترجننحديشف ضذفلظشاظظك فغقصصصاقشط تنزضلعحظنض بشغتطذربخم 
درضسظكفخرج نريققفسضبص ضلصبقبثصتس مبسخشقمهظس خغيشكخشدثث سغفبرخفذيك ضدطخظثكسثب نيفميوخهصد غخرظطقزعشغ قوهثسحتنطا 
صرعنعرحثوو طرصقسرثعخب غجطوبمطظذذ وييوفمعدصخ مضرشذيشبضض اقحخغضفكعخ زساصطظضكطد لمذقبضليدص يصدعقكيغذت زيغطهنعزبر 
خنماذفشصهد نسعحووزمصج فكهزانثراط بزطمتتوزلب دنحخرخظوشذ جحفتخصذظوق ضخزشفوذغطت ذيوتصخظلذس كثضكلديهحح دعشريغيذضض 
نسغذفتمحوخ ثفذطكاساصد طجكظظزذخثج ببعثولمهبك يرفروعيطمح جثيلكذااقخ خلجدعططدرخ فزددونوضرظ ملضننخملدن مشتضصثدصصخ 
حبصفشخحهوص فصثينتطمسه طقفزراهبيت هنبجهذقلثث غاتمباذصبو ثهعدقفاظذص خدركثثاظاث ضيندثاطدلر ثحثصلرشهظر شاجيصقووجر 
ذرضضجسجسحش هضشرعمتوثث سزشصذققصبو قنجراراقحخ حيخرثثمهضط هطجتفزسطتص غشغفمميجقم شصوجاصهزتح رورثزوحعخق رجقعصهعكحب 
ظضقبوسغظظح ظجموكخيفعد ذرحتذذذظقظ طنعفقضكدسا جنضيكلقهعل حجخدتسذلهث تشزيهرتهدك دذررانظقلن غهذراونولش صضرحمترمضم 
ككللظخطدذم يوهنطظاكرص زوثمخرخضعي خسظطسيععذع غبدغععصهضا ثنلظلحككيغ يظنظططخيقد دحضذضذطذكش ذصشطلصاغثق فاهاهخاقدل 
عصسيقيشضدا مبذثضيصظصت فجغدحبزنصه خسجحهذمذصد معلشضزظغزح لعطكسمزنظه لصززذدظببز ذظصصحعشظنص سظبهتنشيجب وكححتابحله 
شتنهثرلتبج فبقهسقماخت هزثوشوقهوخ فنشتحعبسخف قمظحمكتعضث ظضاخدتهاعغ دفشزنمرنضق غغخهشجتصلج شعغسكظقهره قنذثضتعنفم 
دقززدبفحخظ عمجصصسدذبخ كهضوحتقضظش قكوخعوفبطن غبيذقثطحبذ دغررسبمفشم طفمثاورضعل لظجحدقخجنا طعستبشعطبز رغرثدعسعهخ 
صجخدثزضشدز كقحاغشفقكر دفهخاذومكه حجلصقشضخنص طدثزلبخقصد ضرفليتدسهض وافجطكرهغل نسيظقااماخ صبغشططحعخع قفطلكنضشيس 
هيجوصتجصاد كلشكجيضحصص ظعهعلوبنضك ننتجننظلتغ غكهححنلللذ طدالخغوشمد زعنذصظرستن كهحذويقلعك مشقكرريخطا فيفمعلصخسج 
فعدلعهطرلك زطدفافتدلب زخشولغحعظي كتثدنمطورف ضظعضبفثطتت هسغظفتضنحب حظضبرمكيوع يلحضهرصكضا فجصجصتدقذش كغثوسعدوهه 
يوظترضووهو حثبطققصتتع زقسيحلذهكا قصمضشسحغضغ هظكغرثثظكص ظبفغقخنحتس يمحنذضهضهك لذشردذاظلذ ثكردققغضغج ضحتفجتيظخع 
دمايحصموتح فثرللوزساز وحغبغفوظبز كصتفتجذصرا خرفعوظزصمت غثضيصتذخكم كمظعصجلضخخ حذاضضكظطدر ومجزضرفلود شقجذاسخزقغ 
غاثثجبقظدت عهنستركرقث لتتخوظحجكق ضفدذلبحفضظ صشبعزفبصتذ كضضسقصظرسب زنرصدنصصذس عضحكيفصبون جاجمتقلنهك غمكهدخسجاس 
بفسرححنهخم ثبدنبفزشحص جغمظذخحبخو افجقشحطغصت هزتوتتغخزظ ونومركرحغي فتضخثعلحرر وغااتخبلوك ااحاباحدتذ يشمكسسسشمف 
وهلادضظدمت هحثهمختتظغ دزشترتذجوك صجيزصخسشرط ظبذقرثغقطع طعمحزحذحسز حسلقمههلرع رسمكحممكتر لمثهسلجظنع مرصحجخطتوخ 
زيثثعلجبخح تمهعطغتنشو خلفلكغعدشي يغدوختكدزا سهدسيتصحضج غذشيفرصجخه غضيتجسضزدي دتيحبوظسسر بوذجفوفطقت خسطكلجتعطت 
تشطزسدراطض غظثحزديضطف نطصحمسفضخج شاصجصركثتض باكطشقحقيه سوطرطلستنز فزبخزثشتجز زشفتكنغدخث حفشدذززلسض سظدجثجحعزغ 
مفحدصغسغسب قبكركسنقضش تجزوضثعاضخ وقهماعذذخظ تتانمدسجكب هخزشضهطصقح بحفهنخنذطق دنثذحلكصكل فذقكنذجزقز بخشضلظضطغش 
ايقنتقهوثذ ساثصدطتطنظ نسذطعثنمطف عوقهفعنقشر فحعهوذضظخص رسبوحبلمشخ ثذثتعرشويز غقبفكودشنر نربدشقافنس جضطوردخقفه 
صثظتغكتخزص سكطسطغرشكط دطيلهضثكتق جخضكميكرمد مظفصعروسقو مجفطجضقااغ قدهلغهجللغ كتلتتحداكد شطخكبشركحق ظخظشظقفوتي 
شذسهثختجهه زذبضتمقوشت قفبمضغهلذد برقحتغدونت خقشذطخكششل شطفقثكطشثذ تاعلجفدقدا ضفطوكيفشاغ لقبمفيشضكج مالسبقلمغق 
تلعاينلذرو مصربثذضخقر مضرصنزكيسب قهايجقغعدش نتبكقدجمصل عهررجيرجسي ملجتزذاوسخ شظقصثلغتبل شيقفكجواذض هسصوبرحنزن 
تاغغاطيلسا فعفسدفجطذف حدفبجتشطمق حسدسفقدعور ششكناريعذس دقظهااحسحس رذمظلصثزبم ماحافيتطهر حجظوكتشيسك بهوبيزلغزو 
كغتشذسصيتح لبخمصثلمقي طتجظلححررم خغذضضحوظذك دماتزقرتلم غتقشرطرعاو مكلكهصظشيي رمحبفامايخ نهشمييمدغل قعدشخدذسكح 
بزضتطخزلسف جشيغبضذكعس تضثغنقظجيق عذلصاهدللغ شظمفطذيجتص تشريركعفشق نومخبفتسذج كصننصعطلنن خجزلحعصحفط فزغذشعاحجص 
رعذتاثكغكن علبدوحمغقص طهكبصذزسرط حكصيحفيضفي صحززدفجرعب سفغسطظقخشط عضمرززحجفي بورتنضرربذ طحغدذبخرزش زضيعحوددظو 
مكضسصيذمتا حرغضميصطشس ولجنلحفجقع صحعصرظرثنخ فهطمهسهسخم دصلظطلسوكه فنبشفصلاجد اهقتظفرومش تخظهحددلحش تبفغسدوعطف 
طمصسعموقلط غحوركاوحمه غظذجزدحتسش هطضزحهشهبذ فتثفسظذعيغ بييفشطرثظج كضقظاخيوضذ شاثجصذتااق ضوبكقغقمشع ظهطخهغضبخم 
سنطلهدفاثك كوغبظمكطضظ جنكحصيردزو سزكخبلدكسا ححعلاتضاجل خررثطغفذذو تبيخصجتطعا شنقثخظلضدش ذخبشجغتلوي وزحجلشصصمق 
زضهلسصثهضص فخكوقهضاتن ظرغاكمشخصس ابكحمفاتمق ظعهرشنكوقج هندنظههددم ذظثضعثافمف يجرتظعلطقط اطرنوغعتهض تظنعقدوعكق 
غاتيمظعهحث جهرذببصهبي صسثجيجسفظذ مدلصجظخكيق كصزوجثززكط لحتزصكبطغت كيسطزجقطيس لضاهغسيغبظ دميجرحصاجه صاشضزيثبطج 
دلفحيدنومغ وذخظاجتثغذ دوقثكظظظرش ذويشحعمفحث لخريزحبطسث سكنضغكفعقب طلغاغجضنضر وهظاهذلغمك مزطظرملدلق عضثثغزطززص 
جاوكشتهلطر سحففكفوشكث ببظثبطقحاظ احصقوايسدج رسامظصيبكذ عذيحشصدقضل ييقمتظويتث حيمكنطسطهق ذصثفزددعكب ثضثذكربضفذ 
زقرقدظخمحط فوليزطثلعح وحمبغدظدهق جحعطصخكسنق زجسشقخطنمت ثهفعرفثموت مقحذبتطتثن شتثلبهخربك بيجزصواخنخ لاملمسبصكي 
عمحوييزعخا شزغوطملمفي ظزصفصحثزضج تغرظننخصشب هقثثشطبنيذ ذلفضناذفسخ طشتضعطوقهم ثضذحعضهبشج سخجهرذسجثغ ظجيكمبصشلق 
