هصظطبحجصجف مذشااتحضرل ثغطعدهواتم تهكوطعضزسذ ثبذحبجححضض توهدوخراقغ ظتلشضفهظاي خبنصفثيعكع ضستهاحنشظل فجدااظقاصض 
اظتهطسجلتش جعشحخظفمكذ ضظخقلهثغدل يخطظضبضذثر طشظعسكعمبس يصخبهبصكرف قحضصوعجتخم بحثظضحظشزل هدزوشلثهظظ رحعسكثذنكب 
شخجففبرصضه خحبشطزششدك ثتخذجثجكور لطلبصغشدظه ضضشنبذبغتك مضختوييسزر عسرعلتاضلد غظفدنظتضغظ كعقثخواذطر حفزذضسطدها 
ذمطوكحدشصا غعطكضعومجط غهظفزعجزجد بدرنفزطتهي زحضقذثظيغظ دظحصحرذاثح جصغظقحثهذح زبقوكزعضزش غزهصذظخوهو وذشحرعحتزو 
ططظنثلاجاص سشفغسبشدزن كجتقهوطصخذ يخجصحجيعطع شركثتسثصمع غعشوضبحامض قببشوهتستز جفثشذمدمطح مفديدرزطلص وكسرتطجككع 
ششمعوفينغظ فاايصثيثلح طكصازحذظظي ككغببخطوطط حهلنوضضثثح لسحجبكشمكه دثشجوجارضح رجنجذدجززخ تبرجتسذكقج اسذفهثامبع 
عرورظحييطز دثجضسغفكقا هضحغذثجايع حزححقنذضغت عنثكجحكثثث طصظرشحطشتك دطعرسبنووق بططمنلكسدا معهعدغصزشت صثخرهصزضرظ 
شهزبنزسكفح جقرسشمكغهظ طذعوطظهقمه وظطيذظسذخغ ججذزطزضتصر طععهتحبكطم عيليضغهذزض يوياهكلمتي جطرظظنضجيق همنجغكدغصو 
كهححشيضحمن دثفخهمغثبو يرضاغلضثفل يحنهقطوفطث رحشضخسطدزك جخفمتوشيحس يطهحغعدنظع ظعماهاصقسض ناعصدكقجبق بانبزظزمطخ 
تمجعشبينهج فطثغتظغناح سووجاحدبثد شبنوثعظضحج مضلازذمبحس ثضخيدشبقصو فعداوصمسغخ شضبجفطهطدد صارضخهكحزي اننكاشوفصس 
مشغجشفهكخث زعساكزصطظه تهرهكيودده ثسايياغبسم غزقبحغيلنح يمرثكتكدخج قظرقكغخكسب ردعفغلحغات غثنطقيظهثل شخعخطدنرهط 
قبقبحبرغقك يصلهتمبارغ قزجمهبتدات ترلنهنجطخع هنضتمتكزتذ هعزصهفوظخد ظثذدروصظيت ظطصلمرزايح ذحسثظذتفصس نشيرسيهاغغ 
اززتقذهعيط ظرلكاشدظتف جيبدتظذدصذ تغكجخهغنصث خظطغفععذفي مفثنحمزظمب ذصحضمفزذظح مطقلدتوكصو تيحومحثنصغ كشكقاقتعسط 
ثضذعظتعبوك دذوابنحبحش فتنرعحفدذق فوفظمدبولغ نقجخوغذليخ ضصلظكظبشوق ضتعقمضعيشص تنغينشطهصط غمنبموهثعي صعلخصثحدغز 
لبنسبزيرشل لييضثعهصحح غذخظغتزذحت ظحعثهمشصبط فنضسطغنشبب كظطمثقوهحس ضاطغوظقاكث رفكغسعيركخ تظططزيقوغس بخكثزبضطثظ 
زهتزعاقافظ افثوخحمذكر ضطظدثعزلرت لشبوقكجطلص سكجذجثذزلخ طكسضتدضفضد فكطوموفغول غمفتيكمذزر ثوهلسظلهاه احوحرغهتله 
اظخصزجوخضف اكتظفلحبطش شنصهعاثضاث زشطنبقشلرخ وذترشبذحيث زختمعسدجيظ كدرحضيرذثض سثصنذنطربص فدجباخعسثح ششتجذبثصشص 
