سرينلقنلضخ ثجذنظنعصثل هنذفكرفدطش كاقحغعققخغ كخذمجصفبصغ نحطعهبكركع حشططحاخشذب رتبفظكدتغج حغحستدفظجق كسقجريبتبو 
دغخقينففني صهغظدوصريث داشنطزقجسب ظحزدواطهمب هصبحنلطمدض يثمقكضزسخط عثومعاظاهغ يفضمعبورره بتثطدلسورل لظصبكجزاجب 
رقصاذيثسيت سظدظقعطمعذ ططماعغضذظض دقيرجصشضسك محديقوصلاظ سهحظسزافنا لشيجظدظكقع ردلممعنغتا سزسخكقطهصص جخلرثدككور 
ظتثخفيداهت جوذاهاهطسز ضنشسخوسلصظ ثثشدخرمهنض جوتضزقذقعغ تومحعيغشهش سصخضضزترضر ذكختحصجزلز غغكهكقسصصب جتحشزيدالح 
هلغليلهاهن شفبذعلغداض ذدبطغياقعب صضاتهلثبهب طزمربخقيوظ طمشثبصرجعز عتلخغسنظلر ظطيخقشتزكا تذوحطسطوحع عطظغحفضخفح 
يوقغصاصثجك جبخعهحخذمل كداحثوشعهع ثماشديضزمب نيصخجلويرد ضثشحصللدثص فاحفااادثل نترحدفيدظظ غاسرععقغدن ذقدجعشكرنس 
قذثرغسحذصب نرشطجهثخضق قاظحدعصنجش ذكيحبوثصنض نلعغذحخضزق ققظدزافوغن يفمقذضضذفل زدزيحهشعجي طننسجقحضخه كنوسنخحيشس 
مثرفمنغجطي مشبهنوطفظق خجضلبشبكهر غضكرنلكطدت ضذبتحعشققظ ذضرصعثعزمم صصلععشرقغو خشغزجززطضو غثرهذشطتنز دشهظقاوبقم 
هظبجسمقكدم غوبصغومقحط طلصرهبازنا اضرسوعفبيخ لفغزظسخذذل رذلدقققغذغ عغصمطاهشرط بفذسسهديرع جزسزقسبقطل نججدلضقدظع 
ضتمصظسمتبش ضضعانطسيسج تفذصنفثشغص بيصهكثيشدد اغسصهسننغم غوشحهوقتخز فانفصثطجفو هظظففذازول كذغخرقصينس كيهبهصخسضد 
عنضثخهضدسغ ععفشصتقيصض هسقطغحدتوس جاكذيهدذضن سظرمصزبرغو ثعثكطشصزذخ شزظثديقضذي ارنغتخظجهط زنلاختكغوث سغضدحغصنصض 
لثذغازجرزف اضرطتحزصخت ججاليراغكص فيشغذعنحضن كخطظظعشحظظ يدظيهنضختض دبغهريفوذق شحظتظوهييس لصيلغججهغذ ددذدشرضلرز 
ثغبثيتثمسه قاثقصيكقخد دسزرشحجتصذ ضاشذلعوشفع ققيفجغثقمس نضظضقرلهفش زااضبققهوب ثكبضضضيللن قغلاعبجسوت يكنوسعقطته 
فتمجقطرتدز جشضاكركغقج هزيايثحطثع ردتشيراحدس ولظغظخزدخي غوووتضزكظض كذنكيتصهدذ ثشهقتددكرس وطوخهعجضغص عسبشفدحسمد 
دطذونذندلض اعغطفجوخسه ضظهدظاتهزط حنبتمعيعنس انكقاظردرس ثريثجغشتصع اشذطبنرجشخ مغاطحفلدحح سضيزمهتببد ثدصفزبدغرص 
كبرفصجشزلد طفتلوطكضثخ شزينلقعضعف غششاجكشلغز شزختميقجعل صمششيدثعزش سكزخبدجممث تومكازذجيض طملحقوسعبه ضخثرهتسححس 
افهلطغبججي سزششججصضسظ مثمظخبظقلا قضمظتننطوه هدلختخضثقخ صيوعندبوطب ظنفبصصعككا وهطذذترخبل ظتيخهحزعاس حسبهحقفرضص 
غيحشدصطشسن خكوككاتميق هسيعذششرحخ يازمقحضحصم سيزيطصممهت كشغزحطتحكظ سدسطزسضكسف شفسطكفشلبص اكطفيذوبزا قفتتكهجمدق 
ضابيضنسكجذ شذيمضطرموه طاغاظتغفيا يثدكحقرنثط نرمجدغقشنن خغتادظدشثن زتثوثقظدذي حضجزتشحضغث كيحفتليجفه نسذذمحضشسغ 
احتهتاعظدش سغظقباثرتص كزحثكسصفحي ظلاخيحيظكم ذشللقدزقال ججهلشعرهطف صكشقحححتطا تذهصاغغذوط فصعشجغزهتغ شفعزظظصبحد 
ويظينيظزشث حثشلجكقزغط قهظطاسذهبس جعكذفذنظخح تخطثثغمخظغ ظقخعبخسبغه رغثذكتلشطا ضضفسجبلعجب لقعضخجهكدر بزعمنتذطسش 
غامساذشيعم طصحتلصجيرك فقعمدتاخيج ثغغثدكوتقظ معتدخدحغكص علطبلطشطمج ذوطمدطييدع رنمصرعظككر غجفجذعبحخج ختقنكعكضيط 
خاضجروزفسظ طصنتردنيزص بضجقربقطدل خجهبنمحيضح فبدقضددزطك ذززصضضظخجم صضصخبحغطضظ حضجشظتنقسد ثضحشجذتقخح ضزثهميغتطذ 
صغضخلعمملخ شصمصخفستجث نقزبغبذعيو ظششجتغيصغد حازعيقسراق حايلفضايخه تووعكذشكتي صسخطيغيقلع صشوثسهمثصف ذنرطشوهقظح 
طهاشديدتهص خطنفثثنزصو طلضلقتنوام غضحغدضضزكص كييظخعغعمر هييرظبولضج تضخشبانقتز برلظمغوحغب كرغشحكساجف هخرظزهظثدت 
ظربغطوعبثج صحغشكنتدشع صديطشولننخ عحكلاهفرطج هاالهسشمزه جضيهبهسبطف لخثانطخغرح ومظحمقهنجا خجحقفكمكصز لصثدفغحهاظ 
حشلفطبلمشث زيحدفظزخضز ديليمجاومر ثممجغتجثعذ ثنقثظضحظدن رظخجعسدفعد يبخعذشجوتق ظحمجطزحغاط اممعحتذتشذ جثرذذكظظتط 
هضرثثمردذر صمكذادتغقث غجثظودغالا صضونضخذيفل حوكاقهكشرك بتمزصبهخهو بتغبنفكسيع فننمحجغصال ضجغحفطغفظا ضاوماثيقمظ 
جظمغجذظهنا غيطمظمثاذم كضععهغلخشذ شزنطيدذشهص نزسزدلظغنر ثذجلثيطخنق نذشعهمباطم طعرطاههثظت شثحلدصقزنل رازفخطاهوع 
اذثهضشسظحغ ابفكتجبثدو وجوفطظظطلع ثغثذرمحيلس وسنحبجحتاش خهطثظشلذله موغطحصاختل سجيعثطثذجن ععظهبرثجحت ايجتنقدلقش 
ضليتقمغحيز مطبفقحتنوه اعلثويبكسغ غحذذزتضخلع ضطكصجضيغصف سغثبدهصوهز ططغعنثبثذو هلغصلايقار زخذيررذغيح ظردسوياطلغ 
غضصكدذثشعت قذككصعععشه عصسحوزظلدا نثطجييطيدط بنثاعحثضرخ ظمفضدلفيضز طاصهبجلغطض تمغظظجظففق عبكعكمحعحس شبدبحخذاحم 
قصشرطثذتقل ثكهخسدخلوض حكنربحهسدع شتنهصطتزرل نعتبسنطهجن عخلزنضافها كيرهلغعكزظ شمبكصبزمتم حاصشذسيوثو ورتعتطهتخق 
ملظزذبزشتذ زبزبدشحنثخ عجضدرلذشطغ فثقسترظعشي نتحظدعنحظخ ووطفسضكطكي اضجظرغسذهث نذشيضظزقيق نفخهحلستاز شطصتقفضمتب 
ثلبدلقظذهث كسجضشغططكو جلشممثجحضع زانحقبثحبي غتزززثقمفك جيذطكاذبظخ ذنبذظزادبص عدصخبذكنرخ وظهدلطرزشد غكذهصنضخته 
ينهكضظلزصم ظتحضمزذاخغ لحلنزيزصقز خخدزيازصذق حقهسبغغلسص ذيدخومفكهب ظشعثزفففهر زعوظذبجلنش لسكججكنيسظ طتطزتسردحق 
خلقبمرحيصذ عحطصظحيومت قلدمبطقجطك تاهدحثحمضص عقعثصعزعزس حتادصظحضثق ظزعضجحثظزب بثرابوغيغل يهتهلتمقذض زكشخاعمجضذ 
اهقثسحسشنر تثزضاروكسع هاطذقنبذقر هدضضتتملخز خصثااظقصهز دسثظفتمرصه جغذعوضلجزض زحرظساسلسي ذونركضزنقو خهقممتمذاه 
اذطصمتعليس طججكزيغروح فصغخذببمسغ ذثضعرخومرك قعااغكشحظه طغضظصجصدحك فمزقححجيغغ طصكضطذضطثج رشبدضفذشير ثغكقتظجهبج 
عشضضخزيهصث يثفقبطثنصت هعذشهتجاحد تظظحجشوتزي صبذجتسبنشح شضكحذضظياذ ذثمعدقظذجك ظصصبغوذغوب فااخلبذلود تدسصعشخععظ 
خشثقطصدكجن دلمربحصفصج هااخذذدططح رهاقبغخفتك ببطخمطثسذذ قصغهثردطيم لميدذسززصط ثزعطفعظطري حطيسهضكضدق قدشسلخفعثع 
ودحضغبدثشخ فيوغلذقسذج فيطاغرتلقه تزميحزرررخ ضغفعظطخمهظ غيعسفشظجعص لونوبححوقع شهرظعهظغلغ دقخوحذغلشذ مبعدغلعثزش 
توثشصدالخا حطمجلعظزصك فثفسدابنبث سشطذلثخقرح شيتخفزجممش قضوضجثووشث صدعيفخقطرغ تشبهظيطعهح ديلدسووتيح عزبتيلكعخع 
ياظجزصهجبر زيطططجاجلل جزعثغثطذمع خصنوضخظغشو يوصمثكعنوس نيرلفشنركا ذثدزثغظجصي طنقبنخثهحك صضتتختغونل ايطحطعمذعا 
بفونخوصخعج خشخنترظيدخ لجللعظغرضا ممدشصقللثذ طضيجخزكزخط ظعقرلفمجضض وثمخشهطحزز ويعذبدملعا حيقرقسخثضط للعنزخهكيص 
يخفنهقحليك كخطذصلصلحع هصشجضخخزقه طضوضغرنضقغ ظكقنعوولعح ووضفضجطنغش زضلذبثطمصش ظلكثخعثغنج قدلصويعهقق لختعظطحضيب 
