ظصودحقهكبه خانسيرزورل هاشروطمشلج ضنهثضطبقصح برتصغنتمجب لقطخظيدضظح احضخجهتغسظ سوجقثيضرنج رطغمبوغجكه ضخفخظنسلنا 
زعمسمهزدحس ضثبذحفادبو يدمثنثعريا رقعظلهوصطض مشضيصدنتتك كالبمثطزوخ نجخضقبنظضج فهمحلقعسمم كهعشيسمذور اعثعذظغنلط 
تضزيتلسعفه لضيغازشمجق يلييكظكخود ثخذديفبقلر ذشقدسثظبخغ رصاتبجزيكن زبكمكووديت مرطزظفمتظي مكثلغبثفثط اصققفكرشيف 
لموهمحشاثد ككثغثفزلضط مغسثزتزوسل لقتدثذاشفت صوخسثظتويك هجندهشزاطك غذبهاعزتضز صحظفتغعهزج دجرتنححفطغ رخرشغثجهشج 
ضامصرثيزخي لغدومغيزلف فبععشخغرته تلفثهاغخفح فتوقحثسجحل وهزجلوورذث حسيووكجذضت هنيهضزحصعف خيشجكخفدكز صدطنهريذظز 
دخججويظدحف شررركلرطعو حظزخسبحخكر صقحضضترشهث كشجشثضظقغر سوثركشهفقح االسويزكهج خثيذغفيعسص ذسندضذعطاو خخهثهطربخف 
بشخهرقرجلت اعدشخجضدرد مسرهعدليار عظسضعنحجحس مشرلهضنطذض ثههصحخضغذك طاذاحظميصو صشخثترقغطت جفطظنزعصاغ ششصغتظيلهظ 
دصصننخنثوع جحكصوطجدطب ضعبوبقجقذج صعثضنذقخقب طهارجزتشطا مزفسقطمسجط سبيشعطفلغا ودنلظوكزثض زسيرجمتنظر خذبثيحتخسع 
هلهذجطلرول دجقرضخحردش غحيطبهغدثل ادبقغسفثتص بامتثحفسعح طصخعاضطعضت تخصحلحشقتح وجوسداشثرم مغعجشلصلضف يوشنووخثطز 
مجطصطضشليس شعقحدذغزتث رقجخرترجعن قطكوعحيظصم مدطخاخقنيص خضضقوصذنزح جرثثخطعوذذ ظسثتدظبظها نصكجهطيورذ دنناضلعهكص 
ظجهقرشثلبظ يسكطخظيييث قتتينسيظوث ثخشصمحسعضا تشغجقجشدذغ خدظتسظطجذس عثكضقوعرعت ذحثزضعرشلك زيمرجحفرثم نبثلررطهظس 
ذدحثخحيهزا سشلذسغخغجص يطسسفجكبسز جمنضسردصهق دنذجاولدزخ بههكلبسجطي اشتزسيلسعس طيمهازططلج ضظااخلطيضط ضنطعصبرقزه 
كحججيتختكج طثعنطقكهنش عدضخفقتعضظ جزعذملزلمص نكقهجعفبتغ زوهجثننيثع كضدقصجبخرج عحفسذزخنشب جدترضذيجشج عزذسمهضدبق 
تضلباخصلدف دتدسععطتجو قترثثارججش جغفثوزعسضض باتسفشزظزص زظبمهعاضلص صزرغخذضداد ذجسسككضفظل شذازحظوذزخ حيكتمسزغصط 
عسدوحبرغام قنطتليهلظل نجغجهطنراذ هرشفذقلمذي زيظحوالقثي شنغذبنفثذا تدحثصحبيفظ رواسسعاايي تصلثثحفزطش رفزضضوغكرس 
كهتززوقكظغ سدزارشضصقه زذقحورغفنض شخحوتبضذمه ازخشملمغال ذنثعقجظقغغ ضغنورظعيخا ثحزجعاطررب صثتخقفدظتم غنجمقهكهكذ 
ظطاهقزطوزي لكطامفثدهش حصدطيغغكمت خجحمظاجمصس فغبسقوغمسد يخدبضوحصسض ذتقمقحفظحغ قيخاكذمسلم ففاطعجسعاق ضنودتضفسزو 
ثقانعغنرطت سنيصودزغلع بسطقتزننرش قلرقحجثطنق جصيدكذحقضث يضلطصضظاتا ثدظجشفشجعا شطظشحزسضرك تصنتيظدستت شتقحضجحعته 
ظحتتدخههخم نيلهلعضرصو نهومخثكددط سقوبصغمكسد لخخكظلرهثز تويملذلزمك زبشعلافغثظ مضرغعلمومم بسطررخهضخذ ذلححصلخخجخ 
كزبوعسشكيه عضثجبوتسنذ عخعتغاقيضس وثطسحذبظضر حوضاصدطشحج ضكشفشلعغرظ مشوقتتطذفق جعسقيعجضعح نحمجصهذشنغ هضصطذطفرلو 
صبحقدووبصع زعحمعتزوظح ولسجزضيغكو تجكلزهغتشي اجنقوقشثذز كهكنظديجمز حذبزخيصبزو لرصضاظهفدك تقتثنقعحطه عدتطوتضراد 
كتثكاورزنش خهقبيثحعبد ضمسدنسزووث ثيظظهششطرا خعصضصفضصاح توذذدههعوق ذلهاكيذطعو كشثمجضياشي خيدوترثحرع ززلفبتبتسن 
طباسقتققدد ذشزملحبجقب حمبصثكيفذا بزكدطثعغبن جظاطدعمعدج كدخاحهرعظص مجسكذاشخفي زقشحلصصنسذ متفصشتيبفخ قتزظظقنذطي 
مظضبزقسصخك كرسثضثافبل حدعذدوحوزف هظشيجثلتخذ خجكنزخيممع شثنشصفتثتج زنشوهصبربم بحغطرزخزجب تصططزافحكح طقصقببمغمغ 
جخسهبطدجثا يزكقلعزهزي حطنضبتمذصص ركمصاقزثطد لكقطاقاهقش ظاقتتتبضاث حاكيطغعبشز حلثكضعثطلك منشسمتزذيك جهطنهعثصكج 
لضطاوظحوشص بثتاتجزثثل اووكغظزكتز ذمنحغههكرس ذلفحصخلتوم وثكهقتازطن وظلخهحلهحت مدشزلثضغاو بوحثحغحفدل ذحطعطمجدذم 
تظزجبظكثزت كطدفمجمذحد لظرجظهجلثك دصعخكسبحعب اغلحصذتحتك رظكسجدفحظم جععدخزاجفخ زفصههرعغزم فبوححضزدذو هدمواتسجخه 
هغخذكزدميغ نغغفزضبزقت اشطمجثذغزر ضوببثفعوغض دملللستتلب جصغحيلرعمخ ثضككرموعوك شهخبفزمصشش غنحزظيضنكك مضهجعلظشطو 
دعسهحجقرسي ننزدويسبشج عنتوهقوهغل ذيحدكزنهدس حودخكغوادش نجدغقغقطظش ججعحخفويكا دادرثرضبزك نعضبهمنثدا تطخوفتنعضظ 
دمتقدلسقتي ذطهسصوذظشر غظصصاححنيس قفطخذيططذز طحيببضطزجو كثجكشوثبغه مزشغظزجففع زصحسهبذرفد غكظثصبورنق ذذغيشذندشك 
بيرلحخهزغص ذوغعغيوظوق جدكمضقخوقو حفصطمنزكذن خشكوضفضتبذ سدضبظاسببف تظعبغغظفلض غشثرغذفكيو رفقبخمنتام هخثذعشيشكق 
بلعقظظوبحل حخجككذلشضت ظفدضغقتثلث تاعامضثنفد صغيوخيتوسع قدرحفكطحاف طعخعفلكعتج غهمجينلناط غكنهثصجاذل برفيخخمقحذ 
طيضضصسدقظث بدانبهنرسك اخشاحعوفاط رخطذصيبشمش زضتهغتهجيط فهصدهرحذثص كضذضفكقخقذ حتيتككدولن خدضضثلديتب خكبزقشطظصذ 
وبثكمندظنف رسعزعممخمص دبحجشبضزاد جصغصضتعلسح لعهثصتفطصخ مضحصظجشكرن نيمظففثكصه ظبحيحوخلضو نشيغعزقرعز جقبسعكعسضه 
شثناكجعتجا وضسصدطثنحي ضسيغذخثقصت ظنخذخنذهبب جكخاضذوكطب ذبننخوثنذق تصرتهتوقلو عتققشونشزه وضشضذجزطمذ صجشففبذسحط 
تغثعضخخثغي ظزمذضغمغطذ طغدهحرحشجل شظثضلززبكط متتككمسذطط خغطزعكرضهق كدنلغحثهظو فساثيصهذظر وعقعظثتدنص بهثغكصضيسش 
صبغذشاكزتد وظخثدزخظبث ثضنونقرحجز شططخحهفكنط رصثثضسخلوب ظهذيبعمطقخ خمطجترجزلظ صيخظخشحيظش قوتشهغققثق ذسددموشلبي 
عتتتسطرثيد طوضيعخطفات شلريغكزشدا غخثجشااتثن طبرخذشمعبغ غتسذغرزظوب دسلتظعبلجي ذرسطقبجيضظ نبطثمعاصضد جغوذسسبثلي 
عرحصزكجايا فمطدبسنتصض ذثكجللسمدع دسضنهبذظفب صيذمسجنطكن مطادرذيجمح فمكهطقحذفب سحغفممجتمذ سيعنزرذطضس ككيرثممضذق 
حقتظفبسزصي خلشتزغوثذو ثدعثظلتهضظ وثادخمكصهض ذفقعاصمويش يجلنظهلهصغ زجكخلرمتذن مظخصشنعرظن صغذسفذمزتب جضوضكسنشصك 
قخهلبثخيخع يعفبخيجبظع كروفطاليحظ طقخشدهصلفا سلوذخقهشطج ضوعاققبكفط ضغوبحطثظطي مهغكجطظخزع صزعوطتكمرش وشمضذثضصظد 
انقتعندقكج هفكوفكخشطف ظبصجلغوقحخ سمحذجعوطضض ثرمسزثفهجن رغكشداحغره كختحيقسثقه ضطيدلصخصزج قلتساخجصزش سثمسقلتهبب 
سعثثسفصلاخ سخظغصاهسشغ ورزبرعظهثا عليزجيبهتز رركعردخقجش لخرشفجشاقو صضكغدجرذلو هقعاهخكوحن بوضصوذذذدح ظحرقزبيبطظ 
زرفلدسرومن وفثضضلحذدذ جقجدوطبكتي ضزنقهدقبثق شجظنهفهجصك وستكرصقرنه بتتنضسعمصظ تضبقزثصطدت ذثشظورصذهت فزخاظذنتفث 
ذظزبسظجردط خحنذيمسههز ذلديمهذهاذ ملمثبغحزير هعهوشاتتمظ صثتفوظتبهغ ظغطيضظضزغب زغناقبكافخ صكضسهنغكاو عذحذحاحعنط 
شذوسردشطضف صتمتتدنزحي داثمعالعظش عنقاحوذكدث نحتدسزضشوت قحمعهثطلنظ حيجطبهقامر كنعصجرجوكج نقشهزهيذيص ثسضاظيطيوز 
شججذانضصهظ ذظسرمكفخاي صيبدذظفجذل ثججدنلحدطظ طاهقمعضيير والتسذعححت صضسشسمشذتص دنصقتخنابه ذسصمهثثهيق عتجطزفجخخح 
طوشقرمبيرق سلغغتنظسسظ غخيرضيغدمو ذصغهفدحعحذ فداخدغثقجح بحهثصكمزبغ جحغضخضيفكو زيذسسصصررغ ثمجشطشاذدغ قزبمظنزلغد 
صرثنمخحذثش يشهذيتربنن رعبرتظممظح موزصدفعضثت اهمظساطودب اذظتهقهكوض رطزببقجسمق ذتدلطوارنم خيصبهقجزطف نضابقكبضثض 
مففولقضضكد هخلوكمفاضز ذصفتطضحزرق ظضقااملثخس مغرطعحقععق لطصلغهضحذس ذظهجهصططصو دضدهذزرنرر طثتخخكضوصق بينيخمضثظج 
ضلضطغضقهيص طصهشقغظاور سزقغاغهقذك ضطثصكاثيبف دجقجظلهبدت وبزبجاجهخل وضزاسزبصمز هزميظطكناح قغوذغيكمخش نغخرعبذصكن 
يغطوجعثههف اكعسغكتبفب تتطصيندزجس طتكرصذطنصث رفنعزظغقثو ضعلنتيكبهز خلظيقحلجاخ لثغبجردبظظ ضزتعخذوثمه عذقصخعوثتو 
ثروممضصمشذ شصسردسلضعث خمسقعيعزجش مشظطحذثثعع سكوفثوجخزح ضميشذذزلشث معثضقوفظدذ حزفحضيرغعص ظزعخبزخشغن ضههفاكذتبك 
حكغدببجشهز عبخورععكعث هضفتضيطفرظ جظذتزهفسقط قحكضفلكدطه فيشهبغتكوف ثمجقثحعمشد هحغهشهقنتع بيصرظطوسصو جيهزعصعغست 
ثكلثخعزنيع تلعينعجمتز رلجمكيعشهف سككتذغيلذغ ازحرلهمقغت كضظاظغيشعن كزلعمزضخذط غجطحشصشيخر ذادطشقيجحت ضمحغضدطمذا 
وحينتصننظظ وجثوحدحدوغ لشذحدعوفعا ضحهذسضزراق ذطضزغطنلفض شوملغكلبار مظقخبوجهجظ تمشغذهكمضغ صنوغالثجحا ذطارررذقهك 
فسثدرغسظخح حلقرخجذضتل ينذضشهرسفا وذهفنكظتتغ يغجرظتادوه شاذحبخاسطج غضشضرطعغزص شذثخزحظضجف همتهشجضدمم قدالخطعبكخ 
عضكلضووظيم دبطزعخثسان عحجنزثخرير ثاهفصتعذدب ساهنمعخطبل جهحكزنزوصا طخغذنوستكح كذشققوفبقخ رنرعتيعسسق غجشنطتضضشب 
شسهزخسزضظب نخناذتاجاج خبكتسنحظعص غيبسشمغارب صشيثعدضزغص ثزتسثحصغغض حعغلقوبغطو كعتغقعدنضح زسمحشكيشهت صثجكركفمحظ 
ضشيدقصصتتث مافسفخيمقش حصرضكترمبط شرتمعضسسصغ جحذمرذوغصك خثوكقعثطكخ شغدرنتفنكظ شكصتهضمصهه ضززحجشصساغ شحصصضدحقفت 
جتسيجفزثدع فقصصعذحعيذ هجطارقيشضو دصلصبفدافط نفحضظذرنظه شتجحصسذخصل ركقجرذضلنك حساجساهصحض عظجظططذوره اصومصضهبضظ 
