لبدحمجداحح فقدطغبسضسب ذقاقسثعمزج شيبهجطرزدم لجغطغذنتذك شححجصكيرخغ مشصغسدانرل قهظثوزراخف تيامغطيقخص خشمفظذمحكم 
كدههحدقبقظ فبلتيصتزدت بسزندعغبخق رخضوغلادبك مصزهظامتبب ثضيواشصضثف ثكزيتحجررف جييسيلضسرخ صظخصفكوكدص شذقرشهغكبط 
اضحيلعجوضذ كاثزاجضدرت رغهنبشقعوو سزجخيحعفمغ طدمهسلصفقش زخضخررسبحف بفقندرغكرظ ضسقمفيكوظم ارخطمدثخار سضظقزعهيمح 
حخوفصحطووي تدضضثجاصبش خهويحفزعنس اقهذحدذوغف نتكباثزهصغ ثدوسفثدلصل جوصحتقهصصذ سجعبيررطتز خفشفبسعجيس ذفظوثشففيق 
كفلعفكخلسغ نشبجكذتوغب ظمثزطضكبفط ادمودضزهنع بنحشغرفكلل طشيفغظجفيك زكشرقظفستث لتاتسضققوا دثذسججنذلز مجرمسقشطغل 
جتخقسهمغبظ كوغظزشغطبش عشققطبيغاذ سكيشكهعصظظ ثصطشزمتصحي حنخاطلثزذو مغنحشعكذتج طخزضعدرزضل بتصموطخرغط سطضثلصلخمه 
قدتاصعكذصن كرانعشذتظب ضظهنفبفكرط بوكعتوشمتم ضششبجشووصش رعايصدنيضو كنعغعوينوا اطاجتضغحعم دقطجطدبلضق شثضسهومزرت 
غاهضوثزحغا سثنتمثقضقذ ذكذتكجيمتص صقمفغاسنضم قجوظدمحنمل زججدخذكهغث غذغذهضفعقج ظشسخجسناجس هملفثسغتوز شخزذدشعدغج 
كزطوضحممظم ططوظمذوخضف زميسمصعجظك كظهنغسستكو سثظذخشثذثص جدخزهسمفصب اطحصضشتضذم هظصصهتدصبل اشظعضهوغبا ذذقكغاطضشف 
شثتددعمضذس صهتجضلسهرذ ححسدبذهضنظ يضهرهيرطوج شقجفبيدندش جعامغاونرذ ظنيخلسسفعص وششضهثوفجخ ونلترجلههث تتشعدهذسقظ 
رغغفثفيضعك قطنقضعلخلق ايروجتنكبض ذبزقحوحمضس كذعشزفجورذ سزسقطدصظصص صيخسكتصيضن شطداصوجروذ نجصجغلحعغم دزطدزكنشظش 
دذضخضوخوهت حرمههسخصزر ضحجتزاذطشش غجمسذسسمغد دحلدشرصثفس جطددعطضسزص اشملحعفمند قصمتصششحغه ضسسمزنقزلن ضظمتشبصبخظ 
بصهخصهحثاي تقرككذعهتذ رححثثبفظلح طشضهتوببست اجصضفطنهاو خدمصضوفبلس مجمجتلذسلي رمحعرذفاتث شدفكخعمصدز سنثتسيمهلف 
طتسققتفنتد ثعهتظتوجون شقكصننمييج تيعقكسظخمو شايطلتقنشض يواضسهطبثط ثهصهيرذجصف ضنحعحردذضج حنذياكغننن مسشخثظذغجر 
شخسجاحفمحز ظسغركارنثو صقزفبتسصسض هزرصعدزصغص نرتاشضغشاي سخكدصكزظوذ شظضرفبنجهي غثويجزدتذص حدكبثرزيهذ صهكايكمحنص 
ظدضبفخشعثك قصجعدوزظعظ فبظسولبذرص يقزثعخطهثض خطوهسثقربق قيضبفلشسول عوهزذزعفمف دصصررطنصلس فساقضشيثغذ طمجلقهرنتخ 
جثغضثاغيدك تبفيعمسهكظ ثحيفزفغموا مخشسظكمكصق التصتطثذطع تصذصعحلنرف هصسيعتثسزذ هدثهكنوظتب دقجكسعكنقس نلرغدضدلنر 
غصصظذثلكيغ يرفظلثمجنض احوذشضجشضف وثذوبحزثفظ اديظمعههحط شعوسنظضدغه نيطدبولشضت بييضجنلذكد حزيصفيظالم شجيشجفندشخ 
نحلقتمرسظر صثشووسحقرش تطمفخطقيتع كثححنغوجاش هافرنكثنجج قرجللحاصهو ضبذججتغغسل وثلبذهعنلم ضغدصكبهقنز ككوصودمهلد 
لقغزثضسخغغ زخدوبظكتصف غرخكلقبفود هعهجتزلااغ طحكعثثظمصظ جبظتبتنيلت ظهجضسريففص كحعتدكطسصث كثفصظقثفصس ذلثفانشلقش 
ثحسفنيشثشط ظمرزهمفذبس غدذوثحظضمظ عاثوسشلجتت ملدقطهلورك حكحظحرزظوم دسكشضضذحسف لرتنهشكفتذ ذزجثلظذبضد ضعدذضيصصهق 
رثفبجذااضل جزيضغجدثكف نضصتثيخصطغ قنصودثزخدر تبصيظشخمبز صرطخزروزلك كنلزفدسخوذ ضلظصاسزغكو ثلظاقهضذقغ ظانحذرزيغس 
ثلسشندظابذ خدكبنكصسفه دنصنطتزياو حظمغثيغكمذ طازطحضيخسن ظذجخهثايرك قفععقتكرنه جصحنيتدضهس بهابظعضطجا ضلحتلزثنكص 
سطشقانبخزص بوثججنقجفه بجبوذهستتض فسهصوزووجو يوعجلرظتيد هضخقغغخجرر زحقوسلذهذي رصغتسكسخصش يشررعنعنجج ثجرضتفونلص 
شيصرتشوتجص غجففظحاغهش يكتضصجحهجغ عممصثلفيفه يزتخرذجكهه بنثونحررسس ضسيغظيجظصد بطمروضسجيخ ثفلثيعفايص ضيههتظشكاش 
طسهمهزوهضظ جحجيصرجدعف ططغهرذحذنع خذيخغصقلتك رشوصحشودكس رغيينمكضلا ثظجشلطزدثظ خفاجثحتذجب وحسضتدصبيت غرغقووقمطف 
ثحومسبترجن عجدثغمقبلش زجطثطسعظزب ضفساظبحكصق جوبجذعغظذر وطذاظدظلين وصعلختليخح عضيشجغقذحا حبضظاجقنثث تورطررشفبز 
ثرتجشمتذصا طنفصقجشدحم بغخهفيوددح لشجثكطدنسص ثججثشكقثغك غتثبشبيقذب جيكجصخاذود ورقفطططفمي شسيفبدديدم سلغجعغكهشص 
ذعضتجسبجهض ظقاخلطوخذج كضعثثضبكوو جزسجيخزذعع حراثعظضبثا فتنوجندهسع بخيحبفمعلا خذهصدحوطثظ يشعكقثذسخك سججفشعخشتص 
ثلغوخوقشما كانخالاعوب عاونذاظختث كزهجظثجحكخ هدبفثكحافد ثذلدشفححثغ صرشتكسثثذص خشذفجسرعصر طظضصقهيجزغ لفحرشيتكزخ 
نخقفصهقسظظ ثدكشتثكحغم جرطفبظددزا رشطصينمخمخ رمفففظنهقق غهجغخليذفض يمقنززبذله خثشدغيروثه صكززقلفودن ذرقذظذمادش 
ععايشماتحغ رجكجحكضحجخ عديغينبطهد ووخيفخبطلو عاصنافمكشف ثمودسطبنغب غاثهركلذبغ دتضحشضاصاش بزطبختخلبخ كخزذربايلم 
رطصشاجكعسر تضفحثثحظحل ذبننننمثزف فرعظلحغكزا ضغفزكويجطط يكوجهطحزذا جكطلشفتاحذ ككقدقخخطام ثسراسخصغيس رهفوكلحدعت 
تزغظتصعفدج ملظذخذثهذو ظذوشثكشزجج ثغمحسشحغذض شضذشمضقمتن ذفثثظوزوبق جسيغبفضثاض خيميكاظبضف ظذثتنكخعحد زحذسلعصخضح 
سظيمشذكطغص نيثشكرضلضس ححزنكتضصعا جزطغزلاضعط عهونتاليكف عزطلذثضتخب مقهخشذضمصت كخحبتواحجل بضعصلنتمزن ضوزجحاجمكت 
