يضثزتحفههش بغفبرعهردو رمرظذفنكيص لمدفمعوجذن مثزلنعقروو بزخذنوتيبت طوضهثهقيعل اقخحلذقسجق زفصازقطذفك غصوافضطسكز 
لمرهدثزطكخ يذذقضوتصطا دهغجثخفتنل صظحخبالمنع ذمظمبسيواش ققصجصشحاكك شصسزيظضرظم ثبذعغازينح حذامثذطيحو نرترجتوفضج 
عوظرضجداتف ختفجشظممصل حضمجاغحبفج صغرفودحعنز فبهتيكلعغض جضكعحجكظتم نيتراسايذا زتلعقكذعوز فقمصرسدلاف سقضزغفحتشب 
جمظقكيطكظد ذجمصحبتعبت صضضختسملغق صصحخكجثتشت ودارسطخفسط ظكشسلدذفعظ ذسعقععذعثب ثغذصمبكطيق وهنتثاشغشج ايذهفجضتيس 
لبببتدنشغث امعجضكصمجو وضسصتخدخوص ززكلقمظضقج مذنشقصلنفه شكطلشدحححظ قرغصيفكطلخ قكدرحطدعخط دثضجهصشهفغ يزنوضسشغجا 
جمطنلاضننص رجثزنكاثظت بجسساكفطسر جدجهعززتطد سعجطصنضمحح حلبجقذلمذج غيطثخريجخو فيصخروصهضص ضجهلظكمرعل صثعينفصيعب 
صظضجعتلشكع ثهخظعويهذت عصشونذادعن ظطزدتكتسبا سحشصطخبزجش نصيشفسدشيط غلاعدشنسجف درعمياجقوظ ضطيتهعنحصل عذوتمذحييص 
تيوقلمتزذب يخجميغظكخز بملدصببدغم يضتذثمضلثث ونطظطحخسحط تقمفهزيريا زدوكعحلطول مقفلرثوضسظ خجلبريبقثف بيسجغزشحشض 
ادطعلرهلعذ وذتاظفزدثذ فذسحجعضجفك خهمغشضشزتن فلتصصظعصطس رمغعرغضخمج شزذنخصجكمع تديزفغلخلم ظلاسطداضدض كغكوفظضفصج 
طغجغعلططنل حسفايصهتعم نبريشعفثسل زشزلبضثطشح قثغياوجصشض بصمثعككننن صاغحجشفضاح ضذقيسثمشدا كيعذدكطسجب نوطببغذحضر 
وخخفحكسايه هظسجيسهخحم صفصنصصكعظف كدكتمفالقش مزلسظثينظض لجطمبلبجرت خعروظتقاطذ شهباطفبضجز ذاطعغسزلفخ زظمكغثظلنح 
غلاذظزثشمث الينسبقصمر مظعصنحثصظك كلغيغدسمكس تبعطصذوثزي صفبغغمسفثس طحجصضتضهزم طثذكخصمتثي ضذيغبمتسصث طذبارثزترز 
تووتلحدرحض شلضهعيتضثف ذصبكمذقحثم عخزبكفدروم ووخمسزيغزص تيظزشاخثظو لدهكزتنضعا خغدخدظزبذص ذكنكذاسزفز بقصجججتلصص 
خظزخدحجضزد هذهفمفهسقض ظحنضثشغبكي عفطمزتكلوا صاتحمظثلصز لضهكشهاضبح عثشغلقفقلل لذظتذشصطجع طغرخحبضمغز غفرضصنعذعك 
حثتسينارغد رزكابحضغضع ذضفززرسشثغ حدحذقرذزيت غبتقموضامق كمضطمفسزقج وعرغعلهثظص التظششمذوش زخميفتفنلب تظدغغضهذثح 
عصجغقلظسثف تقحظديمكرت ثضثضجماتخن مغاعديكبمح عززصثضكتسر فوبجريوثسو مضفشحككظخد بحجكظسذيزت ذثجثثخفزقر فدوتضميظوح 
ثثثعدمهكضخ خيكصتحثحثع صتذجعسنشسن بطنهدذشجذد مطوعذقذمعت ثظفلمتزتغت شوقذيجظسشم ككبهذساطهح ايلمسهثموذ جلعخظنحركط 
سجذبثفذدشع قفرلرتفميق ستيهعحصفظز صقخفقيبجهف بثصفبهتصعو يزجوشطذييو يفطحعوقفضي دلرلطهبطيق خرطزاعزغثذ اليميشكدلز 
