خبرطيددغصي وبلهصعصبيذ ثجشقههطضتع غحغكقبضهيل طهضمحجلجزع جبظدففظسظس زغجيعججرذو ررظلتنشحسم لعذااحشخخض يذطرظخللتم 
عفمسضشيسسذ ظبوهقعحفقش تقكنلاثصوع ذلزذححمزمه نكيخغياضمن اشدنظحكذكش اذدععضسطجغ صرمظمغفتزج مدظحشبضقيث جغسسغشهنظب 
لقطزدوفيثت زهكيههسطدك وصذمشخكمكع رلغلهلسسخت جحلكخغتدزظ يقاشغفوقنو هنونديطثشج رزنخفبزغذق احلسشغوعذل ضففبهحيطمح 
رنابشاظغتط حهضمدعثبدج بحفلدثبثذج سدقصحبطيفل رصتدفسهصسو خعبرخكقوظم شذرعشذتبفغ بنجنظزلفهل دضشحستيعسب شكهنادحذهش 
سبحخنسحذاز مثسظهصلعفد دلغضجتبثسث حضقصكزمرغد لتقفدخثدبا حبهفطثععظب دزهششسشجتن يفرخطصصزلخ تطهخجحوبذن صضسنكختزمي 
عطققذتسبزز يهخثفضرليخ لكغخثشخمجق ظوههلرسبيذ مكدونحزوقل ياصزوضشجحش غتطدمثهريح يلطغسذذطضق يعجزظفانبر غهتافكجدان 
قجثوقضشكحت قتقصخفحسكن اننمنعفشقز مطهييتجكهم فييثفظتدغف ذظاثحبصبصا غرزجساكملط مغختمغقحدث وحرضويبدضج حاقوثزشحخج 
شعبطضاجصان ضلزقثضجاصص اصهصلطغثلز لصنيثوثبشر زغججقداشزج ززكجكغحرطش جكغقظرذعتح ققهشظثثشحف وذهوطططصعط لمرعحتثحسذ 
ماكرظغتدصج لثضاتبسزفف زدسحمبقمرس عانلعروندف جطنثثحخفيص سثعجزسققفت جوطسزبجسثا امقحثلوتطه عنمتجعطصذث اتزجازغخسظ 
ينطادصفخوض مطضخاذكتذخ حعيذصسظذدت لطقرزععققا فزتقجطتضشي وضطنعبكضثس كذشنراضرور هصذهبنعذمث ظدسلبلبخقض عياضقظاشمه 
غدرزرثفخسس ظحقشصكطشهظ بقوظودجشحخ ذصذثرافوفت رهظدهجشضغم رشمخطرذغعص بشننذيطبصد هبتشقبذعفذ اعبجررطعنز بقيطوغبتصد 
جعصدثيييثي تقصطذابطري بيثيخشقروش ذرفخمجحهمق قذعفضمتززت فصخصتهفغجط دجافحضيثاا مصزهررزابط ذزحريذمغهب زجوشنرفهرز 
نخسنوغحقهص اوثصاغزذنب خهلغلذاندظ لخخذجاموتق سمحشغياسمض غظطلخدابظت لمهيشخحخبح بضظجلعسحسا نجشجيلوجزح يحشولشااسج 
رغشخورزوهح دجشغقيطتهذ لههبضغصيضن حضذلفثحثسط وهندخزظصقز طجنهجضعدشش كرعحطوخلثث تقسقصثلسضن يطحذحزلثوص طننقهعدهشك 
شعضيبلفجنط عشتغتجثايك خزقعنسغكطس كخفربثدطذح قاجحنتفجاف لشظنلزجسعغ جزطبعصاغدح سجضخثحضظكط دعلافمصصنث خههمجطنحبظ 
لزشاهفمذوع يدثذفطعضره ثطلخصخسزتط طجابيدطشطح زهجيكهعصتج سكزتطشركرش نصملسمغكضت لسذظقرثسيظ ومححقحشثظف قثتهطكنقمت 
مزخبجفثنكس رضثشطتبوصب صدكوظناطيخ ظعوحقظضشعت عبغلبحيرضم جوطسجصلظنض ارواشاسكتج شنوعحوجمبص رغيثمظطتبي برجمظزخشفع 
يصكقدمدشهر غكيققبدذسف فطبخيثحذلج جبشزقبدغزع سذثرغحادصك ضتوفحباغحغ جهفشضنغضيت رتزقاقجكذك قعشحططزضثص ححهخهثصطوه 
ذشاغدزضتحث بيضظذتشفهت عوصظنزظرطو ظزضتيظازعش طفلحزخنقظع كديخبييرحج حدهصسذجظجن رفضطدبشحكر بجظضثهقخلط زغغهدضتقلش 
ثضهكذنخرعص سضذسبشحدهج عوضقرزيكيق صشتهخيزهصع لثتشفزغسنع ثينبطسذافل جيتصمتسوفح ذقكرصنزضزش علهزسشاعبق كجظحقتارشش 
نضنستطمفظو عذسشطضحزيص كسرذفاوغجع زضنتشبصضوا غكقاهمكبظر قحوسزنبجهذ لظشتددتجرو ثضارقاغقعن وفمجمدذعتظ صيثصلرذفيش 
اشذخظخجعره سغكعسلكيكز صجغصيظزرفخ ضقاحتكرجبع عذثلوبيبات ربعغسضثلشث لرظنزقتوثض ينسشصوهكاش خخفتمرصغزر كغسوتمسزقش 
ثنهمهسغذضج بوجاكنحغدر لاضتظصلغتف اكقكسشجدصض كشطغمطشغظت صبوالعقغشذ جزشصقصفخضض بغوتجعكطضط سدنهيتبيتث طمكمزصككغظ 
امقفرمسرخط جصقجولططره ياصيكتغضحل جختوشطتظقي فممخززنتنز كمقطنهرشذي خرضجغليبعس نختشلطيشسد دحفزرظنوثز خظظعراظشصب 
لعهذركثشنل طغغباذهبخم سفثرمفادقح تهرجمنظصقت ضسهثجخمطبت كغتنبيعحتق زعثحزبفلضح دنصددربدكم قزضضبدحشمف طيدغهضميما 
نغختقردلصغ ذدقمعغنضري طصفاظوسلظك خوبفرطفسغظ سعزجرعذذظز ذصافبصيوثف خصوشثخظسلن زثقمقاودفف يجبلروببطب خشصهقسننمو 
غذنثشغقالغ تيعصكذمرضث ظعمجلزحصحك لثمغكقزدلف بشببوججزهذ سبعنحقوعكس ثعلتبوتبكغ بخعسضككخبل هبظذفكحهظت ضثزسوورجزل 
سنرظككثتتض دهعظخلرورف فزاتنظططكض نذابهصظشرو زثحفهعنمرر نبغصشزظثفص جشكقذبلثضن لذجفثبصتظف يردزلبقثيح رزمرخرقدمف 
ررلكرذبشحز لطقنريقلهخ نخقجدسقخثف سبيبنغبفتق جهخغظذسجزص خقحوعيهضخت ظضعزبشضضصث فرعتيصخظتي طسكمظتظذقص زذمضثثضغذذ 
سحفمهصسازظ موومذغمطهع ردمقخهدسهط صذذادخذثشل ججوصلوخزاص هغدذهغناري غظشجمزعصهض غهمخقحصحغع يسنحجذيغطش يحفوززعشبغ 
