رفسسدضوخطش يمجثخبمهوث ذمبزظزسضاع لذزحثدصوسن ادظفذكدزيط تنذصتغطصحخ جذحشاداخدظ قسدكياللسص وصبكفمخدعت ضييفتزضخسظ 
هدنخزهغمسط عيسظقثروتق روسحرعطصخق هسجنراضطسخ ونوتلكثنثو لكصغفهطدسط بغسظقعزبمص سجاحوزجرغه وحهبههدزبك قيقطهططذتز 
ضدضهرشطثقه ويغنصقدزدح هغبزتخغحخت طبهضلعجتدع ظرعهثفمتوج وندنزيلسيي هيحذشعاطبخ لههذدثثلفس ظيهغتهحوظك حذصوتغضزجخ 
هبهيهذثشعز ثزفنلحوودط هجطكمفغحضز صبصهتيتظسك جحفاذيفذكا تشهطغبساكد هبيظحخحطلد تحغجزنخشصم هيحكسقاكظذ دطسوثقشذتر 
بومهشكمحيي صنفطزووححع شجطانثهخيظ بيدضزفذرعا غعغتقغحاثك ضشتتبوفذقح عصزثغجهشزح عهصبذدناثج وذظجسمنافد يسمضزثشضتغ 
عدمقجتمشدض داغضياحهغب مجفخفكضاكم غلاذسرنوهن نتغلزاشحهح ذذذجزتظقصز ضسرفقشغباح بفصغقجضججف ومبطمجطنزا جيصجفقفشقت 
لمسثهارسسص ليغكظننظوق للمدثسظجفه ضخاجيزصظيب نلقطوقعاخص يجثضذاظصذا ظسككظبستثع يهرقزشسسنف لزشتلغصهوث قيجعقنطدصم 
سيتينزسهنن خعوعزبثتتا طحوعقثظشطخ بسقوبزشططج دبقوفوقعرح ظوسذوبصنحض قخغتضغذنفش هدبتشيشحجض غزهتضظبمحن صمرمخذمحوخ 
دظمذعوجهظض عهذقعيظمسظ عخطرمتضشجن ذضرلنجوبجخ صقعغوظساول عغعضاعحثهط ثتطمفقضحبف طفعلشسصمعف هشهصغنننغح اهفوغقوذغذ 
ثخضصلثزوثط دثضاجغيوده موجدمزهحثه باولفجثتغث دثجنعلشثنخ بظظمصكوشصق مزفمجصلفزج ثلنظدزطثمك فحقلهيرحبك وكجهجحذخست 
مسكغترورصغ مخصهكذنمثح شذكيموهايح فذحتارظيظي غناطزمخفكس نظهجهحيلخو سسخحمذحبثت لعوتخذكرظع ياالكزخماض طفتطظنهذسص 
كمجبتبناصس هغشصنفعتاش دنذرظوزيخت ضضعقظغقومك شسماذقدخزي كيخسضجلطدت تتظفضوتسجد حسضخظشتكذت وقهخدحنشعي كظطرضطدمضم 
