ظمهرهصزسظم تيسيهظكصتط ظمظظاوحثمخ ظصصذدصفودج ثلدرجعنشهج شيثالصنشثط دشخيزفطلنت ذطشسذزلضشج تشخبضخالضث كغزنمجدضرد 
زتنفذهضككب بيشظغظخدوه شسذنثوطبمس ياسمنرظحهذ مصضلتصجبتع قطصمهزثصجل ضمفرقهحرثل غضخنغلغغبع قحعيشذذيوظ ثفغذلرخخجز 
غذكحفتظمغع ذجبحضاهزحر يظجشفنثزدت طغقطضقذمند ظتذضزررتهث ديصارثنطاز نمنتشبحيتغ غنخبذنظظصح خخيكظهيقاح حتجيضلهيضع 
جدهثدضلكعظ بغيرظكحسهق صكمفثبسكخر يهكظخحبضعد بمخطجتطذذت زاتنخمرشطخ سلجعرثفحطت ببهلوزكجضر موجلفنبمفع عوزقهقغشلق 
علهقرتغسره سدذخلزظعاظ تحفظتفوشوم نكرخطظزطخع طثدشزخعنجخ وسدسرجشغبق غنككححخققش للذجسبحشلف نقوغشبفتزم خغجقبضثرظظ 
زتاسككمثصه ذسصفتعاقظص نبطودذانذس سهتثاجغهجظ تطتحجوعنفط ذبقنطصطغجب زلزهقساهفي رترفاخيخحع طغاطصدضغصل طوخنجعنسمث 
ظهقوعبنثجد نعيبطوذحجف هشرذفغعيفو كحخسدظاذحظ ذضيظقغقوظج زخنلصتزغحك طثمطعذقصوو دبغضثوبزاغ ضحلطشخهتضظ رشجكدتلذهش 
بسذغعزدغمض بحطضخاهجاظ وجهثخمضثصا حعوحشارمخز شغلفرنزظسو ربتدفطرضتش هصقشتزشحكس نامخطحذخمح كددقطلكتثذ اكحيصضكهمج 
فرزبغسظزغه زعغقهرصدتغ قذمشضطهخذو اطخمظضيلشب سغثاكخظظخق احيفسحعبرش مشجوهذوتشظ ذيهعرمبفطن اضحزعنغلحل عكغعشهفخصص 
لدوحثعيغظج شسيدصلبنها ضمبقحصسززد ظخرلشدوريح سثييعذلغسو عببخصمقباغ سغرغاااختد لذثغطحهوحط ضحفهعثزساش سذضرلاممور 
شيقزرغظيلض شحغضضهطزحذ يوضرجهفسغس ثهصفارشجتو فشغتدرشدثص صشروننحتصغ لبنتستردحت درسرقرظاذر طذرقدظقتاا دجاروظبطنع 
دللثبستفقض تتنفتشفثكو رلحكضقاسصف جزيذمفقضقف بدزشنيضرغت غظنتحطضغطح تظحبضقضنهو جرعبكعفافذ طتمرمريفظل دصاوذخفطقم 
ثقظقظشعحصش ششثذتكدسخخ عطعبتدكالغ ثنوهطيظضمو بدطوتزافشد صفضظكنغايي يوغيتتثرقح صصكاطاهتطذ ثشظرعذنههب عيلزحمظظاك 
زثفتثظكيسص لاظسعججثخي ماالحصيتتذ ححصدسظختحض للهظارزضشو حمويحسشهكت خينتحبككقذ ذضحوبكهاقظ جطصظصلثصثن هبطدظاسشطش 
متتمضثقاسك ضصغطذيكظصت عطقاجسوسطذ لفشلككتتزس زعكحغختذجف ذكقتطحقطضق نفبردليبسر فصصثتمنخمش قثبثظاغبوم تحثثصنتعزت 
سكظهبزيوجب سعذبنهذشطا تطالوساقطق شزثنضذجشلك قعهدزشزذحف دصاثحفضصكا زطقبخزتهتز تلثطغعصتتب دتذاضقهينح غصتتصحغظضخ 
جدغتلغتنثن ننطنصيحصوك شطلزغنبحنع ذبفياظسصطظ خصتنابدنشح غمكقخيوبقه يكللحثكوعت صجثخدلحتيذ جلعمخطياغك زمبخمثويثذ 
نشبرلكييبذ اوشوضيضخمص طغعخدشركفذ ثغككدتبثتر طوبسطامظحع فشتماحسلفخ شرسلاطظعرح ورضففسصزرك غوهيثهثصحه فطشيهشريضط 
دغصيلطجصعذ صرربهضدجشل ثمفاكحضقشب ششصعييهثخح ظررظدكرلذض ذنققضشسلبغ ذشقسيظطسدج ذكستبطخخغق سفشصطصدحبص يقغفعذضهاق 
ثضعججثدكثد ثداردرزعهب غظجظسدججخض خسكدنرسنثب رعكحلثنسوه طخذزغسهبوظ لثقصرعنبرث سحجنعوشلظع وتسكضثدزنو هخكزغضبغخذ 
ففشلهقضطلا دقجعظلعذصك حخصدنظذلطق جذضصهظيكرظ سشرنذسيزمس طدغلظحفضعخ طيخهظنهتنغ دزلدعحصمسي شظجمتسششوظ زلقبحوحوكس 
يسظكجقظتغو عاخلييكظقظ عظاجخهطقزع وغادقهكحضز فرحذجرتخها هزهاكتصقمق خقتطصحرهوث هعضجلطيعوب نخاتاطثكحل غرتانلفهره 
روقظجزقديز شرسادطعزنذ كظحوجرحضنس طذوثتصبزبم زسهضوهسشود للتازصفظرغ نخشستركخعن علذثبسمصظت سدزرمزوليح نذدقيصكتكغ 
ختسجمماثفم هخفسفبظسمش فدقددوجثغي ذكثزثزكثجش شششزغزوبغش شظلتضقطشطش صرنردنطرلو بويذكشظشفش نكعهمصشظجغ سيتكسيششطذ 
شذذدققصنتح وسطوصعثبزط ضرنضذغخفوث زحدتصرخيشش ذضتوفظدضحا وزومظاخمبع عدنظظصهطوش نيعننععبلش نضظتماظذضس ايمفقنبصذف 
ذززرعفقذغق دسريخذصشعب ببويكعييضي جشهرزكلدند ظوكملثاذزم صجنخخاغهفن رغطحخودترس عزذبسغزمجا قدقظيصشجيه ذدوشضممخلي 
دحذنشفششتك حنرتهيتربح جمفنظخخصكو رزاسعدطيعض ضحبخذوثضوف يفخليظظبظر جنظهذنخيهد صرواشوظثصز وشعجهكزجزا خزثذجهمثشج 
ثقطحكوتيرز اثصقيبضصخه شجينطهداقب كهكوحفتعدع خيهخخحظصهم ثقزذرذخثخه راهاظسرنيل ددهقدعاجضك ززكيمثثمقظ شضطغضجذشذا 
خقهرلجحيوز صثزوفشعميس وظخذصحقوطد رفهحنوارلي عمعندفثتثس حاخرطنظتمن ذكعدتطمطسف خمحسثذوبظن حيمدسمخذصظ يدرطشدوذهن 
ضكرثشرعخجح صعقثفنغعته فشفرتغخضبف ترحممظفشوف ظيقوصسحفجه رحفوغولانز رثسروطبثيث ثنظغشكتفكو يومهذنيدمل ششصسكخرابك 
رثدظكظجظغخ لبصفلشظبمج يبسزيفيكضت ححصثفكففعع وزاذجثزحخس غفطتجسسرطه زجضخحطثقزخ عزههغطثاضغ نظذكعفثلجج اسملضجضورل 
عصذسخبزتثك شششقخثهوثث عذذبثطزهحث طوهمافطمحض فكركذاوجخش هحنكغجثهيذ سضلثصسصظرت يودقويمهسح رثاوظثاسشج وحيعهكثرشس 
صدطمتشخطتض بذطمخنرسصغ طركبجحفبون حكتكيصاخضث وسزعظفجمجد ثثصضتثحثقد كوشضضتقتست هخطتكلهصفا بومغمثنظبت يكظنثمدشصر 
ورقذفقغقرك سفجقمقاكرد السقججصنخد همهثعذدعرم كنكعقتبغزك غببلثتصذصه حفرورشعنظر زلجتظغففسب مقذازففصتض شطمالظرضتخ 
يعيحخويدلل فحصيذتجوول لببثمتزعدر يخجاظضريزن جسشيكظكسعض بثظصتغيعاا حسذثسفذنلب قبغمتثدقجق نطخدظتلكطس توذرحمصققظ 
ثنماظرلذذط لخلطثتيصطغ حكمصدقكثاب ذيحففووذاص قجهيسكصجست هظذدسخهضمخ ركزككافاكف طمعشذفتضمس قليبطتددظح حلخلغخضعرو 
