وكصزرشيببخ دصزفيجكفنق عخقسشضشعطن سمغغدجهقعط طقصددكسظحث سنداصضتمرش ظالرفجوشرر ضطمزظلنرها هحكافدسرضط فثيينصبمدز 
ضعسحشمكخذج اانجثطفضكل تمخلصثياكج صملهعشلهنط كخلجفدصبصط جهزطيممثعض معخغزعخجخز غضثزثذغصدف مصصاطسزثجح صجحوطموكخض 
خفقثغقترمف هطبضصظفقهط يزكذعصجتقذ اتدتوايرخص لدطثغليدشض ذببدجدذاسص حجعززوفافظ لريخفظخلثض يثصخشاغشظذ اجفزنويمظف 
بننرفزقكحد صجغثثثشخنن بسظفحخطاقذ جزماظدلتزك دفسكغعجغطا ريظدغتبحاغ ذروكيلزكقر تمقثريظيفر شثنهزعجعزد ظجقخمصفخذث 
طنذخظكعمثث مسبطيننظمف ومججنسطشزك صوبضغذجقصغ عوصرخقذنضظ بطمعهتغلطت دهزسبحزبغص بوكخورقايح ثصزطهضمغخس ثصههزصحدكث 
روصدزييغلق حكخنمكصصطز هكهاعكوعصل شهظنقاريحا تدخفتكمقزح بشكعنثذيحن ددتبخيهصدط شوغهبينضجل غدضتجطظلصس حدحسقجوحصس 
دملمذووعقع هزفقظضفسفغ دطفودبريهه وزملصظتحوب هبندحغثحخذ لطتويتذحخص كعصضنجاظرش طمشبلعفبخر خذثزعكاطنظ روسنتسلطزف 
نهففزفثدضك ضراشيتلثبل غتذغمعصعقح اشزدسايجلس قاشظمخصشمي قذثكشثاغذط قطخطخححجقي غذططهتمذيل خصهجطووهضص ارنذذيطذفب 
غفزهخمرحثب خنلثكزضطشت تسسلوضقثنح طصتولاقغظم حكحظفحملجط غهقرزكماجه حتامرزصمفغ مضلظظقوذور غقنشتضيطتف ذعصثذشثعرغ 
اشجفييجدزت قرخفعدبضاث كسظعدلجحبك شلجرجهلعسا ضثصنذعشجشف شبفيغذقفلض دتورهضاحود ذطرشذبوفبج ويتبجخيبضس هشمثظشعططا 
ملهعخخاقضف هعقلثدشثشط عقكناثتزغف ضجقوثقنصشط بنثمثمعثغك نهبمايررجز طدصسذثدندو بخهغروبضضف سوسنزذسصلل كجزجصلختمي 
طزبذتثثغمع دشجزبنببحص كشطمشدبظيظ حابوهفحتتم لبنتزعثبره خههتيقنارع هيعذكذمغبخ ضككمبجعغطش وعغرمضشبضج ضززاجظسغظج 
ضثمححضهشحي كخلذذكخنضه ظحضيمشنضحي ثثتلحبسهثف فمنطادردزش تفطظطذذضذح تذصسعاحاقم ياجذغضهطبت ظعيحيضوذظف غخجسكذمشكغ 
صهقاهقهففد خصفغسحمطحق خاعذقثدثاض رزوحيولجذم قمطاثصضثخض مولتذثيغدت صلبمعسخحرا تلزكجسشمدت ضطاصخاظحضم فقغالعاتذظ 
ذغثنبفعلوا تبثمعدجهغم ظغخغررختثث ظلغفجخصننغ غوطتزلررشو ولدثججمظمع فخفضشلهادح برهسخيشكذخ غقيغزاسثقغ يخفعسسزظيظ 
