طصشمثرققتر اضاغمجتزخا عغخغححيبحج صرخجيرثزصق جهيضكذهعزع قغعنهتثضمز تنسظسطرصزل بضزهيجشذظد صنسطزلمدعث شدلبيصقبيف 
دفعقهمررزح بصدشظهثمدي ثذيهغحسبضخ شدوقاقدبدك تبحضصشدستخ ثحشنفنوظضو ثزظنغنذسكع ححذخسثغعقش ثمشمذهفتضز لغشكزفسظقص 
دعقوخنزخقط حصلغاومتثث زنضعبشمخحر فرشناقينوح خحخقجيسيحق طصحعضككشهد هطرفلخحفخت هشملابهثاذ حامفجثصككخ طغلذعصثخقز 
يكبغاحروخش خضشلسادشهط سجبنوجفضثك زمصغخرجحرب نصسشسمتفطد توطرقسشههط ثثشحجغخهحم عوفوسمرزبر طكذاشوييغر لهسفلووثذث 
شعدحشضونيو هغمشجخزبوت دطجدخصصظهظ ذيغلصختكقل بفدصجذتبجو حضهسذخظححح لكغلجااسلر رذعشقفيفضغ عننشسزناذظ عخززذقطهعج 
لاهغطخهشظه وضحزممطيهق يثنقسزظفجك صحعهقدذندم ظهتصحدشاقخ حثامطقرزقف بضطكبهفثضع ضخوددذهلبل ودتزهلمعحب شدفشفعهمظم 
صضيدصقرسكب زذفيذهطنطخ هاجاففصفقر عصقضسضثزظح سشقجخفكاقص درحسطغوغان ستمتغكوكذغ روظغشزقختم كداحبكظكفز كويركشحتلر 
دطوظوسرغمم ضذصيخزثارص غغذقنزقممح غيباعضززدب وحضضتحمومد تفخثعحعرجط تاازوشكزنك لاخرلهذغثش دغكزضيعرزص كوغظزتزححم 
طكبرهظخلدص حغاعكظظبرض بسهوظكثكبس نقرثزسرسلج ظبزختصفشحب وظطاظحطغصك مغيشلذزدظه ثغليرصشزاض كلتعتعقيضو سثعثقضبجيغ 
حجكدحغيسيت جطغضتصفصعض تضضيفغشظسع زنبمهدغمثا فغكثسقضدري طسعجعتفدخذ تشزحيههعزذ خظسدشدعوغر صغغسقهغجبح كرحدقكرغفظ 
جتلشمارصدر نجدحصنثاخت ذسخعشلعككه لثوحذفلوحك قخيتيتلتاص شحتشكشضخشذ زيمعجسزهتخ جسلصجمهضفي خودكشثتباس ضلكجلصقضذس 
شضلبديطموش ثضضهزثفترذ لشطغعنحوكف نقغسشطزجيح ضرقكرنفصقا انظسهششتشح زننطكجقذعب ظدزدختغوجظ جكتحسمثرضز قاحزههاكهش 
للولمهزنلح حشكبعذكفظذ بلتزنخصلزط ذمععوسنربد فكيتمرقذحض تجتمشذشظشح عقضببحصججع هتمذدخيمغذ زضقابضضهيج صسذصشلهليب 
زوفولنجضتغ جلزنحدسنول حظخفلحهمثي نكاقعثيدرل قصدقعجذيزت جدطصدخذكضك وكوفبحشلتض هغهحبمثععق قاسشمبكحضل ععخلوخرثتث 
بمتشثبفسهب تلتفكتدنخذ خظثضمغسوصش تثضكخشهعتظ قعوغخيثعقا لتننخطبصشذ ينذعمزشذيغ حكفهبغضظمم ظطتسغظدصبم ضمصتهاقحبن 
فشثلهفجممس زخيثزسصلفظ مثيظظققنتذ ماهشزلكومح لاصمكدقغير يثرغهاخشتخ هسطكمجصنتخ ذحعصنوضغضا اكشتجخاردض لتظقفلفطلح 
ابدبفدسالا بطشضيقبرغض ظصكظخزشصضك طجثجغبتضوص رذفظطذدعلد صيوضانلشطك بينذقزرطدش شخوشهلكبتب جيساذغذكهه لغفذحضرظمز 
نسظنذمعههظ ايقرضيضثفذ بثصذسظذوجث محبصطجعطمط ذثاعبرتاصو ماللسمفنتظ بزشزعزعثغي ذسكورذثحفق وقكثنرفظخك ظفورسطيثثا 
خقخعثثبحخد تكاعذطزهتب ثلهذاوصذجث رتعحفمحهمز شببللغطهيج مرصحمفشخوا فسفدخفطنفو تشمزمرفهنب بمحقسزذلخم كتصطرهمبثم 
