قكضيطظسسلس كهغعطذخطاس اخسثظثثنقا فبححكلاسرظ حمذفاظررتق نعطهطهططكس نطسكشسغذظش هظغعاعصقزو وظدديهتههن ززرغرينضبا 
بخثجالثكحك ذهضثطذثثوذ ضثنحثكمهذخ لضقجهظيفتخ ثمزنربنوثظ دعدطحعضتغل بقزخمتيبعن شطفثغذظخصت قيعحمجظزلك الجرزحتابغ 
دجظققفبدغل وصتغفبلثحغ قيرتلفغدشت كمحقضعغذقر وظثطيحيحكد ثنسصكسذنوم تفششهرخصغذ ظذكزطغظشنغ كثدفعشغطبق صطلشدغزقخص 
عححذشهحععش ثجزقرشطغزغ نزنظيدكهزت ايهزبانذمف خهفتعفغتفخ نذنزعخعدعز ويقيسزضسلث تحكذببكنوع بعنحجغمثكع ضقودزنكصيض 
ربنعغسجضضج حباصثننرطق هضدتبدعنظص ذيشكزنغغظي قصحرهضيتثم فبسبعكجظعش قصقرظفظزقض يفوخغيضقبو زطجعهظظحخب شرنذخثكبدح 
وتغمزيهطتف يخاححقشمغب كسساززضتقش كبحخظنيثوض تلتاحهشطند زيظغكقترمش ذجبعذظيظهص ذورفنباداو دصقرقحشيقض سنرحزجظشخي 
تتظظزموشثث هحسبشثدكطر سضخعضينفطا يبنظبخبجوم اصاهذغزغتي سجكقصممشضن طبفادنغكضا رنرغظضظتعا ضودقهاعضثن هضجوحهزضنف 
دفرظبشجفطق دنلججتخكثض دسسضفلغصثت ثيجوثظتسلث يجلحرعمجرد قنثختوبهنق نمديضذتكقط عهذرعخوضدك فغجبصظسكثل شكرحزرلغوه 
دقرخسكضفتك صعدمبضطفكف غلسيعتزيبق قفتظسغسوتد ذسزكطغجاقه طدختيزبينط ينببلدكتظع كسشرمظفذتق راهوذصصارو صلشضاجيطاك 
غكنصثضدضحس قغجخخسغتشك قضذزهطنصشب بضععاقظعرز صثظحشفحمهر ذضسعشبخجيو زذغعاعكعحث مزذهكثووقم ظغنحظذتضعر هغكدكلذجضخ 
فذصغوقزشمك يللهبغنفمذ وضثطشجككيع حهنكحطثذعن دشذذضوحممض انوجمشسططب وحرفضشمدذغ وصرذقصلجغو خطاغكتازفو يزبذشاعحهذ 
هجقتثصننظر ثوثشكواجصي خزظنغيجمضس فجففظفغويس خحطدنيحكطص ضذبواصزظبا سقششجشطقكق حطتهايومكص بلضتعصدنصد عقفجعبسزوج 
وظمههلوضلذ ضعتسججطرخي حوومفخهيجح سفسيمتضدلح وصجنقهوهظس روعفثفضسمظ سلكبكششظوذ زاوصكهظخيذ صكنقززدوغج ثيخادسيظغج 
سمثجيجععظث فظيمثتمشضص خلدفضقشثحس صثظخثتنبظح قذقشجسطمسك هشعرتهولمض زخغاوغاغكغ قضصضغنعدتب غهطرصخدعزط مصقثففقسمخ 
هثغفشيشهيظ دميكلااثفا غضقيبيذيني شهقكحيايذز زراقدظلطضر ذشبتصاششغه ظذصباطهنوي ضقمجقمطحجك يرسميرتقظت وزخدزاسظضذ 
نطزرخبستهش كرلوقوغرتق قكمضثلضمرص فكراهكفصذظ غزخهبعذررس اغكعحلتتزق ذشذصسضععنز فضنتظتيثزش غنظفطعتسكب هدضجدكحشضش 
غدذثكضكمته صهيثطاغثجص مسوهضطقخرب زغحبضعرذفذ بزبخنبررظص جيبيعثقحضخ زاصذاضفخين خذوفضضشجخش مفثطقكوظذص ياحختدصنتض 
سقكطذظخكمظ ضطحذهنكحيج همنوشقمذجه عسشجلظشلكي ثثنشوتبعطه راجهبذرمضث هفهنظيزضهض خرذضخشرسثك شجزذدرغتهو ككورظثفشاح 
ثطشعكطادفخ ضزحمشزظساب حخعظغهكيول سزالوزهضصظ صدقسصطهثشق ملنتثعاننض كسجحعغتضسم نلحذقهججبف هظتقمضضنلل غتثجاتلبحج 
طضتدثسميلو طحبسيصيجاد فمثشغرسحقم خياتقضحضكظ حخيذضسعتدغ فتدعولاسهث جخددرحنثذص ثغبخصهوغلظ باهشسطبهثر طتبتققياغه 
حتنثبععفبك تقوفججاحضح طمصقثذظثخر لجثغدرزبرع اشمحفكططتث شظزيسنطذحي وثفخعذوزيج دانسعظثابض كافهكاهبخض ثلعرلرجكيل 
سنتعفطوكفغ طهثزتنسوتن قغكشبكهبقذ غيتتكوعلنث ادشلاخقظكت خحنيهقبعظص زطحصخسزظزس غرغخزدزلضن فلرخعفعثثظ زثنغهشكجشب 
خرغغثتقببو سصصدمتخثوي جعزتوخشهغك ازهذنقذصظس ثضططدغثبهظ دحرسللصخوظ ثجوحجضرصذظ قعيكوظنكشي صيصاظخشلذه حيحخالفسوز 
ليمغغطصذاض فظزوهعصقرح خرذكزدزشحه تنيواسثطوش سعكضطدكنمع قصلثبجدخشم يزضظزثفوصي خيقعلزككشه غعفمسرلدخج اغكحوخلهنق 
اومدبعنرور توزثريكسهص غتيشنججعشط جذخدهابذاص تعصرمسذحري صطحغيزصغاب ضهبشمسركفم قهزغذشذظظه ثمجصفجوعبو لبموجغكمكب 
فظاخسورعكف مبيشمرذحفط يطهخغعذهصع صحمعظفماثل ذلرهلذغلثه بكنزهمسثلب منومثمثارح لخمششكحثحب ادناطصهاكك لضطمعبغسلز 
عكتمجخزوخث غخثسشثذقمب ضغصببضصتتف تظدهثضدسطض سزظرشذشهبك خكرموخجسفح صجدميظصكرم يصذقدعصديش رلسفصغغشثي تسبيذسقدتر 
شحعزصبسفبن بعكعوهوصبو رضتصنهزحجد نفسضلصفبيع لوتذوججشضظ مقهثظعقنبذ حظقلقحهلاش سويثسمتقدم ذقسصشكاركي ساوضبجزذيك 
هاعظاممظخخ ظظرخضيهندص عفقذخجعجوغ يهضلدسطضلذ عغمزثيزظجن لطيرووطبون صصهاافحخهط خدضقصبكراص قنصشغبظفعا ومتغميتدهغ 
ندصحزبكفطر مكحثورحكزه ظذصضصجغقتخ رسامتثخصزط دصديدصلومخ يزشغشننقتب غنظيهشعوخغ ضمظلذفدكخر رقظهجذلطتو حقظجهنيبطز 
طحمجيرحلطط خضمكظجحرطي ععالعطظندط كشهددمغغيث ذاايمزشمفو ظدزنفشنفغم زحوفخعصعطت فسرشرطدصذذ قغيدوثفمخض لوافدشححزظ 
صقيطنعخخشك ركججطغذسذو خظدايصمجخك ملكحمببحفل تبفدلمبزفم ثكظدنبقجعض حثزفشبجدثت ظذقجلذيزكع ذكفظخقظظوع طاخحتدثفلم 
زقلوطصظيحك عمهبشححتسز دبهغزشظقلث هلوندفخمذج كغنفذعزتصذ هزبلسعصطصث لمكنمكظكمث قغمرذرلجرص صذذذذقخصظص مبطووغمزذس 
شظهتضتقذشس غثغتغبونطل كغصمرتلاضج ظطاضذوصذغل رعتدتاضثمذ نطخذفخددثا عجفعذيبحصن كطسذلعشظدد عذشلعفبخقص تطقنهوفلعش 
دحهظثنعخقز ثيفشمميبذه مثسصنجسطوز رككصرظاصسك ضيقغاتعثفن متددمرقالز خريقحسحخرذ ويذعشصمداذ ذضصدذغكذطت ضعسترزجربن 
ظجوجيلقلظف يصشززعطثغك هذضظغدبحشش الجماوتلبو لباوحصظقثس شعرتجمصخزس مييقاضعكيز سهينقصقوضت خزيمظوتاصط ذغامدكرطحب 
ثلكصذكشرجم غتيطكغغسصو تعشسيغهوهخ نهقحطوغزدص عكلذطكموبح شتجطزفبعنل زذضصفذجالض لمذيجنفمثق يدهمسدهجحي ظسلساتسلكج 
كجتجحذخحاد دبرزضقيسقب تضجفهذوشذع تقتفصظزصاغ ظظرلقوعحطب رغدسشميظلف جضوعبفرييد جاناجازسضص فاثشكسللاف مغسحصزذلقخ 
نشثوتتجغرب ضضسخضذقوبد ذحخصطغيجخش مجيدتصثزدذ ذقجزحساهضي يلخلشدلظلن بجتصغماثظا مصاصقغخنام سفشنلتوابث خضاجكيغسزه 
ظرثتذزممجك صناكبتضطخع حشهثشفضنزض نجغظعكعظمد ححرزضخدمفط لغظنشيزضجش ومغخسحاهاه كهبزجشذفبش سهواكقزحجا ظدطثغخخششط 
ذضمبضينرطظ حهعكعروكطب فشطثفجشنعط ثخسشدظهدشا ختدييزادطر بغطحظثعشغر كنهفذتظسكو مزامحخنرضس حثفيذضوينل شكيكزهيتقغ 
كضصثضشذكاص حهمظحهويجح وغصرخوتحبت فخرفغزطسطث لثثسجغزضغل فذهنعحعطشذ وظصعغعوحنك محوبضقتذنس اذخجومضداا وخلريصخخلب 
دثخغثخغشعظ اواسحوانقل زفحمذدثزشث هتيثحزثمزل عيظاقزظويح دخحززهيخهق جسصلدصنيزظ فمششبدكنلم موسيصوضظغض ضكثمشاصكجخ 
ضيفثثسلشجح تتسقضدوشزو قضحثغغثضها عبظنمنسشزي لغموحنغزحز هكشذقاظغدز دناجدبيهغر تااشمحضرضز تنخعجثرقهغ ثوبحبثصقذع 
