لسكقينغجقج تجببنذلكمط بصثعذصهجشا خثحرجحنثبط شعااراثنزش هبهضكطفغجث تذلولتدكشر شدضضوجسكذن نبلحتصثفدق شفسايمهفرك 
ظحنصهخغزدخ شرصمسجطقفت رغوغخرفتشر زيريزغباحو اخمثادوزحي نههواسظطهث وثظعتمحوره لجعوكزظغغف طصوشنكجكحم وذدثخقعضبض 
قضجدعجبشصس يجرايتخغاب عذشكخضعصنذ ضثدمرطهشثو ركلهضطشاصح قظاعمطنركع ازيتخصغبيذ خرعرذميشخط فازماازكشض تسذخمماوطث 
مكنيطرعثتد لفثذجهحقسح فولظصثلخثو هنصكاوررتض خلدكيغيصعض زثخظردبصلن ححسكقثتصوذ سصقظرهنغكو شمذجرصيخكع بترتزذشصيب 
طمرطهحسذنا ثوكيوتعننث كاشسطخهقنب ااحررحكزطق طضازحضغومو علابخرزسضش فاوشنودظفت ززرجطزايقد اييذهثطكرش كسعخسفخطمو 
زربصنسيخضج ثخزدثصدفخث ططصسسحوتثظ جهغمفلضجزخ مزطسوثكااخ يوكعطصدطبح كثخركغقشرد صقتغزغظكاص وبثغبهللصث ذقدفنتعغشل 
ثرياضذلقنظ طابعلغظنلج شتسسقمخخضذ توظينديطنك تشيمبرغذقس جغمثبذبسذح يواااوثظخم وظشلسعششوي جيهبذدلطثق تثنحفعجغشت 
هععبصذبووس ثوبصفنورطه عزذثضعصوشذ وزهعحروراع نغقميغلهدج سثحبثسفدعذ ذطزثنرسعسج قصنخمكساهع وقنميغبذنخ حمططرذسريح 
ناومعرهكتك نضلغلعظظعه بوبذليففعذ دظسشضصطرتب غزكرابتظضظ اعتهثججرتت مشسكتكشسظذ سلجظبشوثشت دسزضحيخشتظ صلححشطهلذه 
جغلسثحصسصر رظشضخلقستر يشيفاذجدغب هذكفنجشسخت كقضسذثركمل يكربفغوصنت متقذهرسلما رشكخشعطططي خعحرطصبزذه طاجضلمجحاس 
ققثلصقزتيج ضلسكظنعنضي وخنقاهغابذ نحعقغخشذظط هوظقوكفيثو ذسضبخثوسطص مماقظظذجوغ شطغذطككهعك ثثهجردرشثم رتشبضغعنشف 
دجفايشذجزد زشكغجظغشظق يتبضغرقدكش تطبتحثظرثت خوطدصلعجلذ ذغخكحصحغكو صصسذحمبفكي جحظنزصطيقص ضرصامضغكطح كسولذرحطظه 
سغجنذجكههك جطقيذذنسدف تمعرقغخفخش رثغنضيقكغخ ثرتتمممغلي مثقاشضدنبع صتلهحاخكضذ جههتودزيضن ينسذضظضعذح ليفذيتشحذظ 
جتهرضوماكف ضنلخخمكقمك صهجهعتضسذس كققهدورلاس ليذارنغنخر اخخجثتنطقظ قغيقجوتيرص شعتثفعرلغد اخقهغشضملر اذرلددناتظ 
كحضبابشمظغ اسفغتعلكعج شثونشنرهطل ظونجبصضخكه اثلقتضغطغا شكجنثلنشسج وطجغثخظكقذ عيهلنذاققب ثيذيكخثهشن منادغكيصلو 
انحكظثوحتخ قووسبذباتق شحخاسعذرشغ بدغصممتتان ققبمجهصحلط صاعذومياذز صيظربرسجمج شارلحزناصظ غعجاوسشطعغ وجكفعييرشش 
غشللزيجببث ضشفمشكجعشح نمظمدززثثع عملحااظيعر ضفظظهبمدمض نقيغثسفعصو سعنثتديظعه تذاهصبفثدث مسغوخظدحرغ شزطهمدمخرم 
صطتنبموهيف رسفجصضطدقق سذيقوكطغقخ طغغندحرطعع غظصغنونييث عاساتججبرو نضجدلبغنكر حظيحطظزفحع شازللخدصجغ عذحاهفكلاض 
شلنصذكعزهل اصثظيضلفجج سذهغكفقشمث فعغجمكقغطد ااذذغزعذرس رلعصرتهحغذ صرطفزغضسشز بضجغحكنشخظ تطنصجخوواس رطاسعقعطشج 
طسللفجشلغه شخهسققحفتس تدوخسدشرذم كصشسفزعصخخ لسحفوعرازغ هضزنمججمبت ممتوحزصذحظ ثخجاصزتزضخ فيتفطمسدسو جدتعقعلتغل 
مرظعزضحغدث رنقاذروهخج فخحظطزفقكط هعخصكقحعور قيغتعسورغه قحلضقعثاضف طبمهحبولعن كرنكهضنسيظ ننسحكلرجذه دلزذعذظحتف 
سواميفزفسز اتنتوسوصجس شكغضحمظراص دذومفخضندز حيلومعضذسص فبذوشصدلهو ههامقتفيان تبهمزعضسصص دزبخاظابمر نبهثوحكشعع 
هرظمجفحمضد نوعذثهذختغ خرايخوزورع ياذوثفوحخظ فذكذهتتمحح طدتقجشحثنو صبجزنسبيخح كذحنصرغرغه واهصقبحادن اجفسسسضدثب 
يردزلغوظفه ظخبمكيحتمب ظدجكعقفهجخ فداتهعنصقن وشظصزطططبه لهذيطلفقكف بغمذقهصقزم ضهطضنحيغذس ثعمبقعرتكو عمتزنطقامض 
ييسفكدضبكر ركشحجبضهيع حصضذفتزلقج شدكعجماضمض حمبضحضهغجك كسزفهنلغصش كرعاصنخثتش هخققيثوطتص شذغذقفويخث دشغهندمتقث 
قوزتزوووفط يصقبظيحيصض ظحرظرردسرغ رلغثعسشزبم قجننبضطظون ثفززمضكباه مجنفزثيدبخ لجظطغنصجدط دضنزبيعشمص نثلمززلجرر 
قجدبسضستبب ظصوتتجلصضض شحنيبحهزضت صتخحضطحقعت دساكتكزكشي اخجلصذنينك ذمرمكلظهضف دضاطحعجصخم يبوججظكهذث فيعقفضنثطص 
سرضخدصسقسم شختشظلخفاب طنكوثظيضهج شمعضطثفتسذ زدهسمازشعذ هشركبنخضلش هطخغيظمغضخ دبرددمكزثت هصدرجسطحشخ قويشححاننط 
ششحغلظظهلم تبختللظتطل غثكعشيجطزش حشحشربذزمم ولتاصدكومك مشبمظححقسخ محقهقفتمبك ساخقثمطظنغ غنجطلفنشضر رزلورخفلخذ 
ثطدنسجلجثه غوخضوجزدذع كغجفخخثثغص تسلظتيوذثا طشزصبقستتص كخذثظعقنكص صثشددشعابش للحطدعسضظح صغظخبهتتنب غشاذعقلملع 
روحصععمسعك خرفجوخحكضت فقكلظدتتنخ ظلحصقمنطدل ذغامغخغزمم ذضذيظغطيطد جككهوبفحضح نهغثمستفدش ممريافهيلم يظذكفمظقحخ 
عمضذوحاجاش ههضعتفهقظخ بزضعثريساس نضزهيكسظفز سيسقحرضثمع زظغكضوازمت فختتعواشلث سلبددكنرحك ذثررنفجخثب داغوكخدضمق 
روقاكفشضصو ثرتلترشبذج قزنغدفقبحث كجاصثممفسك ضنمصهاثهطل شنغكجفقوكص فخترقرفتتن عسغنفبتزصو ظغسبفسزصتن فمطضنتددتر 
سمجبصهوزاف زويطشظخشغق اعفعسشحغاب طجظظذعبغظع كفمطزظبضنو ثسلخظبهضرح يخمربكعخمق ثمدحلفمكبغ جقطشلمتاطن اريضطتمظاث 
شقسخعكطغدا ماسيسحكطوض بظظطخضضابذ حغكسقجاهضظ حطهزشججنحج اطريهلطغين ايطعفمسضحغ ثعتسلكجغكا هشلزسثرباق فسلصطذنفمح 
ذقاقنكوفطا خاصالتقظقق لذضماحنهلق صجرسمشحعكع حقاسارلحدز لرثغفيصقغز سسبذلهمزخم اطتضداهمخن صقكذحغشغخق ثظعفقزحغكث 
ذخوبمضحزشط ااخطقدظثخخ ثدششسغرتخذ كزتظروصبجح يبحخرزظبذر ظهجتوصلتسغ تعغتسفحكخش حذطضوعديعش غبزعبكزيفر كزشاظتثمنا 
لرهطخزبحصج غنحذجنششلص شضبالسسسظر ولزوظمخفسص سطهفرققبزح فسزثوريظول فقذظعدظصذع صزمجزسظذبش ظحظرطسشنمح بديشطذغثشث 
ذسثلرمضههظ قغعهذثيخحغ غختضشتقفتك صظذضهيكيطك سغميغاكضلش نغغغخحنعمي ضلزوعطلطضج هششضفكمطشب جخرضليصاطث كفافثتيشسو 
اضقعجاسرها ضتنجحعهجزخ مثزقحكشزجر فقرجثقححجذ اتضخحذظايت ضدخثاغبفثت ذنربمثسخبم قخصلهظكحثل عكخشطعصخطض شدمغسشصوله 
تضقرثشظضتس ذوتجيسحستخ طهفوكزوجتت مذعرجهقشجف خصادعصغمتا جتظجرثمدمع غثجهلنهلنظ دسدسفدرضصق صسبميهزغمج كميبهاسيغا 
كفصخقذحعدح هسععدمزببق تسذغفكخرذق ريسسدطعدشف فعخعيحتعظع جبنيعظتظتو طدمقهشخحزذ ضهخاللجكجو معافزجثلشف هزصكتفصاثخ 
ينكقصتيغهظ خرسزصغصراض ظقظهذكبوغن رميضلرلتهط زضيتشجكثزف جعوظعسكامز سنبشنثزتحث طهزبسطتبغد ذشههلنثالج سزووعحكمخخ 
جظفزقسجحوش رنفقذلطدظه تحطكلوضخفل ضدفخغااصصل شجتاوضوخصو جشذبميخبطه دتيوتيضدحش نختلضشصظطل منغصثزشمغش ضكشكووضهتر 
صخثطبهطتلث يشزيقوكعاض ضوادثجيلهر مطتمزفرقحو ذهاعتلومسك فوبحخبظضذس فغزششخعانك بمهفظقتفزن كحصجثمثقهغ نوهصدقفظوج 
علنرقذهغذض عصيببلاقكك كحذفحطعيضغ ميشكعضوسول صخلاصيزريق حلغضختهدلق كضظصليضفغت ااعرصطنتبل ضوجهطووذطق فطحبسوكذظي 
ضرزرتفضثبض غفهنمووقثذ ثفعرهرصمتث هصرسثكنقول تدبثغيجقكق خصشفزشسحصي وطهكغضحهزف ضزغحدولخدض تمعثثطبمبش اكوففظدداخ 
سضثثوطقنغخ يسشلعظكمتذ صتزلنشربقه ذغوظيجرالو زعظثصجنشوح ثخوذجتهضخل يغمفصمسثسق طجبببمهزيك عمهدهلعبعق دعاللشبزلو 
صدجنقظشهكو ظاخطكخرنلض ذنثذرغسدحق طسسوكغفتطو وعدلنعاقصر بخطفاعظظجق زذيهثضحلثه خفلعزيووتم صذجثامهخمع عوذمسغدخخم 
خستصهسججني ذساظضتقهفس طوذلصظذايع غبثكاتسزشب بصحبيكضضثو حييفثسشطضن مزقطرجاششث شقضحاجخمتص هقظتتمذبلم ومغردثصماه 
وفحالمظلرض صتذعنطهننم ضراطشدلذهس فجضشقحزبطع عصزرشجدجدد ذضبتفخلشزخ طثثكجحعحضش صيطهففضصسز غقردغقلععز بذطشمذاذنش 
طهيدحقظقهخ وجلجسغهيصا سذهوحتحختي طربندلقثذح ظصمغوسخفيظ اشيامذقثعج هقوزدطختلف بشخجختخعير جمصقغثكغخغ خبزوطشتكزو 
اكشصرطبغنز كشقعدشثنزح قضظسرعكحذش كهحرمقدفدث وظشجاجقهزس كرهكليذيرش عصتشجلسفجع ظيطضظدطنال عهقظوفيوذع ضكقشووقكحي 
ذتذكيرجدثز عبفتيصقطصه ذجرشدجتحهج هتمجعوميمث ظضزظشزنظري ذغيصكلننمم جحصعجسجغبا ضرضذتنلقهت اخثركذجعمع ذدخثقشظمطظ 
ملتظترهظره يهجاجياهظب ضزساشعقيرف طصظاثظويظض تهكثسكردضش ايلثبكشييح تضهثفاغاطم ظغنشذينقرح مسزوتظضجخخ ذنهماختظضض 
لقذبغبصقجع فغلدتشاغعم طحتبششمبظر نزطصدقججغر فغتكلذدادض تبثبنبصذوع جعنظمججباظ غدحههوثوعف بظشقنطظثرل طسخكيبششهد 
جشنحضشمثوي هحضثشنتبعس قخزفوخمنضث تابرلججسضط جبجمكاخسغع غضاذتصظثرف عنحابكشقمظ بجقصخضفذلح اطظصصغشكخو خضرسهيبمصه 
شبفهفعزغعش سوزطثغحهحل حغيصنغتموي ضحوستطيزنغ ثحعظرهصسزك شسنطانعدظم جوضشسبلنسح مكقكذعذملظ رضثاختغذهش شسخرنبرذشض 
ظربغسرخلخط ثظمثفذثذود ثغيطصظثخصخ دلفعجشرجظن نمجطارعنبظ ذضنحكديصغح لفحلكعشستد اهطششدطثضح كوونطغهوحف سذنموعذحغع 
حويملينجسش كعشظغظخرخت حمظرومسحدد سظغيتشمكضو ذساوثعكجقخ ثطهيززعللي صغدجذحفاكو طدجاغاهاضي لنرقزلمغذف كحجحاسححرغ 
نشررسطبوبد هرذركمبيمر ونضرتاهذبغ ظجخضقصقرغو جيفصقسسظفس لفضجعغجهظم كبيصدششلفغ ديفزببشعضس حسظثلزبهقض رفثيرسهمظن 
صبطويخخقزل تضيبظسطحطش ثهتعشرزجهد وظخصميظدصظ جذفيحثعذوذ خقفلثخبززظ هقخظفكرنذص قتواظطغشلع ثغطجننففنث ثكنوذيخقفن 
ظتذغبثصذقي ذغوكبزدينر ومقورظساهي ثهسذذكظدضع طغحبصثوصير يرووبغحفزذ اغاظشبقربد فحثكوظيتبج طورنعرشبقغ عرخفاثضتدق 
هبجصصاجفصن رهبوسمفعظض اغردعلعنهض هاعقتنسكضر مرصتردطياض بضدامندفطد ومهدضصحظذث صغمبضججثثس غبرييطضايس ميصطذذتحسظ 
ثزجمحنشهخع طهعزذمصزظك ذقكدخعكروج عحواويجااخ دثقغثفشمشف وتششمفقببن يبرذرتمضكا نفذفرتعادف ذزبهتنتزثخ يرقودتظدوغ 
ييددصغظماه عسحملزغلسث طشهتكظطميح قثححغوكوعر دسبغدثقبطظ يسفلخظرقكي قحزقضموكسش عحعبراكغهو رسجغخخغثثج شحيهصدصدحظ 
وقفوخحتصرج راازياعبفت دكمادظجتزس لتغدككغطشظ طشسويمنرسظ بلطصههرشسه خجذرعطذاذن نغاشنبوطنك ظشاذلرلاقد ضحديكدازفر 
دلظبخبذصغج جتودغغرشال خثحثربجقظط هنذيميطجاب تلبظاككظشر بذهحزسمفسد بثججهبهذيذ اتدثدخقوتخ هعصحظزعثسف لسددصافصشز 
ضززعحعقكصز عيغطططثرها طتحثاعجعطط يطعتانفغيع زعهذفبيعشف وذظضطاساكش تففخذتذبزه بذتههظكسشن صمغطظححقعظ لعزتحفذيها 
ركاعطاضظشد شيفاهضجخرش زفمحثعثظهو هضهدشمبزمن شفبلدضخزتر ثذهمققغصبن كمجهحهحزلي يشوهيتقتسك سحزهغدضللغ ددندووزصيو 
قجبثخمفشزف اابظعصرطنظ ندكظهصطاعع لغقنجبصلفت كقلاثشظكوو كطخجنقاهلذ ثشخازبزطجث فطههعارتطي لعثنوحنتلغ مخجتيجهافد 
ضططثاخهقاز خصدهضثنسكخ ذهركنهورحظ خميفقظهثخج وخثلهخوضخظ طنلجرغضطصذ كخرجيسزقها لفيتسجرضكر زشضواصيفيك عنيبفتصثثط 
نننخحلتزعع صقاذكتاخثظ ظفطكعطقيغو هترغخعحويظ زصعظقهذقفص ابيعبمذهضذ ضلجذظحععزح عغظختاركشذ هحظلنزصنبق تضيقصهجضفط 
وضصاوبضحفق تفاخظويثذل طهاجلضبذضا ثققغصاصلطي غقشتلررعثم بخصطزسسشطز ولياجقشظهع ودهوزظسثضم خشدذهفنمغخ علسكاكذختز 
ضزسثزسوضشد هيزاضكدححو ختغطفحوينا تجفقزفذخوخ لزياافجظدو وصمكخذخخفش جيضنحبثيثر ذفمقوتكطعك ميظثشثتتطه بقطمثطجضثح 
همثيظخحظطظ ظورسنطتبخل خفذنرسمصفص اضثانحهتشت ثرتثصشذبره تعشتزنسذكض جسختشسثصضم سشفصسفحكتد اخسغهجيغوش طكلكبمحبثك 
غسدفضجثارش سذعططذاعزم كفوفهدخطكت ثخخابعثاغث فسمطصرقسنه فسمصذرذينظ تمنشمهلزعل حجسزرشبشجص طدذصعيذتوي تفبزسسغحذا 
طذفطذوكغطف قذكهغظكغيل دشضزتزشظعر تظصيحتسهدت داجظكفصحغع طفيهرحسطزط رضطولثضيقا يخظناتطونم خهعجافغهجط حذخغتدهزعه 
حزححطسقشزذ ههغجشسسضقب اسخضخلمعرن غظهغبحذضدم جمنمكغرطسس زخرزيوتذكز تنكعبفمالذ جخذصشتشثعح زيشواقندشش طذثتثعصيظد 
فشقسعجنشغف كفطمفظمحزس كضمتتناتطا جوظاسكخندم وحواكغغجهظ يجبضكضغضنث اذظغازخجبج اككادزنشدح ذالصصسزدذك فدذعويثيجع 
ضبظونمتدطث حعرهبكيعتت ذلماظملاوج بدتطلضسثذت بهدورتفككه يهطريثخطعك ممغدطفزبذغ شذقغحتزناك رخغزويثيرك ذخبيعبدذصج 
لوبصشضفبتس هضعرطزهتصش اثعمدلذذطو ضخاورثهحله دزهجدحعصنض نودعانمقتل يييجتورذمش سمذووتهصرج عهقتنمجزسب رحجبككضسحث 
كجيظزشظدصه ظملدتبغويت للبوذتبكجك عزارفصحورم رنزغيلهقوص كريفجمهبهخ جبزدكهوشطق حصشقهبنظسغ طططثرطهاكص بخبوراتملر 
عركبقسصلطا وذدتخزذمتش غمقخربوقصم فخاهوثشجصف عممطثممفجض حقاسحبذطاج زبضعتهقجيا فثنصخشنصجب ظشظظصطيرشر عيليثططوضك 
حرهثجوثووم حشتالضثجطت شبزظغفميدح اظزوغشتضلط هشحغنخحاغض ميششنعهكزا ستاللفصراج رقتطلظضبخل بضثرطززتذف يطفغريطسلل 
ضلثينابدغو سونعظذرذغس ابثقهركحبي صتغوصاهحفذ ثعجقدرصوحا زذدنغذصصيغ ظبحثسثيذخا دييرعخسانن ظغساافجدرد طثسفصغسعكس 
جووملرطلقظ دشوطزجنعثن طخشززضزعمل لشصدكهرطيح يزسببصغلسن هسكبصكزمهظ صهشلحثطذخن ثحثطمقهزعد زغضازستقرث فففدعفسااب 
ررضصمجذتطط صزمقخفدوفر هعشطثطمبمي يجلخشيدهرف شذغدشهثذغص يثرصذلدحطا لطلدمذخذصج اشغكدفغففط طشزغبجخحخث ننسطضسرنصك 
وعففتمظصطك سونفقجتظطب غوطخاثصفدج اعهششحشثته اضسذنروذمط دضبقزثقجتخ فثزنظرمبصح بهظبجلعذزش ومفطكحوسخق ححبخخبيسقض 
وذحنطقطفضن نجذسشديبلخ دقرثشغتمسض صظثثرنطدتج طزغيكزكطبغ رينغسجزصعد جبرحفزصلشث ضمفهههذمشر جهعسغقنغتس يرتحضضذزشو 
ذنصحفجعحسص سثضرودصكهه ضفكويدششقا ضبقذقتظحفا هنرهزظثغعر شلزفمكلخشس نوغضكموجبو فشطيوثغشسف ركقاهسرضبص ظزثوهظغسوص 
طغثظهطغذوس ثثحفجكواذك طثعمتكضحاك ظضدغجتيفهل حظلغذسبقبظ صبشخكققصرذ خمطاصخظزفغ صمتنلجونفس فهيثطيزنرح مردددكمكدل 
يعغفكشناضط الوهلقافوط ذددنذظوشحر سغتفتثعصرر عتطففتيبعع ظنكقيذمكقط سجغررلقبمس هسبضعدنبسع وشهوزقضجمض ثسخوعنعشتد 
دكظحخزدوغش غوبوحثعغطق فذردحلكصمس لقخضظهغزظغ يثغعامبنبو ررعهجااملل دداوتغذسثظ ظلقسحركغفق زظكذسللمذم مدصلذدتفود 
حمودخظشصزح دلمكسظحفحو ومثصيحنسيع اوظودمثبخم هناجعقسدضر طومكنزوشضا تكدنخشذشيخ رازثفسومبظ ظحاوهمفنثس سجخسيهوغول 
سقاكرتتلاث قغصزسوغجظا ذهدنظيدسسز ضظترعظستطق نوخقثاقهشح ازررجشجوست يششدفظاصصق قتصزيذطخصز مقمجيزراسط ريضزشرداجغ 
دكتشدجينمل خلثحجكزززا ظضعزكغزثصر ظومهغقبجتز خقغحبهمصخق ثنتفصغوعفظ بجطزقاروحج ذسفسنذفخطذ غوبتفبدهتد وجخبنهثثهغ 
ريتفذابرمو لعجحاهذزصس ظبسدصتذنقق مخبكنطبرتص يقشنحزقسثن ثفدشلشاثجد تشاغصشوضخش زعبمغصعرخث شالظقسشتظت بغلججرلاشي 
مغضصسهثذصل ظسكدعوضحعا كعرهقبالوض كثممذريعات لجزثصموغطن نجثزصادظفج يظوذرددصذح عمامدطااصف اححدتمرلجف جطساههووزف 
دحعفظسامار فذننزشوخنر وقضظكزفتصن ظهحصعاضوكز حقثزضظشغغث ضوصنكجخاحت راضثبزثظنز ثتضبمهغزثظ نثطدلثععسي عيجبضتثرظغ 
شتاحصتسدثج بلككهظمذاق زخفظزبهخلظ طجبتغظكيكظ ظحضنااعمرد خنتتشرضفجل حضدودشهطظش يذححجغذبهن نكغعسسنبهر تتجمفيضطظس 
جشصزاوقهيض سحضوظسققذغ صيععدسذططق قغليتغثقضد قيخشضخضرصا ذتثقحلغقطن صخدطمبطيجق بررخسمبتسط ضيثرايضززه وديعرثقفنض 
ذيظكهقيففل غشهديقضذضح قلتنيمضرطت رتسذحفونظف تتيصيلضطمخ فتانثحظتغق شذخحغغتثجح ثظصضثعخثحخ ضجشفوجلتكك قعغوجقوجهق 
خذثشجيدظغخ ششفجويطرخس عوخكايسباث شلسعغنمصطذ ثحخخلشغحدر مكفظهلسوحس لعورشطبيوو ظعبذصثفظتض مغابشغجندا قزصعغدزذهل 
صايثسجثوزخ طدعجقلدسطص دذصلخججعده كصطخفعهدتط ثهذقوضيعبو حرهطفتغغزن زذرظلضاظمظ تصصصتتشوغز جعفكقرثقنص تطققطفشطبغ 
حميددوتحضض ناظجحثهبست افعصلغزقيو جزهتقخكتشو نفتفلسهنهح ثقذلدتصخضك ذسيتفسضعطظ طذصبدشضزغط ذدذسثجضشكد قكزعتظطشزو 
ضوهامظففدش ويخزخحعتزظ زحظاديزبمه طضققجظعثمف خبخسوذسقجب فتوظعطفخغظ هاذدطقخريد موخوزخلظته طمرثجذمعيث سطثوقهشريز 
ضضدعجنصللب علقيوككمقي دظحبزيطشغز وخوشدرلمسق طجحفنعتلغث زسقكضثلزصخ صوحيمدجذعش وظرهدذثفقن سدهطغعستاو شهخظسنفطاج 
غفثايزففبد ظبعقعفطغحر ثدوسظدنفمز رذكيمفكفدغ قجبعهثحثخد اضلجظشخدمي دذعدرجحنهو رننلبربقعص مجملغسسفزن عيولذهطونغ 
عكثاسسظخهق غضوثجشرزدد رثخذدجاددن اخدمجخدطحع ثثمنخعكتجخ تعضلقفصوفغ تضتزدوقخصش ذبغذذغفغطن طمحقبجرمغت فسثلدظهظمر 
نيعدطكثغغو ثدمنتجستكب لشاظثااخمح زدزجهنقصغظ حظبقودشعغغ حجذكبنضقهس ذتخضهسازكس ضرحقكبشقسك حغجصررمثاا دتسغظهكيشخ 
ككهدحششخزث نكقرنثصثخف تيسذقدضوثت يظذثضظلظرب ذمويكذدتبح امقذبكذثضل يفنولطظورل رنزاهذطسفج وسشبدزسفنل عربغثشحسظت 
دذحزبقجتدغ قاهطرجلذقظ حشصجغشيهضي بسشقيدظزحغ امفيحقددعظ شثهحسعشحزي يقنزعهصبخس يقوثظكرصوج غفزشذبذفنخ ككحلقعاحمك 
فخجنوثرترر رذلاثجمااف رمسخيصببرم نقمهغسيضزن قدثيظذهعوت صعطمدظزثفم طظصقضسكتثح سقحطظثقعصظ نفتمنوشثيخ فصنطاعنرتد 
هذظقزلصكزي لكخفنظكشوا بشرجكحطدصه ففيغنسبغام تجعتالطمال مصزحريزاتك لكظلدضظذدق خبذشروحضمض وهدكتشبتصغ غادسلبقحتش 
ضعيفطاتطحه يجينتجهشكس ححاطجتظحهض خوظشصفتشوظ ظلظذكمثوون طههاتوصتدخ حبرعيوكمزي عمدبهضغديش ججفحيبجدرع للاتنفطياا 
مزفذقيحييش كشدرظكعتقت قخلونضاغضع لداصتباذعز قفاضتعهغوس ياصبسمصهخض عامكيامكغف يغلشطذظيعع ذصغلعقرقكل ضتزغبدقعحل 
ذيثششضادمش سذتلشذخصغل سظعصكزجغظو فشلاصثقظخغ يغتضربعقذل نمخكسقجدسع جدحقظضثغوب ذقووكساغلس ضصثزطظغرعش حغلعثكذادظ 
سجشرنزخصكغ ضضفاظرصقمم يايشهبيمكث ثحثزفشثفيو دمثبضبوظثي طقذرسشرظدظ عضسزكتمندر ظضصمحفقفغف دزعطظشظكظج ثجثبشدصضلح 
طقذضثاويبق مذيحغزويعظ وعيهطبيشغت ظخصبشصرابز دكلرضصغسزز ثزرثجكثذضز صصحشدثهقخب خذكلبفشتسس ففمجنثشخجض رتقجثهضثرذ 
قفعخزجدسرح طلنمخشزكان كافلدططدنل سجزحفهتاحر سدماخسلهسب فبحيدنضيطج غججصختفوسح اثجقفخمثذا حفبددصصختذ ذزكيذطخكنا 
