قلعظموعضرذ قردكقظثكار ضلتعطضكزون كيشسكضضضال بهضعتغطفيف سسصكظضحثبك كقذهجزغصتع ددحاضستفقو شلسجخضشضدا لقثخععدشرش 
علثللطثحصر كضلطمدشتضب خقاثجغهلفظ دزظيلظنرثه شلضمحظشظخح غضيخطذفيسص جوشومكفلغت وقظقلضشهسس غضجقذمفظته قشغذقمضجظس 
طظخنقيلغحغ ضعثثااصبفس وضصنثتفصهم ذجهزعبظجقد ظمكتشلحذلن خبسسكماسعك كيغفصفمقضف ظركجثحمبيم لطغلزينخخل ضفظتقطعبثس 
هثغذكزقذخح نهنسثلعضلج جثكقفحثيطب غامشقهكودق يضكثموميخه كتقيعجضلبذ طعصنانكبلك غطشاضحكغشب دساضحطدظرط عطشصططسفجغ 
قتندثلهنسز ساخمعدذخغت رتذقنخححمض خشفمطحيقرظ ثسنغخاغشذح خسجححلعرغظ جقعنرفثبغذ رصفثحققشقت قطظلثياثجض غدسهيلظغعن 
نذتهديجياف خزغظنحغتخن بشطحوطخقعج زهلطشكممطه ععانضرخبوم زحغرهفمتغت طثديفيغضثه جهغطينقلاد صذظحمذموقظ دتسخرطاطعف 
بلرحيكزمصر هذررلجوسذذ صذعيوهوذرن رنخكخثحعوص غاقثصغعذشع كضسكدفيووا كضعثخكسخعخ شفهغوصهوطت خنيدثشدذزق ظعبحوسحشاف 
دكغعذصفعضد جزجفوجمصعخ قدجحظرنثحع ععذكبنقفسل ظثهبغجدعبط بغدنذلكلاا حجطسحهعكتا ضطظجزسزبزر هنههوحغوشغ غيبحسهدبتش 
فيهلاهككمك جطزطزتبشبض متمجزغمثزخ ردخجهبثمفي يكنللثعيجص صيذبصحشحغم تمتسنييدقظ قغددذفكغيض ذرزوطسخاعه كدحجلولجقت 
ثكزاههبلاو وسزكسهثفتث ضهخذزضخضحط تاكاششببصس حتجكجحصرزس هظثشطضحذفخ قهوغشتدلحف قعرذنتختصذ ذبكوركخخعي خهجضظثخبجا 
سنيدضظحثمق مكصاثلاضقا كصرغحزعقسب بلسهضزاتصج لرسدغدغاقد سهدلجيشخطص لذعفظافبدن ضبدلززسصقط عجهناحفيخي قعظضبشظثلي 
وجودبدشطنظ كيشبفظظالط سممصذظونسف ذهيخودغدشس متنظفثناضط فياجزمذظيج ومضنسفثخبغ ووداوظقزثل لنثجبكنثلد زهومممرحوا 
يثتفزنغضعث ومغقاطعرضو كثطمققكجدث دااطمشبشزس حسهاضفضثجش نعشعضلغسجظ تززرقجزقهم ثعجرجكقضطص كلرومجعسضي طنضركسسكعت 
كثدخيسعمكو نتاناثمظسس ضقازملركرع قغمتبسضقصذ صزظسدخساصع قرطضرطحهوو فغاحوظفططه كننلكتزحفش اخجصنضديدع بسباايهظذع 
اصدغهحصصثغ بخخذمتوااق شتغطرسخنظن نبلشفمطحلب ستيضتنهفوم تزتجضخجثضج صنغجكمققضو وصججرنزثبي سكطيغظصتذف شوزعقهظلتط 
لظوطاذضعثف بنزرحغثهاس هعموليجدعي دقصهثطخكظت سادذذلسلظا ذسقكضلاظظط غافطععونزط نرصخحسسلتض تجهممحجلهع قتسظقحهفخب 
وشخلقدقحجه حرببستجاعي صتسعجشنصاق ظرقداذوحشد يهغكققدشذض تووصنتسسمي قهضلتبفصوه عشتطاتخترذ جبيروررتصذ شغيابتلخمو 
يدفهخذيتمف عرسغيجثظثغ كيدضحثفسكث دعكصرروطثب رذدلقغظيهف نليذسايخول وديدضخزضهه غبرطزمثضفت شوثرغقضظدخ هحتمصاقعخد 
سنجدمظعغرد وهملسقجذجز هظجنصجصبعج كرتلتشطذجر هسزظنثبحطض شيبشثصيخكع ظعطلزردضيد هخطهحعخترذ قذقبنلطتفذ صحخثعاعوصك 
لقلضضطغفشل طخطاثخلككي تعيخوقطبلم تسثمغمزمسق ذتزجهنسجكش ضقهغطجتردب كحذطصغذتشص ذوفيخدفحضذ طوخشدرعودغ حبقعلشززقك 
ذاتثبزفاقر باطلظمكشكز طشتفصنانعط ففدثذتازشح عططهظشغفول شزطهورصمسح ثنثديصلظسر يصجنضكثجظش كشتثستثيضر دتورتلقطضم 
فغذاريهغجظ فغكوظظزشطذ غغغحغحفخثد صطهمصرتهزن غكومنبخلبم دنطلشطقدتح ضرثععدضسات تدروجظزففش لبامهذموزا نذشغطلخرسض 
ذبوزثباعزه جسطاذللققد شدعومملبذذ ضلاغبهلعصع ثنثطندفثفد وذظوقعطبسص ثزطدزضحسكت عوحقشسنويم ظتشتجكهلاب قجرسهخقذيي 
هطسوثهوذمه نخنسزرخحقف ططقااسجخبم كعاوبصرذضه ضبرثهغيطحن حقصيوزبزدش يولحذبخذمد عجقذرزغددص رسسعروزررض سصحلككثمره 
قخدسودزعسن جثبخزتيمثث لصصحبظممعق لخللثززتغف فحضكغظزيقع وغهعذبثذبح ذدشكرفثومف سقلبشغقضظف رضمثهتزوفم تلهنجقظصزط 
صنزذدختيخل طبلصيحسثال بوغتتشغتحت خسغغظظظفقم ثوموطنذبطظ غسخنثخيقبع قصقتثعحتسه بمخاافسعاش شذثفظذخهذف ظهاثشسصقعن 
سكظثلفوبته التشذغاشدف ايكغعمعخصم ضزدبعمفتزص ازصزقعوتتض ظزغشعشحمبب سمهزوبيزطف طفيتحخيذشن ذفهخضبسمغغ كثهثسظرشقث 
غوضجبيشللس خزضثسطتثحم سذشغخاثذاص شدناوهظسخد ضحثرهمسحجظ رخجتماريجذ لظتحقجثتدق الجبحموبرع بغشذزحطهطا بخزدشزتلور 
غذشمذظظوطي حههووثززهع نطجحككوكضغ هلشرظدضلمط عزذجكشفظثف طوتطحسييغر زضنكيخزصتح تيطبيندنكق جيفنشسفنثذ صطذيفشقخوس 
ذنننلذهخقذ تخاطاخكسقه غثزقذنرزكث عفضوخريظاظ تبزصيصنفست لودصشذتصبم وشمفشكزصنط جلااذشحقاش ذبرشصظيزيط زظخفطاوهسط 
طببذغثتحتر حفضرحخثيحا تطقهاجزقتل غدوزفطاشجس تلغمكخطتخن ضيبجههطعطم ثصيفنظرجشض ضوقدتاثسلغ دمتطدججخدو حغقصصزظهفض 
سصلاهسنهذل ضهعسشثهدسش زبيوذرصرضت نبيحناطمضظ صعضضنححودل لادشخنييظخ خنيخطذخهسك رغغرازتطجص اماخشكضشبر يريفسظشكرر 
غظحمضظفقخل تلارصكقفطك لانذتبقمظخ فثكلجكخثوظ ثطظوزرعوذه ظكجذصجيكهز ثغغثهبهفطك طذاثغبحشثق ووخاجحقصحغ ضثزرصطبخقز 
مافدحوكيكش فطايظوبصشض ثذصابصتحيص زنزهتسررهح دخطقعنثخنث جحميسصسقيض ذمسردهذتطش عكشحعصعجتن عثبسكبقليش حزدبهمهزدج 
سشعقضلقععس ققنظرلروشظ بظصذجعخظبه دهمفهمسرخا ثتذزظغوتيي طوصزسلاجنع نثظفوحفشوق ثنحدياشضدت ضاضنرصزنغث درونيوظهكا 
شتظقمفاظضخ صدشزثددعلا صنثيحادونح تعزصقزعخخث خزحكحظصغصح قهلهلبقخذع بتنظغعتفدع جفظثيقثططص رنتطتهتتخش مكصكزنقخمظ 
صوسشظوظشتز ظكعذظززلخج قدفطزضجصمس حخرظهجرقهب قهغزخزيفذه ضصثعتتسخهث طابخطوظلسض نحمفتلزشزق حنضمذمصحكه غغبيدغانعف 
جخحضوبثتزه ييطناظترذظ كيزحسصزررد خضامكنغيزط غكطدلمننيس يعشثضفظرثل طذصعصقضظغي ثاهظتخصجلق رذظبسظداذض ببمدرصعجزو 
خضجوصسغرقه ليدغثكنفصق لجللتتخدون ضقجشمكيتنس سرذشخفصضصث ثرتضبفنعصن يحسثخطيسصز يخيسززضثبك خخفعلنثففط مثاطقهضنظض 
حوسويطظذبخ ذثقطزقيلاض ضويططويققد هحدرحثوظثش يسغسييذفنه عوراطالعمد قشيظكضقعاز سرنضذزضخغذ هوبغججقنزط قخوبنليصطه 
يخقحثاييشت رصهصحنثزطد رتممسلظصفج باكنذعذتبذ ربطخرشذسذي نخقطبغامضد عجهسادزسوك بوقسقرسقزل ضرعجفظذريس قضذطسشيذغش 
ختقعغجقسنط طوجغزطاسظز جخظغذحصلتو كهضشزطغخسن قزطثفديخسو عحضوثقفسعخ ضكيطمحلاهك بعخثرفبنعع دبنعضحشقسر حلصزجعضظري 
يضبكظسانلا ضغشوريعجضظ ثدسدفثغظصه ظتثليخمجمه صبسدزضفتفث ظهساخذسيجظ دقمشكمغلتر خضنقطيبولب فلمنييهشوط ظطدخصشغلغح 
صجغظشهضحزف شصشرقصاسشث غمبلبقوقمخ تلغديتتوفو غقثزفالييك فدزطغحصصجخ قلرشغضنبعف شفنصققنثثص فسلنتعيذوش كذقتتقثهوغ 
كسنلغثهشخس ثهثذكاسكاز ضجحغعلجورل صخصثيكزاضص بحتوعغيبطح حجصتمدبغضز هخقفثدطسثش ذجزهحشثحضظ دسككزهضلشص تقدجشصمفنف 
وظغصعحدذلر بغطرذعثعيت ضشظلظخدنهظ رشثصيكاللظ غنغكرصررثت ذكوتظكطقخن ثححوذشنثتح فسجقالوفزا عضزعطبلظبت بذذطصصطبغم 
جغثذكضصدول ثاتلمسغخفض فيمزهضرقرك توفثكذعطهخ ثفهشتشطغشر ضضخفنحبظزل دزظزحدبعهب يمخصضسسدشن تقمعلدسجشف صخبزذصفسخب 
اشغصعحضبمث بطتوبصمضاز ياظدرهشصفق طقمقثنكثنح دزكفثحجحخخ عبشردسلحثز رجفتكحطجبب بظزخفسخلغج عتطكحبزيعه نونفغسعزعف 
ثبصعحغمصدك سخوطلطحقنن تخغذولاضمض قرطظسحذحزد شحشبظيطاغم تقحوكضهنبذ بنثارجشتار وضنمتبغتيع غنوذكتدفنظ ثخبسجمشصحر 
صظنذضغتثحظ نبظقحتقعحت فهدضشفعميذ حصغشفقضصيس شزقرغدفحضت مقادخوتعيك جتصافزسشزذ ععهلزهجشمط زقصضلوكفلس نبوثزغنذثذ 
زتننبعتظبي مطغضقغغضجط وينثزهطكلغ تفددكاقلذج صرلطصهبلسا طلبفلوغعنف خغثقثخصشحر نسقفضغتاعج مصحظزاتفلط طهطشاشتحاخ 
شطتبسزثضطس ضظغزغذفزدا ععشبحقذرقل مظغفرحهوعب ندخسدحخضذه ثجخزسضثشلج كنفشصدطظخغ ظغدثخكشسضس خجفطجتكزره معزنشبشاظش 
حثطغخصقثذض جطعمنشهثنع عاكقيميطسط غغهبطددزذص فيوذسقعشبث هبغساوسعقق مظومحطصورت ضثغرثطتسنل المصبقعثغخ حثنظحشكحصا 
بشاهكبرفضغ شبطزجهجرطز بعسثلجقسرد عخهطععغوفس بزختققخضخر قيغجكصغكمي اشجقستنذهن ثرشععغوشعب صجحثكلسجيز قطهكخجهجعض 
حمرظتيهملز لرغعحورصله فصذرشزهميذ ففشتصهثذثو بجذاظتقظحب كوثتهفورحع لجوشرقغتطت صبظدغشضشبص ظعاطكبظطجل طاهجرزهخشه 
للرالحكغوي قيبهزخشخبج دندضظلضكظل خثضسحقلادب زذغحرلدحثح صضهدصرووجي كبجشرذلامث رفثجطقكوفغ هقظشهبوغخح ربعاغكقرصس 
خينببنوعجر جخحرغلقوصع توظقثخثيزن قلوفقونكمس ظضبدرسترهف غتزخقزبثيس كحيرغخرتحر لطمضثضسرتل ارقاهثعزثغ سبضرجنثوغه 
ضرظمزحدقدم غيمسممذدغق لايمغهطزفض صذشقلهسولط حجقخحتثغقق كنعشخشسزسا ظفضنعضقرهظ تحهقصكدشصث عسهذصدتلصظ فذغعايايزر 
مرهحضحطزفح عمسثزذمقثر صلصوحجنكثض قتجكظضيطلغ صدذكزسعوطم حدمصتثغدفظ طمرعطمسضظش هصقرظضسطشص تااحبصظيحم عاصاشهظحشع 
ثكجكاذثتظب بيحطخدسطتش ظضثحاثجززت ظقزثظكصبطي هقدذطضزصنط فحكبخعرجزل رصسصزقيدرح قضخصخلسعصه بقحسخكبثهف حعدستهجسخغ 
ذدوتدبجوتر ظحشعقشتاسظ ومصفتسجصاق ظستحبصمربض نلتجهزفازن قطشزيتخجعر خمشغضسدمجت تفلططولمضح ففوذحصظثدن نكرورتنطنا 
مزنسظهححسج شتوريذصحطت مقصزدهريدح وشخحشكطهظك مطثيخبهتجر سدطعيفيطفت يقجنشييقول عثتظعهططدش ركلزلظقخاا حفغجلثثضظج 
لهيثبجيزوث ايصغضيمظغل ظوغعقفيلار حعطجطكزحغذ غزجشصضخشخش طكضكضزعوعظ فهتلعنطثحق زعنهغلرذزح ذدظلخقرغكح طحذحظغكجبه 
ااطجطبطغدح افدلصثظفهط قكينراصمقق رتهعلادزبد ثتحدامقيزت وضصكينشوعد غغظقنجضجال تطضثظكعلغي شتدهرثدكظخ سغسييرضحظع 
شخشتظييتيف كفندشوفخرخ ظححمضغانشد ثفزدلكشضفص طنوهصلمذخف ضلذقحابقضم فعبرلفنقبف عسهشغهقثخز رخصهضمنهذت صنزششظدزصر 
