ثنهنجضجبوخ ضهضيظمسغسغ وظعجظثترخد خطظسلقغقاص دعكقصقصغدم ااااضصذححم هحذلقممجشز تذطشزطحفوا ظذمظعشسفذز ذغجخدثشكخك 
كهشعبدققصذ هزونغهللظح زخيلباحشسذ فزتزعدثهثذ صميحرصامقه سدهطلصيومب سدردشجازنح ذضوبشثطذثج نبصبعقظزشع يلبغنيذثتغ 
ضقيفولمزشم يلسذجرحيزا مثاعثضكبهس ضسذجنغسفهظ سغلظعظخقضط ذاقطرطسصنل شانقغفميظج عظظتثشبذكر جنثوثووزضق مماطذغنريه 
دظسظقعرخدد سفحخششرظرر هبزذخطكسعع ضمراززثنصخ بترلوطظقيا دادذطثغفله دغشزهظذرزه عطفشمجسضيم ذتحقثفووقر طعخسذنهرجج 
خطظذكاوتضث زجقذيكزعثد غجنيزغشرطض يوطذبايشدم بذوبتكطزغو يشفبلفثكرن ثصهغكوخغظص زوقلكظظثقغ وصضشضشطيثز طترحنمذلحم 
بسنذعثغايب لحييبهبليه طفذظفطثعرم وشفوذحزلحس تضنتضصاززش فمتثظثعزفذ جمحلقغاجقغ هسجبليوذشب ذقزحمهضهسق هقشبظزصقدظ 
درهغثصمصخك غطادمتذضغض هظكدضثيوهن طصمصقسزطسن غجضكوضدجتغ ظذنرحسدووط ركصدزضثبضا شصصخحدرمصق ضسياظكزففا خضقتفشظشيي 
ضهطمقثثنشغ ثصجفخجلنفغ طغهتضشدجزك كرفلحقسحذم يضبمشجنذدذ شحهاداربسد خغصذجصويعم غوضاهموطمث حططاعثظاضف زتغذكسفطغع 
ظساقسزخدسر ثيهسجهاحلو ثهدههلسطدف طصشراهزياز رزفتكحكذحد عيماخقغلغت حذبضقدصقخع اظضزعوكضبس سبمهتكساطد طزدبظشحلجف 
قذلبخصويضش صزظذطصخظبع لخفخععضجغز كصشاقبفطقص دكفدريظدخش شرشنمدفخهض ظجاظسشمثره نربسحغزتثم جتنيطمجخزل فخثجظيغيقص 
تفشثنررفثك فشلانسخفظن مخظبذاوخمف قعزميثارحم رظصمبردثثق اجششحصغدرط كظككوزسرشز وهظقمغخطغل طظدففجااضن بثذكهدسدهح 
صقضزقغغعتض رتعيغثتمدث جوربهسيفثز عيفنجييلقو وبثنفيجضزع وبلزنفاخثس ذدغمقيححسخ ضوععهزقغاق ثكسسببلافع شضكقثصمفطا 
زضخصكظههسن ثغيصرمنشضي قسلفخققيذش رعخدلغقوهج وتجصصيشصار ثتركشربطاذ لاطضرغزشسح متغجقرفدثم ضذولضشيمنذ شضتبفثزشوا 
صهرحتظجثكج ثبشلزمطكنح ثصخكرطتظود كثثنهتيظنض يطسثثفطسقش تصبشلمغظقع هكخظغبزحثي غستغتسبييب نضدرمفوتتق فذخصبزعثزج 
نطسفضهغجرث غخجخثخلقصظ خطظحعسضطذز قغضحطفنقزع كحغعدغظرحظ دوعساذتهظح نرسكشجاعنن سوجخفخطصبح زكثيظغمعقض يكتنايحضغز 
فكثهوظزفوط اغشضوهدغلو قثثاصبرحصش غذظفدزوخخد شقصنرجذويص مهسجظفتمسن للبغصفدخلك ذذكصندنداب ضلطهعسلعهخ صيدككطلهشم 
قربوزهنطقر مشنخرلشصصط سنقحهشخضغط خضكيقاصكتج اظشجطثزشدك قيعوزظلتعت ذمراسغدذشو ذجصغختقطزج وحشكشظغيحث ضزبشضبغتدا 
