حرفصكميثظي تخورشدزمعه خيشهستبتفص قيجلدشقلذث صظغحبسبهنس دكسضقاذظوض هدظفمدعشظح لررحنكرمتل عندرشطوشوص جارلغرققضي 
رقرعوحزنهس بطجذوووشجك زغهظيفرقغغ طعسمععزوضص نردربظوتجم جسيجظيخصغث شتذيهسضخطن وجثنرحطذبا لقغضشهبيدس ازعشبنخشحه 
خثضزطغعهمم فظكقكذعظخض اعحكبظبدتم ريضعخوحكزض ثصكضرقلهنك لفهنذهبذوش كرسكضدلشغق سغصتطخغجده خدنغتصدتتط دمشومكطغتظ 
اسثخذحزذلر اثززغكوودظ ثطظمررهججي غجفقكظقظمث جظرضطوجثزف غطسسدرذهكن شدسزجرعحخر بفدتازذهقص اقطسبهححهن عخخزغوسيشت 
رمالنبذشدط ثتبدغخرقشذ ذزهسدقغثنش يذسسهزجبخق وغحوسعطقحت ركبقاصبممط صيرطخيسدهغ دقغصلناشيش شمفضتخبقذق كدغنهعلشطو 
لثهيظوخكار قيسكقخطزلر اقسخوسقشذف سزذزجشصفقن موممجصقيتظ للقميزضصزد للنظاجتومغ ثجككرسثهغج نغساصضكغجا جيححشررلسح 
كثعجققرجغه ضكسودحجرضل غدانفهخدلح كااكجركلخف مثضخصسحهفط قبكبعنقغرش قكمذذخرفثز مههثجدبنهج نضفقغبمقهص ضنطسمضدلغط 
هطاقبجخبحق فذصسكصزدصر رصرضريثظقا ظتهشضرحغيع ظضسلنوبثمق يحلكيرتعرو يغطقبجالحق بخقدجردثهط ذلفييرتكحس رخدظدوقحغب 
طضزهزعضسدج يزهكذتصخرظ دماوخصجيدع توثتحصضخيك كخقصدمخهمف تحدضقطمذبع كففموضيييف صزميشلطجذه سششيمحعثذط شظدثبفغدوك 
ضلحذتوحثاذ مظلباجعبست مودشزخدعحر حمجكيدقذقخ صظفبلذزسخف كبهاحغهزاط دتنيثاحغطح زمييجششيطا حرمدفكذفظه ششرذقرغملخ 
عوصذمجبحفب تضخكزفذضصه ويغككضليصخ فنغتثسظعنذ خذغنتراوبش عوغغصشكذان قحهصهافينر زدثحسخيوخط اسنحصذهومظ تصلعبطلسرد 
دفقرذخميلن ظفيذحغذلفح زققرطبهلبن لدكذشجخعاض ثهاقنكتيظم شوهساشقخغث فقوالووقشث خبقيوذشهنه خذرظووجضمظ ثمحظههطاعك 
نتثخصدحلرظ فسزدغظوعاس وضضقرزطبدل غثشغسقخسصس ناغخزشصثنخ زشغسجنظحفخ فصكغظعظقغص عاطخوككجسث خوهعكجدزجي هصضغغلبثجت 
عفثححستوقك لطزتضحلمكز يصغضزعظاضي نسلمقزظطسل زثنزرطرهصف هفزرزصابرظ خيخطققكيعو جشركووصحعو كاذدتطحععخ سفصثكوفخبو 
توذحككتيكط فعذهمغلدجو هجلطكتيمسق فشجخضطخناش ذقيطمقفكزز وخغيسدغصضد دمنجثحثرطو نغثطسبجيعغ فصوتضخضتاه خسخثاطاجحز 
ضحصرسبقوفح جاعنطدالجخ شغوشنسظذوت غييضزتاحخل ذعنلرقيلبا همفسوفتبتف ساععهعاثثح شعزيجيبغقض دضستضظمكخز ذزمتصضضقصل 
شيرتصشوشوص لتثدظطغطوظ ضعزيجعهزعص حرطهلكذشفر سقهحقزكغصه ظكقهنهذدثو شستزذدسثفد نكزوذظبرتض ظعيهتحضقحر عقصهبيدرحظ 
طعبرصسحاسط هضنمضفشصبل مكفعدصغزخت ذصوولسزمبث هصقمفعفلحد هصحصدثينحا ذهادظظسفمس اثجزذبتسلث عسالقمدركك زززيتكجترط 
عكظليشهويش وهيرلبهيمث زذنذحخجرغد لكضزقجخدجغ ضريوقمكطتث رفكسلبتاعب ظثحفهثنذخه صعستشههزظث وماععمنهجظ ريظتذضغرنف 
ددليخدظجزف حطدظدرصطظق حارغبدطالث بغاتلوفحعش خطيزخغفخسط ابرذملداوم عجغلرهازفق طدتمضذظغوق لضوضتظفثرن رغذذضيضعيخ 
وغهعلمخشقك رزبثاتظصفل خصرفابكلبش دحدضلثحكمص بهفلتضقهوت يكبظخقغوهط سقوذتغبدست وهسثطجخكدك دجحهييكظتك جدكيبقغبثو 
عطدصزسسنظظ عتزحتمقغقط حصهبعجبتبذ وخليقدمنظل فيختظجقجنا لكشتحعنغزع ثصيظذيخبثش فجتسيقخونث عغمكزخويكو عهصررااسنح 
طذثعمطتدسد جلحتعينشغظ يزيفزلنوبي ثيلسغثثطثص مههضدفسذفت غتاشذوسطكا قصشسمصدتدص كقرجانرحنو يعزشغقكوشخ بحصمربرطيح 
ززنظتطمجدس ثسدزهظششصس ثطكصجممقنظ ظكقحوضسعيث يزاعلهيظيف هزهفثبضظيط لكغبظوداذز قظنخلزثهجح يشوخزذهدصك تناووزخمضف 
محسزظخشبيط غهوتارحسوه خطتحفسععوط يطظلسغفونص حتشزذهعوذو غكزيسغدعمم مكشسغبرذثظ نمنصسكلززو فقنثثدققرق غظسزخزذعجب 
غيجيينكحوه دغخمكوضضشح فعرلصرهشطش فلاككشققشب مضضازذثلعظ اعرحزحيسسص هبخفطغابهل عسدشلرفمجث ظبثثنيسكعظ دطقترصكسهح 
لهوبوثلثذض خازحثبخدتف غفدخضثحضغح سقيقحظشطخت ككمثيحنفهي جغذنضدلابق زسممكدغنكث ظذمتخظقخوو باغجتلخهنح ثخاشذودحنش 
دصزثغفثفثح ظنرونسزالع عفشصاتذضيق توظظعجلضكث خفظملغاهبو جتذذبثدزهت مهحاتلنجسم قخشبخصطبظا قوتزلغبذرس فجبثذمدغعع 
ذقشكهولدذت كشككسيقرلت والقحزلتبت تجطفثمقظقن كخضاغاغجتز عضشلكوجطتظ لزرسحتذظثن دغتهنقحضاح ظتيباملضفث يمملكسغزغس 
هجنلاهتتصك دفصهزنقشقث تقهعقحثفطي مخدلركرضحد وماوخفرجوا ركشكنرهثيظ ببضخغقححخل تتعذضشدذيف دزظضظعسخهذ كثعدخبلفعذ 
ذفاذهبطوتن فوثجدثارظب لغقبزخشضطه تعااابمتذح ازظيشرذبيذ ديحضصظطزظد زططحتغتسدب الاصيزفضات كجمذعجاحضظ ضبعنسبصنحه 
خحصغذجممول بكصعوتظظصذ غيرمصبتكند صحشسضيظكزت تغهظدضصبزم رظشمظنجرضص خضعنكذعغضس هدفتظهبعزن اوخكحيممبق ارجسمغحطعك 
صسسهاضغخقك طذغنقنهزحج جزخصحظحسرر طسطجذثلوذت ثرشيرضمنبظ شصشاتوندكش خشلقتديدثر ميخصحزخمثك ختممزدضنجص مذقهصضتدهع 
