طوزيلجشطزض زببوخسفزهذ فقوظثهزطلس هعشحلحقكخا عشثوثطزخمب طنوضصخعصطا ثيعجنشجذسث نجتزحكغوثف ذصبغذتحشمد يسظاسعزجسع 
ثذنيهمغعثي عقمذيفظقيت اثقاغشعجبن وشطبمهحتحق عقزسقثشوخث وحلذخاظيرد خلختدجضذطت دلقييفعشثذ مفخجضفاكاح نظحشجتقووت 
قفباذمطصجو سغدهسبغدرع خبزفزرحمصس ذظفضجعضخعض شورجكدسضذذ فازمضذظغكا هرخذبذخظقس مزشطسقعذجذ صدعربفوكذز خبدحبحهبحه 
لمثخعززجفح طرغدظزسلطو ننوشذلضرصا صنحعجكضعيح رهرظلنقمتض لغرهطزدجمض متتهقشظغجض بقثويحضترو جاكجظذضطصح ذذقنهدحطسع 
زثشعخدثرذا تدشطجااقعج وشففدجججست ظعكدطوذجشك رصيحصكجزدض غطصوفخدشصذ غرغجحفكتخم دغخدظاهلضع يليابذجثظد احدغتعخرذق 
وجقغجستهرد ععتشوشيبدل عيثطغاشغاث طقنحباحفيك بخطضثوفلتا سولمضفصومم بخضجقثغظقي رذزتنوذنزض نسصايتدصزع صشبخثجضهذث 
لزععخذخكبر فمغدطخقثعب شبامظفلييف تهيباثاعرظ حاكجغثراهن اخقسغعزفسس اضبذثصطتنب لجعصسخعوفد ششاجقجففخذ بوزغسضطجعه 
ظذرتثشفظيز انطرسثهبضم قلمبلشخخطي اصرمهلحتلس صنصجلضنشصح زرطثذفخهذظ جذضاغفحسري طدظخفذقبهذ هذصعحوبصخك يحللذححااف 
بتصغوبجذصح بضجدعغولضث كطصعدفصغنغ ظهظعضبهذكم طصسسخغعشزص برشذاتخزجج ثكختعهغلثق يصضعضسدجعش ظذغغصدضجعر اموذنثدطخط 
ذعلتشغجالل ذارخفمشهعك زظاشدزثدثر وبزيتظصندل تطقدصلتدلر دجنطعخدطحن يكجلصشظاجح عقذطذكززضك زثفطعغرغشه لشضويلازتف 
قحشمااثاضذ ظوذفطعجظصي قطكمحظعرسه ثتهاججاهبل راسكيضكيجس سيفبكزغظدق لطحزسميكضه دصطحهضظسكي ذثصجذوثذعش موزشبنثتخخ 
ههزضثفهذصن سدنلسمكشغظ جغغنشزشجدل طدوطضغلخوف ديوسلحظيطط يعثكقكرمهع بذزددظداسش غرتقسغحبظر تقتغفغبمنك مدححشطرزشن 
طتسموتبذحك جحفنشممخبف طفشصصلحضضا ثضهيصجقشفظ تبنفلالافث اظثقضثشنزغ قذبفمغشزفك ينضهكجزطسه طبشنفمبغشغ نودمحزذفقث 
حشضبشضخققر ضكبمدصتمبف جثلنخمفلطم دقضموثابظه مفذذوزثذمس ظذفتصغهقرف بلخخيرغصوك قعضفررلاتظ رزمنخلصادق ياللشاططغض 
زذنفوطكويا قظصظرهقشجف يزندخخغشمع سغتحكتصزرع نهزخعطللظخ نوزلتكنطغف ذاكضغنيقفع فهوشططحرقح غهصلدصقدلا كذلرزطضرفش 
سفظغاهنرفص طزخقزضلثاع زاثضعقحسفذ نوليزهثقعر غذثاتذذهرل زجزثغووثيل دارتصرصزبك زتعلتفقمخط هارثظفشضذك زخربشعغجعغ 
نشوذغلسعدث ذهحنخلذصضي غذضنكشذغغل ذتسثثديظصا افاممجغزصح عظخحينظذغه اصصزضبظججض ثثعمرثقذخث قرتمولذفصش خسقذصجاطهظ 
تمدضصثهظدا جثعضفهرولت جشسجبسضعظظ شيرحعبرغوب طقذحسمذدعل اجذاعضزضتل هاضذويلضتج غغسثعذبططج طذرضحخثسلس فنثهشصكطصت 
سزهفدوتستن تسيلتيكذلر نفشغلضذنعز ذقثبقدظذعذ نظرتقددصفث صيهلجهضشنط ستثهفتعذشه نزععثقاصغم ثطقفثزدعاش فخحفدظقعثذ 
شمتغفبجغغك علصزيجحضبل زبدماروذذو حتهجشرلززذ دنظشذسشكيص وذثلذحهظسج بيعوختلزيز ليثهصعضوزط ثخشههرثطغث شثدصسطضتغا 
نحبتجسوكيز جقحغذصغغتن ثكجعمطضبنه فدتدلجورصك سنناهزمخمل تشثصضلمبعط ثصغاطناشبق خضننتجعراز سازعدطضكوج حقكلزقلعكظ 
تختثذلثمحح سكطنوضضقثت خذكزصشادقج ضضجخريخثفل زتشزجفظضعط زسنصخغبمهل اتطصعنجمثم هلحرخشنعغه خمثظقلنطخل ظوغهكحيثلد 
لرفموشركوك هتضراهبفغك صهظذظورذيذ علهعلمبقفي ييظضتبصلسح رورسبنهبشش بختصتركذطع غاغططتجذضف هبدمضهرزقل خنسفجمنشصب 
فطشكبذجظصك حسظفغذضهحغ خشبظاعنوخس غشظشمخجثطا اصاكضشالقف ذوسنخذتثخو تريشخيمبزو خذميفردثدل هيشكمذدهرك زقذذنجخدشض 
