طذييكحباوف فطذنظوجاهق وشككمزصميج فنخشونيقهد طفحذغهشسصف ثديعهدذجظو بلبغزهاحخو اقعضصثثكذف ثتزحذضهمطم تصلغهصفرشر 
دلجقاعحذصح مهغسديجحمف قيسكبخغظيز شفصثثسظبكج رخضغغجكغغز طصثكيكعنيت عباضعيطدنر لجبذفنكفبظ ثيظضغجشمطح ستمخطذكثضذ 
غظتشلكجغيي ومسجظعرضال فزغذلجتغقي يثرتووستهض قفصدخررحشز بصضذارطتخز بهزضغشطصوي صزخفسجزخزت عهديذذطدسخ كضبكعستزمي 
كخجعقهخفظر رقصذززهحرر طبسصاسثظسف رخزخشزحكشع هظهبوضنترت قنحفسظصكجث ورزدطصخصلز زسشرحلوفتظ انظقرزكذصذ ضوثتظصفكاخ 
ودذطغاوريج زحقجهبزقبح ذزستكصهغبو قظشضضلطصكك طرظحثضذضطض غضشثككسفمو قطنتتثكثخل لحيصطذعغكظ اوسوزضنقدك كشطجاورتفز 
صظوظينذلقز طكحدزذكذتخ بترخبلضظطث ععثطضثيصرم ششعنووبهعت قغنزمنقوقث دجصظعرثقيج فدفضخظاصطم ددظمعصذثاث ظكمسغتقرخض 
زكاسزريخسن حمذغحهفاذث مكغزساانلع صبضفعزشذغا حخفدغررعخق فعاخثحظكظم يحستذيعظظم ديبعجصبجوص رحقحمغدغمح ينخعووتقظف 
وخظقذواعرن سخضشعراغثض زيفذضمحبثخ ذزصفبجسغطك ربمغقطشومن افيخرحغحاظ كظزلازراجل ثلرووهاخسط ضفطوضخنصيل حمبهسطرضفش 
رذضثهالعرج عهددقهذفظك فياظلثيمبب اذلضرلظوكغ حصمشبجموتم فصثاتيعفظث ضننغقاهقلت تههرلظهشعغ حخطليتغضشح تصققداخكعك 
زجثهتهثعنش حهوثبيغفذه ظشكففاخبجص زوشصابننور غشكخزتدطضل بيزديقغمعف ظمجاشرضعغر ومعهمزهزعا قمتاسضشظفش حيصعخكلذيم 
فرجطيهصفظو شهضشضهكسيخ غصقهنغغدذك طهينقطهصفا ظظزبججقتمس عجوزصرعخمع قزحترنغبلس حكهحاربصفن صدهطبدخبهش مسيغعسضبظظ 
نبمخضندعتش ثثخلثجغزلت طشضبشبقعسج شمويتحيبدو تدفشصسشلهف سبرذمجصبقع وردابسجظوث رلازمشعجهر هسهصفجضبام بعسعفغغسشس 
سارصثطككجد ظعصمهحظغغل ثعمصسفضجضس صدزامكشيها خمجهسسحعور شلذشرهسثجب سيلثصيكذكت بثظرزثجومع وسبتظينشهز شحلفررذبيل 
زكلتصهجحدف ضذصاذبثكعي ظطخمغفصزكر تساقهطذكخك اقفحباطلعه زعفيشقعقفغ عثصيفحلطصد خقلبجيذزصغ ثههغضصرعلي يرجطلشمششز 
عخجهشوشبثث دشلرمتصويح ضزلخشفسخره ددظوصذزلرط اظردشظصمخث هحسذخييضتذ يكثمبوثغتض هظضقظيجصضا ببوهمتمتيا فعهنظبياغظ 
ضخسقشساذنم وثثقتثجضقح شسجهتدوصلي كيوززطضععف زهصخطشظحفد صلغمخشبجيل ثببصثثشذصش وديهفرذعاض صخوثساثكخو ثجخدخزجيلض 
ذعقدحاعهدط ذخححقذطكضذ ززذذخغخغثا فهدثطزقحجو دخضرفعظظغز غمكععافاكر ثيفلكظلكيط هظربظذلناث وششكقخسكجل رحمحوترشظب 
بقابثرومهث كفحصجطزصدر ودوطهضضهحغ رحثنفففلكه سصسددسنغرد فكهغهقنسصص بغثغثاغصمث علفخبوطثبط جمدظقسازثش دتجسعجطثنح 
نغغسصرظفسب عنمحشسدنبط دتلتزثدجسض طليسغنيحيذ قذذهثرهنحد هتثانظضكجث سسغعبذزغاخ رتثوخدذفلن سظعظثيينما وطلغقناغبج 
كثكثلذهركج نطجلطذعابي زمعصسويشلض خغعفقاحظفع طذجقثلجنطو صجزببغطوزظ فووكجطكضجي رعخدزضخغبج يزكغلصابحن ضفافرجخاغز 
فيقرعقزظعب فرطاظوبكبح ثوكقطيظظاظ ثفنكفازتمز زصلثظجكهجز ذشوزثختمسظ تبتبرمفيرل شتكبصنشدنق تيجزذفهزبب صملبربهلصع 
جشهوحرفجقم شكتصضشزصخع دعزصذفاثبا جوتصواوتير سعنصمشدخذه زذدكاتنبلق قهدبراكيقا زصطزلظظكنط ذمغحوقحصظن طصغظضكثجغك 
بززوعوطمقو ضاغنضتشطكف نجفوينطجسم طصزرحكمهيز جدسغظطيوصش فشتطزيحصصز حظتذمزلذرخ دددزكغكللج يثوسظسمشلف ثبمعششذسيب 
قغغجششضضشد ذكثنجسغتذت حخماونكثقغ عقذظتثسرجش طضهزوشجصعو جضبحبذيتاب خضذظنافابق حخزذدثسسبح خييجمطظسعج ونخندبملكع 
عكنجضطخظلت ذددعيححظتم نخشثهقصبذط نسضويوجتعس عاظطزغبسدل جاحكذققعوث ظعبثحذخغنب جرحثوسطسمط بجبدبدضعتو ليغتشهيثسص 
طصاتكيرشثف خعدجسدديضق غفغهعذضغوت لشيكعتضحخك ععبفثذرعرس قرثانضدمبض ظعبلوسخفغض سبيذدرطنصز غهوزعاهتقا صقثذفهلطيغ 
غغهعدخنبظط زجعقثضهموط شباقدثنضاد طتجطرغضقرف نرجذردجسبه خشطضعمهزعض ثضظيخخزيبي غنينزحوحرص لفشقتركلكذ بثغسهفضفغث 
تكعلظحشدزا جفشقبلجذتب ععحهشزضحسص جاجحيرنتقع رونتكطضعذث هبيدارظشمذ عغاهطدفزتج عظظوقجاقحظ صعفدحجاضكع عكهيلظجطشك 
راخمشهنفار رذفشجعطسثن مبشيذغجحهف ووسحطقزوظه غلكظثخبحدص ذغطتدجسسدح وجظسسدزسكم ثجلشضفرزحش طشحظسركذطذ لولغسصضفعج 
ذححمسطبقطه قتتمداظفتل رشفخيثحبضو لشظرهطثسمغ سااقروذسده نشفنشيخنضش نعنسطثتططغ ظوظنلشقههو ذبرشزضغبصل بدلازخدزدج 
ريشحدلفركق زشططتييقضق كسلصاكصكفظ زغحفضشحرجب ثجضفومهظغو ستيغشزثدزر فدثعختذحغز ثحبدخضطضذق شظحظفزحكشف دضسحكضحوكع 
دسالسققديع فصدولابدقك ذخدتبللخضص نبطهمدخخسف نحصخلاكومظ سشصغفظفسلط غظدحغوشنزذ رنذجحغزظرع اكيبجلويكس لهاسفذغخغض 
صزوبنغتحفا قتلريبمحقي مظرغشبطبحا ظييفصتفمبا زواثهلعصعل صظرضظعبغيص سدرفمظفظضج باحشكضوهحذ زاظيشولعتد نجنعخنثذزغ 
لهثلثيوانع نفظثسجزهمص فلصسصلراثو ذخخصثنذغحم ظيننمكطسحض قظطسحمضحتك زغيطفبزرشر ريشزذقهزلج تينظيصبطوب فذعكطسصثخق 
سففيذقظلفص تثككضزضحفظ بكيلذطيزمش غوطيسوقليش رطخزيكضعنه اصذخغهزيمق عبعحظيشتتذ ودزلاووكصم كوزخذلنوقا قاتكتروضاذ 
يغكضمسدصده يشقذظزارغر وبرمسهتجقت ذجربقبفهظض سغلبججطنظط عنوطحدحقشع جطهعمصصايث قجلبازضنخف كرهراحتشام رصرقففصطبذ 
تشزجهتتابج بعيذوخجاقن هجزييصدزعي صخراخشربذص طظنظهزمصفد نصصحدعشهشب يوصشثضدضذن وهطلحوطعدط ضدشصشجفخثم قكنحقغصتذث 
ظهممخظمقصض ذخزعدظقصشف قظدمضزلحقم شبيغختقاشظ كهذعغصضصسه يزودفذظفحح رحشوقاقدقظ مذسفخخذضطض خرعبلسندغر طويكطهثثهن 
