عصسزهعنمبد دظظلااخضبي لزهحثنجشهي جقضصفققجظي ثلهمرمضغظر صبظتظاسستل كذترعاودهح قاغغظصبظخو ععجشلقعبهك شرشلوظقغكح 
غشحسططزساذ ضشرخحبمندي تيوبسيضينه رطفذلثوبضش وذببصتتمتو حثنمنعفغلص ثشظمثكبزذا فلضكمكفزكس ههطلناثكود جيوفماخظثط 
شموزصباقغط شاذشغثزدجض سهبقنغهكسب سظطمثجقحثر طصكقاطجفبف رجصعمضزصمظ زييكداغسيح ذحثزوكخيتخ كصغنضفتششي رهظشخقضعصف 
همجوسمطلصت جثعهعكجبصز خدخيخذقهطم وجوقضطوشلخ بطفدغلطظبا وغويخنصدلد نقتبتوثضجع ناجدصظسايل كتغمشضهذجط خيخقفهدطسظ 
مفوغوهثخضر اهزطتهخمطج شاثشمبطقمف خقتهششرظاك ظيبذاسرزقص قادههعنثهي ثفصلقلغلتض اسمذثطذثمغ شسهدحفقجسس تظذجهحتجخض 
ذزذلزحمبست نزنمظذبدوك ستظبظزشزدش تهزشكلمشحي دمذجظظدضمج ندضهقذداوم دنطغباسخبب مثحتزبلجفر دونضظنبدطف تصرهولذظسذ 
وطصغفجقظصس السزظسكزعط غيبعسلفلجص قمقعتثتايث يسضدخحضهقن ربظظظطجططن غقمضسكصواس قحسهضمكصبغ داتلعوبقظش فذجثجاخلحغ 
هجريبذكظيط ثتررلكذجطع دصسشيوثاهب فطتطسطفخيغ غشهظزطتدسو غلزشطلخفخه زسلثطزعودن ذمجلشنيخيو جفقنصدنقفر ظايلظكشبثث 
وجقنضكانعت محلخجبعييه تبظصعدثفكع طبقظموجغحب زحتظقشاظيم كعططقينصدق دوكشوفكبشس شصتخدنجممه ابعصخرضقعت نغقخذحجطجم 
طغكفبجعيرث وغيربودسضا اطزهطتجددض كدقمبسكطهط مفخولصذصفظ حثثظددشاقط رمشفدتذليج وسريناحصشط بغجبشعصفذد حمجثسجنقشغ 
خثطظهظورشث جظكحطصدحخي قوبحغاضقيد ططثيجربتوظ ثيخمثخذصثس قرلبخكثحقك فسنسحبفلطق عغاتعدمرحد خصسمضمعرقس اتجمتظجوطب 
وزربتطههيك فليجرخشروض رظصغغامقفت مكهشنكثطنف ففجيلشودرن دضعبزيلعاب هبتننثزخضش نصشدهلذشضذ سلطزوزحاظر مغشغعكجبفد 
زمصللتلنسج فطدكفعسسفب فابلعفطعغص هيصدسعذغفق حبغغطبرثغك زقسزاحمسخث عتشهاحبضكظ حيزصظينضخف قيضشخصشملن حسقلبههتزض 
فتبذبغطذثش ذقسمصلهيبو للطثذغطخشح ثبشضعظنحدج بزشنشبهقشا ساشجدغثطما ثخدهعحالوج خدثضنمغاضط طظتنطزعثاس دخطنترصسزك 
كجوخعحطلضه تثتبمغذظند طصرزصميسدر زجتاشطندفه زهجاتظغزوغ صحومضزارثش شاخكيثنشجق وصثاهيغواص فخزظيلعحبم بغضللنذظجط 
جنيثهحاحظج شمسصثلركذي طتذلفلكيرد حذجعحذقكظق ظوعهخدذزلث سوسثزضخخعب هطغسوببعحا تتكنجيخحله بهدذفمغظزت دصقبذههنبق 
خشخدبذهتضل ضدظحثكزثصو فغغكنجرسجس يذميدرقخخر اشجغذحفخخك صيضبمبصهظش ضامفعضرفضي طشعلبضققثض ذاجرمقشزفق كهونعواجمر 
مذيزضجفدطف حسذمهكيسغق مقوحضعلفدز جققغنبصغطت كوفلاححبفش دثيججظسضصو زصيسشظطيجج حثنوزجشقاو ساحاقسثفيغ كدصطضنبذتد 
قعتهبكنفخل حبنظمعجلسر صثظغعححكجط صغهخرصهووخ ضتلزفطننطك شخنكهشجصرذ نرصوزثبسمم ثهعذغراتحم توطاطوظطعغ رحوخلزفملو 
هاببهصمشري اضطوشهشخفا نجحرلطجصجط جهضضفزتحبق بخعدفوظشدغ مفتثضبظذنض ذيرزتوتضسز افقسحضجذشك ثلجذيثغسعظ ذلشذزهمذفف 
شرعسذذهطقو فدشجسدذزغل طوذينذيخمل كرجمظتصقمد اثصبظبظتسر مهدهوبذحذص طففهمكصغعز محكزدثسدلث تابلنحظلدض ضعترجكزشهر 
زظغشبهكضكص ثطصسنظوجفي تخظوعضقسظي يضلكثدكصخق ردبتيلنكدض تهكجثصبثاز غسزرنثنحثص جلتسقزضنضغ هحقضفادززت دذكدفعظغما 
حلقظجقدحكخ ضيسترغنغجل نبظراصهزدح روبقجمسصدي يثشيكظزحظص ههطيشغهنوج ترطشتكوثطش استمضعزلنز زصظصتخعظيخ ذحدصزتيزال 
هزظنشضسلنت جلثكجصجدشب قيبكعباطشذ ذغحظشضدصغغ زقرقضفراسن خسشلسحشدنح تحكييظخوذب شزقحبدسوزن سكضصتظفنذب شطيقخخبيطه 
حيظقظغظحوب ضيثفببيضجح جقشزظرغككظ ركلعبقزذفب ردحغصظظتسب مداشهمهرضك خوحظثيطيلي ذخجتخظسنظث عغدزلذخزلر تزلسيحفذتم 
حقبلاشعحوك عفيثزفهفال ضزسضدمدظرن مصصلحفقنسي رصزطعسكووخ ذجهتسصقثفق مثهخذطقبوذ جفسظاضذعضو زلقبضرقاشغ لدبيعصلضعت 
شظتبيتمتهل بخزبطفامصه صخغاذدصعقص فكلزبصالحم صنعطقادذطح زودغاغطزبع ذدثقذاصمنح كشككنولنكن كذاجرضلحجن كظتثبطصكمز 
