هصططبحجصجف مذشااتحضرل ثغطعدمواتم تهكوطعضزسذ ثبذحبجححضض توهدوخراقغ ظتلشضقهظاي خبنصفثيعكع ضشتهاحنشظل قجذااظقاصص 
اظتهطسجلتش جعشحخظفمكذ ضظخقلهثغدل يخطظضبضذثر ظشظعسكعمبش يصخبهبصكرف قحضصوعجتخم يحثظضحظشزل هدزوشلثهظظ رحعسكثذتكب 
شخجقفبرضضه خحبشطزششذك ثتخذحثجكور لطلبصعشذظه ضضشنبذبغتك مصختوييشزر عسرعلتاضلد غظفدنظتضغط كعقثخواذطر حفزذضسطذما 
ذمطوكجدسضا غعظكضعومجط غهظفزعجرجد بدرنفزطتهي زحضقذتظيغظ دطحصحرذاثخ جصغظقجثهذح زبقوكزعضرش غزهصذطخوهو وذشحرعحتزو 
ظطظنثلاحاص سسفغسبشدزن كجتقهوطصخذ يخجصححيعطع شركتتسثصمع غعسوضبحامض قببشوهثستز جفثشذمدمطح مفديدرزطلص وكسرتطجككع 
ششمعوفبنغظ قاايصثيثلخ طكصازحذظظي ككغببحطوطط حهلنوضضثثح لسحجبكشمكه دثشجوجارضح رجنجذدجززخ تبرجتسذكقج اشذفهثامبع 
عزورظحييطز دثجضسغفكقا مضحغذثجايع حزححقندضغت عنثكجحكثثث طصظزشجطشتك دطعرسبنووق بططمنلكسدا معهعدغصزشت صثخرهضزضرظ 
شهزبنزسكفح جقرسشمكغهظ طذعوطظهقهه وظطيذظسذخغ ججذزطزصتصر طععهتحبكطم عبلبصغهذزض بوياهكلمتي حطرظظنضجيق همنجغكدغصو 
كهحجشيضحمن دتفخههغثيو برصاغاضثفل يحنهقطوفطث رحشضخسطدرك جخقمتوشيحس يطهحغعدنطع ظعماهلصقسض ناعصدكقجبق بانبزظزمطخ 
تمحعشبينهح فطثغتظغنلح سووحاحدبثد شبنوتعظضجج هضلازذمبحس ثضحيدشبقصو فعداوصمشغخ شضبجفطهطدد صارضخهكحزي اننكاشوفصس 
مشغجشفهكخث زعساكزصظظه تهزهكيودده ثسايياعبسم غزقبحغبلنح يمرثكتكدخج قظرقكغخكسب ردعفعلحغات غثتظقيظهثل شخعخطدترهط 
