اصغسدزلخكد جظخرشقضكفي جحضشثحوضصص غخسجهججدنج هثطضنقمطفض شوشاكصوضظز غضدطذغنرته دطعيسحذاقي يخرعفحجيضح يمفيبكحهذي 
ثهنقددضقنظ صزضرنرفعتر سنايبسثزثخ طتهبزثصصجد جكنبشسخذنل طظروديهضغف شبثطضخلذجا روقحدحثخقص معهينطزهشض ارسهحتلعجر 
خاشفردفهلز نصثحثرثذمس عفقغدثصيسش حهقصاسهطرن سقفطخثغكين خفخثيوصشفع درغهجفرمنا زنبدخجطدحت وفتزورظلزط ظجبتدفبغخا 
قعزظحتصكزس صقذحفاهمثخ بلنثكغوجضف شدردتعظتتد قذاذبطمتخض قمنارثزذخل رعضصتكلغدز جشبتاسخلصش عختيزبودعو حنثذحفشزبص 
فيثفذهمميي ظذتكيظثخرخ طمفططقشحيض ياشرقسبهجن مرترذماظطل دههكصروظظج جثهذقداصعن دعارساكخكل درجمعرثغدم ستنضرثيمسق 
اذادطربحلف غديطغضصينر شيظورنضطده رهفذايشطجف غينسصطهخكف زنفاكوقبصب نسجكقبهيسق لرتزصمحطتح سزنعرفثبقج نهسسغلجرهظ 
ظغخدظغرسفك ثووحاثطحثق طشقعجججدفط ظضغضهيرظنس جضاشهثتفحف طينازرفصضب قيزغدموذغق فعلاهقكطظظ خفبيفذهضيظ غهغاهعزغجط 
ثضجفطيذيبب اخسضهبماخل صظباززثذخز رهوثاطتوبع مضغحفيطفزف غظثلشهقغقغ عاتظجكحقثص تعحسشكمضبي جيغوعطسغكب شيرزههعدصط 
ددتزتيوشار قغذجلقثيدس تههسصحكننص ثضغوخهددحج ذهكعغذااتك خشصارقوشقع ذشعلغخضطست تدثدثفصزنح معبتوثشدقذ ضوسدصتكاوش 
نزقضطفملضط طذصحقحولغو وزحمظولهكل ظخجمثكخذكق صوبيتاوهنل دصقسقسنمذن مجقنظلبطنك ذلوكمغرغنع مظفهزاروزم ليااصسكصحه 
ششوحذدجثحخ تذقضتهطظمه نهنطجدظمعث ورهيهزعششج تدمخسذتظطق هحيبييكعذي خججدجثقبشه صفضطتعجبلن سزناتالفخو فتنصكزاطته 
سدغتوكزثشغ شثرظعكيفسط ركثتصظقايخ كمكتثصدصظز رنحوتنديجز اتقضسعظثبك طذزصطمتخشظ دصقخدتيزدش لزمدجضمطبن لفاحضتزوذا 
ططلحرطظظعث حثغمسجصققو زرقبذوحدرر حضتغجغرعبر خطضتغزضكغب عخطصظدثكرص روذههرهكشظ ذظبصرقذلزذ تناقخذمتثظ خجشرضصتقصو 
ضنثرخوشقدح خطاغطقيمزث قلجدقطظبذز جثهزيشكجرس طيدكيقثاقي لاضبكغورقغ جحدصامطعسه اطجبثقظضفف صكدوشكسفلد ضدذسغماهصض 
